# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:50:26 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14158500 MCKENZIE RIVER AT OUTLET OF CLEAR LAKE, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14158500
#            TS   parameter     statistic     Description
#        113733       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	113733_00060_00003	113733_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14158500	2010-01-01	515	A
USGS	14158500	2010-01-02	541	A
USGS	14158500	2010-01-03	560	A
USGS	14158500	2010-01-04	552	A
USGS	14158500	2010-01-05	603	A
USGS	14158500	2010-01-06	832	A
USGS	14158500	2010-01-07	848	A
USGS	14158500	2010-01-08	756	A
USGS	14158500	2010-01-09	720	A
USGS	14158500	2010-01-10	709	A
USGS	14158500	2010-01-11	700	A
USGS	14158500	2010-01-12	711	A
USGS	14158500	2010-01-13	729	A
USGS	14158500	2010-01-14	729	A
USGS	14158500	2010-01-15	697	A
USGS	14158500	2010-01-16	715	A
USGS	14158500	2010-01-17	718	A
USGS	14158500	2010-01-18	719	A
USGS	14158500	2010-01-19	689	A
USGS	14158500	2010-01-20	655	A
USGS	14158500	2010-01-21	629	A
USGS	14158500	2010-01-22	607	A
USGS	14158500	2010-01-23	583	A
USGS	14158500	2010-01-24	562	A
USGS	14158500	2010-01-25	552	A
USGS	14158500	2010-01-26	539	A
USGS	14158500	2010-01-27	521	A
USGS	14158500	2010-01-28	508	A
USGS	14158500	2010-01-29	496	A
