# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:50:29 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14158850 MCKENZIE R BLW TRAIL BR DAM NR BELKNAP SPRINGS, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14158850
#            TS   parameter     statistic     Description
#        113740       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	113740_00060_00003	113740_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14158850	2010-01-01	1530	A
USGS	14158850	2010-01-02	1490	A
USGS	14158850	2010-01-03	1340	A
USGS	14158850	2010-01-04	1310	A
USGS	14158850	2010-01-05	1420	A
USGS	14158850	2010-01-06	1750	A
USGS	14158850	2010-01-07	1620	A
USGS	14158850	2010-01-08	1470	A
USGS	14158850	2010-01-09	1480	A
USGS	14158850	2010-01-10	1430	A
USGS	14158850	2010-01-11	1390	A
USGS	14158850	2010-01-12	1380	A
USGS	14158850	2010-01-13	1390	A
USGS	14158850	2010-01-14	1400	A
USGS	14158850	2010-01-15	1360	A
USGS	14158850	2010-01-16	1480	A
USGS	14158850	2010-01-17	1490	A
USGS	14158850	2010-01-18	1480	A
USGS	14158850	2010-01-19	1390	A
USGS	14158850	2010-01-20	1330	A
USGS	14158850	2010-01-21	1330	A
USGS	14158850	2010-01-22	1310	A
USGS	14158850	2010-01-23	1200	A
USGS	14158850	2010-01-24	1190	A
USGS	14158850	2010-01-25	1230	A
USGS	14158850	2010-01-26	1200	A
USGS	14158850	2010-01-27	1140	A
USGS	14158850	2010-01-28	1140	A
USGS	14158850	2010-01-29	1090	A
USGS	14158850	2010-01-30	1090	A
USGS	14158850	2010-01-31	1030	A
USGS	14158850	2010-02-01	1090	A
USGS	14158850	2010-02-02	1050	A
USGS	14158850	2010-02-03	1030	A
USGS	14158850	2010-02-04	1040	A
USGS	14158850	2010-02-05	1040	A
USGS	14158850	2010-02-06	1040	A
USGS	14158850	2010-02-07	1020	A
USGS	14158850	2010-02-08	1040	A
USGS	14158850	2010-02-09	1030	A
USGS	14158850	2010-02-10	980	A
USGS	14158850	2010-02-11	1020	A
USGS	14158850	2010-02-12	1100	A
USGS	14158850	2010-02-13	1050	A
USGS	14158850	2010-02-14	1050	A
USGS	14158850	2010-02-15	1070	A
USGS	14158850	2010-02-16	1080	A
USGS	14158850	2010-02-17	1060	A
USGS	14158850	2010-02-18	1030	A
USGS	14158850	2010-02-19	1030	A
USGS	14158850	2010-02-20	1040	A
USGS	14158850	2010-02-21	1030	A
USGS	14158850	2010-02-22	1030	A
USGS	14158850	2010-02-23	970	A
USGS	14158850	2010-02-24	1000	A
USGS	14158850	2010-02-25	1040	A
USGS	14158850	2010-02-26	1040	A
USGS	14158850	2010-02-27	1000	A
USGS	14158850	2010-02-28	969	A
USGS	14158850	2010-03-01	984	A
USGS	14158850	2010-03-02	990	A
USGS	14158850	2010-03-03	990	A
USGS	14158850	2010-03-04	990	A
USGS	14158850	2010-03-05	993	A
USGS	14158850	2010-03-06	951	A
USGS	14158850	2010-03-07	938	A
USGS	14158850	2010-03-08	944	A
USGS	14158850	2010-03-09	925	A
USGS	14158850	2010-03-10	942	A
USGS	14158850	2010-03-11	923	A
USGS	14158850	2010-03-12	948	A
USGS	14158850	2010-03-13	950	A
USGS	14158850	2010-03-14	918	A
USGS	14158850	2010-03-15	911	A
USGS	14158850	2010-03-16	908	A
USGS	14158850	2010-03-17	906	A
USGS	14158850	2010-03-18	904	A
USGS	14158850	2010-03-19	901	A
USGS	14158850	2010-03-20	836	A
USGS	14158850	2010-03-21	849	A
USGS	14158850	2010-03-22	884	A
USGS	14158850	2010-03-23	921	A
USGS	14158850	2010-03-24	909	A
USGS	14158850	2010-03-25	937	A
USGS	14158850	2010-03-26	970	A
USGS	14158850	2010-03-27	937	A
USGS	14158850	2010-03-28	978	A
USGS	14158850	2010-03-29	1660	A
USGS	14158850	2010-03-30	1610	A
