# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:50:32 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14159500 SOUTH FORK MCKENZIE RIVER NEAR RAINBOW, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14159500
#            TS   parameter     statistic     Description
#        189625       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	189625_00060_00003	189625_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14159500	2010-01-01	943	A
USGS	14159500	2010-01-02	1070	A
USGS	14159500	2010-01-03	1080	A
USGS	14159500	2010-01-04	1290	A
USGS	14159500	2010-01-05	2270	A
USGS	14159500	2010-01-06	2280	A
USGS	14159500	2010-01-07	2300	A
USGS	14159500	2010-01-08	2290	A
USGS	14159500	2010-01-09	2270	A
USGS	14159500	2010-01-10	1930	A
USGS	14159500	2010-01-11	1680	A
USGS	14159500	2010-01-12	1670	A
USGS	14159500	2010-01-13	1660	A
USGS	14159500	2010-01-14	1640	A
USGS	14159500	2010-01-15	1650	A
USGS	14159500	2010-01-16	1340	A
USGS	14159500	2010-01-17	1100	A
USGS	14159500	2010-01-18	1100	A
USGS	14159500	2010-01-19	1140	A
USGS	14159500	2010-01-20	1120	A
USGS	14159500	2010-01-21	1120	A
USGS	14159500	2010-01-22	1100	A
USGS	14159500	2010-01-23	845	A
USGS	14159500	2010-01-24	832	A
USGS	14159500	2010-01-25	762	A
USGS	14159500	2010-01-26	816	A
USGS	14159500	2010-01-27	821	A
USGS	14159500	2010-01-28	818	A
USGS	14159500	2010-01-29	643	A
USGS	14159500	2010-01-30	454	A
USGS	14159500	2010-01-31	425	A
USGS	14159500	2010-02-01	418	A
USGS	14159500	2010-02-02	457	A
USGS	14159500	2010-02-03	398	A
USGS	14159500	2010-02-04	400	A
USGS	14159500	2010-02-05	400	A
USGS	14159500	2010-02-06	400	A
USGS	14159500	2010-02-07	400	A
USGS	14159500	2010-02-08	397	A
USGS	14159500	2010-02-09	398	A
USGS	14159500	2010-02-10	398	A
USGS	14159500	2010-02-11	395	A
USGS	14159500	2010-02-12	391	A
USGS	14159500	2010-02-13	391	A
USGS	14159500	2010-02-14	392	A
USGS	14159500	2010-02-15	394	A
USGS	14159500	2010-02-16	393	A
USGS	14159500	2010-02-17	391	A
USGS	14159500	2010-02-18	393	A
USGS	14159500	2010-02-19	395	A
USGS	14159500	2010-02-20	395	A
USGS	14159500	2010-02-21	396	A
USGS	14159500	2010-02-22	396	A
USGS	14159500	2010-02-23	393	A
USGS	14159500	2010-02-24	413	A
USGS	14159500	2010-02-25	408	A
USGS	14159500	2010-02-26	408	A
USGS	14159500	2010-02-27	414	A
USGS	14159500	2010-02-28	412	A
USGS	14159500	2010-03-01	410	A
USGS	14159500	2010-03-02	414	A
USGS	14159500	2010-03-03	411	A
USGS	14159500	2010-03-04	412	A
USGS	14159500	2010-03-05	406	A
USGS	14159500	2010-03-06	409	A
USGS	14159500	2010-03-07	413	A
USGS	14159500	2010-03-08	409	A
USGS	14159500	2010-03-09	406	A
USGS	14159500	2010-03-10	406	A
USGS	14159500	2010-03-11	410	A
USGS	14159500	2010-03-12	411	A
USGS	14159500	2010-03-13	413	A
USGS	14159500	2010-03-14	409	A
USGS	14159500	2010-03-15	409	A
USGS	14159500	2010-03-16	408	A
USGS	14159500	2010-03-17	409	A
USGS	14159500	2010-03-18	408	A
USGS	14159500	2010-03-19	408	A
USGS	14159500	2010-03-20	409	A
USGS	14159500	2010-03-21	413	A
USGS	14159500	2010-03-22	435	A
USGS	14159500	2010-03-23	445	A
USGS	14159500	2010-03-24	446	A
USGS	14159500	2010-03-25	451	A
USGS	14159500	2010-03-26	456	A
USGS	14159500	2010-03-27	419	A
USGS	14159500	2010-03-28	418	A
USGS	14159500	2010-03-29	426	A
USGS	14159500	2010-03-30	418	A
USGS	14159500	2010-03-31	415	A
USGS	14159500	2010-04-01	414	A
USGS	14159500	2010-04-02	431	A
USGS	14159500	2010-04-03	421	A
USGS	14159500	2010-04-04	418	A
USGS	14159500	2010-04-05	414	A
USGS	14159500	2010-04-06	422	A
USGS	14159500	2010-04-07	416	A
USGS	14159500	2010-04-08	415	A
USGS	14159500	2010-04-09	413	A
USGS	14159500	2010-04-10	426	A
USGS	14159500	2010-04-11	424	A
USGS	14159500	2010-04-12	417	A
USGS	14159500	2010-04-13	421	A
USGS	14159500	2010-04-14	421	A
USGS	14159500	2010-04-15	421	A
USGS	14159500	2010-04-16	421	A
USGS	14159500	2010-04-17	423	A
USGS	14159500	2010-04-18	419	A
USGS	14159500	2010-04-19	428	A
USGS	14159500	2010-04-20	419	A
USGS	14159500	2010-04-21	416	A
USGS	14159500	2010-04-22	422	A
USGS	14159500	2010-04-23	414	A
USGS	14159500	2010-04-24	419	A
USGS	14159500	2010-04-25	418	A
USGS	14159500	2010-04-26	420	A
USGS	14159500	2010-04-27	421	A
USGS	14159500	2010-04-28	427	A
USGS	14159500	2010-04-29	419	A
USGS	14159500	2010-04-30	417	A
USGS	14159500	2010-05-01	416	A
USGS	14159500	2010-05-02	420	A
USGS	14159500	2010-05-03	421	A
USGS	14159500	2010-05-04	425	A
USGS	14159500	2010-05-05	427	A
USGS	14159500	2010-05-06	425	A
USGS	14159500	2010-05-07	415	A
USGS	14159500	2010-05-08	416	A
USGS	14159500	2010-05-09	418	A
USGS	14159500	2010-05-10	438	A
USGS	14159500	2010-05-11	427	A
USGS	14159500	2010-05-12	424	A
USGS	14159500	2010-05-13	413	A
USGS	14159500	2010-05-14	419	A
USGS	14159500	2010-05-15	413	A
USGS	14159500	2010-05-16	412	A
USGS	14159500	2010-05-17	413	A
USGS	14159500	2010-05-18	424	A
USGS	14159500	2010-05-19	428	A
USGS	14159500	2010-05-20	419	A
USGS	14159500	2010-05-21	425	A
USGS	14159500	2010-05-22	435	A
USGS	14159500	2010-05-23	436	A
USGS	14159500	2010-05-24	433	A
USGS	14159500	2010-05-25	434	A
USGS	14159500	2010-05-26	435	A
USGS	14159500	2010-05-27	460	A
USGS	14159500	2010-05-28	477	A
USGS	14159500	2010-05-29	467	A
USGS	14159500	2010-05-30	466	A
USGS	14159500	2010-05-31	467	A
USGS	14159500	2010-06-01	1330	A
USGS	14159500	2010-06-02	2640	A
USGS	14159500	2010-06-03	2910	A
USGS	14159500	2010-06-04	2900	A
USGS	14159500	2010-06-05	3530	A
USGS	14159500	2010-06-06	3700	A
USGS	14159500	2010-06-07	2690	A
USGS	14159500	2010-06-08	2060	A
USGS	14159500	2010-06-09	1920	A
USGS	14159500	2010-06-10	1840	A
USGS	14159500	2010-06-11	1700	A
USGS	14159500	2010-06-12	1460	A
USGS	14159500	2010-06-13	1140	A
USGS	14159500	2010-06-14	1000	A
USGS	14159500	2010-06-15	1020	A
USGS	14159500	2010-06-16	1010	A
USGS	14159500	2010-06-17	1010	A
USGS	14159500	2010-06-18	970	A
USGS	14159500	2010-06-19	949	A
USGS	14159500	2010-06-20	927	A
USGS	14159500	2010-06-21	731	A
USGS	14159500	2010-06-22	571	A
USGS	14159500	2010-06-23	539	A
USGS	14159500	2010-06-24	493	A
USGS	14159500	2010-06-25	495	A
USGS	14159500	2010-06-26	495	A
USGS	14159500	2010-06-27	495	A
USGS	14159500	2010-06-28	495	A
USGS	14159500	2010-06-29	498	A
USGS	14159500	2010-06-30	498	A
USGS	14159500	2010-07-01	495	A
USGS	14159500	2010-07-02	476	A
USGS	14159500	2010-07-03	473	A
USGS	14159500	2010-07-04	473	A
USGS	14159500	2010-07-05	473	A
USGS	14159500	2010-07-06	473	A
USGS	14159500	2010-07-07	474	A
USGS	14159500	2010-07-08	473	A
USGS	14159500	2010-07-09	473	A
USGS	14159500	2010-07-10	473	A
USGS	14159500	2010-07-11	473	A
USGS	14159500	2010-07-12	476	A
USGS	14159500	2010-07-13	474	A
USGS	14159500	2010-07-14	470	A
USGS	14159500	2010-07-15	466	A
USGS	14159500	2010-07-16	466	A
USGS	14159500	2010-07-17	602	A
USGS	14159500	2010-07-18	658	A
USGS	14159500	2010-07-19	664	A
USGS	14159500	2010-07-20	664	A
USGS	14159500	2010-07-21	664	A
USGS	14159500	2010-07-22	640	A
USGS	14159500	2010-07-23	617	A
USGS	14159500	2010-07-24	672	A
USGS	14159500	2010-07-25	814	A
USGS	14159500	2010-07-26	885	A
USGS	14159500	2010-07-27	942	A
USGS	14159500	2010-07-28	955	A
USGS	14159500	2010-07-29	963	A
USGS	14159500	2010-07-30	955	A
USGS	14159500	2010-07-31	948	A
USGS	14159500	2010-08-01	948	A
USGS	14159500	2010-08-02	947	A
USGS	14159500	2010-08-03	937	A
USGS	14159500	2010-08-04	929	A
USGS	14159500	2010-08-05	926	A
USGS	14159500	2010-08-06	923	A
USGS	14159500	2010-08-07	922	A
USGS	14159500	2010-08-08	920	A
USGS	14159500	2010-08-09	916	A
USGS	14159500	2010-08-10	952	A
USGS	14159500	2010-08-11	955	A
USGS	14159500	2010-08-12	961	A
USGS	14159500	2010-08-13	895	A
USGS	14159500	2010-08-14	707	A
USGS	14159500	2010-08-15	576	A
USGS	14159500	2010-08-16	522	A
USGS	14159500	2010-08-17	521	A
USGS	14159500	2010-08-18	522	A
USGS	14159500	2010-08-19	526	A
USGS	14159500	2010-08-20	522	A
USGS	14159500	2010-08-21	521	A
USGS	14159500	2010-08-22	523	A
USGS	14159500	2010-08-23	523	A
USGS	14159500	2010-08-24	514	A
USGS	14159500	2010-08-25	506	A
USGS	14159500	2010-08-26	508	A
USGS	14159500	2010-08-27	508	A
USGS	14159500	2010-08-28	510	A
USGS	14159500	2010-08-29	515	A
USGS	14159500	2010-08-30	518	A
USGS	14159500	2010-08-31	513	A
USGS	14159500	2010-09-01	508	A
USGS	14159500	2010-09-02	506	A
USGS	14159500	2010-09-03	515	A
USGS	14159500	2010-09-04	517	A
USGS	14159500	2010-09-05	517	A
USGS	14159500	2010-09-06	516	A
USGS	14159500	2010-09-07	519	A
USGS	14159500	2010-09-08	506	A
USGS	14159500	2010-09-09	499	A
USGS	14159500	2010-09-10	493	A
USGS	14159500	2010-09-11	492	A
USGS	14159500	2010-09-12	495	A
USGS	14159500	2010-09-13	495	A
USGS	14159500	2010-09-14	494	A
USGS	14159500	2010-09-15	496	A
USGS	14159500	2010-09-16	496	A
USGS	14159500	2010-09-17	495	A
USGS	14159500	2010-09-18	491	A
USGS	14159500	2010-09-19	493	A
USGS	14159500	2010-09-20	495	A
USGS	14159500	2010-09-21	497	A
USGS	14159500	2010-09-22	494	A
USGS	14159500	2010-09-23	492	A
USGS	14159500	2010-09-24	525	A
USGS	14159500	2010-09-25	515	A
USGS	14159500	2010-09-26	494	A
USGS	14159500	2010-09-27	488	A
USGS	14159500	2010-09-28	487	A
USGS	14159500	2010-09-29	483	A
USGS	14159500	2010-09-30	481	A
USGS	14159500	2010-10-01	472	A
USGS	14159500	2010-10-02	471	A
USGS	14159500	2010-10-03	471	A
USGS	14159500	2010-10-04	472	A
USGS	14159500	2010-10-05	474	A
USGS	14159500	2010-10-06	474	A
USGS	14159500	2010-10-07	474	A
USGS	14159500	2010-10-08	476	A
USGS	14159500	2010-10-09	479	A
USGS	14159500	2010-10-10	479	A
USGS	14159500	2010-10-11	481	A
USGS	14159500	2010-10-12	904	A
USGS	14159500	2010-10-13	1040	A
USGS	14159500	2010-10-14	1040	A
