# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:50:33 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14161500 LOOKOUT CREEK NEAR BLUE RIVER, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14161500
#            TS   parameter     statistic     Description
#        113793       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	113793_00060_00003	113793_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14161500	2010-01-01	836	A
USGS	14161500	2010-01-02	599	A
USGS	14161500	2010-01-03	379	A
USGS	14161500	2010-01-04	287	A
USGS	14161500	2010-01-05	357	A
USGS	14161500	2010-01-06	539	A
USGS	14161500	2010-01-07	379	A
USGS	14161500	2010-01-08	278	A
USGS	14161500	2010-01-09	231	A
USGS	14161500	2010-01-10	187	A
USGS	14161500	2010-01-11	156	A
USGS	14161500	2010-01-12	147	A
USGS	14161500	2010-01-13	142	A
USGS	14161500	2010-01-14	159	A
USGS	14161500	2010-01-15	145	A
USGS	14161500	2010-01-16	223	A
USGS	14161500	2010-01-17	242	A
USGS	14161500	2010-01-18	216	A
USGS	14161500	2010-01-19	177	A
USGS	14161500	2010-01-20	146	A
USGS	14161500	2010-01-21	123	A
USGS	14161500	2010-01-22	108	A
USGS	14161500	2010-01-23	94.1	A
USGS	14161500	2010-01-24	101	A
USGS	14161500	2010-01-25	126	A
USGS	14161500	2010-01-26	121	A
USGS	14161500	2010-01-27	110	A
USGS	14161500	2010-01-28	99.1	A
USGS	14161500	2010-01-29	93.1	A
USGS	14161500	2010-01-30	87.5	A
USGS	14161500	2010-01-31	84.4	A
USGS	14161500	2010-02-01	84.8	A
USGS	14161500	2010-02-02	94.0	A
USGS	14161500	2010-02-03	90.8	A
USGS	14161500	2010-02-04	90.6	A
USGS	14161500	2010-02-05	90.3	A
USGS	14161500	2010-02-06	87.2	A
USGS	14161500	2010-02-07	86.8	A
USGS	14161500	2010-02-08	82.6	A
USGS	14161500	2010-02-09	78.1	A
USGS	14161500	2010-02-10	75.8	A
USGS	14161500	2010-02-11	106	A
USGS	14161500	2010-02-12	137	A
USGS	14161500	2010-02-13	137	A
USGS	14161500	2010-02-14	136	A
USGS	14161500	2010-02-15	134	A
USGS	14161500	2010-02-16	126	A
USGS	14161500	2010-02-17	116	A
USGS	14161500	2010-02-18	103	A
USGS	14161500	2010-02-19	93.4	A
USGS	14161500	2010-02-20	83.8	A
USGS	14161500	2010-02-21	76.7	A
USGS	14161500	2010-02-22	69.8	A
USGS	14161500	2010-02-23	67.9	A
USGS	14161500	2010-02-24	102	A
USGS	14161500	2010-02-25	142	A
USGS	14161500	2010-02-26	133	A
USGS	14161500	2010-02-27	117	A
USGS	14161500	2010-02-28	101	A
USGS	14161500	2010-03-01	90.9	A
USGS	14161500	2010-03-02	83.5	A
USGS	14161500	2010-03-03	80.4	A
USGS	14161500	2010-03-04	75.5	A
USGS	14161500	2010-03-05	69.5	A
USGS	14161500	2010-03-06	64.7	A
USGS	14161500	2010-03-07	61.4	A
USGS	14161500	2010-03-08	58.6	A
USGS	14161500	2010-03-09	54.6	A
USGS	14161500	2010-03-10	53.6	A
USGS	14161500	2010-03-11	64.5	A
USGS	14161500	2010-03-12	92.3	A
USGS	14161500	2010-03-13	94.7	A
USGS	14161500	2010-03-14	84.8	A
USGS	14161500	2010-03-15	80.7	A
USGS	14161500	2010-03-16	81.1	A
USGS	14161500	2010-03-17	78.5	A
USGS	14161500	2010-03-18	73.0	A
USGS	14161500	2010-03-19	67.5	A
USGS	14161500	2010-03-20	64.2	A
USGS	14161500	2010-03-21	69.2	A
USGS	14161500	2010-03-22	78.2	A
USGS	14161500	2010-03-23	71.3	A
USGS	14161500	2010-03-24	67.3	A
USGS	14161500	2010-03-25	87.2	A
USGS	14161500	2010-03-26	139	A
USGS	14161500	2010-03-27	136	A
USGS	14161500	2010-03-28	134	A
USGS	14161500	2010-03-29	479	A
USGS	14161500	2010-03-30	508	A
USGS	14161500	2010-03-31	341	A
USGS	14161500	2010-04-01	246	A
USGS	14161500	2010-04-02	223	A
USGS	14161500	2010-04-03	218	A
USGS	14161500	2010-04-04	190	A
USGS	14161500	2010-04-05	164	A
USGS	14161500	2010-04-06	152	A
USGS	14161500	2010-04-07	153	A
USGS	14161500	2010-04-08	168	A
USGS	14161500	2010-04-09	149	A
USGS	14161500	2010-04-10	132	A
USGS	14161500	2010-04-11	127	A
USGS	14161500	2010-04-12	125	A
USGS	14161500	2010-04-13	129	A
USGS	14161500	2010-04-14	140	A
USGS	14161500	2010-04-15	171	A
USGS	14161500	2010-04-16	169	A
USGS	14161500	2010-04-17	175	A
USGS	14161500	2010-04-18	177	A
USGS	14161500	2010-04-19	181	A
USGS	14161500	2010-04-20	183	A
USGS	14161500	2010-04-21	182	A
USGS	14161500	2010-04-22	148	A
USGS	14161500	2010-04-23	127	A
USGS	14161500	2010-04-24	117	A
USGS	14161500	2010-04-25	104	A
USGS	14161500	2010-04-26	97.6	A
USGS	14161500	2010-04-27	145	A
USGS	14161500	2010-04-28	164	A
USGS	14161500	2010-04-29	180	A
USGS	14161500	2010-04-30	184	A
USGS	14161500	2010-05-01	180	A
USGS	14161500	2010-05-02	174	A
USGS	14161500	2010-05-03	225	A
USGS	14161500	2010-05-04	237	A
USGS	14161500	2010-05-05	196	A
USGS	14161500	2010-05-06	162	A
USGS	14161500	2010-05-07	139	A
USGS	14161500	2010-05-08	123	A
USGS	14161500	2010-05-09	114	A
USGS	14161500	2010-05-10	126	A
USGS	14161500	2010-05-11	118	A
USGS	14161500	2010-05-12	109	A
USGS	14161500	2010-05-13	103	A
USGS	14161500	2010-05-14	100	A
USGS	14161500	2010-05-15	99.8	A
USGS	14161500	2010-05-16	97.8	A
USGS	14161500	2010-05-17	96.4	A
USGS	14161500	2010-05-18	100	A
USGS	14161500	2010-05-19	107	A
USGS	14161500	2010-05-20	140	A
USGS	14161500	2010-05-21	131	A
USGS	14161500	2010-05-22	121	A
USGS	14161500	2010-05-23	114	A
USGS	14161500	2010-05-24	108	A
USGS	14161500	2010-05-25	103	A
USGS	14161500	2010-05-26	113	A
USGS	14161500	2010-05-27	119	A
USGS	14161500	2010-05-28	111	A
USGS	14161500	2010-05-29	101	A
USGS	14161500	2010-05-30	94.1	A
USGS	14161500	2010-05-31	96.8	A
USGS	14161500	2010-06-01	97.1	A
USGS	14161500	2010-06-02	501	A
USGS	14161500	2010-06-03	627	A
USGS	14161500	2010-06-04	726	A
USGS	14161500	2010-06-05	542	A
USGS	14161500	2010-06-06	366	A
USGS	14161500	2010-06-07	288	A
USGS	14161500	2010-06-08	218	A
USGS	14161500	2010-06-09	201	A
USGS	14161500	2010-06-10	214	A
USGS	14161500	2010-06-11	195	A
USGS	14161500	2010-06-12	166	A
USGS	14161500	2010-06-13	141	A
USGS	14161500	2010-06-14	121	A
USGS	14161500	2010-06-15	107	A
USGS	14161500	2010-06-16	98.6	A
USGS	14161500	2010-06-17	91.1	A
USGS	14161500	2010-06-18	82.1	A
USGS	14161500	2010-06-19	76.1	A
USGS	14161500	2010-06-20	70.7	A
USGS	14161500	2010-06-21	66.4	A
USGS	14161500	2010-06-22	62.2	A
USGS	14161500	2010-06-23	58.7	A
USGS	14161500	2010-06-24	54.8	A
USGS	14161500	2010-06-25	52.2	A
USGS	14161500	2010-06-26	50.1	A
USGS	14161500	2010-06-27	47.3	A
USGS	14161500	2010-06-28	44.6	A
USGS	14161500	2010-06-29	43.2	A
USGS	14161500	2010-06-30	41.6	A
USGS	14161500	2010-07-01	40.5	A
USGS	14161500	2010-07-02	40.7	A
USGS	14161500	2010-07-03	39.2	A
USGS	14161500	2010-07-04	37.6	A
USGS	14161500	2010-07-05	36.2	A
USGS	14161500	2010-07-06	34.0	A
USGS	14161500	2010-07-07	33.0	A
USGS	14161500	2010-07-08	31.9	A
USGS	14161500	2010-07-09	30.9	A
USGS	14161500	2010-07-10	29.9	A
USGS	14161500	2010-07-11	29.4	A
USGS	14161500	2010-07-12	28.9	A
USGS	14161500	2010-07-13	28.1	A
USGS	14161500	2010-07-14	26.9	A
USGS	14161500	2010-07-15	25.9	A
USGS	14161500	2010-07-16	25.2	A
USGS	14161500	2010-07-17	24.5	A
USGS	14161500	2010-07-18	23.9	A
USGS	14161500	2010-07-19	23.4	A
USGS	14161500	2010-07-20	23.0	A
USGS	14161500	2010-07-21	22.6	A
USGS	14161500	2010-07-22	22.1	A
USGS	14161500	2010-07-23	21.6	A
USGS	14161500	2010-07-24	21.0	A
USGS	14161500	2010-07-25	20.7	A
USGS	14161500	2010-07-26	20.2	A
USGS	14161500	2010-07-27	19.8	A
USGS	14161500	2010-07-28	19.5	A
USGS	14161500	2010-07-29	19.1	A
USGS	14161500	2010-07-30	18.7	A
USGS	14161500	2010-07-31	18.4	A
USGS	14161500	2010-08-01	18.1	A
USGS	14161500	2010-08-02	17.8	A
USGS	14161500	2010-08-03	17.5	A
USGS	14161500	2010-08-04	17.2	A
USGS	14161500	2010-08-05	16.9	A
USGS	14161500	2010-08-06	16.6	A
USGS	14161500	2010-08-07	16.3	A
USGS	14161500	2010-08-08	16.1	A
USGS	14161500	2010-08-09	15.9	A
USGS	14161500	2010-08-10	15.6	A
USGS	14161500	2010-08-11	15.4	A
USGS	14161500	2010-08-12	15.2	A
USGS	14161500	2010-08-13	14.9	A
USGS	14161500	2010-08-14	14.3	A
USGS	14161500	2010-08-15	14.0	A
USGS	14161500	2010-08-16	13.8	A
USGS	14161500	2010-08-17	13.6	A
USGS	14161500	2010-08-18	14.0	A
USGS	14161500	2010-08-19	13.4	A
USGS	14161500	2010-08-20	13.3	A
USGS	14161500	2010-08-21	13.0	A
USGS	14161500	2010-08-22	12.8	A
USGS	14161500	2010-08-23	12.8	A
USGS	14161500	2010-08-24	12.5	A
USGS	14161500	2010-08-25	12.1	A
USGS	14161500	2010-08-26	12.0	A
USGS	14161500	2010-08-27	12.0	A
USGS	14161500	2010-08-28	11.9	A
USGS	14161500	2010-08-29	11.8	A
USGS	14161500	2010-08-30	16.2	A
USGS	14161500	2010-08-31	14.4	A
USGS	14161500	2010-09-01	17.3	A
USGS	14161500	2010-09-02	14.9	A
USGS	14161500	2010-09-03	13.2	A
USGS	14161500	2010-09-04	12.5	A
USGS	14161500	2010-09-05	12.0	A
USGS	14161500	2010-09-06	11.7	A
USGS	14161500	2010-09-07	12.8	A
USGS	14161500	2010-09-08	17.1	A
USGS	14161500	2010-09-09	17.6	A
USGS	14161500	2010-09-10	15.0	A
USGS	14161500	2010-09-11	13.2	A
USGS	14161500	2010-09-12	12.5	A
USGS	14161500	2010-09-13	12.1	A
USGS	14161500	2010-09-14	11.7	A
USGS	14161500	2010-09-15	11.5	A
USGS	14161500	2010-09-16	11.4	A
USGS	14161500	2010-09-17	11.6	A
USGS	14161500	2010-09-18	16.3	A
USGS	14161500	2010-09-19	48.4	A
USGS	14161500	2010-09-20	55.6	A
USGS	14161500	2010-09-21	27.8	A
USGS	14161500	2010-09-22	21.1	A
USGS	14161500	2010-09-23	18.3	A
