# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:50:35 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14162200 BLUE RIVER AT BLUE RIVER, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14162200
#            TS   parameter     statistic     Description
#        113799       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	113799_00060_00003	113799_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14162200	2010-01-01	1240	A
USGS	14162200	2010-01-02	1890	A
USGS	14162200	2010-01-03	1860	A
USGS	14162200	2010-01-04	1780	A
USGS	14162200	2010-01-05	1690	A
USGS	14162200	2010-01-06	1790	A
USGS	14162200	2010-01-07	1880	A
USGS	14162200	2010-01-08	1760	A
USGS	14162200	2010-01-09	1260	A
USGS	14162200	2010-01-10	828	A
USGS	14162200	2010-01-11	683	A
USGS	14162200	2010-01-12	629	A
USGS	14162200	2010-01-13	565	A
USGS	14162200	2010-01-14	540	A
USGS	14162200	2010-01-15	640	A
USGS	14162200	2010-01-16	772	A
USGS	14162200	2010-01-17	1010	A
USGS	14162200	2010-01-18	1210	A
USGS	14162200	2010-01-19	1040	A
USGS	14162200	2010-01-20	808	A
USGS	14162200	2010-01-21	543	A
USGS	14162200	2010-01-22	406	A
USGS	14162200	2010-01-23	356	A
USGS	14162200	2010-01-24	357	A
USGS	14162200	2010-01-25	371	A
USGS	14162200	2010-01-26	388	A
USGS	14162200	2010-01-27	395	A
USGS	14162200	2010-01-28	399	A
USGS	14162200	2010-01-29	399	A
USGS	14162200	2010-01-30	399	A
USGS	14162200	2010-01-31	397	A
USGS	14162200	2010-02-01	394	A
USGS	14162200	2010-02-02	343	A
USGS	14162200	2010-02-03	236	A
USGS	14162200	2010-02-04	129	A
USGS	14162200	2010-02-05	84.7	A
USGS	14162200	2010-02-06	87.2	A
USGS	14162200	2010-02-07	89.4	A
USGS	14162200	2010-02-08	68.4	A
USGS	14162200	2010-02-09	58.8	A
USGS	14162200	2010-02-10	59.1	A
USGS	14162200	2010-02-11	60.1	A
USGS	14162200	2010-02-12	60.4	A
USGS	14162200	2010-02-13	61.5	A
USGS	14162200	2010-02-14	58.9	A
USGS	14162200	2010-02-15	59.5	A
USGS	14162200	2010-02-16	60.2	A
USGS	14162200	2010-02-17	60.9	A
USGS	14162200	2010-02-18	61.2	A
USGS	14162200	2010-02-19	61.1	A
USGS	14162200	2010-02-20	59.0	A
USGS	14162200	2010-02-21	59.2	A
USGS	14162200	2010-02-22	59.6	A
USGS	14162200	2010-02-23	60.0	A
USGS	14162200	2010-02-24	60.7	A
USGS	14162200	2010-02-25	63.5	A
USGS	14162200	2010-02-26	63.7	A
USGS	14162200	2010-02-27	63.7	A
USGS	14162200	2010-02-28	64.5	A
USGS	14162200	2010-03-01	66.6	A
USGS	14162200	2010-03-02	66.7	A
USGS	14162200	2010-03-03	67.0	A
USGS	14162200	2010-03-04	67.2	A
USGS	14162200	2010-03-05	67.4	A
USGS	14162200	2010-03-06	67.6	A
USGS	14162200	2010-03-07	66.8	A
USGS	14162200	2010-03-08	56.9	A
USGS	14162200	2010-03-09	50.8	A
USGS	14162200	2010-03-10	51.0	A
USGS	14162200	2010-03-11	51.1	A
USGS	14162200	2010-03-12	52.2	A
USGS	14162200	2010-03-13	53.5	A
USGS	14162200	2010-03-14	53.3	A
USGS	14162200	2010-03-15	53.2	A
USGS	14162200	2010-03-16	53.3	A
USGS	14162200	2010-03-17	53.2	A
USGS	14162200	2010-03-18	52.0	A
USGS	14162200	2010-03-19	50.0	A
USGS	14162200	2010-03-20	50.2	A
USGS	14162200	2010-03-21	50.5	A
USGS	14162200	2010-03-22	50.9	A
USGS	14162200	2010-03-23	51.0	A
USGS	14162200	2010-03-24	51.3	A
USGS	14162200	2010-03-25	51.8	A
USGS	14162200	2010-03-26	54.5	A
USGS	14162200	2010-03-27	55.1	A
USGS	14162200	2010-03-28	50.5	A
USGS	14162200	2010-03-29	50.9	A
USGS	14162200	2010-03-30	54.0	A
USGS	14162200	2010-03-31	217	A
USGS	14162200	2010-04-01	453	A
USGS	14162200	2010-04-02	456	A
USGS	14162200	2010-04-03	459	A
USGS	14162200	2010-04-04	459	A
USGS	14162200	2010-04-05	422	A
USGS	14162200	2010-04-06	366	A
USGS	14162200	2010-04-07	324	A
USGS	14162200	2010-04-08	222	A
USGS	14162200	2010-04-09	222	A
USGS	14162200	2010-04-10	223	A
USGS	14162200	2010-04-11	223	A
USGS	14162200	2010-04-12	223	A
USGS	14162200	2010-04-13	224	A
USGS	14162200	2010-04-14	225	A
USGS	14162200	2010-04-15	226	A
USGS	14162200	2010-04-16	227	A
USGS	14162200	2010-04-17	228	A
USGS	14162200	2010-04-18	228	A
USGS	14162200	2010-04-19	229	A
USGS	14162200	2010-04-20	230	A
USGS	14162200	2010-04-21	231	A
USGS	14162200	2010-04-22	231	A
USGS	14162200	2010-04-23	232	A
USGS	14162200	2010-04-24	232	A
USGS	14162200	2010-04-25	233	A
USGS	14162200	2010-04-26	233	A
USGS	14162200	2010-04-27	480	A
USGS	14162200	2010-04-28	688	A
USGS	14162200	2010-04-29	721	A
USGS	14162200	2010-04-30	778	A
USGS	14162200	2010-05-01	777	A
USGS	14162200	2010-05-02	777	A
USGS	14162200	2010-05-03	660	A
USGS	14162200	2010-05-04	593	A
USGS	14162200	2010-05-05	503	A
USGS	14162200	2010-05-06	342	A
USGS	14162200	2010-05-07	314	A
USGS	14162200	2010-05-08	314	A
USGS	14162200	2010-05-09	314	A
USGS	14162200	2010-05-10	453	A
USGS	14162200	2010-05-11	562	A
USGS	14162200	2010-05-12	562	A
USGS	14162200	2010-05-13	562	A
USGS	14162200	2010-05-14	561	A
USGS	14162200	2010-05-15	560	A
USGS	14162200	2010-05-16	559	A
USGS	14162200	2010-05-17	476	A
USGS	14162200	2010-05-18	392	A
USGS	14162200	2010-05-19	393	A
USGS	14162200	2010-05-20	489	A
USGS	14162200	2010-05-21	583	A
USGS	14162200	2010-05-22	584	A
USGS	14162200	2010-05-23	584	A
USGS	14162200	2010-05-24	544	A
USGS	14162200	2010-05-25	500	A
USGS	14162200	2010-05-26	442	A
USGS	14162200	2010-05-27	413	A
USGS	14162200	2010-05-28	414	A
USGS	14162200	2010-05-29	415	A
USGS	14162200	2010-05-30	414	A
USGS	14162200	2010-05-31	415	A
USGS	14162200	2010-06-01	662	A
USGS	14162200	2010-06-02	1510	A
USGS	14162200	2010-06-03	2140	A
USGS	14162200	2010-06-04	2250	A
USGS	14162200	2010-06-05	2250	A
USGS	14162200	2010-06-06	1770	A
USGS	14162200	2010-06-07	1090	A
USGS	14162200	2010-06-08	771	A
USGS	14162200	2010-06-09	714	A
USGS	14162200	2010-06-10	850	A
USGS	14162200	2010-06-11	978	A
USGS	14162200	2010-06-12	646	A
USGS	14162200	2010-06-13	418	A
USGS	14162200	2010-06-14	385	A
USGS	14162200	2010-06-15	417	A
USGS	14162200	2010-06-16	358	A
USGS	14162200	2010-06-17	348	A
USGS	14162200	2010-06-18	291	A
USGS	14162200	2010-06-19	240	A
USGS	14162200	2010-06-20	240	A
USGS	14162200	2010-06-21	233	A
USGS	14162200	2010-06-22	209	A
USGS	14162200	2010-06-23	198	A
USGS	14162200	2010-06-24	183	A
USGS	14162200	2010-06-25	183	A
USGS	14162200	2010-06-26	183	A
USGS	14162200	2010-06-27	180	A
USGS	14162200	2010-06-28	159	A
USGS	14162200	2010-06-29	149	A
USGS	14162200	2010-06-30	149	A
USGS	14162200	2010-07-01	103	A
USGS	14162200	2010-07-02	86.5	A
USGS	14162200	2010-07-03	86.5	A
USGS	14162200	2010-07-04	86.6	A
USGS	14162200	2010-07-05	86.5	A
USGS	14162200	2010-07-06	103	A
USGS	14162200	2010-07-07	122	A
USGS	14162200	2010-07-08	122	A
USGS	14162200	2010-07-09	122	A
USGS	14162200	2010-07-10	122	A
USGS	14162200	2010-07-11	122	A
USGS	14162200	2010-07-12	90.3	A
USGS	14162200	2010-07-13	61.3	A
USGS	14162200	2010-07-14	58.9	A
USGS	14162200	2010-07-15	58.7	A
USGS	14162200	2010-07-16	58.7	A
USGS	14162200	2010-07-17	58.7	A
USGS	14162200	2010-07-18	58.7	A
USGS	14162200	2010-07-19	58.6	A
USGS	14162200	2010-07-20	58.5	A
USGS	14162200	2010-07-21	58.6	A
USGS	14162200	2010-07-22	58.7	A
USGS	14162200	2010-07-23	58.6	A
USGS	14162200	2010-07-24	58.6	A
USGS	14162200	2010-07-25	58.7	A
USGS	14162200	2010-07-26	58.8	A
USGS	14162200	2010-07-27	58.9	A
USGS	14162200	2010-07-28	58.9	A
USGS	14162200	2010-07-29	58.9	A
USGS	14162200	2010-07-30	58.9	A
USGS	14162200	2010-07-31	58.9	A
USGS	14162200	2010-08-01	58.9	A
USGS	14162200	2010-08-02	58.8	A
