# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:50:36 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14162500 MCKENZIE RIVER NEAR VIDA, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14162500
#            TS   parameter     statistic     Description
#        172063       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	172063_00060_00003	172063_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14162500	2010-01-01	9360	A
USGS	14162500	2010-01-02	8910	A
USGS	14162500	2010-01-03	7630	A
USGS	14162500	2010-01-04	7120	A
USGS	14162500	2010-01-05	8250	A
USGS	14162500	2010-01-06	10700	A
USGS	14162500	2010-01-07	9710	A
USGS	14162500	2010-01-08	8720	A
USGS	14162500	2010-01-09	7980	A
USGS	14162500	2010-01-10	6900	A
USGS	14162500	2010-01-11	6180	A
USGS	14162500	2010-01-12	6100	A
USGS	14162500	2010-01-13	5980	A
USGS	14162500	2010-01-14	5920	A
USGS	14162500	2010-01-15	5830	A
USGS	14162500	2010-01-16	6330	A
USGS	14162500	2010-01-17	6320	A
USGS	14162500	2010-01-18	6460	A
USGS	14162500	2010-01-19	5980	A
USGS	14162500	2010-01-20	5490	A
USGS	14162500	2010-01-21	5060	A
USGS	14162500	2010-01-22	4790	A
USGS	14162500	2010-01-23	4310	A
USGS	14162500	2010-01-24	4250	A
USGS	14162500	2010-01-25	4580	A
USGS	14162500	2010-01-26	4560	A
USGS	14162500	2010-01-27	4380	A
USGS	14162500	2010-01-28	4250	A
USGS	14162500	2010-01-29	4010	A
USGS	14162500	2010-01-30	3800	A
USGS	14162500	2010-01-31	3670	A
USGS	14162500	2010-02-01	3720	A
USGS	14162500	2010-02-02	3790	A
USGS	14162500	2010-02-03	3540	A
USGS	14162500	2010-02-04	3370	A
USGS	14162500	2010-02-05	3280	A
USGS	14162500	2010-02-06	3250	A
USGS	14162500	2010-02-07	3190	A
USGS	14162500	2010-02-08	3150	A
USGS	14162500	2010-02-09	3080	A
USGS	14162500	2010-02-10	3000	A
USGS	14162500	2010-02-11	3140	A
USGS	14162500	2010-02-12	3370	A
USGS	14162500	2010-02-13	3370	A
USGS	14162500	2010-02-14	3360	A
USGS	14162500	2010-02-15	3390	A
USGS	14162500	2010-02-16	3390	A
USGS	14162500	2010-02-17	3300	A
USGS	14162500	2010-02-18	3180	A
USGS	14162500	2010-02-19	3110	A
USGS	14162500	2010-02-20	3040	A
USGS	14162500	2010-02-21	2970	A
USGS	14162500	2010-02-22	2920	A
USGS	14162500	2010-02-23	2860	A
USGS	14162500	2010-02-24	3140	A
USGS	14162500	2010-02-25	3560	A
USGS	14162500	2010-02-26	3410	A
USGS	14162500	2010-02-27	3260	A
USGS	14162500	2010-02-28	3080	A
USGS	14162500	2010-03-01	3000	A
USGS	14162500	2010-03-02	2970	A
USGS	14162500	2010-03-03	2970	A
USGS	14162500	2010-03-04	2930	A
USGS	14162500	2010-03-05	2870	A
USGS	14162500	2010-03-06	2800	A
USGS	14162500	2010-03-07	2750	A
USGS	14162500	2010-03-08	2730	A
USGS	14162500	2010-03-09	2670	A
USGS	14162500	2010-03-10	2670	A
USGS	14162500	2010-03-11	2770	A
USGS	14162500	2010-03-12	3130	A
USGS	14162500	2010-03-13	3190	A
USGS	14162500	2010-03-14	3000	A
USGS	14162500	2010-03-15	2920	A
USGS	14162500	2010-03-16	2900	A
USGS	14162500	2010-03-17	2860	A
USGS	14162500	2010-03-18	2790	A
USGS	14162500	2010-03-19	2740	A
USGS	14162500	2010-03-20	2640	A
USGS	14162500	2010-03-21	2680	A
USGS	14162500	2010-03-22	2970	A
USGS	14162500	2010-03-23	2940	A
USGS	14162500	2010-03-24	2870	A
USGS	14162500	2010-03-25	2990	A
USGS	14162500	2010-03-26	3630	A
USGS	14162500	2010-03-27	3530	A
USGS	14162500	2010-03-28	3440	A
USGS	14162500	2010-03-29	6470	A
USGS	14162500	2010-03-30	7450	A
USGS	14162500	2010-03-31	5840	A
USGS	14162500	2010-04-01	5240	A
USGS	14162500	2010-04-02	5350	A
USGS	14162500	2010-04-03	5430	A
USGS	14162500	2010-04-04	5020	A
USGS	14162500	2010-04-05	4650	A
USGS	14162500	2010-04-06	4470	A
USGS	14162500	2010-04-07	4380	A
USGS	14162500	2010-04-08	4470	A
USGS	14162500	2010-04-09	4230	A
USGS	14162500	2010-04-10	4020	A
USGS	14162500	2010-04-11	4010	A
USGS	14162500	2010-04-12	3990	A
USGS	14162500	2010-04-13	3990	A
USGS	14162500	2010-04-14	4010	A
USGS	14162500	2010-04-15	4230	A
USGS	14162500	2010-04-16	4160	A
USGS	14162500	2010-04-17	4060	A
USGS	14162500	2010-04-18	4030	A
USGS	14162500	2010-04-19	4070	A
USGS	14162500	2010-04-20	4130	A
USGS	14162500	2010-04-21	4320	A
USGS	14162500	2010-04-22	4080	A
USGS	14162500	2010-04-23	3870	A
USGS	14162500	2010-04-24	3780	A
USGS	14162500	2010-04-25	3670	A
USGS	14162500	2010-04-26	3600	A
USGS	14162500	2010-04-27	4320	A
USGS	14162500	2010-04-28	5010	A
USGS	14162500	2010-04-29	5200	A
USGS	14162500	2010-04-30	5230	A
USGS	14162500	2010-05-01	5030	A
USGS	14162500	2010-05-02	4910	A
USGS	14162500	2010-05-03	5080	A
USGS	14162500	2010-05-04	5310	A
USGS	14162500	2010-05-05	4820	A
USGS	14162500	2010-05-06	4400	A
USGS	14162500	2010-05-07	4210	A
USGS	14162500	2010-05-08	4100	A
USGS	14162500	2010-05-09	3970	A
USGS	14162500	2010-05-10	4130	A
USGS	14162500	2010-05-11	4250	A
USGS	14162500	2010-05-12	4120	A
USGS	14162500	2010-05-13	4030	A
USGS	14162500	2010-05-14	3990	A
USGS	14162500	2010-05-15	3970	A
USGS	14162500	2010-05-16	3970	A
USGS	14162500	2010-05-17	3950	A
USGS	14162500	2010-05-18	4000	A
USGS	14162500	2010-05-19	4070	A
USGS	14162500	2010-05-20	4520	A
USGS	14162500	2010-05-21	4570	A
USGS	14162500	2010-05-22	4430	A
USGS	14162500	2010-05-23	4290	A
USGS	14162500	2010-05-24	4190	A
USGS	14162500	2010-05-25	4030	A
USGS	14162500	2010-05-26	4060	A
USGS	14162500	2010-05-27	4140	A
USGS	14162500	2010-05-28	4070	A
USGS	14162500	2010-05-29	3870	A
USGS	14162500	2010-05-30	3710	A
USGS	14162500	2010-05-31	3780	A
USGS	14162500	2010-06-01	4660	A
USGS	14162500	2010-06-02	9650	A
USGS	14162500	2010-06-03	12500	A
USGS	14162500	2010-06-04	13500	A
USGS	14162500	2010-06-05	12500	A
USGS	14162500	2010-06-06	11200	A
USGS	14162500	2010-06-07	9190	A
USGS	14162500	2010-06-08	7560	A
USGS	14162500	2010-06-09	7220	A
USGS	14162500	2010-06-10	7780	A
USGS	14162500	2010-06-11	7610	A
USGS	14162500	2010-06-12	6570	A
USGS	14162500	2010-06-13	5710	A
USGS	14162500	2010-06-14	5220	A
USGS	14162500	2010-06-15	5040	A
USGS	14162500	2010-06-16	4830	A
USGS	14162500	2010-06-17	4750	A
USGS	14162500	2010-06-18	4510	A
USGS	14162500	2010-06-19	4270	A
USGS	14162500	2010-06-20	4100	A
USGS	14162500	2010-06-21	3900	A
USGS	14162500	2010-06-22	3650	A
USGS	14162500	2010-06-23	3570	A
USGS	14162500	2010-06-24	3440	A
USGS	14162500	2010-06-25	3370	A
USGS	14162500	2010-06-26	3290	A
USGS	14162500	2010-06-27	3240	A
USGS	14162500	2010-06-28	3220	A
USGS	14162500	2010-06-29	3150	A
USGS	14162500	2010-06-30	3090	A
USGS	14162500	2010-07-01	3000	A
USGS	14162500	2010-07-02	2950	A
USGS	14162500	2010-07-03	2890	A
USGS	14162500	2010-07-04	2840	A
USGS	14162500	2010-07-05	2810	A
USGS	14162500	2010-07-06	2800	A
USGS	14162500	2010-07-07	2800	A
USGS	14162500	2010-07-08	2780	A
USGS	14162500	2010-07-09	2750	A
USGS	14162500	2010-07-10	2740	A
USGS	14162500	2010-07-11	2730	A
USGS	14162500	2010-07-12	2690	A
USGS	14162500	2010-07-13	2630	A
USGS	14162500	2010-07-14	2600	A
USGS	14162500	2010-07-15	2580	A
USGS	14162500	2010-07-16	2600	A
USGS	14162500	2010-07-17	2590	A
USGS	14162500	2010-07-18	2620	A
USGS	14162500	2010-07-19	2640	A
USGS	14162500	2010-07-20	2680	A
USGS	14162500	2010-07-21	2660	A
USGS	14162500	2010-07-22	2630	A
USGS	14162500	2010-07-23	2580	A
USGS	14162500	2010-07-24	2560	A
USGS	14162500	2010-07-25	2720	A
USGS	14162500	2010-07-26	2780	A
USGS	14162500	2010-07-27	2830	A
USGS	14162500	2010-07-28	2840	A
USGS	14162500	2010-07-29	2880	A
USGS	14162500	2010-07-30	2850	A
USGS	14162500	2010-07-31	2770	A
USGS	14162500	2010-08-01	2750	A
USGS	14162500	2010-08-02	2740	A
USGS	14162500	2010-08-03	2760	A
USGS	14162500	2010-08-04	2720	A
USGS	14162500	2010-08-05	2750	A
USGS	14162500	2010-08-06	2720	A
USGS	14162500	2010-08-07	2690	A
USGS	14162500	2010-08-08	2710	A
USGS	14162500	2010-08-09	2710	A
USGS	14162500	2010-08-10	2730	A
USGS	14162500	2010-08-11	2700	A
USGS	14162500	2010-08-12	2720	A
USGS	14162500	2010-08-13	2700	A
USGS	14162500	2010-08-14	2490	A
USGS	14162500	2010-08-15	2280	A
USGS	14162500	2010-08-16	2190	A
USGS	14162500	2010-08-17	2320	A
USGS	14162500	2010-08-18	2820	A
USGS	14162500	2010-08-19	2810	A
USGS	14162500	2010-08-20	2870	A
USGS	14162500	2010-08-21	2840	A
USGS	14162500	2010-08-22	2810	A
USGS	14162500	2010-08-23	2710	A
USGS	14162500	2010-08-24	2540	A
USGS	14162500	2010-08-25	2510	A
USGS	14162500	2010-08-26	2490	A
USGS	14162500	2010-08-27	2510	A
USGS	14162500	2010-08-28	2470	A
USGS	14162500	2010-08-29	2390	A
USGS	14162500	2010-08-30	2460	A
USGS	14162500	2010-08-31	2430	A
USGS	14162500	2010-09-01	2450	A
USGS	14162500	2010-09-02	2400	A
USGS	14162500	2010-09-03	2470	A
USGS	14162500	2010-09-04	2420	A
USGS	14162500	2010-09-05	2340	A
USGS	14162500	2010-09-06	2390	A
USGS	14162500	2010-09-07	2410	A
USGS	14162500	2010-09-08	2440	A
USGS	14162500	2010-09-09	2460	A
USGS	14162500	2010-09-10	2420	A
USGS	14162500	2010-09-11	2370	A
USGS	14162500	2010-09-12	2350	A
USGS	14162500	2010-09-13	2340	A
USGS	14162500	2010-09-14	2400	A:e
USGS	14162500	2010-09-15	2400	A:e
USGS	14162500	2010-09-16	2420	A
USGS	14162500	2010-09-17	2420	A
USGS	14162500	2010-09-18	2530	A
USGS	14162500	2010-09-19	2870	A
USGS	14162500	2010-09-20	3180	A
USGS	14162500	2010-09-21	2890	A
USGS	14162500	2010-09-22	2790	A
USGS	14162500	2010-09-23	2660	A
USGS	14162500	2010-09-24	2660	A
USGS	14162500	2010-09-25	2620	A
USGS	14162500	2010-09-26	2600	A:e
USGS	14162500	2010-09-27	2600	A:e
USGS	14162500	2010-09-28	2600	A:e
USGS	14162500	2010-09-29	2600	A:e
USGS	14162500	2010-09-30	2600	A:e
USGS	14162500	2010-10-01	2510	A
USGS	14162500	2010-10-02	2490	A
USGS	14162500	2010-10-03	2470	A
USGS	14162500	2010-10-04	2450	A
USGS	14162500	2010-10-05	2450	A
USGS	14162500	2010-10-06	2440	A
USGS	14162500	2010-10-07	2440	A
USGS	14162500	2010-10-08	2440	A
USGS	14162500	2010-10-09	2540	A
USGS	14162500	2010-10-10	2570	A
USGS	14162500	2010-10-11	2600	A:e
USGS	14162500	2010-10-12	2810	A
USGS	14162500	2010-10-13	3040	A
USGS	14162500	2010-10-14	3090	A
USGS	14162500	2010-10-15	3090	A
USGS	14162500	2010-10-16	3080	A
USGS	14162500	2010-10-17	3090	A
USGS	14162500	2010-10-18	3120	A
USGS	14162500	2010-10-19	3090	A
USGS	14162500	2010-10-20	3050	A
USGS	14162500	2010-10-21	3040	A
USGS	14162500	2010-10-22	3110	A
USGS	14162500	2010-10-23	3930	A
USGS	14162500	2010-10-24	4800	A
USGS	14162500	2010-10-25	5030	A
USGS	14162500	2010-10-26	5430	A
USGS	14162500	2010-10-27	5410	A
USGS	14162500	2010-10-28	5260	A
USGS	14162500	2010-10-29	5120	A
USGS	14162500	2010-10-30	5090	A
USGS	14162500	2010-10-31	5150	A
USGS	14162500	2010-11-01	4940	A
USGS	14162500	2010-11-02	4800	A
USGS	14162500	2010-11-03	4480	A
USGS	14162500	2010-11-04	4220	A
USGS	14162500	2010-11-05	4150	A
USGS	14162500	2010-11-06	3950	A
USGS	14162500	2010-11-07	4260	A
USGS	14162500	2010-11-08	4490	A
USGS	14162500	2010-11-09	4000	A
USGS	14162500	2010-11-10	5450	A
USGS	14162500	2010-11-11	5070	A
USGS	14162500	2010-11-12	4780	A
USGS	14162500	2010-11-13	4610	A
USGS	14162500	2010-11-14	4500	A
USGS	14162500	2010-11-15	4760	A
USGS	14162500	2010-11-16	5150	A
USGS	14162500	2010-11-17	4980	A
USGS	14162500	2010-11-18	6570	A
USGS	14162500	2010-11-19	6150	A
USGS	14162500	2010-11-20	5300	A
USGS	14162500	2010-11-21	4780	A
USGS	14162500	2010-11-22	4720	A
USGS	14162500	2010-11-23	4880	A
USGS	14162500	2010-11-24	4530	A
USGS	14162500	2010-11-25	4110	A
USGS	14162500	2010-11-26	3840	A
USGS	14162500	2010-11-27	4200	A
USGS	14162500	2010-11-28	4200	A
USGS	14162500	2010-11-29	3760	A
USGS	14162500	2010-11-30	4860	A
USGS	14162500	2010-12-01	9050	A
USGS	14162500	2010-12-02	8810	A
USGS	14162500	2010-12-03	7490	A
USGS	14162500	2010-12-04	6300	A
USGS	14162500	2010-12-05	5540	A
USGS	14162500	2010-12-06	5460	A
USGS	14162500	2010-12-07	5500	A
USGS	14162500	2010-12-08	5670	A
USGS	14162500	2010-12-09	6520	A
USGS	14162500	2010-12-10	8710	A
USGS	14162500	2010-12-11	8650	A
USGS	14162500	2010-12-12	10700	A
USGS	14162500	2010-12-13	12700	A
USGS	14162500	2010-12-14	12600	A
USGS	14162500	2010-12-15	10400	A
USGS	14162500	2010-12-16	10400	A
USGS	14162500	2010-12-17	11000	A
USGS	14162500	2010-12-18	10600	A
USGS	14162500	2010-12-19	10300	A
USGS	14162500	2010-12-20	9800	A
USGS	14162500	2010-12-21	9540	A
USGS	14162500	2010-12-22	8380	A
USGS	14162500	2010-12-23	7200	A
USGS	14162500	2010-12-24	5540	A
USGS	14162500	2010-12-25	5460	A
USGS	14162500	2010-12-26	5410	A
