# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:50:38 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14164700 CEDAR CREEK AT SPRINGFIELD, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14164700
#            TS   parameter     statistic     Description
#        113832       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	113832_00060_00003	113832_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14164700	2010-01-01	148	A
USGS	14164700	2010-01-02	106	A
USGS	14164700	2010-01-03	79.6	A
USGS	14164700	2010-01-04	62.9	A
USGS	14164700	2010-01-05	56.0	A
USGS	14164700	2010-01-06	99.1	A
USGS	14164700	2010-01-07	95.3	A
USGS	14164700	2010-01-08	80.1	A
USGS	14164700	2010-01-09	68.4	A
USGS	14164700	2010-01-10	57.4	A
USGS	14164700	2010-01-11	49.2	A
USGS	14164700	2010-01-12	48.9	A
USGS	14164700	2010-01-13	44.1	A
USGS	14164700	2010-01-14	38.7	A
USGS	14164700	2010-01-15	37.7	A
USGS	14164700	2010-01-16	50.2	A
USGS	14164700	2010-01-17	60.2	A
USGS	14164700	2010-01-18	61.6	A
USGS	14164700	2010-01-19	54.4	A
USGS	14164700	2010-01-20	46.0	A
USGS	14164700	2010-01-21	39.1	A
USGS	14164700	2010-01-22	35.7	A
USGS	14164700	2010-01-23	31.5	A
USGS	14164700	2010-01-24	31.6	A
USGS	14164700	2010-01-25	37.1	A
USGS	14164700	2010-01-26	36.2	A
USGS	14164700	2010-01-27	32.5	A
USGS	14164700	2010-01-28	29.8	A
USGS	14164700	2010-01-29	27.4	A
USGS	14164700	2010-01-30	28.0	A
USGS	14164700	2010-01-31	30.5	A
USGS	14164700	2010-02-01	34.0	A
USGS	14164700	2010-02-02	39.9	A
USGS	14164700	2010-02-03	38.2	A
USGS	14164700	2010-02-04	35.3	A
USGS	14164700	2010-02-05	32.1	A
USGS	14164700	2010-02-06	29.0	A
USGS	14164700	2010-02-07	26.6	A
USGS	14164700	2010-02-08	23.8	A
USGS	14164700	2010-02-09	22.0	A
USGS	14164700	2010-02-10	20.3	A
USGS	14164700	2010-02-11	20.3	A
USGS	14164700	2010-02-12	25.8	A
USGS	14164700	2010-02-13	22.7	A
USGS	14164700	2010-02-14	24.2	A
USGS	14164700	2010-02-15	23.9	A
USGS	14164700	2010-02-16	28.5	A
USGS	14164700	2010-02-17	27.7	A
USGS	14164700	2010-02-18	25.8	A
USGS	14164700	2010-02-19	23.5	A
USGS	14164700	2010-02-20	21.6	A
USGS	14164700	2010-02-21	19.2	A
USGS	14164700	2010-02-22	17.2	A
USGS	14164700	2010-02-23	17.7	A
USGS	14164700	2010-02-24	21.5	A
USGS	14164700	2010-02-25	23.0	A
USGS	14164700	2010-02-26	26.7	A
USGS	14164700	2010-02-27	27.5	A
USGS	14164700	2010-02-28	24.6	A
USGS	14164700	2010-03-01	21.9	A
USGS	14164700	2010-03-02	20.4	A
USGS	14164700	2010-03-03	21.8	A
USGS	14164700	2010-03-04	21.7	A
USGS	14164700	2010-03-05	20.4	A
USGS	14164700	2010-03-06	19.3	A
USGS	14164700	2010-03-07	18.3	A
USGS	14164700	2010-03-08	20.0	A
USGS	14164700	2010-03-09	18.0	A
USGS	14164700	2010-03-10	18.4	A
USGS	14164700	2010-03-11	18.1	A
USGS	14164700	2010-03-12	36.1	A
USGS	14164700	2010-03-13	54.0	A
USGS	14164700	2010-03-14	43.0	A
USGS	14164700	2010-03-15	35.9	A
USGS	14164700	2010-03-16	30.8	A
USGS	14164700	2010-03-17	26.5	A
USGS	14164700	2010-03-18	23.4	A
USGS	14164700	2010-03-19	21.0	A
USGS	14164700	2010-03-20	19.6	A
USGS	14164700	2010-03-21	19.3	A
USGS	14164700	2010-03-22	19.2	A
USGS	14164700	2010-03-23	17.6	A
USGS	14164700	2010-03-24	16.6	A
USGS	14164700	2010-03-25	19.9	A
USGS	14164700	2010-03-26	36.6	A
USGS	14164700	2010-03-27	43.0	A
USGS	14164700	2010-03-28	37.2	A
USGS	14164700	2010-03-29	79.6	A
USGS	14164700	2010-03-30	163	A
USGS	14164700	2010-03-31	138	A
USGS	14164700	2010-04-01	95.4	A
USGS	14164700	2010-04-02	91.0	A
USGS	14164700	2010-04-03	92.7	A
USGS	14164700	2010-04-04	78.8	A
USGS	14164700	2010-04-05	67.8	A
USGS	14164700	2010-04-06	62.4	A
USGS	14164700	2010-04-07	59.1	A
USGS	14164700	2010-04-08	57.1	A
USGS	14164700	2010-04-09	50.4	A
USGS	14164700	2010-04-10	45.4	A
USGS	14164700	2010-04-11	50.9	A
USGS	14164700	2010-04-12	48.5	A
USGS	14164700	2010-04-13	46.7	A
USGS	14164700	2010-04-14	44.8	A
USGS	14164700	2010-04-15	50.7	A
USGS	14164700	2010-04-16	45.4	A
USGS	14164700	2010-04-17	40.3	A
USGS	14164700	2010-04-18	36.0	A
USGS	14164700	2010-04-19	32.8	A
USGS	14164700	2010-04-20	35.2	A
USGS	14164700	2010-04-21	38.4	A
USGS	14164700	2010-04-22	33.6	A
USGS	14164700	2010-04-23	29.9	A
USGS	14164700	2010-04-24	27.2	A
USGS	14164700	2010-04-25	24.7	A
USGS	14164700	2010-04-26	23.2	A
USGS	14164700	2010-04-27	81.9	A
USGS	14164700	2010-04-28	95.9	A
USGS	14164700	2010-04-29	80.2	A
USGS	14164700	2010-04-30	70.3	A
USGS	14164700	2010-05-01	59.5	A
USGS	14164700	2010-05-02	49.9	A
USGS	14164700	2010-05-03	46.6	A
USGS	14164700	2010-05-04	43.8	A
USGS	14164700	2010-05-05	38.7	A
USGS	14164700	2010-05-06	34.0	A
USGS	14164700	2010-05-07	30.4	A
USGS	14164700	2010-05-08	27.6	A
USGS	14164700	2010-05-09	24.7	A
USGS	14164700	2010-05-10	24.7	A
USGS	14164700	2010-05-11	26.3	A
USGS	14164700	2010-05-12	23.1	A
USGS	14164700	2010-05-13	21.2	A
USGS	14164700	2010-05-14	19.8	A
USGS	14164700	2010-05-15	18.7	A
USGS	14164700	2010-05-16	17.6	A
USGS	14164700	2010-05-17	20.0	A
USGS	14164700	2010-05-18	25.6	A
USGS	14164700	2010-05-19	28.0	A
USGS	14164700	2010-05-20	34.0	A
USGS	14164700	2010-05-21	41.6	A
USGS	14164700	2010-05-22	56.1	A
USGS	14164700	2010-05-23	54.4	A
USGS	14164700	2010-05-24	43.9	A
USGS	14164700	2010-05-25	39.0	A
USGS	14164700	2010-05-26	48.0	A
USGS	14164700	2010-05-27	54.7	A
USGS	14164700	2010-05-28	54.4	A
USGS	14164700	2010-05-29	45.7	A
USGS	14164700	2010-05-30	39.8	A
USGS	14164700	2010-05-31	49.1	A
USGS	14164700	2010-06-01	43.9	A
USGS	14164700	2010-06-02	86.9	A
USGS	14164700	2010-06-03	133	A
USGS	14164700	2010-06-04	224	A
USGS	14164700	2010-06-05	183	A
USGS	14164700	2010-06-06	138	A
USGS	14164700	2010-06-07	111	A
USGS	14164700	2010-06-08	90.3	A
USGS	14164700	2010-06-09	87.0	A
USGS	14164700	2010-06-10	92.1	A
USGS	14164700	2010-06-11	93.7	A
USGS	14164700	2010-06-12	78.4	A
USGS	14164700	2010-06-13	65.5	A
USGS	14164700	2010-06-14	54.4	A
