# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:50:39 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14164900 McKENZIE RIVER ABV HAYDEN BR, AT SPRINGFIELD,OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14164900
#            TS   parameter     statistic     Description
#        113836       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	113836_00060_00003	113836_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14164900	2010-01-01	14100	A
USGS	14164900	2010-01-02	13200	A
USGS	14164900	2010-01-03	10100	A
USGS	14164900	2010-01-04	8700	A
USGS	14164900	2010-01-05	9380	A
USGS	14164900	2010-01-06	13900	A
USGS	14164900	2010-01-07	13400	A
USGS	14164900	2010-01-08	11400	A
USGS	14164900	2010-01-09	10200	A
USGS	14164900	2010-01-10	8600	A
USGS	14164900	2010-01-11	7310	A
USGS	14164900	2010-01-12	7030	A
USGS	14164900	2010-01-13	6820	A
USGS	14164900	2010-01-14	6770	A
USGS	14164900	2010-01-15	6540	A
USGS	14164900	2010-01-16	7520	A
USGS	14164900	2010-01-17	7670	A
USGS	14164900	2010-01-18	8120	A
USGS	14164900	2010-01-19	7260	A
USGS	14164900	2010-01-20	6570	A
USGS	14164900	2010-01-21	5890	A
USGS	14164900	2010-01-22	5490	A
USGS	14164900	2010-01-23	5040	A
USGS	14164900	2010-01-24	4670	A
USGS	14164900	2010-01-25	5330	A
USGS	14164900	2010-01-26	5320	A
USGS	14164900	2010-01-27	5080	A
USGS	14164900	2010-01-28	4880	A
USGS	14164900	2010-01-29	4640	A
USGS	14164900	2010-01-30	4350	A
USGS	14164900	2010-01-31	4260	A
USGS	14164900	2010-02-01	4200	A
USGS	14164900	2010-02-02	4500	A
USGS	14164900	2010-02-03	4260	A
USGS	14164900	2010-02-04	4030	A
