# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:50:40 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14165000 MOHAWK RIVER NEAR SPRINGFIELD, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14165000
#            TS   parameter     statistic     Description
#        113837       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	113837_00060_00003	113837_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14165000	2010-01-01	3220	A
USGS	14165000	2010-01-02	2290	A
USGS	14165000	2010-01-03	1550	A
USGS	14165000	2010-01-04	1210	A
USGS	14165000	2010-01-05	1110	A
USGS	14165000	2010-01-06	1990	A
USGS	14165000	2010-01-07	1760	A
USGS	14165000	2010-01-08	1400	A
USGS	14165000	2010-01-09	1200	A
USGS	14165000	2010-01-10	997	A
USGS	14165000	2010-01-11	864	A
USGS	14165000	2010-01-12	856	A
USGS	14165000	2010-01-13	887	A
USGS	14165000	2010-01-14	1080	A
USGS	14165000	2010-01-15	952	A
USGS	14165000	2010-01-16	1380	A
USGS	14165000	2010-01-17	1630	A
USGS	14165000	2010-01-18	1570	A
USGS	14165000	2010-01-19	1290	A
USGS	14165000	2010-01-20	1080	A
USGS	14165000	2010-01-21	928	A
USGS	14165000	2010-01-22	821	A
USGS	14165000	2010-01-23	729	A
USGS	14165000	2010-01-24	688	A
USGS	14165000	2010-01-25	828	A
USGS	14165000	2010-01-26	779	A
USGS	14165000	2010-01-27	693	A
USGS	14165000	2010-01-28	633	A
USGS	14165000	2010-01-29	582	A
USGS	14165000	2010-01-30	568	A
USGS	14165000	2010-01-31	608	A
USGS	14165000	2010-02-01	607	A
USGS	14165000	2010-02-02	687	A
USGS	14165000	2010-02-03	677	A
USGS	14165000	2010-02-04	714	A
USGS	14165000	2010-02-05	681	A
USGS	14165000	2010-02-06	627	A
USGS	14165000	2010-02-07	598	A
USGS	14165000	2010-02-08	551	A
USGS	14165000	2010-02-09	515	A
USGS	14165000	2010-02-10	484	A
USGS	14165000	2010-02-11	530	A:e
USGS	14165000	2010-02-12	691	A
USGS	14165000	2010-02-13	661	A
USGS	14165000	2010-02-14	663	A
USGS	14165000	2010-02-15	652	A
USGS	14165000	2010-02-16	734	A
USGS	14165000	2010-02-17	704	A
USGS	14165000	2010-02-18	655	A
USGS	14165000	2010-02-19	596	A
USGS	14165000	2010-02-20	541	A
USGS	14165000	2010-02-21	493	A
USGS	14165000	2010-02-22	450	A
USGS	14165000	2010-02-23	435	A
USGS	14165000	2010-02-24	543	A
USGS	14165000	2010-02-25	533	A
USGS	14165000	2010-02-26	575	A
USGS	14165000	2010-02-27	610	A
USGS	14165000	2010-02-28	544	A
USGS	14165000	2010-03-01	497	A
USGS	14165000	2010-03-02	467	A
USGS	14165000	2010-03-03	456	A
USGS	14165000	2010-03-04	453	A
USGS	14165000	2010-03-05	416	A
USGS	14165000	2010-03-06	388	A
USGS	14165000	2010-03-07	368	A
USGS	14165000	2010-03-08	393	A
USGS	14165000	2010-03-09	359	A
USGS	14165000	2010-03-10	362	A
USGS	14165000	2010-03-11	421	A
USGS	14165000	2010-03-12	922	A
USGS	14165000	2010-03-13	1140	A
