# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:50:42 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14166000 WILLAMETTE RIVER AT HARRISBURG, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14166000
#            TS   parameter     statistic     Description
#        113842       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	113842_00060_00003	113842_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14166000	2010-01-01	25800	A
USGS	14166000	2010-01-02	30500	A
USGS	14166000	2010-01-03	24500	A
USGS	14166000	2010-01-04	21700	A
USGS	14166000	2010-01-05	23100	A
USGS	14166000	2010-01-06	30500	A
USGS	14166000	2010-01-07	35100	A
USGS	14166000	2010-01-08	31600	A
USGS	14166000	2010-01-09	30900	A
USGS	14166000	2010-01-10	27100	A
USGS	14166000	2010-01-11	23700	A
USGS	14166000	2010-01-12	21900	A
USGS	14166000	2010-01-13	20000	A
USGS	14166000	2010-01-14	18700	A
USGS	14166000	2010-01-15	15400	A
USGS	14166000	2010-01-16	15300	A
USGS	14166000	2010-01-17	15800	A
USGS	14166000	2010-01-18	16500	A
USGS	14166000	2010-01-19	14900	A
USGS	14166000	2010-01-20	13600	A
USGS	14166000	2010-01-21	13100	A
USGS	14166000	2010-01-22	12200	A
USGS	14166000	2010-01-23	11300	A
USGS	14166000	2010-01-24	10000	A
USGS	14166000	2010-01-25	11300	A
USGS	14166000	2010-01-26	11500	A
USGS	14166000	2010-01-27	11000	A
USGS	14166000	2010-01-28	10400	A
USGS	14166000	2010-01-29	9540	A
USGS	14166000	2010-01-30	8960	A
USGS	14166000	2010-01-31	8520	A
USGS	14166000	2010-02-01	8350	A
USGS	14166000	2010-02-02	9050	A
USGS	14166000	2010-02-03	9020	A
USGS	14166000	2010-02-04	8840	A
USGS	14166000	2010-02-05	8550	A
USGS	14166000	2010-02-06	7870	A
USGS	14166000	2010-02-07	7720	A
USGS	14166000	2010-02-08	7320	A
USGS	14166000	2010-02-09	6860	A
USGS	14166000	2010-02-10	6620	A
USGS	14166000	2010-02-11	6630	A
USGS	14166000	2010-02-12	7210	A
USGS	14166000	2010-02-13	7610	A
USGS	14166000	2010-02-14	7430	A
USGS	14166000	2010-02-15	7570	A
USGS	14166000	2010-02-16	7870	A
USGS	14166000	2010-02-17	7740	A
USGS	14166000	2010-02-18	7410	A
USGS	14166000	2010-02-19	7120	A
USGS	14166000	2010-02-20	6830	A
USGS	14166000	2010-02-21	6550	A
USGS	14166000	2010-02-22	6340	A
USGS	14166000	2010-02-23	6170	A
USGS	14166000	2010-02-24	6620	A
USGS	14166000	2010-02-25	7350	A
USGS	14166000	2010-02-26	7670	A
USGS	14166000	2010-02-27	7760	A
USGS	14166000	2010-02-28	7150	A
USGS	14166000	2010-03-01	6800	A
USGS	14166000	2010-03-02	6540	A
USGS	14166000	2010-03-03	6350	A
USGS	14166000	2010-03-04	6350	A
USGS	14166000	2010-03-05	6170	A
USGS	14166000	2010-03-06	5950	A
USGS	14166000	2010-03-07	5750	A
USGS	14166000	2010-03-08	5790	A
USGS	14166000	2010-03-09	5730	A
USGS	14166000	2010-03-10	5670	A
USGS	14166000	2010-03-11	5680	A
USGS	14166000	2010-03-12	7040	A
USGS	14166000	2010-03-13	9790	A
USGS	14166000	2010-03-14	8660	A
USGS	14166000	2010-03-15	7840	A
USGS	14166000	2010-03-16	7300	A
USGS	14166000	2010-03-17	6920	A
USGS	14166000	2010-03-18	6560	A
USGS	14166000	2010-03-19	6290	A
USGS	14166000	2010-03-20	6070	A
USGS	14166000	2010-03-21	5890	A
USGS	14166000	2010-03-22	6140	A
USGS	14166000	2010-03-23	6190	A
USGS	14166000	2010-03-24	6040	A
USGS	14166000	2010-03-25	6160	A
USGS	14166000	2010-03-26	7580	A
USGS	14166000	2010-03-27	10500	A
USGS	14166000	2010-03-28	9890	A
USGS	14166000	2010-03-29	13300	A
USGS	14166000	2010-03-30	27000	A
USGS	14166000	2010-03-31	25200	A
USGS	14166000	2010-04-01	21200	A
USGS	14166000	2010-04-02	19300	A
USGS	14166000	2010-04-03	22700	A
USGS	14166000	2010-04-04	20100	A
USGS	14166000	2010-04-05	17600	A
USGS	14166000	2010-04-06	15200	A
USGS	14166000	2010-04-07	13400	A
USGS	14166000	2010-04-08	12400	A
USGS	14166000	2010-04-09	11800	A
USGS	14166000	2010-04-10	10600	A
USGS	14166000	2010-04-11	10900	A
USGS	14166000	2010-04-12	10800	A
USGS	14166000	2010-04-13	10400	A
USGS	14166000	2010-04-14	10000	A
USGS	14166000	2010-04-15	10400	A
USGS	14166000	2010-04-16	9710	A
USGS	14166000	2010-04-17	8940	A
USGS	14166000	2010-04-18	8420	A
USGS	14166000	2010-04-19	8110	A
USGS	14166000	2010-04-20	8980	A
USGS	14166000	2010-04-21	10100	A
USGS	14166000	2010-04-22	10000	A
USGS	14166000	2010-04-23	9170	A
USGS	14166000	2010-04-24	8370	A
USGS	14166000	2010-04-25	7970	A
