# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:50:43 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14166500 LONG TOM RIVER NEAR NOTI, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14166500
#            TS   parameter     statistic     Description
#        113843       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	113843_00060_00003	113843_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14166500	2010-01-01	1130	A
USGS	14166500	2010-01-02	928	A
USGS	14166500	2010-01-03	632	A
USGS	14166500	2010-01-04	462	A
USGS	14166500	2010-01-05	373	A
USGS	14166500	2010-01-06	401	A
USGS	14166500	2010-01-07	387	A
USGS	14166500	2010-01-08	352	A
USGS	14166500	2010-01-09	330	A
USGS	14166500	2010-01-10	285	A
USGS	14166500	2010-01-11	258	A
USGS	14166500	2010-01-12	359	A
USGS	14166500	2010-01-13	557	A
USGS	14166500	2010-01-14	844	A
USGS	14166500	2010-01-15	640	A
USGS	14166500	2010-01-16	783	A
USGS	14166500	2010-01-17	766	A
USGS	14166500	2010-01-18	720	A
USGS	14166500	2010-01-19	635	A
USGS	14166500	2010-01-20	520	A
USGS	14166500	2010-01-21	440	A
USGS	14166500	2010-01-22	377	A
USGS	14166500	2010-01-23	320	A
USGS	14166500	2010-01-24	281	A
USGS	14166500	2010-01-25	315	A
USGS	14166500	2010-01-26	290	A
USGS	14166500	2010-01-27	258	A
USGS	14166500	2010-01-28	235	A
USGS	14166500	2010-01-29	218	A
USGS	14166500	2010-01-30	211	A
USGS	14166500	2010-01-31	224	A
USGS	14166500	2010-02-01	216	A
USGS	14166500	2010-02-02	253	A
USGS	14166500	2010-02-03	315	A
USGS	14166500	2010-02-04	379	A
USGS	14166500	2010-02-05	385	A
USGS	14166500	2010-02-06	344	A
USGS	14166500	2010-02-07	318	A
USGS	14166500	2010-02-08	283	A
USGS	14166500	2010-02-09	258	A
USGS	14166500	2010-02-10	239	A
USGS	14166500	2010-02-11	256	A
USGS	14166500	2010-02-12	416	A
USGS	14166500	2010-02-13	474	A
USGS	14166500	2010-02-14	433	A
USGS	14166500	2010-02-15	384	A
USGS	14166500	2010-02-16	364	A
USGS	14166500	2010-02-17	329	A
USGS	14166500	2010-02-18	304	A
USGS	14166500	2010-02-19	278	A
USGS	14166500	2010-02-20	253	A
USGS	14166500	2010-02-21	229	A
USGS	14166500	2010-02-22	210	A
USGS	14166500	2010-02-23	208	A
USGS	14166500	2010-02-24	312	A
USGS	14166500	2010-02-25	362	A
USGS	14166500	2010-02-26	426	A
USGS	14166500	2010-02-27	537	A
USGS	14166500	2010-02-28	445	A
USGS	14166500	2010-03-01	368	A
USGS	14166500	2010-03-02	322	A
USGS	14166500	2010-03-03	303	A
USGS	14166500	2010-03-04	272	A
USGS	14166500	2010-03-05	241	A
USGS	14166500	2010-03-06	221	A
USGS	14166500	2010-03-07	208	A
USGS	14166500	2010-03-08	198	A
USGS	14166500	2010-03-09	185	A
USGS	14166500	2010-03-10	195	A
USGS	14166500	2010-03-11	204	A
USGS	14166500	2010-03-12	485	A
USGS	14166500	2010-03-13	569	A
USGS	14166500	2010-03-14	452	A
USGS	14166500	2010-03-15	372	A
USGS	14166500	2010-03-16	317	A
USGS	14166500	2010-03-17	272	A
USGS	14166500	2010-03-18	242	A
USGS	14166500	2010-03-19	222	A
USGS	14166500	2010-03-20	208	A
USGS	14166500	2010-03-21	197	A
USGS	14166500	2010-03-22	191	A
USGS	14166500	2010-03-23	179	A
USGS	14166500	2010-03-24	171	A
USGS	14166500	2010-03-25	241	A
USGS	14166500	2010-03-26	644	A
USGS	14166500	2010-03-27	654	A
USGS	14166500	2010-03-28	495	A
USGS	14166500	2010-03-29	815	A
USGS	14166500	2010-03-30	1550	A
USGS	14166500	2010-03-31	1550	A
USGS	14166500	2010-04-01	975	A
USGS	14166500	2010-04-02	785	A
USGS	14166500	2010-04-03	848	A
USGS	14166500	2010-04-04	729	A
USGS	14166500	2010-04-05	655	A
USGS	14166500	2010-04-06	802	A
USGS	14166500	2010-04-07	758	A
USGS	14166500	2010-04-08	654	A
USGS	14166500	2010-04-09	547	A
USGS	14166500	2010-04-10	485	A
USGS	14166500	2010-04-11	488	A
USGS	14166500	2010-04-12	469	A
USGS	14166500	2010-04-13	430	A
USGS	14166500	2010-04-14	388	A
USGS	14166500	2010-04-15	377	A
USGS	14166500	2010-04-16	340	A
USGS	14166500	2010-04-17	312	A
USGS	14166500	2010-04-18	288	A
USGS	14166500	2010-04-19	270	A
USGS	14166500	2010-04-20	272	A
USGS	14166500	2010-04-21	254	A
USGS	14166500	2010-04-22	229	A
USGS	14166500	2010-04-23	214	A
USGS	14166500	2010-04-24	203	A
USGS	14166500	2010-04-25	193	A
USGS	14166500	2010-04-26	191	A
USGS	14166500	2010-04-27	387	A
USGS	14166500	2010-04-28	447	A
USGS	14166500	2010-04-29	428	A
USGS	14166500	2010-04-30	357	A
USGS	14166500	2010-05-01	307	A
USGS	14166500	2010-05-02	269	A
USGS	14166500	2010-05-03	257	A
USGS	14166500	2010-05-04	238	A
USGS	14166500	2010-05-05	216	A
USGS	14166500	2010-05-06	203	A
USGS	14166500	2010-05-07	194	A
USGS	14166500	2010-05-08	186	A
USGS	14166500	2010-05-09	178	A
USGS	14166500	2010-05-10	180	A
USGS	14166500	2010-05-11	172	A
USGS	14166500	2010-05-12	161	A
USGS	14166500	2010-05-13	156	A
USGS	14166500	2010-05-14	150	A
USGS	14166500	2010-05-15	145	A
USGS	14166500	2010-05-16	141	A
USGS	14166500	2010-05-17	139	A
USGS	14166500	2010-05-18	138	A
USGS	14166500	2010-05-19	138	A
USGS	14166500	2010-05-20	159	A
USGS	14166500	2010-05-21	170	A
USGS	14166500	2010-05-22	188	A
USGS	14166500	2010-05-23	184	A
USGS	14166500	2010-05-24	166	A
USGS	14166500	2010-05-25	155	A
USGS	14166500	2010-05-26	176	A
USGS	14166500	2010-05-27	171	A
USGS	14166500	2010-05-28	164	A
USGS	14166500	2010-05-29	150	A
USGS	14166500	2010-05-30	143	A
USGS	14166500	2010-05-31	143	A
USGS	14166500	2010-06-01	140	A
USGS	14166500	2010-06-02	232	A
USGS	14166500	2010-06-03	397	A
USGS	14166500	2010-06-04	544	A
USGS	14166500	2010-06-05	522	A
USGS	14166500	2010-06-06	364	A
USGS	14166500	2010-06-07	286	A
USGS	14166500	2010-06-08	227	A
USGS	14166500	2010-06-09	212	A
USGS	14166500	2010-06-10	217	A
USGS	14166500	2010-06-11	190	A
USGS	14166500	2010-06-12	169	A
USGS	14166500	2010-06-13	155	A
USGS	14166500	2010-06-14	143	A
USGS	14166500	2010-06-15	135	A
USGS	14166500	2010-06-16	130	A
USGS	14166500	2010-06-17	126	A
USGS	14166500	2010-06-18	121	A
USGS	14166500	2010-06-19	117	A
USGS	14166500	2010-06-20	116	A
USGS	14166500	2010-06-21	110	A
USGS	14166500	2010-06-22	105	A
USGS	14166500	2010-06-23	99.8	A
USGS	14166500	2010-06-24	95.9	A
USGS	14166500	2010-06-25	92.2	A
USGS	14166500	2010-06-26	90.5	A
USGS	14166500	2010-06-27	88.2	A
USGS	14166500	2010-06-28	83.1	A
USGS	14166500	2010-06-29	81.2	A
USGS	14166500	2010-06-30	79.7	A
USGS	14166500	2010-07-01	78.1	A
USGS	14166500	2010-07-02	77.1	A
USGS	14166500	2010-07-03	76.7	A
USGS	14166500	2010-07-04	74.4	A
USGS	14166500	2010-07-05	71.1	A
USGS	14166500	2010-07-06	69.0	A
USGS	14166500	2010-07-07	65.8	A
USGS	14166500	2010-07-08	62.9	A
USGS	14166500	2010-07-09	61.3	A
USGS	14166500	2010-07-10	58.8	A
USGS	14166500	2010-07-11	57.4	A
USGS	14166500	2010-07-12	56.2	A
USGS	14166500	2010-07-13	55.1	A
USGS	14166500	2010-07-14	54.7	A
USGS	14166500	2010-07-15	52.2	A
USGS	14166500	2010-07-16	51.2	A
USGS	14166500	2010-07-17	51.2	A
USGS	14166500	2010-07-18	49.7	A
USGS	14166500	2010-07-19	50.1	A
USGS	14166500	2010-07-20	49.3	A
USGS	14166500	2010-07-21	47.7	A
USGS	14166500	2010-07-22	46.5	A
USGS	14166500	2010-07-23	45.8	A
USGS	14166500	2010-07-24	44.4	A
USGS	14166500	2010-07-25	42.7	A
