# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:50:44 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14169000 LONG TOM RIVER NEAR ALVADORE, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14169000
#            TS   parameter     statistic     Description
#        113854       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	113854_00060_00003	113854_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14169000	2010-01-01	1070	A
USGS	14169000	2010-01-02	1230	A
USGS	14169000	2010-01-03	1350	A
USGS	14169000	2010-01-04	2130	A
USGS	14169000	2010-01-05	2380	A
USGS	14169000	2010-01-06	2270	A
USGS	14169000	2010-01-07	2060	A
USGS	14169000	2010-01-08	1510	A
USGS	14169000	2010-01-09	1010	A
USGS	14169000	2010-01-10	722	A
USGS	14169000	2010-01-11	605	A
USGS	14169000	2010-01-12	564	A
USGS	14169000	2010-01-13	829	A
USGS	14169000	2010-01-14	1310	A
USGS	14169000	2010-01-15	1580	A
USGS	14169000	2010-01-16	1610	A
USGS	14169000	2010-01-17	1950	A
USGS	14169000	2010-01-18	2200	A
USGS	14169000	2010-01-19	2170	A
USGS	14169000	2010-01-20	2100	A
USGS	14169000	2010-01-21	1710	A
USGS	14169000	2010-01-22	992	A
USGS	14169000	2010-01-23	698	A
USGS	14169000	2010-01-24	432	A
USGS	14169000	2010-01-25	313	A
USGS	14169000	2010-01-26	319	A
USGS	14169000	2010-01-27	325	A
USGS	14169000	2010-01-28	330	A:e
USGS	14169000	2010-01-29	330	A:e
USGS	14169000	2010-01-30	330	A:e
USGS	14169000	2010-01-31	328	A
USGS	14169000	2010-02-01	329	A
USGS	14169000	2010-02-02	332	A
USGS	14169000	2010-02-03	281	A
USGS	14169000	2010-02-04	181	A
USGS	14169000	2010-02-05	118	A
USGS	14169000	2010-02-06	120	A
USGS	14169000	2010-02-07	121	A
USGS	14169000	2010-02-08	123	A
USGS	14169000	2010-02-09	124	A
USGS	14169000	2010-02-10	125	A
USGS	14169000	2010-02-11	125	A:e
USGS	14169000	2010-02-12	127	A
USGS	14169000	2010-02-13	129	A
USGS	14169000	2010-02-14	131	A
USGS	14169000	2010-02-15	133	A
USGS	14169000	2010-02-16	133	A
USGS	14169000	2010-02-17	135	A
USGS	14169000	2010-02-18	136	A
USGS	14169000	2010-02-19	134	A
USGS	14169000	2010-02-20	128	A
USGS	14169000	2010-02-21	126	A
USGS	14169000	2010-02-22	69.5	A
USGS	14169000	2010-02-23	64.2	A
USGS	14169000	2010-02-24	64.2	A
USGS	14169000	2010-02-25	64.3	A
USGS	14169000	2010-02-26	65.1	A
USGS	14169000	2010-02-27	66.0	A
USGS	14169000	2010-02-28	64.4	A
USGS	14169000	2010-03-01	64.6	A
USGS	14169000	2010-03-02	83.2	A
USGS	14169000	2010-03-03	98.8	A
USGS	14169000	2010-03-04	101	A
USGS	14169000	2010-03-05	101	A
USGS	14169000	2010-03-06	101	A
USGS	14169000	2010-03-07	101	A
USGS	14169000	2010-03-08	101	A
USGS	14169000	2010-03-09	101	A
USGS	14169000	2010-03-10	101	A
USGS	14169000	2010-03-11	102	A
USGS	14169000	2010-03-12	102	A
USGS	14169000	2010-03-13	103	A
USGS	14169000	2010-03-14	104	A
USGS	14169000	2010-03-15	105	A
USGS	14169000	2010-03-16	106	A
USGS	14169000	2010-03-17	106	A
USGS	14169000	2010-03-18	106	A
USGS	14169000	2010-03-19	106	A
USGS	14169000	2010-03-20	107	A
USGS	14169000	2010-03-21	107	A
USGS	14169000	2010-03-22	76.8	A
USGS	14169000	2010-03-23	53.9	A
USGS	14169000	2010-03-24	53.9	A
USGS	14169000	2010-03-25	54.0	A
USGS	14169000	2010-03-26	55.0	A
USGS	14169000	2010-03-27	55.5	A
USGS	14169000	2010-03-28	55.9	A
USGS	14169000	2010-03-29	538	A
USGS	14169000	2010-03-30	1720	A
USGS	14169000	2010-03-31	2260	A
USGS	14169000	2010-04-01	2580	A
USGS	14169000	2010-04-02	2810	A
USGS	14169000	2010-04-03	2790	A
USGS	14169000	2010-04-04	2770	A
USGS	14169000	2010-04-05	2500	A
USGS	14169000	2010-04-06	1670	A
USGS	14169000	2010-04-07	1420	A
USGS	14169000	2010-04-08	1340	A
USGS	14169000	2010-04-09	1030	A
USGS	14169000	2010-04-10	723	A
USGS	14169000	2010-04-11	498	A
USGS	14169000	2010-04-12	842	A
USGS	14169000	2010-04-13	914	A
USGS	14169000	2010-04-14	885	A
USGS	14169000	2010-04-15	452	A
USGS	14169000	2010-04-16	346	A
USGS	14169000	2010-04-17	379	A
USGS	14169000	2010-04-18	481	A
USGS	14169000	2010-04-19	512	A
USGS	14169000	2010-04-20	737	A
USGS	14169000	2010-04-21	821	A
USGS	14169000	2010-04-22	519	A
USGS	14169000	2010-04-23	337	A
USGS	14169000	2010-04-24	271	A
USGS	14169000	2010-04-25	212	A
USGS	14169000	2010-04-26	221	A
USGS	14169000	2010-04-27	1430	A
USGS	14169000	2010-04-28	1640	A
USGS	14169000	2010-04-29	1290	A
USGS	14169000	2010-04-30	886	A
USGS	14169000	2010-05-01	518	A
USGS	14169000	2010-05-02	400	A
USGS	14169000	2010-05-03	367	A
USGS	14169000	2010-05-04	359	A
USGS	14169000	2010-05-05	314	A
USGS	14169000	2010-05-06	246	A
USGS	14169000	2010-05-07	186	A
USGS	14169000	2010-05-08	186	A
USGS	14169000	2010-05-09	174	A
USGS	14169000	2010-05-10	176	A
USGS	14169000	2010-05-11	347	A
USGS	14169000	2010-05-12	345	A
USGS	14169000	2010-05-13	337	A
USGS	14169000	2010-05-14	290	A
USGS	14169000	2010-05-15	187	A
USGS	14169000	2010-05-16	146	A
USGS	14169000	2010-05-17	124	A
USGS	14169000	2010-05-18	108	A
USGS	14169000	2010-05-19	153	A
USGS	14169000	2010-05-20	342	A
USGS	14169000	2010-05-21	443	A
USGS	14169000	2010-05-22	626	A
USGS	14169000	2010-05-23	550	A
USGS	14169000	2010-05-24	345	A
