# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:50:46 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14170000 LONG TOM RIVER AT MONROE, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14170000
#            TS   parameter     statistic     Description
#        113863       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	113863_00060_00003	113863_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14170000	2010-01-01	2460	A
USGS	14170000	2010-01-02	2220	A
USGS	14170000	2010-01-03	1900	A
USGS	14170000	2010-01-04	2230	A
USGS	14170000	2010-01-05	2620	A
USGS	14170000	2010-01-06	2770	A
USGS	14170000	2010-01-07	2610	A
USGS	14170000	2010-01-08	2090	A
USGS	14170000	2010-01-09	1600	A
USGS	14170000	2010-01-10	1110	A
USGS	14170000	2010-01-11	926	A
USGS	14170000	2010-01-12	1140	A
USGS	14170000	2010-01-13	1500	A
USGS	14170000	2010-01-14	2080	A
USGS	14170000	2010-01-15	2180	A
USGS	14170000	2010-01-16	2840	A
USGS	14170000	2010-01-17	2880	A
USGS	14170000	2010-01-18	3030	A
USGS	14170000	2010-01-19	2800	A
USGS	14170000	2010-01-20	2590	A
USGS	14170000	2010-01-21	2300	A
USGS	14170000	2010-01-22	1580	A
USGS	14170000	2010-01-23	1110	A
USGS	14170000	2010-01-24	815	A
USGS	14170000	2010-01-25	748	A
USGS	14170000	2010-01-26	657	A
USGS	14170000	2010-01-27	620	A
USGS	14170000	2010-01-28	578	A
USGS	14170000	2010-01-29	553	A
USGS	14170000	2010-01-30	553	A
USGS	14170000	2010-01-31	646	A
USGS	14170000	2010-02-01	634	A
USGS	14170000	2010-02-02	764	A
USGS	14170000	2010-02-03	815	A
USGS	14170000	2010-02-04	755	A
USGS	14170000	2010-02-05	626	A
USGS	14170000	2010-02-06	509	A
USGS	14170000	2010-02-07	500	A
USGS	14170000	2010-02-08	441	A
USGS	14170000	2010-02-09	409	A
USGS	14170000	2010-02-10	381	A
USGS	14170000	2010-02-11	392	A
USGS	14170000	2010-02-12	723	A
USGS	14170000	2010-02-13	668	A
USGS	14170000	2010-02-14	581	A
USGS	14170000	2010-02-15	564	A
USGS	14170000	2010-02-16	622	A
USGS	14170000	2010-02-17	521	A
USGS	14170000	2010-02-18	458	A
USGS	14170000	2010-02-19	422	A
USGS	14170000	2010-02-20	385	A
USGS	14170000	2010-02-21	353	A
USGS	14170000	2010-02-22	303	A
USGS	14170000	2010-02-23	273	A
USGS	14170000	2010-02-24	563	A
USGS	14170000	2010-02-25	549	A
USGS	14170000	2010-02-26	782	A
USGS	14170000	2010-02-27	863	A
USGS	14170000	2010-02-28	538	A
USGS	14170000	2010-03-01	436	A
USGS	14170000	2010-03-02	399	A
