# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:50:47 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14171000 MARYS RIVER NEAR PHILOMATH, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14171000
#            TS   parameter     statistic     Description
#        113868       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	113868_00060_00003	113868_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14171000	2010-01-01	1870	A
USGS	14171000	2010-01-02	1670	A
USGS	14171000	2010-01-03	1270	A
USGS	14171000	2010-01-04	999	A
USGS	14171000	2010-01-05	850	A
USGS	14171000	2010-01-06	1090	A
USGS	14171000	2010-01-07	1060	A
USGS	14171000	2010-01-08	957	A
USGS	14171000	2010-01-09	904	A
USGS	14171000	2010-01-10	765	A
USGS	14171000	2010-01-11	666	A
USGS	14171000	2010-01-12	917	A
USGS	14171000	2010-01-13	1200	A
USGS	14171000	2010-01-14	1280	A
USGS	14171000	2010-01-15	1170	A
USGS	14171000	2010-01-16	1520	A
USGS	14171000	2010-01-17	1420	A
USGS	14171000	2010-01-18	1530	A
USGS	14171000	2010-01-19	1330	A
USGS	14171000	2010-01-20	1090	A
USGS	14171000	2010-01-21	903	A
USGS	14171000	2010-01-22	756	A
USGS	14171000	2010-01-23	636	A
USGS	14171000	2010-01-24	592	A
USGS	14171000	2010-01-25	710	A
USGS	14171000	2010-01-26	653	A
USGS	14171000	2010-01-27	561	A
USGS	14171000	2010-01-28	502	A
USGS	14171000	2010-01-29	459	A
USGS	14171000	2010-01-30	434	A
USGS	14171000	2010-01-31	421	A
USGS	14171000	2010-02-01	427	A
USGS	14171000	2010-02-02	499	A
USGS	14171000	2010-02-03	545	A
USGS	14171000	2010-02-04	621	A
USGS	14171000	2010-02-05	633	A
USGS	14171000	2010-02-06	577	A
USGS	14171000	2010-02-07	565	A
USGS	14171000	2010-02-08	506	A
USGS	14171000	2010-02-09	467	A
USGS	14171000	2010-02-10	438	A
USGS	14171000	2010-02-11	455	A
USGS	14171000	2010-02-12	753	A
USGS	14171000	2010-02-13	886	A
USGS	14171000	2010-02-14	812	A
USGS	14171000	2010-02-15	720	A
USGS	14171000	2010-02-16	661	A
USGS	14171000	2010-02-17	596	A
USGS	14171000	2010-02-18	534	A
USGS	14171000	2010-02-19	485	A
USGS	14171000	2010-02-20	442	A
USGS	14171000	2010-02-21	404	A
USGS	14171000	2010-02-22	370	A
USGS	14171000	2010-02-23	379	A
USGS	14171000	2010-02-24	581	A
USGS	14171000	2010-02-25	563	A
USGS	14171000	2010-02-26	972	A
USGS	14171000	2010-02-27	1180	A
USGS	14171000	2010-02-28	952	A
USGS	14171000	2010-03-01	774	A
USGS	14171000	2010-03-02	663	A
USGS	14171000	2010-03-03	589	A
USGS	14171000	2010-03-04	531	A
USGS	14171000	2010-03-05	470	A
USGS	14171000	2010-03-06	425	A
USGS	14171000	2010-03-07	390	A
USGS	14171000	2010-03-08	363	A
USGS	14171000	2010-03-09	337	A
USGS	14171000	2010-03-10	341	A
USGS	14171000	2010-03-11	376	A
USGS	14171000	2010-03-12	1140	A
USGS	14171000	2010-03-13	1240	A
USGS	14171000	2010-03-14	941	A
USGS	14171000	2010-03-15	758	A
USGS	14171000	2010-03-16	637	A
USGS	14171000	2010-03-17	548	A
USGS	14171000	2010-03-18	484	A
USGS	14171000	2010-03-19	434	A
USGS	14171000	2010-03-20	396	A
USGS	14171000	2010-03-21	370	A
USGS	14171000	2010-03-22	362	A
USGS	14171000	2010-03-23	339	A
USGS	14171000	2010-03-24	311	A
USGS	14171000	2010-03-25	399	A
USGS	14171000	2010-03-26	1140	A
USGS	14171000	2010-03-27	1060	A
USGS	14171000	2010-03-28	853	A
USGS	14171000	2010-03-29	1820	A
USGS	14171000	2010-03-30	3000	A
USGS	14171000	2010-03-31	2450	A
USGS	14171000	2010-04-01	1620	A
USGS	14171000	2010-04-02	1460	A
USGS	14171000	2010-04-03	1470	A
USGS	14171000	2010-04-04	1310	A
USGS	14171000	2010-04-05	1240	A
USGS	14171000	2010-04-06	1450	A
USGS	14171000	2010-04-07	1290	A
USGS	14171000	2010-04-08	1190	A
USGS	14171000	2010-04-09	1040	A
USGS	14171000	2010-04-10	886	A
USGS	14171000	2010-04-11	813	A
USGS	14171000	2010-04-12	805	A
USGS	14171000	2010-04-13	706	A
USGS	14171000	2010-04-14	613	A
USGS	14171000	2010-04-15	559	A
USGS	14171000	2010-04-16	501	A
USGS	14171000	2010-04-17	453	A
USGS	14171000	2010-04-18	416	A
USGS	14171000	2010-04-19	388	A
USGS	14171000	2010-04-20	386	A
USGS	14171000	2010-04-21	359	A
USGS	14171000	2010-04-22	327	A
USGS	14171000	2010-04-23	304	A
USGS	14171000	2010-04-24	289	A
USGS	14171000	2010-04-25	276	A
USGS	14171000	2010-04-26	270	A
USGS	14171000	2010-04-27	611	A
USGS	14171000	2010-04-28	714	A
USGS	14171000	2010-04-29	744	A
USGS	14171000	2010-04-30	672	A
USGS	14171000	2010-05-01	582	A
USGS	14171000	2010-05-02	507	A
USGS	14171000	2010-05-03	485	A
USGS	14171000	2010-05-04	480	A
USGS	14171000	2010-05-05	435	A
USGS	14171000	2010-05-06	398	A
USGS	14171000	2010-05-07	368	A
USGS	14171000	2010-05-08	342	A
USGS	14171000	2010-05-09	318	A
USGS	14171000	2010-05-10	304	A
USGS	14171000	2010-05-11	289	A
USGS	14171000	2010-05-12	267	A
USGS	14171000	2010-05-13	251	A
USGS	14171000	2010-05-14	236	A
USGS	14171000	2010-05-15	223	A
USGS	14171000	2010-05-16	212	A
USGS	14171000	2010-05-17	203	A
USGS	14171000	2010-05-18	200	A
USGS	14171000	2010-05-19	203	A
USGS	14171000	2010-05-20	211	A
USGS	14171000	2010-05-21	230	A
USGS	14171000	2010-05-22	278	A
USGS	14171000	2010-05-23	266	A
USGS	14171000	2010-05-24	233	A
USGS	14171000	2010-05-25	218	A
USGS	14171000	2010-05-26	240	A
USGS	14171000	2010-05-27	245	A
USGS	14171000	2010-05-28	222	A
USGS	14171000	2010-05-29	206	A
USGS	14171000	2010-05-30	195	A
USGS	14171000	2010-05-31	200	A
USGS	14171000	2010-06-01	196	A
USGS	14171000	2010-06-02	327	A
USGS	14171000	2010-06-03	469	A
USGS	14171000	2010-06-04	859	A
USGS	14171000	2010-06-05	741	A
USGS	14171000	2010-06-06	584	A
USGS	14171000	2010-06-07	492	A
USGS	14171000	2010-06-08	418	A
USGS	14171000	2010-06-09	385	A
USGS	14171000	2010-06-10	429	A
USGS	14171000	2010-06-11	426	A
USGS	14171000	2010-06-12	384	A
USGS	14171000	2010-06-13	346	A
USGS	14171000	2010-06-14	311	A
USGS	14171000	2010-06-15	285	A
USGS	14171000	2010-06-16	266	A
USGS	14171000	2010-06-17	252	A
USGS	14171000	2010-06-18	244	A
USGS	14171000	2010-06-19	230	A
USGS	14171000	2010-06-20	215	A
USGS	14171000	2010-06-21	207	A
USGS	14171000	2010-06-22	196	A
USGS	14171000	2010-06-23	184	A
USGS	14171000	2010-06-24	173	A
USGS	14171000	2010-06-25	159	A
USGS	14171000	2010-06-26	151	A
