# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:50:48 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14171600 WILLAMETTE RIVER AT CORVALLIS, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14171600
#            TS   parameter     statistic     Description
#        113870       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	113870_00060_00003	113870_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14171600	2010-01-01	22000	A:e
USGS	14171600	2010-01-02	33500	A:e
USGS	14171600	2010-01-03	29500	A
USGS	14171600	2010-01-04	25000	A
USGS	14171600	2010-01-05	24200	A
USGS	14171600	2010-01-06	28200	A
USGS	14171600	2010-01-07	35300	A
USGS	14171600	2010-01-08	34500	A
USGS	14171600	2010-01-09	32000	A
USGS	14171600	2010-01-10	29400	A
USGS	14171600	2010-01-11	25500	A
USGS	14171600	2010-01-12	23700	A
USGS	14171600	2010-01-13	23500	A
USGS	14171600	2010-01-14	23200	A
USGS	14171600	2010-01-15	21000	A
USGS	14171600	2010-01-16	20400	A
USGS	14171600	2010-01-17	22000	A
USGS	14171600	2010-01-18	23000	A
USGS	14171600	2010-01-19	21600	A
USGS	14171600	2010-01-20	19100	A
USGS	14171600	2010-01-21	17700	A
USGS	14171600	2010-01-22	16300	A
USGS	14171600	2010-01-23	14400	A
USGS	14171600	2010-01-24	13000	A
USGS	14171600	2010-01-25	13000	A
USGS	14171600	2010-01-26	13700	A
USGS	14171600	2010-01-27	13200	A
USGS	14171600	2010-01-28	12400	A
USGS	14171600	2010-01-29	11700	A
USGS	14171600	2010-01-30	10900	A
USGS	14171600	2010-01-31	10400	A
USGS	14171600	2010-02-01	10200	A
USGS	14171600	2010-02-02	10900	A
USGS	14171600	2010-02-03	11500	A
USGS	14171600	2010-02-04	11600	A
USGS	14171600	2010-02-05	11300	A
USGS	14171600	2010-02-06	10600	A
USGS	14171600	2010-02-07	10200	A
USGS	14171600	2010-02-08	9780	A
USGS	14171600	2010-02-09	9200	A
USGS	14171600	2010-02-10	8710	A
USGS	14171600	2010-02-11	8540	A
USGS	14171600	2010-02-12	9160	A
USGS	14171600	2010-02-13	10700	A
USGS	14171600	2010-02-14	10400	A
USGS	14171600	2010-02-15	10300	A
USGS	14171600	2010-02-16	10400	A
USGS	14171600	2010-02-17	10500	A
USGS	14171600	2010-02-18	9810	A
USGS	14171600	2010-02-19	9210	A
USGS	14171600	2010-02-20	8830	A
USGS	14171600	2010-02-21	8640	A
USGS	14171600	2010-02-22	8400	A
USGS	14171600	2010-02-23	8210	A
USGS	14171600	2010-02-24	8540	A
USGS	14171600	2010-02-25	9340	A
USGS	14171600	2010-02-26	10600	A
USGS	14171600	2010-02-27	12400	A
USGS	14171600	2010-02-28	11300	A
USGS	14171600	2010-03-01	9990	A
USGS	14171600	2010-03-02	9340	A
USGS	14171600	2010-03-03	8960	A
USGS	14171600	2010-03-04	8780	A
USGS	14171600	2010-03-05	8580	A
USGS	14171600	2010-03-06	8320	A
USGS	14171600	2010-03-07	8120	A
USGS	14171600	2010-03-08	7950	A
USGS	14171600	2010-03-09	7920	A
USGS	14171600	2010-03-10	7850	A
USGS	14171600	2010-03-11	7820	A
USGS	14171600	2010-03-12	8830	A
USGS	14171600	2010-03-13	12300	A
USGS	14171600	2010-03-14	12400	A
USGS	14171600	2010-03-15	10800	A
USGS	14171600	2010-03-16	9850	A
USGS	14171600	2010-03-17	9190	A
USGS	14171600	2010-03-18	8660	A
USGS	14171600	2010-03-19	8390	A
USGS	14171600	2010-03-20	8260	A
USGS	14171600	2010-03-21	8090	A
USGS	14171600	2010-03-22	8010	A
USGS	14171600	2010-03-23	8060	A
USGS	14171600	2010-03-24	7940	A
USGS	14171600	2010-03-25	7930	A
USGS	14171600	2010-03-26	9210	A
USGS	14171600	2010-03-27	13300	A
USGS	14171600	2010-03-28	13300	A
USGS	14171600	2010-03-29	14800	A
USGS	14171600	2010-03-30	28000	A
USGS	14171600	2010-03-31	36200	A
USGS	14171600	2010-04-01	31200	A
USGS	14171600	2010-04-02	26900	A
USGS	14171600	2010-04-03	28400	A
USGS	14171600	2010-04-04	28300	A
USGS	14171600	2010-04-05	25000	A:e
USGS	14171600	2010-04-06	22800	A
USGS	14171600	2010-04-07	20100	A
USGS	14171600	2010-04-08	18000	A
USGS	14171600	2010-04-09	17000	A
USGS	14171600	2010-04-10	15200	A
USGS	14171600	2010-04-11	14000	A
USGS	14171600	2010-04-12	14700	A
USGS	14171600	2010-04-13	14500	A
USGS	14171600	2010-04-14	14300	A
USGS	14171600	2010-04-15	13600	A
USGS	14171600	2010-04-16	12900	A
USGS	14171600	2010-04-17	11800	A
USGS	14171600	2010-04-18	10900	A
USGS	14171600	2010-04-19	10500	A
USGS	14171600	2010-04-20	10500	A
USGS	14171600	2010-04-21	11900	A
USGS	14171600	2010-04-22	12500	A
USGS	14171600	2010-04-23	11500	A
USGS	14171600	2010-04-24	10500	A
USGS	14171600	2010-04-25	9830	A
USGS	14171600	2010-04-26	9380	A
USGS	14171600	2010-04-27	10100	A
USGS	14171600	2010-04-28	17200	A
USGS	14171600	2010-04-29	20500	A
USGS	14171600	2010-04-30	20500	A
USGS	14171600	2010-05-01	19000	A
USGS	14171600	2010-05-02	16800	A
USGS	14171600	2010-05-03	15600	A
USGS	14171600	2010-05-04	15000	A
USGS	14171600	2010-05-05	14800	A
USGS	14171600	2010-05-06	14100	A
USGS	14171600	2010-05-07	12500	A
USGS	14171600	2010-05-08	11300	A
USGS	14171600	2010-05-09	10500	A
USGS	14171600	2010-05-10	9860	A
USGS	14171600	2010-05-11	9900	A
USGS	14171600	2010-05-12	10300	A
USGS	14171600	2010-05-13	11100	A
USGS	14171600	2010-05-14	11000	A
USGS	14171600	2010-05-15	10700	A
USGS	14171600	2010-05-16	10200	A
USGS	14171600	2010-05-17	10100	A
USGS	14171600	2010-05-18	9930	A
USGS	14171600	2010-05-19	10100	A
USGS	14171600	2010-05-20	10600	A
USGS	14171600	2010-05-21	12300	A
USGS	14171600	2010-05-22	13100	A
USGS	14171600	2010-05-23	14100	A
USGS	14171600	2010-05-24	14400	A
USGS	14171600	2010-05-25	13600	A
USGS	14171600	2010-05-26	14000	A
USGS	14171600	2010-05-27	15600	A
USGS	14171600	2010-05-28	17100	A
USGS	14171600	2010-05-29	16200	A
USGS	14171600	2010-05-30	14300	A
USGS	14171600	2010-05-31	13000	A
USGS	14171600	2010-06-01	13200	A
