# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:50:49 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14174000 WILLAMETTE RIVER AT ALBANY, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14174000
#            TS   parameter     statistic     Description
#        113873       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	113873_00060_00003	113873_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14174000	2010-01-01	24200	A
USGS	14174000	2010-01-02	36000	A
USGS	14174000	2010-01-03	33400	A
USGS	14174000	2010-01-04	27900	A
USGS	14174000	2010-01-05	26500	A
USGS	14174000	2010-01-06	31300	A
USGS	14174000	2010-01-07	38300	A
USGS	14174000	2010-01-08	37500	A
USGS	14174000	2010-01-09	34400	A
USGS	14174000	2010-01-10	31800	A
USGS	14174000	2010-01-11	27700	A
USGS	14174000	2010-01-12	26100	A
USGS	14174000	2010-01-13	26200	A
USGS	14174000	2010-01-14	25600	A
USGS	14174000	2010-01-15	23500	A
USGS	14174000	2010-01-16	24100	A
USGS	14174000	2010-01-17	26100	A
USGS	14174000	2010-01-18	26800	A
USGS	14174000	2010-01-19	24800	A
USGS	14174000	2010-01-20	21700	A
USGS	14174000	2010-01-21	19700	A
USGS	14174000	2010-01-22	18200	A
USGS	14174000	2010-01-23	16100	A
USGS	14174000	2010-01-24	14600	A
USGS	14174000	2010-01-25	14800	A
USGS	14174000	2010-01-26	15700	A
USGS	14174000	2010-01-27	14900	A
USGS	14174000	2010-01-28	13900	A
USGS	14174000	2010-01-29	12900	A
USGS	14174000	2010-01-30	12000	A
USGS	14174000	2010-01-31	11700	A
USGS	14174000	2010-02-01	11500	A
USGS	14174000	2010-02-02	12400	A
USGS	14174000	2010-02-03	13000	A
USGS	14174000	2010-02-04	13200	A
USGS	14174000	2010-02-05	13000	A
USGS	14174000	2010-02-06	11900	A
USGS	14174000	2010-02-07	11500	A
USGS	14174000	2010-02-08	10900	A
USGS	14174000	2010-02-09	10100	A
USGS	14174000	2010-02-10	9410	A
USGS	14174000	2010-02-11	9210	A
USGS	14174000	2010-02-12	10500	A
USGS	14174000	2010-02-13	12500	A
USGS	14174000	2010-02-14	12000	A
USGS	14174000	2010-02-15	12000	A
USGS	14174000	2010-02-16	12100	A
USGS	14174000	2010-02-17	12100	A
USGS	14174000	2010-02-18	11100	A
USGS	14174000	2010-02-19	10300	A
USGS	14174000	2010-02-20	9630	A
USGS	14174000	2010-02-21	9050	A
USGS	14174000	2010-02-22	8580	A
USGS	14174000	2010-02-23	8220	A
USGS	14174000	2010-02-24	9110	A
USGS	14174000	2010-02-25	10400	A
USGS	14174000	2010-02-26	12200	A
USGS	14174000	2010-02-27	14700	A
USGS	14174000	2010-02-28	12600	A
USGS	14174000	2010-03-01	10800	A
USGS	14174000	2010-03-02	9940	A
USGS	14174000	2010-03-03	9380	A
USGS	14174000	2010-03-04	9130	A
USGS	14174000	2010-03-05	8830	A
USGS	14174000	2010-03-06	8340	A
USGS	14174000	2010-03-07	7880	A
USGS	14174000	2010-03-08	7620	A
USGS	14174000	2010-03-09	7650	A
USGS	14174000	2010-03-10	7420	A
USGS	14174000	2010-03-11	7380	A
USGS	14174000	2010-03-12	9280	A
USGS	14174000	2010-03-13	13900	A
USGS	14174000	2010-03-14	13700	A
USGS	14174000	2010-03-15	11800	A
USGS	14174000	2010-03-16	10700	A
USGS	14174000	2010-03-17	9830	A
USGS	14174000	2010-03-18	9110	A
USGS	14174000	2010-03-19	8550	A
USGS	14174000	2010-03-20	8110	A
USGS	14174000	2010-03-21	7730	A
USGS	14174000	2010-03-22	7680	A
USGS	14174000	2010-03-23	7840	A
USGS	14174000	2010-03-24	7610	A
USGS	14174000	2010-03-25	7670	A
USGS	14174000	2010-03-26	10600	A
USGS	14174000	2010-03-27	15500	A
USGS	14174000	2010-03-28	14900	A
USGS	14174000	2010-03-29	18200	A
USGS	14174000	2010-03-30	31900	A
USGS	14174000	2010-03-31	40900	A
USGS	14174000	2010-04-01	35500	A
USGS	14174000	2010-04-02	29300	A
USGS	14174000	2010-04-03	30500	A
USGS	14174000	2010-04-04	30700	A
USGS	14174000	2010-04-05	26800	A
USGS	14174000	2010-04-06	24600	A
USGS	14174000	2010-04-07	21900	A
USGS	14174000	2010-04-08	19500	A
USGS	14174000	2010-04-09	18500	A
USGS	14174000	2010-04-10	16500	A
USGS	14174000	2010-04-11	15200	A
USGS	14174000	2010-04-12	15900	A
USGS	14174000	2010-04-13	15900	A
USGS	14174000	2010-04-14	15700	A
USGS	14174000	2010-04-15	14900	A
USGS	14174000	2010-04-16	14100	A
USGS	14174000	2010-04-17	12800	A
USGS	14174000	2010-04-18	11800	A
USGS	14174000	2010-04-19	11200	A
USGS	14174000	2010-04-20	11200	A
USGS	14174000	2010-04-21	12600	A
USGS	14174000	2010-04-22	13300	A
USGS	14174000	2010-04-23	12100	A
USGS	14174000	2010-04-24	11000	A
USGS	14174000	2010-04-25	10200	A
USGS	14174000	2010-04-26	9680	A
USGS	14174000	2010-04-27	10700	A
USGS	14174000	2010-04-28	18900	A
USGS	14174000	2010-04-29	22100	A
USGS	14174000	2010-04-30	21800	A
USGS	14174000	2010-05-01	20200	A
USGS	14174000	2010-05-02	17900	A
USGS	14174000	2010-05-03	16500	A
USGS	14174000	2010-05-04	16100	A
USGS	14174000	2010-05-05	15700	A
USGS	14174000	2010-05-06	14900	A
USGS	14174000	2010-05-07	13200	A
USGS	14174000	2010-05-08	11900	A
USGS	14174000	2010-05-09	10900	A
USGS	14174000	2010-05-10	10300	A
USGS	14174000	2010-05-11	10300	A
USGS	14174000	2010-05-12	10700	A
USGS	14174000	2010-05-13	11500	A
USGS	14174000	2010-05-14	11300	A
USGS	14174000	2010-05-15	11000	A
USGS	14174000	2010-05-16	10500	A
USGS	14174000	2010-05-17	10400	A
USGS	14174000	2010-05-18	10100	A
USGS	14174000	2010-05-19	10400	A
USGS	14174000	2010-05-20	10800	A
USGS	14174000	2010-05-21	12800	A
USGS	14174000	2010-05-22	13600	A
USGS	14174000	2010-05-23	14700	A
USGS	14174000	2010-05-24	14900	A
USGS	14174000	2010-05-25	14200	A
USGS	14174000	2010-05-26	14500	A
USGS	14174000	2010-05-27	16400	A
USGS	14174000	2010-05-28	17800	A
USGS	14174000	2010-05-29	16800	A
USGS	14174000	2010-05-30	14900	A
USGS	14174000	2010-05-31	13500	A
USGS	14174000	2010-06-01	13600	A
USGS	14174000	2010-06-02	16200	A
USGS	14174000	2010-06-03	29900	A
USGS	14174000	2010-06-04	43200	A
USGS	14174000	2010-06-05	50500	A
USGS	14174000	2010-06-06	53400	A
USGS	14174000	2010-06-07	49100	A
USGS	14174000	2010-06-08	40100	A
USGS	14174000	2010-06-09	33300	A
