# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:50:50 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14178000 NO SANTIAM R BLW BOULDER CRK, NR DETROIT, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14178000
#            TS   parameter     statistic     Description
#        113880       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	113880_00060_00003	113880_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14178000	2010-01-01	2040	A
USGS	14178000	2010-01-02	2160	A
USGS	14178000	2010-01-03	1760	A
USGS	14178000	2010-01-04	1560	A
USGS	14178000	2010-01-05	2660	A
USGS	14178000	2010-01-06	4030	A
USGS	14178000	2010-01-07	2830	A
USGS	14178000	2010-01-08	2140	A
USGS	14178000	2010-01-09	1940	A
USGS	14178000	2010-01-10	1710	A
USGS	14178000	2010-01-11	1540	A
USGS	14178000	2010-01-12	1560	A
USGS	14178000	2010-01-13	1610	A
USGS	14178000	2010-01-14	1600	A
USGS	14178000	2010-01-15	1460	A
USGS	14178000	2010-01-16	1750	A
USGS	14178000	2010-01-17	1840	A
USGS	14178000	2010-01-18	1790	A
USGS	14178000	2010-01-19	1570	A
USGS	14178000	2010-01-20	1400	A
USGS	14178000	2010-01-21	1270	A
USGS	14178000	2010-01-22	1190	A
USGS	14178000	2010-01-23	1110	A
USGS	14178000	2010-01-24	1100	A
USGS	14178000	2010-01-25	1270	A
USGS	14178000	2010-01-26	1210	A
USGS	14178000	2010-01-27	1130	A
USGS	14178000	2010-01-28	1070	A
USGS	14178000	2010-01-29	1040	A
USGS	14178000	2010-01-30	1040	A
USGS	14178000	2010-01-31	1010	A
USGS	14178000	2010-02-01	989	A
USGS	14178000	2010-02-02	990	A
USGS	14178000	2010-02-03	978	A
USGS	14178000	2010-02-04	1020	A
USGS	14178000	2010-02-05	1050	A
USGS	14178000	2010-02-06	1010	A
USGS	14178000	2010-02-07	974	A
USGS	14178000	2010-02-08	944	A
USGS	14178000	2010-02-09	905	A
USGS	14178000	2010-02-10	879	A
USGS	14178000	2010-02-11	929	A
USGS	14178000	2010-02-12	1070	A
USGS	14178000	2010-02-13	1040	A
USGS	14178000	2010-02-14	1050	A
USGS	14178000	2010-02-15	1070	A
USGS	14178000	2010-02-16	1070	A
USGS	14178000	2010-02-17	1060	A
USGS	14178000	2010-02-18	1000	A
USGS	14178000	2010-02-19	954	A
USGS	14178000	2010-02-20	907	A
USGS	14178000	2010-02-21	866	A
USGS	14178000	2010-02-22	830	A
USGS	14178000	2010-02-23	813	A
USGS	14178000	2010-02-24	927	A
USGS	14178000	2010-02-25	962	A
USGS	14178000	2010-02-26	963	A
USGS	14178000	2010-02-27	978	A
USGS	14178000	2010-02-28	924	A
USGS	14178000	2010-03-01	887	A
USGS	14178000	2010-03-02	874	A
USGS	14178000	2010-03-03	903	A
USGS	14178000	2010-03-04	894	A
USGS	14178000	2010-03-05	856	A
USGS	14178000	2010-03-06	824	A
USGS	14178000	2010-03-07	805	A
USGS	14178000	2010-03-08	795	A
USGS	14178000	2010-03-09	769	A
USGS	14178000	2010-03-10	756	A
USGS	14178000	2010-03-11	782	A
USGS	14178000	2010-03-12	902	A
USGS	14178000	2010-03-13	863	A
USGS	14178000	2010-03-14	820	A
USGS	14178000	2010-03-15	805	A
USGS	14178000	2010-03-16	803	A
USGS	14178000	2010-03-17	794	A
