# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:50:51 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14179000 BREITENBUSH R ABV FRENCH CR NR DETROIT, OR.
# -----------------------------------------------------------------------------------
#
# Data provided for site 14179000
#            TS   parameter     statistic     Description
#        113894       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	113894_00060_00003	113894_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14179000	2010-01-01	1520	A
USGS	14179000	2010-01-02	1540	A
USGS	14179000	2010-01-03	1110	A
USGS	14179000	2010-01-04	991	A
USGS	14179000	2010-01-05	2350	A
USGS	14179000	2010-01-06	2640	A
USGS	14179000	2010-01-07	1690	A
USGS	14179000	2010-01-08	1210	A
USGS	14179000	2010-01-09	1060	A
USGS	14179000	2010-01-10	924	A
USGS	14179000	2010-01-11	811	A
USGS	14179000	2010-01-12	838	A
USGS	14179000	2010-01-13	856	A
USGS	14179000	2010-01-14	841	A
USGS	14179000	2010-01-15	753	A
USGS	14179000	2010-01-16	912	A
USGS	14179000	2010-01-17	1020	A
USGS	14179000	2010-01-18	984	A
USGS	14179000	2010-01-19	826	A
USGS	14179000	2010-01-20	703	A
USGS	14179000	2010-01-21	615	A
USGS	14179000	2010-01-22	559	A
USGS	14179000	2010-01-23	501	A
USGS	14179000	2010-01-24	514	A
USGS	14179000	2010-01-25	718	A
USGS	14179000	2010-01-26	658	A
USGS	14179000	2010-01-27	574	A
USGS	14179000	2010-01-28	517	A
USGS	14179000	2010-01-29	485	A
USGS	14179000	2010-01-30	474	A
USGS	14179000	2010-01-31	447	A
USGS	14179000	2010-02-01	435	A
USGS	14179000	2010-02-02	441	A
USGS	14179000	2010-02-03	444	A
USGS	14179000	2010-02-04	512	A
USGS	14179000	2010-02-05	559	A
USGS	14179000	2010-02-06	522	A
USGS	14179000	2010-02-07	483	A
USGS	14179000	2010-02-08	446	A
USGS	14179000	2010-02-09	414	A
USGS	14179000	2010-02-10	396	A
USGS	14179000	2010-02-11	464	A
USGS	14179000	2010-02-12	629	A
USGS	14179000	2010-02-13	619	A
USGS	14179000	2010-02-14	598	A
USGS	14179000	2010-02-15	584	A
USGS	14179000	2010-02-16	581	A
USGS	14179000	2010-02-17	562	A
USGS	14179000	2010-02-18	510	A
USGS	14179000	2010-02-19	464	A
USGS	14179000	2010-02-20	423	A
USGS	14179000	2010-02-21	391	A
USGS	14179000	2010-02-22	368	A
USGS	14179000	2010-02-23	357	A
USGS	14179000	2010-02-24	467	A
USGS	14179000	2010-02-25	534	A
USGS	14179000	2010-02-26	535	A
USGS	14179000	2010-02-27	558	A
USGS	14179000	2010-02-28	501	A
USGS	14179000	2010-03-01	455	A
USGS	14179000	2010-03-02	432	A
USGS	14179000	2010-03-03	426	A
USGS	14179000	2010-03-04	413	A
USGS	14179000	2010-03-05	386	A
USGS	14179000	2010-03-06	368	A
USGS	14179000	2010-03-07	350	A
USGS	14179000	2010-03-08	341	A
USGS	14179000	2010-03-09	324	A
USGS	14179000	2010-03-10	315	A
USGS	14179000	2010-03-11	337	A
USGS	14179000	2010-03-12	478	A
USGS	14179000	2010-03-13	450	A
USGS	14179000	2010-03-14	400	A
USGS	14179000	2010-03-15	385	A
USGS	14179000	2010-03-16	389	A
USGS	14179000	2010-03-17	379	A
USGS	14179000	2010-03-18	360	A
USGS	14179000	2010-03-19	340	A
USGS	14179000	2010-03-20	325	A
USGS	14179000	2010-03-21	349	A
USGS	14179000	2010-03-22	401	A
USGS	14179000	2010-03-23	376	A
USGS	14179000	2010-03-24	358	A
USGS	14179000	2010-03-25	391	A
USGS	14179000	2010-03-26	502	A
USGS	14179000	2010-03-27	495	A
USGS	14179000	2010-03-28	567	A
USGS	14179000	2010-03-29	2510	A
USGS	14179000	2010-03-30	1910	A
USGS	14179000	2010-03-31	1250	A
