# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:50:53 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14180300 BLOWOUT CREEK NEAR DETROIT, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14180300
#            TS   parameter     statistic     Description
#        113917       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	113917_00060_00003	113917_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14180300	2010-01-01	495	A
USGS	14180300	2010-01-02	493	A
USGS	14180300	2010-01-03	339	A
USGS	14180300	2010-01-04	266	A
USGS	14180300	2010-01-05	483	A
USGS	14180300	2010-01-06	723	A
USGS	14180300	2010-01-07	473	A
USGS	14180300	2010-01-08	330	A
USGS	14180300	2010-01-09	264	A
USGS	14180300	2010-01-10	215	A
USGS	14180300	2010-01-11	182	A
USGS	14180300	2010-01-12	175	A
USGS	14180300	2010-01-13	186	A
USGS	14180300	2010-01-14	200	A
USGS	14180300	2010-01-15	181	A
USGS	14180300	2010-01-16	262	A
USGS	14180300	2010-01-17	290	A
USGS	14180300	2010-01-18	273	A
USGS	14180300	2010-01-19	221	A
USGS	14180300	2010-01-20	178	A
USGS	14180300	2010-01-21	147	A
USGS	14180300	2010-01-22	128	A
USGS	14180300	2010-01-23	109	A
USGS	14180300	2010-01-24	123	A
USGS	14180300	2010-01-25	192	A
USGS	14180300	2010-01-26	175	A
USGS	14180300	2010-01-27	152	A
USGS	14180300	2010-01-28	132	A
USGS	14180300	2010-01-29	120	A
USGS	14180300	2010-01-30	118	A
USGS	14180300	2010-01-31	113	A
USGS	14180300	2010-02-01	108	A
USGS	14180300	2010-02-02	108	A
USGS	14180300	2010-02-03	108	A
USGS	14180300	2010-02-04	127	A
USGS	14180300	2010-02-05	142	A
USGS	14180300	2010-02-06	132	A
USGS	14180300	2010-02-07	119	A
USGS	14180300	2010-02-08	107	A
USGS	14180300	2010-02-09	95.8	A
USGS	14180300	2010-02-10	87.6	A
USGS	14180300	2010-02-11	98.2	A
USGS	14180300	2010-02-12	141	A
USGS	14180300	2010-02-13	139	A
USGS	14180300	2010-02-14	140	A
USGS	14180300	2010-02-15	135	A
USGS	14180300	2010-02-16	130	A
USGS	14180300	2010-02-17	120	A
USGS	14180300	2010-02-18	107	A
USGS	14180300	2010-02-19	96.4	A
USGS	14180300	2010-02-20	86.6	A
USGS	14180300	2010-02-21	77.9	A
USGS	14180300	2010-02-22	71.0	A
USGS	14180300	2010-02-23	68.2	A
USGS	14180300	2010-02-24	92.6	A
USGS	14180300	2010-02-25	105	A
USGS	14180300	2010-02-26	107	A
USGS	14180300	2010-02-27	108	A
USGS	14180300	2010-02-28	98.3	A
USGS	14180300	2010-03-01	89.1	A
USGS	14180300	2010-03-02	82.7	A
USGS	14180300	2010-03-03	79.2	A
USGS	14180300	2010-03-04	76.4	A
USGS	14180300	2010-03-05	70.5	A
USGS	14180300	2010-03-06	65.9	A
USGS	14180300	2010-03-07	61.5	A
USGS	14180300	2010-03-08	59.6	A
USGS	14180300	2010-03-09	55.0	A
USGS	14180300	2010-03-10	53.3	A
USGS	14180300	2010-03-11	68.5	A
USGS	14180300	2010-03-12	122	A
USGS	14180300	2010-03-13	108	A
USGS	14180300	2010-03-14	94.4	A
USGS	14180300	2010-03-15	87.1	A
USGS	14180300	2010-03-16	83.5	A
USGS	14180300	2010-03-17	80.1	A
USGS	14180300	2010-03-18	75.2	A
USGS	14180300	2010-03-19	70.0	A
USGS	14180300	2010-03-20	65.6	A
USGS	14180300	2010-03-21	72.0	A
USGS	14180300	2010-03-22	85.1	A
USGS	14180300	2010-03-23	80.6	A
USGS	14180300	2010-03-24	75.1	A
USGS	14180300	2010-03-25	85.1	A
USGS	14180300	2010-03-26	119	A
USGS	14180300	2010-03-27	118	A
USGS	14180300	2010-03-28	141	A
USGS	14180300	2010-03-29	892	A
USGS	14180300	2010-03-30	675	A
USGS	14180300	2010-03-31	392	A
USGS	14180300	2010-04-01	271	A
USGS	14180300	2010-04-02	252	A
USGS	14180300	2010-04-03	232	A
USGS	14180300	2010-04-04	189	A
USGS	14180300	2010-04-05	163	A
USGS	14180300	2010-04-06	152	A
USGS	14180300	2010-04-07	151	A
USGS	14180300	2010-04-08	170	A
USGS	14180300	2010-04-09	153	A
USGS	14180300	2010-04-10	137	A
USGS	14180300	2010-04-11	129	A
USGS	14180300	2010-04-12	149	A
USGS	14180300	2010-04-13	162	A
USGS	14180300	2010-04-14	180	A
USGS	14180300	2010-04-15	297	A
USGS	14180300	2010-04-16	253	A
USGS	14180300	2010-04-17	235	A
USGS	14180300	2010-04-18	224	A
USGS	14180300	2010-04-19	223	A
USGS	14180300	2010-04-20	222	A
USGS	14180300	2010-04-21	217	A
USGS	14180300	2010-04-22	180	A
USGS	14180300	2010-04-23	153	A
USGS	14180300	2010-04-24	142	A
USGS	14180300	2010-04-25	127	A
USGS	14180300	2010-04-26	118	A
USGS	14180300	2010-04-27	179	A
USGS	14180300	2010-04-28	201	A
USGS	14180300	2010-04-29	202	A
USGS	14180300	2010-04-30	197	A
