# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:50:54 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14181500 NORTH SANTIAM RIVER AT NIAGARA, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14181500
#            TS   parameter     statistic     Description
#        113937       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	113937_00060_00003	113937_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14181500	2010-01-01	2890	A
USGS	14181500	2010-01-02	2910	A
USGS	14181500	2010-01-03	2800	A
USGS	14181500	2010-01-04	2780	A
USGS	14181500	2010-01-05	4860	A
USGS	14181500	2010-01-06	8630	A
USGS	14181500	2010-01-07	8610	A
USGS	14181500	2010-01-08	8380	A
USGS	14181500	2010-01-09	8340	A
USGS	14181500	2010-01-10	8420	A
USGS	14181500	2010-01-11	8420	A
USGS	14181500	2010-01-12	7740	A
USGS	14181500	2010-01-13	6320	A
USGS	14181500	2010-01-14	4390	A
USGS	14181500	2010-01-15	2850	A
USGS	14181500	2010-01-16	1610	A
USGS	14181500	2010-01-17	1440	A
USGS	14181500	2010-01-18	1530	A
USGS	14181500	2010-01-19	1570	A
USGS	14181500	2010-01-20	1580	A
USGS	14181500	2010-01-21	1560	A
USGS	14181500	2010-01-22	1460	A
USGS	14181500	2010-01-23	1550	A
USGS	14181500	2010-01-24	1570	A
USGS	14181500	2010-01-25	1570	A
