# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:50:55 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14182500 LITTLE NORTH SANTIAM RIVER NEAR MEHAMA, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14182500
#            TS   parameter     statistic     Description
#        113985       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	113985_00060_00003	113985_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14182500	2010-01-01	3590	A
USGS	14182500	2010-01-02	2850	A
USGS	14182500	2010-01-03	1740	A
USGS	14182500	2010-01-04	1370	A
USGS	14182500	2010-01-05	3750	A
USGS	14182500	2010-01-06	3710	A
USGS	14182500	2010-01-07	2220	A
USGS	14182500	2010-01-08	1480	A
USGS	14182500	2010-01-09	1260	A
USGS	14182500	2010-01-10	1050	A
USGS	14182500	2010-01-11	880	A
USGS	14182500	2010-01-12	850	A
USGS	14182500	2010-01-13	899	A
USGS	14182500	2010-01-14	1000	A
USGS	14182500	2010-01-15	850	A
USGS	14182500	2010-01-16	1480	A
USGS	14182500	2010-01-17	1620	A
USGS	14182500	2010-01-18	1450	A
USGS	14182500	2010-01-19	1070	A
USGS	14182500	2010-01-20	846	A
USGS	14182500	2010-01-21	700	A
USGS	14182500	2010-01-22	623	A
USGS	14182500	2010-01-23	560	A
USGS	14182500	2010-01-24	577	A
USGS	14182500	2010-01-25	1110	A
USGS	14182500	2010-01-26	977	A
USGS	14182500	2010-01-27	783	A
USGS	14182500	2010-01-28	659	A
USGS	14182500	2010-01-29	576	A
USGS	14182500	2010-01-30	536	A
USGS	14182500	2010-01-31	533	A
USGS	14182500	2010-02-01	511	A
USGS	14182500	2010-02-02	553	A
USGS	14182500	2010-02-03	532	A
USGS	14182500	2010-02-04	615	A
USGS	14182500	2010-02-05	664	A
USGS	14182500	2010-02-06	614	A
USGS	14182500	2010-02-07	551	A
USGS	14182500	2010-02-08	493	A
USGS	14182500	2010-02-09	442	A
USGS	14182500	2010-02-10	405	A
USGS	14182500	2010-02-11	573	A
USGS	14182500	2010-02-12	852	A
USGS	14182500	2010-02-13	841	A
USGS	14182500	2010-02-14	802	A
USGS	14182500	2010-02-15	844	A
USGS	14182500	2010-02-16	816	A
USGS	14182500	2010-02-17	757	A
USGS	14182500	2010-02-18	647	A
USGS	14182500	2010-02-19	557	A
USGS	14182500	2010-02-20	484	A
USGS	14182500	2010-02-21	423	A
USGS	14182500	2010-02-22	375	A
USGS	14182500	2010-02-23	352	A
USGS	14182500	2010-02-24	602	A
USGS	14182500	2010-02-25	992	A
USGS	14182500	2010-02-26	830	A
USGS	14182500	2010-02-27	791	A
USGS	14182500	2010-02-28	664	A
USGS	14182500	2010-03-01	562	A
USGS	14182500	2010-03-02	495	A
USGS	14182500	2010-03-03	444	A
USGS	14182500	2010-03-04	414	A
USGS	14182500	2010-03-05	372	A
USGS	14182500	2010-03-06	340	A
USGS	14182500	2010-03-07	315	A
USGS	14182500	2010-03-08	313	A
USGS	14182500	2010-03-09	288	A
USGS	14182500	2010-03-10	286	A
USGS	14182500	2010-03-11	368	A
USGS	14182500	2010-03-12	1110	A
USGS	14182500	2010-03-13	950	A
USGS	14182500	2010-03-14	720	A
USGS	14182500	2010-03-15	643	A
USGS	14182500	2010-03-16	699	A
USGS	14182500	2010-03-17	708	A
USGS	14182500	2010-03-18	604	A
USGS	14182500	2010-03-19	521	A
USGS	14182500	2010-03-20	461	A
USGS	14182500	2010-03-21	514	A
USGS	14182500	2010-03-22	869	A
USGS	14182500	2010-03-23	770	A
USGS	14182500	2010-03-24	633	A
USGS	14182500	2010-03-25	667	A
USGS	14182500	2010-03-26	1170	A
USGS	14182500	2010-03-27	1070	A
USGS	14182500	2010-03-28	1090	A
USGS	14182500	2010-03-29	4280	A
USGS	14182500	2010-03-30	3160	A
USGS	14182500	2010-03-31	1970	A
USGS	14182500	2010-04-01	1410	A
USGS	14182500	2010-04-02	1340	A
USGS	14182500	2010-04-03	1380	A
USGS	14182500	2010-04-04	1100	A
USGS	14182500	2010-04-05	937	A
USGS	14182500	2010-04-06	929	A
USGS	14182500	2010-04-07	944	A
USGS	14182500	2010-04-08	1100	A
USGS	14182500	2010-04-09	950	A
USGS	14182500	2010-04-10	805	A
USGS	14182500	2010-04-11	754	A
USGS	14182500	2010-04-12	872	A
USGS	14182500	2010-04-13	1100	A
USGS	14182500	2010-04-14	1170	A
USGS	14182500	2010-04-15	1670	A
USGS	14182500	2010-04-16	1370	A
USGS	14182500	2010-04-17	1290	A
USGS	14182500	2010-04-18	1190	A
USGS	14182500	2010-04-19	1190	A
USGS	14182500	2010-04-20	1140	A
USGS	14182500	2010-04-21	994	A
USGS	14182500	2010-04-22	783	A
USGS	14182500	2010-04-23	647	A
USGS	14182500	2010-04-24	640	A
USGS	14182500	2010-04-25	600	A
USGS	14182500	2010-04-26	549	A
USGS	14182500	2010-04-27	1080	A
USGS	14182500	2010-04-28	1490	A
USGS	14182500	2010-04-29	1490	A
USGS	14182500	2010-04-30	1290	A
USGS	14182500	2010-05-01	1140	A
USGS	14182500	2010-05-02	1110	A
USGS	14182500	2010-05-03	1800	A
USGS	14182500	2010-05-04	1710	A
USGS	14182500	2010-05-05	1120	A
USGS	14182500	2010-05-06	897	A
USGS	14182500	2010-05-07	771	A
USGS	14182500	2010-05-08	689	A
USGS	14182500	2010-05-09	641	A
USGS	14182500	2010-05-10	757	A
USGS	14182500	2010-05-11	807	A
USGS	14182500	2010-05-12	723	A
USGS	14182500	2010-05-13	648	A
USGS	14182500	2010-05-14	618	A
USGS	14182500	2010-05-15	633	A
USGS	14182500	2010-05-16	632	A
USGS	14182500	2010-05-17	598	A
USGS	14182500	2010-05-18	630	A
USGS	14182500	2010-05-19	708	A
USGS	14182500	2010-05-20	1010	A
USGS	14182500	2010-05-21	917	A
USGS	14182500	2010-05-22	924	A
USGS	14182500	2010-05-23	906	A
USGS	14182500	2010-05-24	834	A
USGS	14182500	2010-05-25	729	A
USGS	14182500	2010-05-26	787	A
USGS	14182500	2010-05-27	841	A
USGS	14182500	2010-05-28	722	A
USGS	14182500	2010-05-29	739	A
USGS	14182500	2010-05-30	699	A
USGS	14182500	2010-05-31	745	A
USGS	14182500	2010-06-01	872	A
USGS	14182500	2010-06-02	4500	A
USGS	14182500	2010-06-03	3980	A
USGS	14182500	2010-06-04	3320	A
USGS	14182500	2010-06-05	2440	A
USGS	14182500	2010-06-06	1630	A
USGS	14182500	2010-06-07	2140	A
USGS	14182500	2010-06-08	1470	A
USGS	14182500	2010-06-09	1200	A
USGS	14182500	2010-06-10	1720	A
USGS	14182500	2010-06-11	1690	A
USGS	14182500	2010-06-12	1200	A
USGS	14182500	2010-06-13	920	A
USGS	14182500	2010-06-14	751	A
USGS	14182500	2010-06-15	636	A
USGS	14182500	2010-06-16	581	A
USGS	14182500	2010-06-17	571	A
USGS	14182500	2010-06-18	513	A
USGS	14182500	2010-06-19	458	A
USGS	14182500	2010-06-20	427	A
USGS	14182500	2010-06-21	406	A
USGS	14182500	2010-06-22	370	A
USGS	14182500	2010-06-23	340	A
USGS	14182500	2010-06-24	315	A
USGS	14182500	2010-06-25	292	A
USGS	14182500	2010-06-26	272	A
USGS	14182500	2010-06-27	252	A
USGS	14182500	2010-06-28	235	A
USGS	14182500	2010-06-29	218	A
USGS	14182500	2010-06-30	204	A
USGS	14182500	2010-07-01	192	A
USGS	14182500	2010-07-02	229	A
USGS	14182500	2010-07-03	219	A
USGS	14182500	2010-07-04	196	A
USGS	14182500	2010-07-05	180	A
USGS	14182500	2010-07-06	168	A
USGS	14182500	2010-07-07	156	A
USGS	14182500	2010-07-08	146	A
USGS	14182500	2010-07-09	137	A
USGS	14182500	2010-07-10	129	A
USGS	14182500	2010-07-11	123	A
USGS	14182500	2010-07-12	118	A
USGS	14182500	2010-07-13	112	A
USGS	14182500	2010-07-14	109	A
USGS	14182500	2010-07-15	104	A
USGS	14182500	2010-07-16	99.8	A
USGS	14182500	2010-07-17	95.9	A
USGS	14182500	2010-07-18	92.6	A
USGS	14182500	2010-07-19	89.9	A
USGS	14182500	2010-07-20	86.9	A
USGS	14182500	2010-07-21	84.5	A
USGS	14182500	2010-07-22	80.9	A
USGS	14182500	2010-07-23	77.0	A
USGS	14182500	2010-07-24	74.9	A
USGS	14182500	2010-07-25	72.4	A
USGS	14182500	2010-07-26	69.4	A
USGS	14182500	2010-07-27	67.0	A
USGS	14182500	2010-07-28	65.4	A
USGS	14182500	2010-07-29	64.0	A
USGS	14182500	2010-07-30	62.2	A
USGS	14182500	2010-07-31	60.9	A
USGS	14182500	2010-08-01	60.6	A
USGS	14182500	2010-08-02	59.3	A
USGS	14182500	2010-08-03	58.0	A
USGS	14182500	2010-08-04	56.8	A
USGS	14182500	2010-08-05	56.0	A
USGS	14182500	2010-08-06	54.3	A
USGS	14182500	2010-08-07	52.6	A
USGS	14182500	2010-08-08	51.6	A
USGS	14182500	2010-08-09	51.0	A
USGS	14182500	2010-08-10	50.8	A
USGS	14182500	2010-08-11	49.8	A
USGS	14182500	2010-08-12	48.4	A
USGS	14182500	2010-08-13	47.2	A
USGS	14182500	2010-08-14	44.4	A
USGS	14182500	2010-08-15	42.7	A
USGS	14182500	2010-08-16	42.3	A
USGS	14182500	2010-08-17	41.2	A
USGS	14182500	2010-08-18	40.6	A
USGS	14182500	2010-08-19	40.6	A
USGS	14182500	2010-08-20	40.1	A
USGS	14182500	2010-08-21	39.2	A
USGS	14182500	2010-08-22	39.0	A
USGS	14182500	2010-08-23	39.1	A
USGS	14182500	2010-08-24	38.1	A
USGS	14182500	2010-08-25	36.4	A
USGS	14182500	2010-08-26	35.2	A
USGS	14182500	2010-08-27	35.1	A
USGS	14182500	2010-08-28	35.1	A
USGS	14182500	2010-08-29	34.7	A
USGS	14182500	2010-08-30	36.4	A
USGS	14182500	2010-08-31	37.6	A
USGS	14182500	2010-09-01	55.8	A
USGS	14182500	2010-09-02	64.2	A
USGS	14182500	2010-09-03	46.6	A
USGS	14182500	2010-09-04	40.5	A
USGS	14182500	2010-09-05	38.3	A
USGS	14182500	2010-09-06	37.1	A
USGS	14182500	2010-09-07	37.5	A
USGS	14182500	2010-09-08	41.8	A
USGS	14182500	2010-09-09	49.4	A
USGS	14182500	2010-09-10	50.5	A
USGS	14182500	2010-09-11	44.0	A
USGS	14182500	2010-09-12	39.8	A
USGS	14182500	2010-09-13	37.4	A
USGS	14182500	2010-09-14	35.5	A
USGS	14182500	2010-09-15	34.8	A
USGS	14182500	2010-09-16	37.1	A
USGS	14182500	2010-09-17	40.1	A
USGS	14182500	2010-09-18	58.8	A
USGS	14182500	2010-09-19	162	A
USGS	14182500	2010-09-20	519	A
USGS	14182500	2010-09-21	235	A
USGS	14182500	2010-09-22	142	A
USGS	14182500	2010-09-23	109	A
USGS	14182500	2010-09-24	108	A
USGS	14182500	2010-09-25	94.4	A
USGS	14182500	2010-09-26	82.5	A
USGS	14182500	2010-09-27	75.7	A
USGS	14182500	2010-09-28	69.7	A
USGS	14182500	2010-09-29	65.5	A
USGS	14182500	2010-09-30	62.0	A
USGS	14182500	2010-10-01	58.7	A
USGS	14182500	2010-10-02	56.2	A
USGS	14182500	2010-10-03	54.3	A
USGS	14182500	2010-10-04	53.2	A
USGS	14182500	2010-10-05	51.7	A
USGS	14182500	2010-10-06	49.3	A
USGS	14182500	2010-10-07	47.8	A
USGS	14182500	2010-10-08	47.7	A
USGS	14182500	2010-10-09	74.4	A
USGS	14182500	2010-10-10	243	A
USGS	14182500	2010-10-11	305	A
USGS	14182500	2010-10-12	179	A
USGS	14182500	2010-10-13	133	A
USGS	14182500	2010-10-14	109	A
USGS	14182500	2010-10-15	95.5	A
USGS	14182500	2010-10-16	86.4	A
USGS	14182500	2010-10-17	79.6	A
USGS	14182500	2010-10-18	74.6	A
