# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:50:56 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14183000 NORTH SANTIAM RIVER AT MEHAMA, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14183000
#            TS   parameter     statistic     Description
#        114004       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	114004_00060_00003	114004_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14183000	2010-01-01	8410	A
USGS	14183000	2010-01-02	7500	A
USGS	14183000	2010-01-03	5850	A
USGS	14183000	2010-01-04	5270	A
USGS	14183000	2010-01-05	9840	A
USGS	14183000	2010-01-06	13800	A
USGS	14183000	2010-01-07	12200	A
USGS	14183000	2010-01-08	11000	A
USGS	14183000	2010-01-09	10600	A
USGS	14183000	2010-01-10	10400	A
USGS	14183000	2010-01-11	10200	A
USGS	14183000	2010-01-12	9690	A
USGS	14183000	2010-01-13	8410	A
USGS	14183000	2010-01-14	6680	A
USGS	14183000	2010-01-15	4690	A
USGS	14183000	2010-01-16	4220	A
USGS	14183000	2010-01-17	4050	A
USGS	14183000	2010-01-18	3990	A
USGS	14183000	2010-01-19	3500	A
USGS	14183000	2010-01-20	3160	A
USGS	14183000	2010-01-21	2880	A
USGS	14183000	2010-01-22	2660	A
USGS	14183000	2010-01-23	2650	A
USGS	14183000	2010-01-24	2680	A
USGS	14183000	2010-01-25	3440	A
USGS	14183000	2010-01-26	3280	A
USGS	14183000	2010-01-27	2970	A
USGS	14183000	2010-01-28	2780	A
USGS	14183000	2010-01-29	2660	A
USGS	14183000	2010-01-30	2370	A
USGS	14183000	2010-01-31	2320	A
USGS	14183000	2010-02-01	2290	A
USGS	14183000	2010-02-02	2350	A
USGS	14183000	2010-02-03	2320	A
USGS	14183000	2010-02-04	2440	A
USGS	14183000	2010-02-05	2500	A
USGS	14183000	2010-02-06	2420	A
USGS	14183000	2010-02-07	2340	A
USGS	14183000	2010-02-08	2260	A
USGS	14183000	2010-02-09	2180	A
USGS	14183000	2010-02-10	2130	A
USGS	14183000	2010-02-11	2330	A
USGS	14183000	2010-02-12	2720	A
USGS	14183000	2010-02-13	2720	A
USGS	14183000	2010-02-14	2670	A
USGS	14183000	2010-02-15	2710	A
USGS	14183000	2010-02-16	2710	A
USGS	14183000	2010-02-17	2610	A
USGS	14183000	2010-02-18	2470	A
USGS	14183000	2010-02-19	2330	A
USGS	14183000	2010-02-20	2220	A
USGS	14183000	2010-02-21	2130	A
USGS	14183000	2010-02-22	2050	A
USGS	14183000	2010-02-23	2010	A
USGS	14183000	2010-02-24	2330	A
USGS	14183000	2010-02-25	2800	A
USGS	14183000	2010-02-26	2630	A
USGS	14183000	2010-02-27	2610	A
USGS	14183000	2010-02-28	2440	A
USGS	14183000	2010-03-01	2240	A
USGS	14183000	2010-03-02	1970	A
USGS	14183000	2010-03-03	1910	A
USGS	14183000	2010-03-04	2000	A
USGS	14183000	2010-03-05	1960	A
USGS	14183000	2010-03-06	1800	A
USGS	14183000	2010-03-07	1760	A
USGS	14183000	2010-03-08	1760	A
USGS	14183000	2010-03-09	1660	A
USGS	14183000	2010-03-10	1670	A
USGS	14183000	2010-03-11	1780	A
USGS	14183000	2010-03-12	3000	A
USGS	14183000	2010-03-13	2850	A
USGS	14183000	2010-03-14	2500	A
USGS	14183000	2010-03-15	2310	A
USGS	14183000	2010-03-16	2340	A
USGS	14183000	2010-03-17	2460	A
USGS	14183000	2010-03-18	2310	A
USGS	14183000	2010-03-19	2190	A
USGS	14183000	2010-03-20	2060	A
USGS	14183000	2010-03-21	2110	A
USGS	14183000	2010-03-22	2530	A
USGS	14183000	2010-03-23	2390	A
USGS	14183000	2010-03-24	2210	A
USGS	14183000	2010-03-25	2330	A
USGS	14183000	2010-03-26	3200	A
USGS	14183000	2010-03-27	3060	A
USGS	14183000	2010-03-28	3040	A
USGS	14183000	2010-03-29	8410	A
USGS	14183000	2010-03-30	7110	A
USGS	14183000	2010-03-31	4900	A
USGS	14183000	2010-04-01	3910	A
USGS	14183000	2010-04-02	3840	A
USGS	14183000	2010-04-03	4060	A
USGS	14183000	2010-04-04	3440	A
USGS	14183000	2010-04-05	3040	A
USGS	14183000	2010-04-06	2970	A
USGS	14183000	2010-04-07	3830	A
USGS	14183000	2010-04-08	5280	A
USGS	14183000	2010-04-09	5390	A
USGS	14183000	2010-04-10	4130	A
USGS	14183000	2010-04-11	3060	A
USGS	14183000	2010-04-12	2740	A
USGS	14183000	2010-04-13	3010	A
USGS	14183000	2010-04-14	3110	A
USGS	14183000	2010-04-15	3990	A
USGS	14183000	2010-04-16	3870	A
USGS	14183000	2010-04-17	3370	A
USGS	14183000	2010-04-18	3190	A
USGS	14183000	2010-04-19	3150	A
USGS	14183000	2010-04-20	3050	A
USGS	14183000	2010-04-21	2930	A
