# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:50:57 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14184100 NORTH SANTIAM R AT GREENS BRIDGE, NR JEFFERSON, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14184100
#            TS   parameter     statistic     Description
#        114034       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	114034_00060_00003	114034_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14184100	2010-01-01	8770	A
USGS	14184100	2010-01-02	8080	A
USGS	14184100	2010-01-03	6340	A
USGS	14184100	2010-01-04	5500	A
USGS	14184100	2010-01-05	8860	A
USGS	14184100	2010-01-06	14400	A
USGS	14184100	2010-01-07	13800	A
USGS	14184100	2010-01-08	11900	A
USGS	14184100	2010-01-09	11300	A
USGS	14184100	2010-01-10	10900	A
USGS	14184100	2010-01-11	10500	A
USGS	14184100	2010-01-12	10300	A
USGS	14184100	2010-01-13	8830	A
USGS	14184100	2010-01-14	7310	A
USGS	14184100	2010-01-15	5380	A
USGS	14184100	2010-01-16	5090	A
USGS	14184100	2010-01-17	4740	A
USGS	14184100	2010-01-18	4750	A
USGS	14184100	2010-01-19	4200	A
USGS	14184100	2010-01-20	3770	A
USGS	14184100	2010-01-21	3430	A
USGS	14184100	2010-01-22	3120	A
USGS	14184100	2010-01-23	3110	A
USGS	14184100	2010-01-24	3030	A
USGS	14184100	2010-01-25	3820	A
USGS	14184100	2010-01-26	3810	A
USGS	14184100	2010-01-27	3450	A
USGS	14184100	2010-01-28	3220	A
USGS	14184100	2010-01-29	3050	A
USGS	14184100	2010-01-30	2800	A
USGS	14184100	2010-01-31	2640	A
USGS	14184100	2010-02-01	2580	A
USGS	14184100	2010-02-02	2670	A
USGS	14184100	2010-02-03	2610	A
USGS	14184100	2010-02-04	2710	A
USGS	14184100	2010-02-05	2780	A
USGS	14184100	2010-02-06	2710	A
USGS	14184100	2010-02-07	2620	A
USGS	14184100	2010-02-08	2500	A
USGS	14184100	2010-02-09	2400	A
USGS	14184100	2010-02-10	2330	A
USGS	14184100	2010-02-11	2460	A
USGS	14184100	2010-02-12	2940	A
USGS	14184100	2010-02-13	3090	A
USGS	14184100	2010-02-14	3030	A
USGS	14184100	2010-02-15	3110	A
USGS	14184100	2010-02-16	3150	A
USGS	14184100	2010-02-17	3080	A
USGS	14184100	2010-02-18	2910	A
USGS	14184100	2010-02-19	2700	A
USGS	14184100	2010-02-20	2530	A
USGS	14184100	2010-02-21	2400	A
USGS	14184100	2010-02-22	2280	A
USGS	14184100	2010-02-23	2200	A
USGS	14184100	2010-02-24	2490	A
USGS	14184100	2010-02-25	3180	A
USGS	14184100	2010-02-26	3150	A
USGS	14184100	2010-02-27	3100	A
USGS	14184100	2010-02-28	2890	A
USGS	14184100	2010-03-01	2670	A
USGS	14184100	2010-03-02	2300	A
USGS	14184100	2010-03-03	2180	A
USGS	14184100	2010-03-04	2210	A
USGS	14184100	2010-03-05	2220	A
USGS	14184100	2010-03-06	2020	A
USGS	14184100	2010-03-07	1950	A
USGS	14184100	2010-03-08	1970	A
USGS	14184100	2010-03-09	1850	A
USGS	14184100	2010-03-10	1840	A
USGS	14184100	2010-03-11	1850	A
USGS	14184100	2010-03-12	3060	A
USGS	14184100	2010-03-13	3470	A
USGS	14184100	2010-03-14	3040	A
USGS	14184100	2010-03-15	2730	A
USGS	14184100	2010-03-16	2670	A
USGS	14184100	2010-03-17	2770	A
USGS	14184100	2010-03-18	2630	A
USGS	14184100	2010-03-19	2480	A
USGS	14184100	2010-03-20	2320	A
USGS	14184100	2010-03-21	2280	A
USGS	14184100	2010-03-22	2780	A
USGS	14184100	2010-03-23	2720	A
USGS	14184100	2010-03-24	2500	A
USGS	14184100	2010-03-25	2570	A
USGS	14184100	2010-03-26	3530	A
USGS	14184100	2010-03-27	3620	A
USGS	14184100	2010-03-28	3480	A
USGS	14184100	2010-03-29	8120	A
USGS	14184100	2010-03-30	8840	A
USGS	14184100	2010-03-31	6130	A
USGS	14184100	2010-04-01	4860	A
USGS	14184100	2010-04-02	4470	A
USGS	14184100	2010-04-03	4900	A
USGS	14184100	2010-04-04	4270	A
USGS	14184100	2010-04-05	3810	A
USGS	14184100	2010-04-06	3590	A
USGS	14184100	2010-04-07	4060	A
USGS	14184100	2010-04-08	5230	A
USGS	14184100	2010-04-09	5670	A
USGS	14184100	2010-04-10	4730	A
