# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:50:58 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14185000 SOUTH SANTIAM RIVER BELOW CASCADIA, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14185000
#            TS   parameter     statistic     Description
#        114038       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	114038_00060_00003	114038_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14185000	2010-01-01	4040	A
USGS	14185000	2010-01-02	2870	A
USGS	14185000	2010-01-03	1930	A
USGS	14185000	2010-01-04	1490	A
USGS	14185000	2010-01-05	1850	A
USGS	14185000	2010-01-06	3540	A
USGS	14185000	2010-01-07	2330	A
USGS	14185000	2010-01-08	1690	A
USGS	14185000	2010-01-09	1410	A
USGS	14185000	2010-01-10	1160	A
USGS	14185000	2010-01-11	986	A
USGS	14185000	2010-01-12	971	A
USGS	14185000	2010-01-13	972	A
USGS	14185000	2010-01-14	1130	A
USGS	14185000	2010-01-15	985	A
USGS	14185000	2010-01-16	1410	A
USGS	14185000	2010-01-17	1520	A
USGS	14185000	2010-01-18	1490	A
USGS	14185000	2010-01-19	1200	A
USGS	14185000	2010-01-20	979	A
USGS	14185000	2010-01-21	821	A
USGS	14185000	2010-01-22	721	A
USGS	14185000	2010-01-23	640	A
USGS	14185000	2010-01-24	660	A
USGS	14185000	2010-01-25	1000	A
USGS	14185000	2010-01-26	943	A
USGS	14185000	2010-01-27	802	A
USGS	14185000	2010-01-28	699	A
USGS	14185000	2010-01-29	631	A
USGS	14185000	2010-01-30	607	A
USGS	14185000	2010-01-31	606	A
USGS	14185000	2010-02-01	601	A
USGS	14185000	2010-02-02	701	A
USGS	14185000	2010-02-03	674	A
USGS	14185000	2010-02-04	703	A
USGS	14185000	2010-02-05	702	A
USGS	14185000	2010-02-06	660	A
USGS	14185000	2010-02-07	647	A
USGS	14185000	2010-02-08	609	A
USGS	14185000	2010-02-09	564	A
USGS	14185000	2010-02-10	529	A
USGS	14185000	2010-02-11	655	A
USGS	14185000	2010-02-12	1060	A
USGS	14185000	2010-02-13	1030	A
USGS	14185000	2010-02-14	942	A
USGS	14185000	2010-02-15	867	A
USGS	14185000	2010-02-16	854	A
USGS	14185000	2010-02-17	795	A
USGS	14185000	2010-02-18	706	A
USGS	14185000	2010-02-19	625	A
USGS	14185000	2010-02-20	556	A
USGS	14185000	2010-02-21	499	A
USGS	14185000	2010-02-22	451	A
USGS	14185000	2010-02-23	423	A
USGS	14185000	2010-02-24	532	A
USGS	14185000	2010-02-25	688	A
USGS	14185000	2010-02-26	698	A
USGS	14185000	2010-02-27	689	A
USGS	14185000	2010-02-28	598	A
USGS	14185000	2010-03-01	531	A
USGS	14185000	2010-03-02	488	A
USGS	14185000	2010-03-03	482	A
USGS	14185000	2010-03-04	466	A
USGS	14185000	2010-03-05	431	A
USGS	14185000	2010-03-06	401	A
USGS	14185000	2010-03-07	375	A
USGS	14185000	2010-03-08	383	A
USGS	14185000	2010-03-09	348	A
USGS	14185000	2010-03-10	343	A
USGS	14185000	2010-03-11	386	A
USGS	14185000	2010-03-12	755	A
USGS	14185000	2010-03-13	773	A
USGS	14185000	2010-03-14	648	A
USGS	14185000	2010-03-15	592	A
USGS	14185000	2010-03-16	584	A
USGS	14185000	2010-03-17	557	A
USGS	14185000	2010-03-18	508	A
USGS	14185000	2010-03-19	465	A
USGS	14185000	2010-03-20	430	A
USGS	14185000	2010-03-21	460	A
USGS	14185000	2010-03-22	605	A
USGS	14185000	2010-03-23	558	A
USGS	14185000	2010-03-24	508	A
USGS	14185000	2010-03-25	650	A
USGS	14185000	2010-03-26	1150	A
USGS	14185000	2010-03-27	1150	A
USGS	14185000	2010-03-28	1100	A
USGS	14185000	2010-03-29	5240	A
USGS	14185000	2010-03-30	4460	A
USGS	14185000	2010-03-31	2620	A
USGS	14185000	2010-04-01	1860	A
USGS	14185000	2010-04-02	1790	A
USGS	14185000	2010-04-03	1770	A
USGS	14185000	2010-04-04	1420	A
USGS	14185000	2010-04-05	1210	A
USGS	14185000	2010-04-06	1140	A
USGS	14185000	2010-04-07	1180	A
USGS	14185000	2010-04-08	1320	A
USGS	14185000	2010-04-09	1160	A
USGS	14185000	2010-04-10	1020	A
USGS	14185000	2010-04-11	1030	A
USGS	14185000	2010-04-12	1090	A
USGS	14185000	2010-04-13	1210	A
USGS	14185000	2010-04-14	1400	A
USGS	14185000	2010-04-15	1770	A
USGS	14185000	2010-04-16	1570	A
USGS	14185000	2010-04-17	1430	A
USGS	14185000	2010-04-18	1340	A
USGS	14185000	2010-04-19	1290	A
USGS	14185000	2010-04-20	1310	A
USGS	14185000	2010-04-21	1560	A
USGS	14185000	2010-04-22	1280	A
USGS	14185000	2010-04-23	1080	A
USGS	14185000	2010-04-24	1020	A
USGS	14185000	2010-04-25	906	A
USGS	14185000	2010-04-26	828	A
