# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:50:59 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14185900 QUARTZVILLE CREEK NEAR CASCADIA, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14185900
#            TS   parameter     statistic     Description
#        114049       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	114049_00060_00003	114049_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14185900	2010-01-01	4090	A
USGS	14185900	2010-01-02	2650	A
USGS	14185900	2010-01-03	1530	A
USGS	14185900	2010-01-04	1180	A
USGS	14185900	2010-01-05	3200	A
USGS	14185900	2010-01-06	3460	A
USGS	14185900	2010-01-07	1860	A
USGS	14185900	2010-01-08	1220	A
USGS	14185900	2010-01-09	1040	A
USGS	14185900	2010-01-10	859	A
USGS	14185900	2010-01-11	706	A
USGS	14185900	2010-01-12	692	A
USGS	14185900	2010-01-13	823	A
USGS	14185900	2010-01-14	1020	A
USGS	14185900	2010-01-15	819	A
USGS	14185900	2010-01-16	1580	A
USGS	14185900	2010-01-17	1780	A
USGS	14185900	2010-01-18	1420	A
USGS	14185900	2010-01-19	1000	A
USGS	14185900	2010-01-20	763	A
USGS	14185900	2010-01-21	618	A
USGS	14185900	2010-01-22	536	A
USGS	14185900	2010-01-23	471	A
USGS	14185900	2010-01-24	538	A
USGS	14185900	2010-01-25	1110	A
USGS	14185900	2010-01-26	886	A
