# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:51:01 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14187000 WILEY CREEK NEAR FOSTER, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14187000
#            TS   parameter     statistic     Description
#        114062       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	114062_00060_00003	114062_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14187000	2010-01-01	1100	A
USGS	14187000	2010-01-02	751	A
USGS	14187000	2010-01-03	500	A
USGS	14187000	2010-01-04	363	A
USGS	14187000	2010-01-05	329	A
USGS	14187000	2010-01-06	628	A
USGS	14187000	2010-01-07	486	A
USGS	14187000	2010-01-08	374	A
USGS	14187000	2010-01-09	302	A
USGS	14187000	2010-01-10	246	A
USGS	14187000	2010-01-11	212	A
USGS	14187000	2010-01-12	211	A
USGS	14187000	2010-01-13	231	A
USGS	14187000	2010-01-14	286	A
USGS	14187000	2010-01-15	247	A
USGS	14187000	2010-01-16	374	A
USGS	14187000	2010-01-17	443	A
USGS	14187000	2010-01-18	430	A
USGS	14187000	2010-01-19	331	A
USGS	14187000	2010-01-20	260	A
USGS	14187000	2010-01-21	219	A
USGS	14187000	2010-01-22	190	A
USGS	14187000	2010-01-23	164	A
USGS	14187000	2010-01-24	164	A
USGS	14187000	2010-01-25	219	A
USGS	14187000	2010-01-26	204	A
USGS	14187000	2010-01-27	178	A
USGS	14187000	2010-01-28	161	A
USGS	14187000	2010-01-29	145	A
USGS	14187000	2010-01-30	144	A
USGS	14187000	2010-01-31	147	A
USGS	14187000	2010-02-01	153	A
USGS	14187000	2010-02-02	173	A
USGS	14187000	2010-02-03	171	A
USGS	14187000	2010-02-04	182	A
USGS	14187000	2010-02-05	173	A
USGS	14187000	2010-02-06	161	A
USGS	14187000	2010-02-07	158	A
USGS	14187000	2010-02-08	144	A
USGS	14187000	2010-02-09	133	A
USGS	14187000	2010-02-10	125	A
USGS	14187000	2010-02-11	147	A
USGS	14187000	2010-02-12	233	A
USGS	14187000	2010-02-13	222	A
USGS	14187000	2010-02-14	213	A
USGS	14187000	2010-02-15	201	A
USGS	14187000	2010-02-16	212	A
USGS	14187000	2010-02-17	196	A
USGS	14187000	2010-02-18	176	A
USGS	14187000	2010-02-19	157	A
USGS	14187000	2010-02-20	138	A
USGS	14187000	2010-02-21	123	A
USGS	14187000	2010-02-22	113	A
USGS	14187000	2010-02-23	110	A
USGS	14187000	2010-02-24	144	A
USGS	14187000	2010-02-25	173	A
USGS	14187000	2010-02-26	179	A
USGS	14187000	2010-02-27	177	A
USGS	14187000	2010-02-28	154	A
USGS	14187000	2010-03-01	136	A
USGS	14187000	2010-03-02	124	A
USGS	14187000	2010-03-03	122	A
USGS	14187000	2010-03-04	121	A
USGS	14187000	2010-03-05	111	A
USGS	14187000	2010-03-06	103	A
USGS	14187000	2010-03-07	96.7	A
USGS	14187000	2010-03-08	113	A
USGS	14187000	2010-03-09	103	A
USGS	14187000	2010-03-10	102	A
USGS	14187000	2010-03-11	136	A
USGS	14187000	2010-03-12	318	A
USGS	14187000	2010-03-13	290	A
USGS	14187000	2010-03-14	218	A
USGS	14187000	2010-03-15	186	A
USGS	14187000	2010-03-16	173	A
USGS	14187000	2010-03-17	158	A
USGS	14187000	2010-03-18	141	A
USGS	14187000	2010-03-19	128	A
USGS	14187000	2010-03-20	118	A
USGS	14187000	2010-03-21	125	A
USGS	14187000	2010-03-22	139	A
USGS	14187000	2010-03-23	123	A
USGS	14187000	2010-03-24	114	A
USGS	14187000	2010-03-25	166	A
USGS	14187000	2010-03-26	382	A
USGS	14187000	2010-03-27	321	A
USGS	14187000	2010-03-28	286	A
USGS	14187000	2010-03-29	1230	A
USGS	14187000	2010-03-30	1220	A
USGS	14187000	2010-03-31	757	A
USGS	14187000	2010-04-01	510	A
USGS	14187000	2010-04-02	595	A
USGS	14187000	2010-04-03	585	A
USGS	14187000	2010-04-04	444	A
USGS	14187000	2010-04-05	371	A
USGS	14187000	2010-04-06	348	A
USGS	14187000	2010-04-07	336	A
USGS	14187000	2010-04-08	361	A
USGS	14187000	2010-04-09	312	A
USGS	14187000	2010-04-10	270	A
USGS	14187000	2010-04-11	265	A
USGS	14187000	2010-04-12	267	A
USGS	14187000	2010-04-13	311	A
USGS	14187000	2010-04-14	350	A
USGS	14187000	2010-04-15	478	A
