# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:51:02 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14187200 SOUTH SANTIAM RIVER NEAR FOSTER, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14187200
#            TS   parameter     statistic     Description
#        114067       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	114067_00060_00003	114067_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14187200	2010-01-01	7330	A
USGS	14187200	2010-01-02	7870	A
USGS	14187200	2010-01-03	6920	A
USGS	14187200	2010-01-04	5860	A
USGS	14187200	2010-01-05	7860	A
USGS	14187200	2010-01-06	10000	A
USGS	14187200	2010-01-07	10100	A
USGS	14187200	2010-01-08	9760	A
USGS	14187200	2010-01-09	9130	A
USGS	14187200	2010-01-10	8600	A
USGS	14187200	2010-01-11	7040	A
USGS	14187200	2010-01-12	6550	A
USGS	14187200	2010-01-13	6670	A
USGS	14187200	2010-01-14	5230	A
USGS	14187200	2010-01-15	3840	A
USGS	14187200	2010-01-16	3270	A
USGS	14187200	2010-01-17	3560	A
USGS	14187200	2010-01-18	3640	A
USGS	14187200	2010-01-19	3400	A
USGS	14187200	2010-01-20	3180	A
USGS	14187200	2010-01-21	3000	A
USGS	14187200	2010-01-22	2510	A
USGS	14187200	2010-01-23	2480	A
USGS	14187200	2010-01-24	2470	A
USGS	14187200	2010-01-25	2590	A
USGS	14187200	2010-01-26	2540	A
USGS	14187200	2010-01-27	2350	A
USGS	14187200	2010-01-28	2220	A
USGS	14187200	2010-01-29	2090	A
USGS	14187200	2010-01-30	2000	A
USGS	14187200	2010-01-31	2000	A
USGS	14187200	2010-02-01	1990	A
USGS	14187200	2010-02-02	2040	A
USGS	14187200	2010-02-03	2040	A
USGS	14187200	2010-02-04	2170	A
USGS	14187200	2010-02-05	2180	A
USGS	14187200	2010-02-06	1790	A
USGS	14187200	2010-02-07	1480	A
USGS	14187200	2010-02-08	1320	A
USGS	14187200	2010-02-09	1300	A
USGS	14187200	2010-02-10	1120	A
USGS	14187200	2010-02-11	1060	A
USGS	14187200	2010-02-12	1180	A
USGS	14187200	2010-02-13	1170	A
USGS	14187200	2010-02-14	1160	A
USGS	14187200	2010-02-15	1160	A
USGS	14187200	2010-02-16	1180	A
USGS	14187200	2010-02-17	1170	A
USGS	14187200	2010-02-18	1140	A
USGS	14187200	2010-02-19	1090	A
USGS	14187200	2010-02-20	1030	A
USGS	14187200	2010-02-21	1010	A
USGS	14187200	2010-02-22	1000	A
USGS	14187200	2010-02-23	1000	A
USGS	14187200	2010-02-24	1040	A
USGS	14187200	2010-02-25	1070	A
USGS	14187200	2010-02-26	1080	A
USGS	14187200	2010-02-27	1080	A
USGS	14187200	2010-02-28	1060	A
USGS	14187200	2010-03-01	1040	A
USGS	14187200	2010-03-02	1230	A
USGS	14187200	2010-03-03	1000	A
USGS	14187200	2010-03-04	1020	A
USGS	14187200	2010-03-05	1010	A
USGS	14187200	2010-03-06	998	A
USGS	14187200	2010-03-07	994	A
USGS	14187200	2010-03-08	1010	A
USGS	14187200	2010-03-09	1000	A
USGS	14187200	2010-03-10	998	A
USGS	14187200	2010-03-11	1020	A
USGS	14187200	2010-03-12	1270	A
USGS	14187200	2010-03-13	1290	A
USGS	14187200	2010-03-14	1210	A
USGS	14187200	2010-03-15	1170	A
USGS	14187200	2010-03-16	1180	A
USGS	14187200	2010-03-17	1240	A
USGS	14187200	2010-03-18	1220	A
USGS	14187200	2010-03-19	1210	A
USGS	14187200	2010-03-20	1210	A
USGS	14187200	2010-03-21	1260	A
USGS	14187200	2010-03-22	1240	A
USGS	14187200	2010-03-23	1220	A
USGS	14187200	2010-03-24	1230	A
USGS	14187200	2010-03-25	1270	A
USGS	14187200	2010-03-26	1340	A
USGS	14187200	2010-03-27	1240	A
USGS	14187200	2010-03-28	1240	A
USGS	14187200	2010-03-29	4900	A
USGS	14187200	2010-03-30	6950	A
USGS	14187200	2010-03-31	4890	A
USGS	14187200	2010-04-01	5030	A
USGS	14187200	2010-04-02	5890	A
USGS	14187200	2010-04-03	5370	A
USGS	14187200	2010-04-04	4830	A
USGS	14187200	2010-04-05	4010	A
USGS	14187200	2010-04-06	3710	A
USGS	14187200	2010-04-07	3930	A
USGS	14187200	2010-04-08	4500	A
USGS	14187200	2010-04-09	4720	A
USGS	14187200	2010-04-10	4070	A
USGS	14187200	2010-04-11	3350	A
USGS	14187200	2010-04-12	2590	A
USGS	14187200	2010-04-13	2690	A
USGS	14187200	2010-04-14	3250	A
USGS	14187200	2010-04-15	3630	A
USGS	14187200	2010-04-16	3380	A
USGS	14187200	2010-04-17	2810	A
USGS	14187200	2010-04-18	2840	A
USGS	14187200	2010-04-19	2720	A
USGS	14187200	2010-04-20	3750	A
USGS	14187200	2010-04-21	4440	A
USGS	14187200	2010-04-22	4550	A
USGS	14187200	2010-04-23	3600	A
USGS	14187200	2010-04-24	3580	A
USGS	14187200	2010-04-25	3030	A
USGS	14187200	2010-04-26	3210	A
USGS	14187200	2010-04-27	4800	A
