# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:51:04 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14188610 SCHAFER CREEK NEAR LACOMB, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14188610
#            TS   parameter     statistic     Description
#        114088       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	114088_00060_00003	114088_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14188610	2010-01-01	35.9	A
USGS	14188610	2010-01-02	22.3	A
USGS	14188610	2010-01-03	12.2	A
USGS	14188610	2010-01-04	11.9	A
USGS	14188610	2010-01-05	50.2	A
USGS	14188610	2010-01-06	39.9	A
USGS	14188610	2010-01-07	16.4	A
USGS	14188610	2010-01-08	10.1	A
USGS	14188610	2010-01-09	9.43	A
USGS	14188610	2010-01-10	7.28	A
USGS	14188610	2010-01-11	5.73	A
USGS	14188610	2010-01-12	6.58	A
USGS	14188610	2010-01-13	9.08	A
USGS	14188610	2010-01-14	10.3	A
USGS	14188610	2010-01-15	8.65	A
USGS	14188610	2010-01-16	15.9	A
USGS	14188610	2010-01-17	19.0	A
USGS	14188610	2010-01-18	15.1	A
USGS	14188610	2010-01-19	9.64	A
USGS	14188610	2010-01-20	6.69	A
USGS	14188610	2010-01-21	4.88	A
USGS	14188610	2010-01-22	3.92	A
USGS	14188610	2010-01-23	3.23	A
USGS	14188610	2010-01-24	4.54	A
USGS	14188610	2010-01-25	13.0	A
USGS	14188610	2010-01-26	10.1	A
USGS	14188610	2010-01-27	7.54	A
USGS	14188610	2010-01-28	5.71	A
USGS	14188610	2010-01-29	4.66	A
USGS	14188610	2010-01-30	4.24	A
USGS	14188610	2010-01-31	4.09	A
USGS	14188610	2010-02-01	4.22	A
USGS	14188610	2010-02-02	5.79	A
USGS	14188610	2010-02-03	5.70	A
USGS	14188610	2010-02-04	7.11	A
USGS	14188610	2010-02-05	7.59	A
USGS	14188610	2010-02-06	6.42	A
USGS	14188610	2010-02-07	5.48	A
USGS	14188610	2010-02-08	4.56	A
USGS	14188610	2010-02-09	3.83	A
USGS	14188610	2010-02-10	3.36	A
USGS	14188610	2010-02-11	5.99	A
USGS	14188610	2010-02-12	14.1	A
USGS	14188610	2010-02-13	11.0	A
USGS	14188610	2010-02-14	9.41	A
USGS	14188610	2010-02-15	8.12	A
USGS	14188610	2010-02-16	9.07	A
USGS	14188610	2010-02-17	7.69	A
USGS	14188610	2010-02-18	6.02	A
USGS	14188610	2010-02-19	4.76	A
USGS	14188610	2010-02-20	3.81	A
USGS	14188610	2010-02-21	3.12	A
USGS	14188610	2010-02-22	2.63	A
USGS	14188610	2010-02-23	2.54	A
USGS	14188610	2010-02-24	5.37	A
USGS	14188610	2010-02-25	7.14	A
USGS	14188610	2010-02-26	7.67	A
USGS	14188610	2010-02-27	7.39	A
USGS	14188610	2010-02-28	5.84	A
USGS	14188610	2010-03-01	4.69	A
USGS	14188610	2010-03-02	3.91	A
USGS	14188610	2010-03-03	3.44	A
USGS	14188610	2010-03-04	3.26	A
USGS	14188610	2010-03-05	2.85	A
USGS	14188610	2010-03-06	2.51	A
USGS	14188610	2010-03-07	2.26	A
USGS	14188610	2010-03-08	2.22	A
USGS	14188610	2010-03-09	1.99	A
USGS	14188610	2010-03-10	1.85	A
USGS	14188610	2010-03-11	2.89	A
USGS	14188610	2010-03-12	9.95	A
USGS	14188610	2010-03-13	7.67	A
USGS	14188610	2010-03-14	5.94	A
USGS	14188610	2010-03-15	5.68	A
USGS	14188610	2010-03-16	7.19	A
USGS	14188610	2010-03-17	7.73	A
USGS	14188610	2010-03-18	6.37	A
USGS	14188610	2010-03-19	5.21	A
USGS	14188610	2010-03-20	4.64	A
USGS	14188610	2010-03-21	8.78	A
USGS	14188610	2010-03-22	12.1	A
USGS	14188610	2010-03-23	9.22	A
USGS	14188610	2010-03-24	7.41	A
USGS	14188610	2010-03-25	9.70	A
USGS	14188610	2010-03-26	10.3	A
USGS	14188610	2010-03-27	9.08	A
USGS	14188610	2010-03-28	14.9	A
USGS	14188610	2010-03-29	55.3	A
USGS	14188610	2010-03-30	25.6	A
USGS	14188610	2010-03-31	11.2	A
USGS	14188610	2010-04-01	6.92	A
USGS	14188610	2010-04-02	5.98	A
USGS	14188610	2010-04-03	4.96	A
USGS	14188610	2010-04-04	3.92	A
USGS	14188610	2010-04-05	3.32	A
USGS	14188610	2010-04-06	3.04	A
USGS	14188610	2010-04-07	3.32	A
USGS	14188610	2010-04-08	4.65	A
USGS	14188610	2010-04-09	4.24	A
USGS	14188610	2010-04-10	3.84	A
USGS	14188610	2010-04-11	4.13	A
USGS	14188610	2010-04-12	6.24	A
USGS	14188610	2010-04-13	10.0	A
USGS	14188610	2010-04-14	12.0	A
USGS	14188610	2010-04-15	19.5	A
USGS	14188610	2010-04-16	14.6	A
USGS	14188610	2010-04-17	14.5	A
USGS	14188610	2010-04-18	14.8	A
USGS	14188610	2010-04-19	16.5	A
USGS	14188610	2010-04-20	18.0	A
USGS	14188610	2010-04-21	23.1	A
USGS	14188610	2010-04-22	12.5	A
USGS	14188610	2010-04-23	8.31	A
USGS	14188610	2010-04-24	9.40	A
USGS	14188610	2010-04-25	7.97	A
USGS	14188610	2010-04-26	7.69	A
USGS	14188610	2010-04-27	32.4	A
USGS	14188610	2010-04-28	21.8	A
USGS	14188610	2010-04-29	14.6	A
USGS	14188610	2010-04-30	10.7	A
USGS	14188610	2010-05-01	10.2	A
USGS	14188610	2010-05-02	10.5	A
USGS	14188610	2010-05-03	20.9	A
USGS	14188610	2010-05-04	17.4	A
USGS	14188610	2010-05-05	10.1	A
USGS	14188610	2010-05-06	6.73	A
USGS	14188610	2010-05-07	5.24	A
USGS	14188610	2010-05-08	5.00	A
USGS	14188610	2010-05-09	5.05	A
USGS	14188610	2010-05-10	7.86	A
USGS	14188610	2010-05-11	8.68	A
USGS	14188610	2010-05-12	7.37	A
USGS	14188610	2010-05-13	6.90	A
USGS	14188610	2010-05-14	7.29	A
USGS	14188610	2010-05-15	7.56	A
USGS	14188610	2010-05-16	7.43	A
USGS	14188610	2010-05-17	6.75	A
USGS	14188610	2010-05-18	6.99	A
USGS	14188610	2010-05-19	7.86	A
USGS	14188610	2010-05-20	9.25	A
USGS	14188610	2010-05-21	9.15	A
USGS	14188610	2010-05-22	9.27	A
USGS	14188610	2010-05-23	8.65	A
USGS	14188610	2010-05-24	7.89	A
USGS	14188610	2010-05-25	7.07	A
USGS	14188610	2010-05-26	8.75	A
USGS	14188610	2010-05-27	8.53	A
USGS	14188610	2010-05-28	6.86	A
USGS	14188610	2010-05-29	5.54	A
USGS	14188610	2010-05-30	4.62	A
USGS	14188610	2010-05-31	6.55	A
USGS	14188610	2010-06-01	7.08	A
USGS	14188610	2010-06-02	54.1	A
USGS	14188610	2010-06-03	39.9	A
USGS	14188610	2010-06-04	47.7	A
USGS	14188610	2010-06-05	24.2	A
USGS	14188610	2010-06-06	14.5	A
USGS	14188610	2010-06-07	17.1	A
USGS	14188610	2010-06-08	11.8	A
USGS	14188610	2010-06-09	12.8	A
USGS	14188610	2010-06-10	22.6	A
USGS	14188610	2010-06-11	18.7	A
USGS	14188610	2010-06-12	11.7	A
USGS	14188610	2010-06-13	7.74	A
USGS	14188610	2010-06-14	5.55	A
USGS	14188610	2010-06-15	4.42	A
USGS	14188610	2010-06-16	3.97	A
USGS	14188610	2010-06-17	3.72	A
USGS	14188610	2010-06-18	3.24	A
USGS	14188610	2010-06-19	2.99	A
USGS	14188610	2010-06-20	2.88	A
USGS	14188610	2010-06-21	2.68	A
USGS	14188610	2010-06-22	2.41	A
USGS	14188610	2010-06-23	2.23	A
USGS	14188610	2010-06-24	2.05	A
USGS	14188610	2010-06-25	1.86	A
USGS	14188610	2010-06-26	1.68	A
USGS	14188610	2010-06-27	1.59	A
USGS	14188610	2010-06-28	1.44	A
USGS	14188610	2010-06-29	1.31	A
USGS	14188610	2010-06-30	1.21	A
USGS	14188610	2010-07-01	1.14	A
USGS	14188610	2010-07-02	1.55	A
USGS	14188610	2010-07-03	1.50	A
USGS	14188610	2010-07-04	1.27	A
USGS	14188610	2010-07-05	1.18	A
USGS	14188610	2010-07-06	1.05	A
