# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:51:05 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14188800 THOMAS CREEK NEAR SCIO, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14188800
#            TS   parameter     statistic     Description
#        114090       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	114090_00060_00003	114090_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14188800	2010-01-01	2070	A
USGS	14188800	2010-01-02	1610	A
USGS	14188800	2010-01-03	1080	A
USGS	14188800	2010-01-04	874	A
USGS	14188800	2010-01-05	1390	A
USGS	14188800	2010-01-06	2010	A
USGS	14188800	2010-01-07	1330	A
USGS	14188800	2010-01-08	1000	A
USGS	14188800	2010-01-09	877	A
USGS	14188800	2010-01-10	725	A
USGS	14188800	2010-01-11	626	A
USGS	14188800	2010-01-12	662	A
USGS	14188800	2010-01-13	704	A
USGS	14188800	2010-01-14	736	A
USGS	14188800	2010-01-15	696	A
USGS	14188800	2010-01-16	1310	A
USGS	14188800	2010-01-17	1370	A
USGS	14188800	2010-01-18	1210	A
USGS	14188800	2010-01-19	951	A
USGS	14188800	2010-01-20	757	A
USGS	14188800	2010-01-21	636	A
USGS	14188800	2010-01-22	566	A
USGS	14188800	2010-01-23	515	A
USGS	14188800	2010-01-24	547	A
USGS	14188800	2010-01-25	878	A
USGS	14188800	2010-01-26	759	A
USGS	14188800	2010-01-27	630	A
USGS	14188800	2010-01-28	550	A
USGS	14188800	2010-01-29	487	A
USGS	14188800	2010-01-30	458	A
USGS	14188800	2010-01-31	440	A
USGS	14188800	2010-02-01	412	A
USGS	14188800	2010-02-02	450	A
USGS	14188800	2010-02-03	426	A
USGS	14188800	2010-02-04	475	A
USGS	14188800	2010-02-05	475	A
USGS	14188800	2010-02-06	435	A
USGS	14188800	2010-02-07	411	A
USGS	14188800	2010-02-08	373	A
USGS	14188800	2010-02-09	343	A
USGS	14188800	2010-02-10	327	A
USGS	14188800	2010-02-11	397	A
USGS	14188800	2010-02-12	581	A
USGS	14188800	2010-02-13	578	A
USGS	14188800	2010-02-14	598	A
USGS	14188800	2010-02-15	581	A
USGS	14188800	2010-02-16	627	A
USGS	14188800	2010-02-17	567	A
USGS	14188800	2010-02-18	505	A
USGS	14188800	2010-02-19	445	A
USGS	14188800	2010-02-20	394	A
USGS	14188800	2010-02-21	350	A
USGS	14188800	2010-02-22	312	A
USGS	14188800	2010-02-23	298	A
USGS	14188800	2010-02-24	501	A
USGS	14188800	2010-02-25	543	A
USGS	14188800	2010-02-26	562	A
USGS	14188800	2010-02-27	552	A
USGS	14188800	2010-02-28	475	A
USGS	14188800	2010-03-01	418	A
USGS	14188800	2010-03-02	383	A
USGS	14188800	2010-03-03	358	A
USGS	14188800	2010-03-04	342	A
USGS	14188800	2010-03-05	303	A
USGS	14188800	2010-03-06	276	A
USGS	14188800	2010-03-07	255	A
USGS	14188800	2010-03-08	283	A
USGS	14188800	2010-03-09	249	A
USGS	14188800	2010-03-10	246	A
USGS	14188800	2010-03-11	360	A
USGS	14188800	2010-03-12	1050	A
USGS	14188800	2010-03-13	960	A
USGS	14188800	2010-03-14	718	A
USGS	14188800	2010-03-15	604	A
USGS	14188800	2010-03-16	548	A
USGS	14188800	2010-03-17	499	A
USGS	14188800	2010-03-18	439	A
USGS	14188800	2010-03-19	391	A
USGS	14188800	2010-03-20	351	A
USGS	14188800	2010-03-21	377	A
USGS	14188800	2010-03-22	466	A
USGS	14188800	2010-03-23	406	A
USGS	14188800	2010-03-24	360	A
USGS	14188800	2010-03-25	487	A
USGS	14188800	2010-03-26	1070	A
USGS	14188800	2010-03-27	890	A
USGS	14188800	2010-03-28	884	A
USGS	14188800	2010-03-29	3580	A
USGS	14188800	2010-03-30	3300	A
USGS	14188800	2010-03-31	1930	A
USGS	14188800	2010-04-01	1300	A
USGS	14188800	2010-04-02	1400	A
USGS	14188800	2010-04-03	1380	A
USGS	14188800	2010-04-04	1140	A
USGS	14188800	2010-04-05	971	A
USGS	14188800	2010-04-06	907	A
USGS	14188800	2010-04-07	811	A
USGS	14188800	2010-04-08	871	A
USGS	14188800	2010-04-09	753	A
USGS	14188800	2010-04-10	669	A
USGS	14188800	2010-04-11	660	A
USGS	14188800	2010-04-12	657	A
USGS	14188800	2010-04-13	668	A
USGS	14188800	2010-04-14	670	A
USGS	14188800	2010-04-15	1140	A
USGS	14188800	2010-04-16	905	A
USGS	14188800	2010-04-17	777	A
USGS	14188800	2010-04-18	696	A
USGS	14188800	2010-04-19	648	A
USGS	14188800	2010-04-20	631	A
USGS	14188800	2010-04-21	776	A
