# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:51:07 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14189000 SANTIAM RIVER AT JEFFERSON, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14189000
#            TS   parameter     statistic     Description
#        114095       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	114095_00060_00003	114095_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14189000	2010-01-01	19900	A
USGS	14189000	2010-01-02	19900	A
USGS	14189000	2010-01-03	16600	A
USGS	14189000	2010-01-04	13300	A
USGS	14189000	2010-01-05	18300	A
USGS	14189000	2010-01-06	28800	A
USGS	14189000	2010-01-07	28000	A
USGS	14189000	2010-01-08	24300	A
USGS	14189000	2010-01-09	22900	A
USGS	14189000	2010-01-10	21400	A
USGS	14189000	2010-01-11	19600	A
USGS	14189000	2010-01-12	18700	A
USGS	14189000	2010-01-13	17400	A
USGS	14189000	2010-01-14	15200	A
USGS	14189000	2010-01-15	11700	A
USGS	14189000	2010-01-16	12300	A
USGS	14189000	2010-01-17	12100	A
USGS	14189000	2010-01-18	12000	A
USGS	14189000	2010-01-19	10400	A
USGS	14189000	2010-01-20	9070	A
USGS	14189000	2010-01-21	8240	A
USGS	14189000	2010-01-22	7290	A
USGS	14189000	2010-01-23	7020	A
USGS	14189000	2010-01-24	6780	A
USGS	14189000	2010-01-25	8510	A
USGS	14189000	2010-01-26	8300	A
USGS	14189000	2010-01-27	7410	A
USGS	14189000	2010-01-28	6810	A
USGS	14189000	2010-01-29	6370	A
USGS	14189000	2010-01-30	5920	A
USGS	14189000	2010-01-31	5760	A
USGS	14189000	2010-02-01	5610	A
USGS	14189000	2010-02-02	6030	A
USGS	14189000	2010-02-03	5910	A
USGS	14189000	2010-02-04	6130	A
USGS	14189000	2010-02-05	6310	A
USGS	14189000	2010-02-06	5910	A
USGS	14189000	2010-02-07	5420	A
USGS	14189000	2010-02-08	4920	A
USGS	14189000	2010-02-09	4660	A
USGS	14189000	2010-02-10	4480	A
USGS	14189000	2010-02-11	4550	A
USGS	14189000	2010-02-12	5530	A
USGS	14189000	2010-02-13	5870	A
USGS	14189000	2010-02-14	5780	A
USGS	14189000	2010-02-15	5830	A
USGS	14189000	2010-02-16	6060	A
USGS	14189000	2010-02-17	5800	A
USGS	14189000	2010-02-18	5410	A
USGS	14189000	2010-02-19	5000	A
USGS	14189000	2010-02-20	4620	A
USGS	14189000	2010-02-21	4310	A
USGS	14189000	2010-02-22	4100	A
USGS	14189000	2010-02-23	3960	A
USGS	14189000	2010-02-24	4680	A
USGS	14189000	2010-02-25	5520	A
USGS	14189000	2010-02-26	5730	A
USGS	14189000	2010-02-27	5820	A
USGS	14189000	2010-02-28	5220	A
USGS	14189000	2010-03-01	4810	A
USGS	14189000	2010-03-02	4500	A
USGS	14189000	2010-03-03	4300	A
USGS	14189000	2010-03-04	4310	A
USGS	14189000	2010-03-05	4180	A
USGS	14189000	2010-03-06	3900	A
USGS	14189000	2010-03-07	3750	A
USGS	14189000	2010-03-08	3880	A
USGS	14189000	2010-03-09	3710	A
USGS	14189000	2010-03-10	3640	A
USGS	14189000	2010-03-11	3640	A
USGS	14189000	2010-03-12	6220	A
USGS	14189000	2010-03-13	7550	A
USGS	14189000	2010-03-14	6200	A
USGS	14189000	2010-03-15	5470	A
USGS	14189000	2010-03-16	5160	A
USGS	14189000	2010-03-17	5160	A
USGS	14189000	2010-03-18	4890	A
USGS	14189000	2010-03-19	4630	A
USGS	14189000	2010-03-20	4390	A
USGS	14189000	2010-03-21	4340	A
USGS	14189000	2010-03-22	5030	A
USGS	14189000	2010-03-23	4840	A
USGS	14189000	2010-03-24	4530	A
USGS	14189000	2010-03-25	4750	A
USGS	14189000	2010-03-26	7320	A
USGS	14189000	2010-03-27	7460	A
USGS	14189000	2010-03-28	6870	A
USGS	14189000	2010-03-29	17300	A
USGS	14189000	2010-03-30	26600	A
USGS	14189000	2010-03-31	18600	A
USGS	14189000	2010-04-01	14100	A
USGS	14189000	2010-04-02	14200	A
USGS	14189000	2010-04-03	15100	A
USGS	14189000	2010-04-04	12800	A
USGS	14189000	2010-04-05	11100	A
USGS	14189000	2010-04-06	10100	A
USGS	14189000	2010-04-07	10200	A
USGS	14189000	2010-04-08	11700	A
USGS	14189000	2010-04-09	12500	A
USGS	14189000	2010-04-10	11000	A
USGS	14189000	2010-04-11	8780	A
USGS	14189000	2010-04-12	7800	A
USGS	14189000	2010-04-13	7450	A
USGS	14189000	2010-04-14	8120	A
USGS	14189000	2010-04-15	10400	A
USGS	14189000	2010-04-16	10000	A
USGS	14189000	2010-04-17	8530	A
USGS	14189000	2010-04-18	7990	A
USGS	14189000	2010-04-19	7550	A
USGS	14189000	2010-04-20	7660	A
USGS	14189000	2010-04-21	9520	A
USGS	14189000	2010-04-22	8580	A
USGS	14189000	2010-04-23	7660	A
USGS	14189000	2010-04-24	6930	A
USGS	14189000	2010-04-25	6350	A
USGS	14189000	2010-04-26	6240	A
USGS	14189000	2010-04-27	8740	A
USGS	14189000	2010-04-28	12500	A
USGS	14189000	2010-04-29	12500	A
USGS	14189000	2010-04-30	12100	A
USGS	14189000	2010-05-01	10700	A
USGS	14189000	2010-05-02	9600	A
USGS	14189000	2010-05-03	9640	A
USGS	14189000	2010-05-04	12900	A
USGS	14189000	2010-05-05	12400	A
USGS	14189000	2010-05-06	10800	A
USGS	14189000	2010-05-07	8810	A
USGS	14189000	2010-05-08	8340	A
USGS	14189000	2010-05-09	7810	A
USGS	14189000	2010-05-10	7860	A
USGS	14189000	2010-05-11	7220	A
USGS	14189000	2010-05-12	7350	A
USGS	14189000	2010-05-13	7050	A
USGS	14189000	2010-05-14	7060	A
USGS	14189000	2010-05-15	6690	A
USGS	14189000	2010-05-16	6400	A
USGS	14189000	2010-05-17	6390	A
USGS	14189000	2010-05-18	7160	A
USGS	14189000	2010-05-19	7300	A
USGS	14189000	2010-05-20	7760	A
USGS	14189000	2010-05-21	7520	A
USGS	14189000	2010-05-22	8000	A:e
USGS	14189000	2010-05-23	7600	A
USGS	14189000	2010-05-24	7380	A
USGS	14189000	2010-05-25	6980	A
USGS	14189000	2010-05-26	7080	A
USGS	14189000	2010-05-27	9100	A
USGS	14189000	2010-05-28	8370	A
USGS	14189000	2010-05-29	6990	A
USGS	14189000	2010-05-30	6540	A
USGS	14189000	2010-05-31	6650	A
USGS	14189000	2010-06-01	7620	A
USGS	14189000	2010-06-02	19600	A
USGS	14189000	2010-06-03	39000	A
USGS	14189000	2010-06-04	37100	A
USGS	14189000	2010-06-05	35600	A
USGS	14189000	2010-06-06	25800	A
USGS	14189000	2010-06-07	20000	A
USGS	14189000	2010-06-08	16300	A
USGS	14189000	2010-06-09	14200	A
USGS	14189000	2010-06-10	14400	A
USGS	14189000	2010-06-11	14700	A
USGS	14189000	2010-06-12	13200	A
USGS	14189000	2010-06-13	11500	A
USGS	14189000	2010-06-14	10500	A
USGS	14189000	2010-06-15	9830	A
USGS	14189000	2010-06-16	8620	A
USGS	14189000	2010-06-17	7680	A
USGS	14189000	2010-06-18	6860	A
USGS	14189000	2010-06-19	6270	A
USGS	14189000	2010-06-20	5650	A
USGS	14189000	2010-06-21	5270	A
USGS	14189000	2010-06-22	4870	A
USGS	14189000	2010-06-23	4150	A
USGS	14189000	2010-06-24	3880	A
USGS	14189000	2010-06-25	3680	A
USGS	14189000	2010-06-26	3570	A
USGS	14189000	2010-06-27	3450	A
USGS	14189000	2010-06-28	3410	A
USGS	14189000	2010-06-29	3320	A
USGS	14189000	2010-06-30	3280	A
USGS	14189000	2010-07-01	3240	A
USGS	14189000	2010-07-02	3340	A
USGS	14189000	2010-07-03	3340	A
USGS	14189000	2010-07-04	3230	A
USGS	14189000	2010-07-05	3150	A
USGS	14189000	2010-07-06	3030	A
USGS	14189000	2010-07-07	2940	A
USGS	14189000	2010-07-08	2820	A
USGS	14189000	2010-07-09	2690	A
USGS	14189000	2010-07-10	2590	A
USGS	14189000	2010-07-11	2510	A
USGS	14189000	2010-07-12	2620	A
USGS	14189000	2010-07-13	2850	A
USGS	14189000	2010-07-14	2820	A
USGS	14189000	2010-07-15	2770	A
USGS	14189000	2010-07-16	2720	A
USGS	14189000	2010-07-17	2700	A
USGS	14189000	2010-07-18	2710	A
USGS	14189000	2010-07-19	2710	A
USGS	14189000	2010-07-20	2710	A
USGS	14189000	2010-07-21	2700	A
USGS	14189000	2010-07-22	2720	A
USGS	14189000	2010-07-23	2650	A
USGS	14189000	2010-07-24	2590	A
USGS	14189000	2010-07-25	2590	A
USGS	14189000	2010-07-26	2580	A
USGS	14189000	2010-07-27	2530	A
USGS	14189000	2010-07-28	2530	A
USGS	14189000	2010-07-29	2540	A
USGS	14189000	2010-07-30	2550	A
USGS	14189000	2010-07-31	2580	A
USGS	14189000	2010-08-01	2530	A
USGS	14189000	2010-08-02	2520	A
USGS	14189000	2010-08-03	2520	A
USGS	14189000	2010-08-04	2220	A
USGS	14189000	2010-08-05	1970	A
USGS	14189000	2010-08-06	1890	A
USGS	14189000	2010-08-07	1880	A
USGS	14189000	2010-08-08	1890	A
USGS	14189000	2010-08-09	1890	A
USGS	14189000	2010-08-10	2020	A
USGS	14189000	2010-08-11	2070	A
USGS	14189000	2010-08-12	1880	A
USGS	14189000	2010-08-13	1860	A
USGS	14189000	2010-08-14	1850	A
USGS	14189000	2010-08-15	1850	A
USGS	14189000	2010-08-16	1910	A
USGS	14189000	2010-08-17	2300	A
USGS	14189000	2010-08-18	2090	A
USGS	14189000	2010-08-19	1880	A
USGS	14189000	2010-08-20	1780	A
USGS	14189000	2010-08-21	1800	A
USGS	14189000	2010-08-22	1800	A
USGS	14189000	2010-08-23	1810	A
USGS	14189000	2010-08-24	1770	A
USGS	14189000	2010-08-25	1830	A
USGS	14189000	2010-08-26	1860	A
USGS	14189000	2010-08-27	1880	A
USGS	14189000	2010-08-28	1890	A
USGS	14189000	2010-08-29	1920	A
USGS	14189000	2010-08-30	1990	A
USGS	14189000	2010-08-31	2030	A
USGS	14189000	2010-09-01	2030	A
USGS	14189000	2010-09-02	2090	A
USGS	14189000	2010-09-03	2020	A
USGS	14189000	2010-09-04	1990	A
USGS	14189000	2010-09-05	2000	A
USGS	14189000	2010-09-06	2010	A
USGS	14189000	2010-09-07	2030	A
USGS	14189000	2010-09-08	2330	A
USGS	14189000	2010-09-09	2580	A
USGS	14189000	2010-09-10	2740	A
USGS	14189000	2010-09-11	2680	A
USGS	14189000	2010-09-12	2680	A
USGS	14189000	2010-09-13	2690	A
USGS	14189000	2010-09-14	2840	A
USGS	14189000	2010-09-15	2980	A
USGS	14189000	2010-09-16	3050	A
USGS	14189000	2010-09-17	3050	A
USGS	14189000	2010-09-18	3150	A
USGS	14189000	2010-09-19	3430	A
USGS	14189000	2010-09-20	4040	A
USGS	14189000	2010-09-21	3830	A
USGS	14189000	2010-09-22	3580	A
USGS	14189000	2010-09-23	3430	A
USGS	14189000	2010-09-24	3400	A
USGS	14189000	2010-09-25	3280	A
USGS	14189000	2010-09-26	3190	A
USGS	14189000	2010-09-27	3150	A
USGS	14189000	2010-09-28	3130	A
USGS	14189000	2010-09-29	3150	A
USGS	14189000	2010-09-30	3320	A
USGS	14189000	2010-10-01	3840	A
USGS	14189000	2010-10-02	4690	A
USGS	14189000	2010-10-03	5060	A
USGS	14189000	2010-10-04	5100	A
USGS	14189000	2010-10-05	4980	A
USGS	14189000	2010-10-06	4300	A
USGS	14189000	2010-10-07	3660	A
USGS	14189000	2010-10-08	3570	A
USGS	14189000	2010-10-09	3850	A
USGS	14189000	2010-10-10	4330	A
USGS	14189000	2010-10-11	4700	A
USGS	14189000	2010-10-12	4250	A
USGS	14189000	2010-10-13	4030	A
USGS	14189000	2010-10-14	3930	A
USGS	14189000	2010-10-15	4090	A
USGS	14189000	2010-10-16	3910	A
USGS	14189000	2010-10-17	3630	A
USGS	14189000	2010-10-18	3580	A
USGS	14189000	2010-10-19	3510	A
USGS	14189000	2010-10-20	3480	A
