# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:51:08 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14190500 LUCKIAMUTE RIVER NEAR SUVER, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14190500
#            TS   parameter     statistic     Description
#        114102       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	114102_00060_00003	114102_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14190500	2010-01-01	4440	A
USGS	14190500	2010-01-02	4990	A
USGS	14190500	2010-01-03	3750	A
USGS	14190500	2010-01-04	2350	A
USGS	14190500	2010-01-05	2210	A
USGS	14190500	2010-01-06	3050	A
USGS	14190500	2010-01-07	3010	A
USGS	14190500	2010-01-08	2300	A
USGS	14190500	2010-01-09	2380	A
USGS	14190500	2010-01-10	1970	A
USGS	14190500	2010-01-11	1620	A
USGS	14190500	2010-01-12	1700	A
USGS	14190500	2010-01-13	2140	A
USGS	14190500	2010-01-14	2500	A
USGS	14190500	2010-01-15	2150	A
USGS	14190500	2010-01-16	3000	A
USGS	14190500	2010-01-17	2850	A
USGS	14190500	2010-01-18	3020	A
USGS	14190500	2010-01-19	2660	A
USGS	14190500	2010-01-20	2050	A
USGS	14190500	2010-01-21	1660	A
USGS	14190500	2010-01-22	1360	A
USGS	14190500	2010-01-23	1150	A
USGS	14190500	2010-01-24	1070	A
USGS	14190500	2010-01-25	1640	A
USGS	14190500	2010-01-26	1410	A
USGS	14190500	2010-01-27	1190	A
USGS	14190500	2010-01-28	1050	A
USGS	14190500	2010-01-29	952	A
USGS	14190500	2010-01-30	875	A
USGS	14190500	2010-01-31	835	A
USGS	14190500	2010-02-01	803	A
USGS	14190500	2010-02-02	1060	A
USGS	14190500	2010-02-03	1040	A
USGS	14190500	2010-02-04	1040	A
USGS	14190500	2010-02-05	1080	A
USGS	14190500	2010-02-06	998	A
USGS	14190500	2010-02-07	957	A
