# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:51:09 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14191000 WILLAMETTE RIVER AT SALEM, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14191000
#            TS   parameter     statistic     Description
#        114107       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	114107_00060_00003	114107_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14191000	2010-01-01	44400	A
USGS	14191000	2010-01-02	61300	A
USGS	14191000	2010-01-03	60600	A
USGS	14191000	2010-01-04	50200	A
USGS	14191000	2010-01-05	46800	A
USGS	14191000	2010-01-06	60000	A
USGS	14191000	2010-01-07	70700	A
USGS	14191000	2010-01-08	69100	A
USGS	14191000	2010-01-09	64200	A
USGS	14191000	2010-01-10	59800	A
USGS	14191000	2010-01-11	54000	A
USGS	14191000	2010-01-12	50100	A
USGS	14191000	2010-01-13	49900	A
USGS	14191000	2010-01-14	48100	A
USGS	14191000	2010-01-15	43100	A
USGS	14191000	2010-01-16	43100	A
USGS	14191000	2010-01-17	45600	A
USGS	14191000	2010-01-18	46600	A
USGS	14191000	2010-01-19	43600	A
USGS	14191000	2010-01-20	37800	A
USGS	14191000	2010-01-21	33500	A
USGS	14191000	2010-01-22	30400	A
USGS	14191000	2010-01-23	27100	A
USGS	14191000	2010-01-24	24900	A
USGS	14191000	2010-01-25	26600	A
USGS	14191000	2010-01-26	28400	A
USGS	14191000	2010-01-27	26200	A
USGS	14191000	2010-01-28	24100	A
USGS	14191000	2010-01-29	22300	A
USGS	14191000	2010-01-30	20700	A
USGS	14191000	2010-01-31	19700	A
USGS	14191000	2010-02-01	19200	A
USGS	14191000	2010-02-02	20300	A
USGS	14191000	2010-02-03	21400	A
USGS	14191000	2010-02-04	21800	A
USGS	14191000	2010-02-05	22000	A
USGS	14191000	2010-02-06	20900	A
USGS	14191000	2010-02-07	19300	A
USGS	14191000	2010-02-08	18400	A
USGS	14191000	2010-02-09	17000	A
USGS	14191000	2010-02-10	15800	A
USGS	14191000	2010-02-11	15400	A
USGS	14191000	2010-02-12	17500	A
USGS	14191000	2010-02-13	21400	A
USGS	14191000	2010-02-14	21200	A
USGS	14191000	2010-02-15	21100	A
USGS	14191000	2010-02-16	20900	A
USGS	14191000	2010-02-17	20900	A
USGS	14191000	2010-02-18	19300	A
USGS	14191000	2010-02-19	17700	A
USGS	14191000	2010-02-20	16400	A
USGS	14191000	2010-02-21	15300	A
USGS	14191000	2010-02-22	14400	A
USGS	14191000	2010-02-23	13800	A
USGS	14191000	2010-02-24	15100	A
USGS	14191000	2010-02-25	18000	A
USGS	14191000	2010-02-26	20100	A
USGS	14191000	2010-02-27	25100	A
USGS	14191000	2010-02-28	22900	A
USGS	14191000	2010-03-01	19400	A
USGS	14191000	2010-03-02	17300	A
USGS	14191000	2010-03-03	16300	A
USGS	14191000	2010-03-04	15400	A
USGS	14191000	2010-03-05	14900	A
USGS	14191000	2010-03-06	14000	A
USGS	14191000	2010-03-07	13200	A
USGS	14191000	2010-03-08	12800	A
USGS	14191000	2010-03-09	12600	A
USGS	14191000	2010-03-10	12200	A
USGS	14191000	2010-03-11	12100	A
USGS	14191000	2010-03-12	15200	A
USGS	14191000	2010-03-13	23600	A
USGS	14191000	2010-03-14	24000	A
USGS	14191000	2010-03-15	20500	A
USGS	14191000	2010-03-16	18300	A
USGS	14191000	2010-03-17	17000	A
USGS	14191000	2010-03-18	15900	A
USGS	14191000	2010-03-19	14800	A
USGS	14191000	2010-03-20	13900	A
USGS	14191000	2010-03-21	13200	A
USGS	14191000	2010-03-22	13500	A
USGS	14191000	2010-03-23	13800	A
USGS	14191000	2010-03-24	13200	A
USGS	14191000	2010-03-25	13300	A
USGS	14191000	2010-03-26	17600	A
USGS	14191000	2010-03-27	25400	A
USGS	14191000	2010-03-28	25200	A
USGS	14191000	2010-03-29	33200	A
USGS	14191000	2010-03-30	58500	A
USGS	14191000	2010-03-31	67600	A
USGS	14191000	2010-04-01	59800	A
USGS	14191000	2010-04-02	50900	A
USGS	14191000	2010-04-03	51700	A
USGS	14191000	2010-04-04	51600	A
USGS	14191000	2010-04-05	45800	A
USGS	14191000	2010-04-06	41800	A
USGS	14191000	2010-04-07	39100	A
USGS	14191000	2010-04-08	36300	A
USGS	14191000	2010-04-09	35700	A
USGS	14191000	2010-04-10	32600	A
USGS	14191000	2010-04-11	28300	A
USGS	14191000	2010-04-12	27200	A
USGS	14191000	2010-04-13	26300	A
USGS	14191000	2010-04-14	26500	A
USGS	14191000	2010-04-15	27500	A
USGS	14191000	2010-04-16	27300	A
