# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:51:10 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14194150 SOUTH YAMHILL RIVER AT MCMINNVILLE, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14194150
#            TS   parameter     statistic     Description
#        114118       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	114118_00060_00003	114118_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14194150	2010-01-01	5980	A
USGS	14194150	2010-01-02	7740	A
USGS	14194150	2010-01-03	7520	A
USGS	14194150	2010-01-04	5790	A
USGS	14194150	2010-01-05	4980	A
USGS	14194150	2010-01-06	5850	A
USGS	14194150	2010-01-07	6490	A
USGS	14194150	2010-01-08	5590	A
USGS	14194150	2010-01-09	5100	A
USGS	14194150	2010-01-10	4620	A
USGS	14194150	2010-01-11	3870	A
USGS	14194150	2010-01-12	3770	A
USGS	14194150	2010-01-13	5370	A
USGS	14194150	2010-01-14	6100	A
USGS	14194150	2010-01-15	5590	A
USGS	14194150	2010-01-16	5990	A
USGS	14194150	2010-01-17	6040	A
USGS	14194150	2010-01-18	6490	A
USGS	14194150	2010-01-19	7250	A
USGS	14194150	2010-01-20	6010	A
USGS	14194150	2010-01-21	4550	A
USGS	14194150	2010-01-22	3600	A
USGS	14194150	2010-01-23	2950	A
USGS	14194150	2010-01-24	2530	A
USGS	14194150	2010-01-25	3440	A
USGS	14194150	2010-01-26	4070	A
USGS	14194150	2010-01-27	3520	A
USGS	14194150	2010-01-28	2970	A
USGS	14194150	2010-01-29	2510	A
USGS	14194150	2010-01-30	2180	A
USGS	14194150	2010-01-31	1960	A
USGS	14194150	2010-02-01	1800	A
USGS	14194150	2010-02-02	1970	A
USGS	14194150	2010-02-03	1960	A
USGS	14194150	2010-02-04	2290	A
USGS	14194150	2010-02-05	2810	A
USGS	14194150	2010-02-06	2800	A
USGS	14194150	2010-02-07	2520	A
