# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:51:12 EDT       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14197900 WILLAMETTE RIVER AT NEWBERG, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14197900
#            TS   parameter     statistic     Description
#        114127       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	114127_00060_00003	114127_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14197900	2010-01-01	45100	A
USGS	14197900	2010-01-02	67700	A
USGS	14197900	2010-01-03	74700	A
USGS	14197900	2010-01-04	64000	A
USGS	14197900	2010-01-05	54600	A
USGS	14197900	2010-01-06	64400	A
USGS	14197900	2010-01-07	78100	A
USGS	14197900	2010-01-08	80100	A
USGS	14197900	2010-01-09	76100	A
USGS	14197900	2010-01-10	71000	A
USGS	14197900	2010-01-11	63600	A
USGS	14197900	2010-01-12	57900	A
USGS	14197900	2010-01-13	58900	A
USGS	14197900	2010-01-14	58700	A
USGS	14197900	2010-01-15	53700	A
USGS	14197900	2010-01-16	51400	A
USGS	14197900	2010-01-17	55200	A
USGS	14197900	2010-01-18	56500	A
USGS	14197900	2010-01-19	56600	A
USGS	14197900	2010-01-20	49100	A
USGS	14197900	2010-01-21	42500	A
USGS	14197900	2010-01-22	37400	A
USGS	14197900	2010-01-23	33100	A
USGS	14197900	2010-01-24	30400	A
USGS	14197900	2010-01-25	32000	A
USGS	14197900	2010-01-26	34900	A
USGS	14197900	2010-01-27	32800	A
USGS	14197900	2010-01-28	29900	A
USGS	14197900	2010-01-29	27800	A
USGS	14197900	2010-01-30	25500	A
USGS	14197900	2010-01-31	23600	A
USGS	14197900	2010-02-01	22800	A
USGS	14197900	2010-02-02	23500	A
USGS	14197900	2010-02-03	24800	A
USGS	14197900	2010-02-04	26200	A
USGS	14197900	2010-02-05	26700	A
USGS	14197900	2010-02-06	26200	A
USGS	14197900	2010-02-07	24100	A
USGS	14197900	2010-02-08	22600	A
USGS	14197900	2010-02-09	21200	A
USGS	14197900	2010-02-10	19800	A
USGS	14197900	2010-02-11	18800	A
USGS	14197900	2010-02-12	20600	A
USGS	14197900	2010-02-13	25900	A
USGS	14197900	2010-02-14	27100	A
