# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:51:13 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14198400 BULL CREEK NEAR WILHOIT, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14198400
#            TS   parameter     statistic     Description
#        114132       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	114132_00060_00003	114132_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14198400	2010-01-01	4.68	A
USGS	14198400	2010-01-02	5.57	A
USGS	14198400	2010-01-03	4.27	A
USGS	14198400	2010-01-04	2.88	A
USGS	14198400	2010-01-05	2.63	A
USGS	14198400	2010-01-06	6.24	A
USGS	14198400	2010-01-07	5.53	A
USGS	14198400	2010-01-08	3.51	A
USGS	14198400	2010-01-09	2.48	A
USGS	14198400	2010-01-10	1.94	A
USGS	14198400	2010-01-11	1.63	A
USGS	14198400	2010-01-12	1.56	A
USGS	14198400	2010-01-13	1.58	A
USGS	14198400	2010-01-14	1.62	A
USGS	14198400	2010-01-15	1.64	A
USGS	14198400	2010-01-16	1.87	A
USGS	14198400	2010-01-17	2.49	A
USGS	14198400	2010-01-18	3.64	A
USGS	14198400	2010-01-19	2.83	A
USGS	14198400	2010-01-20	2.05	A
USGS	14198400	2010-01-21	1.61	A
USGS	14198400	2010-01-22	1.47	A
USGS	14198400	2010-01-23	1.26	A
USGS	14198400	2010-01-24	1.27	A
USGS	14198400	2010-01-25	2.01	A
USGS	14198400	2010-01-26	2.24	A
USGS	14198400	2010-01-27	1.90	A
USGS	14198400	2010-01-28	1.55	A
USGS	14198400	2010-01-29	1.33	A
USGS	14198400	2010-01-30	1.20	A
USGS	14198400	2010-01-31	1.16	A
USGS	14198400	2010-02-01	1.17	A
USGS	14198400	2010-02-02	1.21	A
USGS	14198400	2010-02-03	1.25	A
USGS	14198400	2010-02-04	1.32	A
USGS	14198400	2010-02-05	1.46	A
USGS	14198400	2010-02-06	1.42	A
USGS	14198400	2010-02-07	1.30	A
USGS	14198400	2010-02-08	1.18	A
USGS	14198400	2010-02-09	1.04	A
USGS	14198400	2010-02-10	0.83	A
USGS	14198400	2010-02-11	0.81	A
USGS	14198400	2010-02-12	1.02	A
USGS	14198400	2010-02-13	1.07	A
USGS	14198400	2010-02-14	1.12	A
USGS	14198400	2010-02-15	1.12	A
USGS	14198400	2010-02-16	1.14	A
USGS	14198400	2010-02-17	1.13	A
USGS	14198400	2010-02-18	0.96	A
USGS	14198400	2010-02-19	0.82	A
USGS	14198400	2010-02-20	0.74	A
USGS	14198400	2010-02-21	0.66	A
USGS	14198400	2010-02-22	0.59	A
USGS	14198400	2010-02-23	0.56	A
USGS	14198400	2010-02-24	0.65	A
USGS	14198400	2010-02-25	0.72	A
USGS	14198400	2010-02-26	1.13	A
USGS	14198400	2010-02-27	1.39	A
USGS	14198400	2010-02-28	1.28	A
USGS	14198400	2010-03-01	1.13	A
USGS	14198400	2010-03-02	0.94	A
USGS	14198400	2010-03-03	0.82	A
USGS	14198400	2010-03-04	0.74	A
USGS	14198400	2010-03-05	0.66	A
USGS	14198400	2010-03-06	0.60	A
USGS	14198400	2010-03-07	0.55	A
USGS	14198400	2010-03-08	0.52	A
USGS	14198400	2010-03-09	0.49	A
USGS	14198400	2010-03-10	0.49	A
USGS	14198400	2010-03-11	0.74	A
USGS	14198400	2010-03-12	3.08	A
USGS	14198400	2010-03-13	3.59	A
USGS	14198400	2010-03-14	2.42	A
USGS	14198400	2010-03-15	1.89	A
USGS	14198400	2010-03-16	1.58	A
USGS	14198400	2010-03-17	1.36	A
USGS	14198400	2010-03-18	1.20	A
USGS	14198400	2010-03-19	0.93	A
USGS	14198400	2010-03-20	0.77	A
USGS	14198400	2010-03-21	0.82	A
USGS	14198400	2010-03-22	0.95	A
USGS	14198400	2010-03-23	0.88	A
USGS	14198400	2010-03-24	0.86	A
USGS	14198400	2010-03-25	1.07	A
USGS	14198400	2010-03-26	2.28	A
USGS	14198400	2010-03-27	3.35	A
USGS	14198400	2010-03-28	3.49	A
USGS	14198400	2010-03-29	27.5	A
USGS	14198400	2010-03-30	17.7	A
USGS	14198400	2010-03-31	7.02	A
USGS	14198400	2010-04-01	4.23	A
USGS	14198400	2010-04-02	4.51	A
USGS	14198400	2010-04-03	5.93	A
USGS	14198400	2010-04-04	4.55	A
USGS	14198400	2010-04-05	3.23	A
USGS	14198400	2010-04-06	2.62	A
USGS	14198400	2010-04-07	2.50	A
USGS	14198400	2010-04-08	2.87	A
USGS	14198400	2010-04-09	2.96	A
USGS	14198400	2010-04-10	2.55	A
USGS	14198400	2010-04-11	2.24	A
USGS	14198400	2010-04-12	2.30	A
USGS	14198400	2010-04-13	4.67	A
USGS	14198400	2010-04-14	4.92	A
USGS	14198400	2010-04-15	6.57	A
USGS	14198400	2010-04-16	4.73	A
USGS	14198400	2010-04-17	2.87	A
USGS	14198400	2010-04-18	2.16	A
USGS	14198400	2010-04-19	1.78	A
USGS	14198400	2010-04-20	1.66	A
USGS	14198400	2010-04-21	2.00	A
USGS	14198400	2010-04-22	1.92	A
USGS	14198400	2010-04-23	1.77	A
USGS	14198400	2010-04-24	1.66	A
USGS	14198400	2010-04-25	1.52	A
USGS	14198400	2010-04-26	1.40	A
USGS	14198400	2010-04-27	3.11	A
USGS	14198400	2010-04-28	5.47	A
USGS	14198400	2010-04-29	5.07	A
USGS	14198400	2010-04-30	4.84	A
USGS	14198400	2010-05-01	3.78	A
USGS	14198400	2010-05-02	2.76	A
USGS	14198400	2010-05-03	2.50	A
USGS	14198400	2010-05-04	2.37	A
USGS	14198400	2010-05-05	2.26	A
USGS	14198400	2010-05-06	2.24	A
USGS	14198400	2010-05-07	2.12	A
USGS	14198400	2010-05-08	1.90	A
USGS	14198400	2010-05-09	1.73	A
USGS	14198400	2010-05-10	1.73	A
USGS	14198400	2010-05-11	2.04	A
USGS	14198400	2010-05-12	2.18	A
USGS	14198400	2010-05-13	2.00	A
USGS	14198400	2010-05-14	1.74	A
USGS	14198400	2010-05-15	1.50	A
USGS	14198400	2010-05-16	1.19	A
USGS	14198400	2010-05-17	1.17	A
USGS	14198400	2010-05-18	1.12	A
USGS	14198400	2010-05-19	1.37	A
USGS	14198400	2010-05-20	1.93	A
USGS	14198400	2010-05-21	1.99	A
USGS	14198400	2010-05-22	2.02	A
USGS	14198400	2010-05-23	2.12	A
USGS	14198400	2010-05-24	2.14	A
USGS	14198400	2010-05-25	1.96	A
USGS	14198400	2010-05-26	1.86	A
USGS	14198400	2010-05-27	1.70	A
USGS	14198400	2010-05-28	1.68	A
USGS	14198400	2010-05-29	2.46	A
USGS	14198400	2010-05-30	3.14	A
USGS	14198400	2010-05-31	2.77	A
USGS	14198400	2010-06-01	2.27	A
USGS	14198400	2010-06-02	5.42	A
USGS	14198400	2010-06-03	10.2	A
USGS	14198400	2010-06-04	10.9	A
USGS	14198400	2010-06-05	9.51	A
USGS	14198400	2010-06-06	4.91	A
USGS	14198400	2010-06-07	3.16	A
USGS	14198400	2010-06-08	2.49	A
USGS	14198400	2010-06-09	2.51	A
USGS	14198400	2010-06-10	3.59	A
USGS	14198400	2010-06-11	5.49	A
USGS	14198400	2010-06-12	4.03	A
USGS	14198400	2010-06-13	2.62	A
USGS	14198400	2010-06-14	1.97	A
USGS	14198400	2010-06-15	1.63	A
USGS	14198400	2010-06-16	1.43	A
USGS	14198400	2010-06-17	1.32	A
USGS	14198400	2010-06-18	1.15	A
USGS	14198400	2010-06-19	1.02	A
USGS	14198400	2010-06-20	1.07	A
USGS	14198400	2010-06-21	1.01	A
USGS	14198400	2010-06-22	0.98	A
USGS	14198400	2010-06-23	0.96	A
USGS	14198400	2010-06-24	0.91	A
USGS	14198400	2010-06-25	0.85	A
USGS	14198400	2010-06-26	0.80	A
USGS	14198400	2010-06-27	0.73	A
USGS	14198400	2010-06-28	0.70	A
USGS	14198400	2010-06-29	0.66	A
USGS	14198400	2010-06-30	0.63	A
USGS	14198400	2010-07-01	0.62	A
USGS	14198400	2010-07-02	0.64	A
USGS	14198400	2010-07-03	0.60	A
USGS	14198400	2010-07-04	0.55	A
USGS	14198400	2010-07-05	0.52	A
USGS	14198400	2010-07-06	0.49	A
USGS	14198400	2010-07-07	0.51	A
USGS	14198400	2010-07-08	0.46	A
USGS	14198400	2010-07-09	0.43	A
USGS	14198400	2010-07-10	0.41	A
USGS	14198400	2010-07-11	0.40	A
USGS	14198400	2010-07-12	0.40	A
USGS	14198400	2010-07-13	0.38	A
USGS	14198400	2010-07-14	0.35	A
USGS	14198400	2010-07-15	0.33	A
USGS	14198400	2010-07-16	0.32	A
USGS	14198400	2010-07-17	0.31	A
USGS	14198400	2010-07-18	0.30	A
USGS	14198400	2010-07-19	0.28	A
USGS	14198400	2010-07-20	0.28	A
USGS	14198400	2010-07-21	0.28	A
USGS	14198400	2010-07-22	0.27	A
USGS	14198400	2010-07-23	0.27	A
USGS	14198400	2010-07-24	0.25	A
USGS	14198400	2010-07-25	0.22	A
USGS	14198400	2010-07-26	0.21	A
USGS	14198400	2010-07-27	0.22	A
USGS	14198400	2010-07-28	0.21	A
USGS	14198400	2010-07-29	0.20	A
USGS	14198400	2010-07-30	0.20	A
USGS	14198400	2010-07-31	0.20	A
USGS	14198400	2010-08-01	0.20	A
USGS	14198400	2010-08-02	0.19	A
USGS	14198400	2010-08-03	0.19	A
USGS	14198400	2010-08-04	0.18	A
USGS	14198400	2010-08-05	0.18	A
USGS	14198400	2010-08-06	0.17	A
USGS	14198400	2010-08-07	0.17	A
USGS	14198400	2010-08-08	0.17	A
USGS	14198400	2010-08-09	0.16	A
USGS	14198400	2010-08-10	0.16	A
USGS	14198400	2010-08-11	0.16	A
USGS	14198400	2010-08-12	0.15	A
