# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:51:15 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14201340 PUDDING RIVER NEAR WOODBURN, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14201340
#            TS   parameter     statistic     Description
#        114152       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	114152_00060_00003	114152_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14201340	2010-01-01	2080	A
USGS	14201340	2010-01-02	2920	A
USGS	14201340	2010-01-03	2880	A
USGS	14201340	2010-01-04	2520	A
USGS	14201340	2010-01-05	2290	A
USGS	14201340	2010-01-06	2590	A
USGS	14201340	2010-01-07	2900	A
USGS	14201340	2010-01-08	2750	A
USGS	14201340	2010-01-09	2530	A
USGS	14201340	2010-01-10	2320	A
USGS	14201340	2010-01-11	2010	A
USGS	14201340	2010-01-12	1800	A
USGS	14201340	2010-01-13	1790	A
USGS	14201340	2010-01-14	1710	A
USGS	14201340	2010-01-15	1570	A
USGS	14201340	2010-01-16	1890	A
USGS	14201340	2010-01-17	2320	A
USGS	14201340	2010-01-18	2490	A
USGS	14201340	2010-01-19	2380	A
USGS	14201340	2010-01-20	2090	A
USGS	14201340	2010-01-21	1780	A
USGS	14201340	2010-01-22	1510	A
USGS	14201340	2010-01-23	1340	A
USGS	14201340	2010-01-24	1200	A
USGS	14201340	2010-01-25	1420	A
USGS	14201340	2010-01-26	1680	A
USGS	14201340	2010-01-27	1510	A
USGS	14201340	2010-01-28	1300	A
USGS	14201340	2010-01-29	1120	A
USGS	14201340	2010-01-30	993	A
USGS	14201340	2010-01-31	913	A
USGS	14201340	2010-02-01	849	A
USGS	14201340	2010-02-02	811	A
USGS	14201340	2010-02-03	796	A
USGS	14201340	2010-02-04	780	A
USGS	14201340	2010-02-05	793	A
USGS	14201340	2010-02-06	780	A
USGS	14201340	2010-02-07	731	A
USGS	14201340	2010-02-08	687	A
USGS	14201340	2010-02-09	641	A
USGS	14201340	2010-02-10	602	A
USGS	14201340	2010-02-11	586	A
USGS	14201340	2010-02-12	673	A
USGS	14201340	2010-02-13	809	A
USGS	14201340	2010-02-14	881	A
USGS	14201340	2010-02-15	1080	A
USGS	14201340	2010-02-16	1120	A
USGS	14201340	2010-02-17	1150	A
USGS	14201340	2010-02-18	1060	A
USGS	14201340	2010-02-19	956	A
USGS	14201340	2010-02-20	853	A
USGS	14201340	2010-02-21	761	A
USGS	14201340	2010-02-22	683	A
USGS	14201340	2010-02-23	623	A
USGS	14201340	2010-02-24	647	A
USGS	14201340	2010-02-25	841	A
USGS	14201340	2010-02-26	952	A
USGS	14201340	2010-02-27	1130	A
USGS	14201340	2010-02-28	1090	A
USGS	14201340	2010-03-01	964	A
USGS	14201340	2010-03-02	857	A
USGS	14201340	2010-03-03	777	A
USGS	14201340	2010-03-04	713	A
USGS	14201340	2010-03-05	655	A
USGS	14201340	2010-03-06	594	A
USGS	14201340	2010-03-07	548	A
USGS	14201340	2010-03-08	540	A
USGS	14201340	2010-03-09	604	A
USGS	14201340	2010-03-10	556	A
USGS	14201340	2010-03-11	493	A
USGS	14201340	2010-03-12	646	A
USGS	14201340	2010-03-13	1190	A
USGS	14201340	2010-03-14	1260	A
USGS	14201340	2010-03-15	1130	A
USGS	14201340	2010-03-16	986	A
USGS	14201340	2010-03-17	869	A
USGS	14201340	2010-03-18	784	A
USGS	14201340	2010-03-19	706	A
USGS	14201340	2010-03-20	641	A
USGS	14201340	2010-03-21	591	A
USGS	14201340	2010-03-22	647	A
USGS	14201340	2010-03-23	704	A
USGS	14201340	2010-03-24	635	A
USGS	14201340	2010-03-25	612	A
USGS	14201340	2010-03-26	823	A
USGS	14201340	2010-03-27	1240	A
USGS	14201340	2010-03-28	1310	A
USGS	14201340	2010-03-29	1900	A
USGS	14201340	2010-03-30	3250	A
USGS	14201340	2010-03-31	3530	A
USGS	14201340	2010-04-01	3290	A
USGS	14201340	2010-04-02	2810	A
USGS	14201340	2010-04-03	2600	A
USGS	14201340	2010-04-04	2500	A
USGS	14201340	2010-04-05	2360	A
USGS	14201340	2010-04-06	2170	A
USGS	14201340	2010-04-07	2000	A
USGS	14201340	2010-04-08	1850	A
USGS	14201340	2010-04-09	1740	A
USGS	14201340	2010-04-10	1540	A
USGS	14201340	2010-04-11	1330	A
USGS	14201340	2010-04-12	1200	A
USGS	14201340	2010-04-13	1150	A
USGS	14201340	2010-04-14	1120	A
USGS	14201340	2010-04-15	1210	A
USGS	14201340	2010-04-16	1410	A
USGS	14201340	2010-04-17	1290	A
USGS	14201340	2010-04-18	1110	A
USGS	14201340	2010-04-19	984	A
USGS	14201340	2010-04-20	889	A
USGS	14201340	2010-04-21	854	A
USGS	14201340	2010-04-22	819	A
USGS	14201340	2010-04-23	711	A
USGS	14201340	2010-04-24	637	A
USGS	14201340	2010-04-25	607	A
USGS	14201340	2010-04-26	550	A
USGS	14201340	2010-04-27	612	A
USGS	14201340	2010-04-28	1050	A
USGS	14201340	2010-04-29	1320	A
USGS	14201340	2010-04-30	1270	A
USGS	14201340	2010-05-01	1120	A
USGS	14201340	2010-05-02	987	A
USGS	14201340	2010-05-03	890	A
USGS	14201340	2010-05-04	984	A
USGS	14201340	2010-05-05	898	A
USGS	14201340	2010-05-06	819	A
USGS	14201340	2010-05-07	739	A
USGS	14201340	2010-05-08	660	A
USGS	14201340	2010-05-09	600	A
USGS	14201340	2010-05-10	567	A
USGS	14201340	2010-05-11	587	A
USGS	14201340	2010-05-12	548	A
USGS	14201340	2010-05-13	499	A
USGS	14201340	2010-05-14	463	A
USGS	14201340	2010-05-15	434	A
USGS	14201340	2010-05-16	410	A
USGS	14201340	2010-05-17	391	A
USGS	14201340	2010-05-18	385	A
USGS	14201340	2010-05-19	394	A
USGS	14201340	2010-05-20	441	A
USGS	14201340	2010-05-21	494	A
USGS	14201340	2010-05-22	585	A
USGS	14201340	2010-05-23	712	A
USGS	14201340	2010-05-24	731	A
USGS	14201340	2010-05-25	670	A
USGS	14201340	2010-05-26	695	A
USGS	14201340	2010-05-27	843	A
USGS	14201340	2010-05-28	810	A
USGS	14201340	2010-05-29	724	A
USGS	14201340	2010-05-30	691	A
USGS	14201340	2010-05-31	644	A
USGS	14201340	2010-06-01	687	A
USGS	14201340	2010-06-02	795	A
USGS	14201340	2010-06-03	2100	A
USGS	14201340	2010-06-04	2680	A
USGS	14201340	2010-06-05	3030	A
USGS	14201340	2010-06-06	2850	A
USGS	14201340	2010-06-07	2380	A
USGS	14201340	2010-06-08	1920	A
USGS	14201340	2010-06-09	1520	A
USGS	14201340	2010-06-10	1470	A
USGS	14201340	2010-06-11	1500	A
USGS	14201340	2010-06-12	1400	A
USGS	14201340	2010-06-13	1210	A
USGS	14201340	2010-06-14	1010	A
USGS	14201340	2010-06-15	868	A
USGS	14201340	2010-06-16	774	A
USGS	14201340	2010-06-17	704	A
USGS	14201340	2010-06-18	638	A
USGS	14201340	2010-06-19	573	A
USGS	14201340	2010-06-20	528	A
USGS	14201340	2010-06-21	499	A
USGS	14201340	2010-06-22	467	A
USGS	14201340	2010-06-23	428	A
USGS	14201340	2010-06-24	395	A
USGS	14201340	2010-06-25	363	A
USGS	14201340	2010-06-26	340	A
USGS	14201340	2010-06-27	323	A
USGS	14201340	2010-06-28	306	A
USGS	14201340	2010-06-29	281	A
USGS	14201340	2010-06-30	261	A
USGS	14201340	2010-07-01	245	A
USGS	14201340	2010-07-02	235	A
USGS	14201340	2010-07-03	256	A
USGS	14201340	2010-07-04	244	A
USGS	14201340	2010-07-05	219	A
USGS	14201340	2010-07-06	198	A
USGS	14201340	2010-07-07	180	A
USGS	14201340	2010-07-08	164	A
USGS	14201340	2010-07-09	144	A
USGS	14201340	2010-07-10	130	A
USGS	14201340	2010-07-11	125	A
USGS	14201340	2010-07-12	124	A
USGS	14201340	2010-07-13	119	A
USGS	14201340	2010-07-14	115	A
USGS	14201340	2010-07-15	109	A
USGS	14201340	2010-07-16	102	A
USGS	14201340	2010-07-17	97.0	A
USGS	14201340	2010-07-18	95.7	A
USGS	14201340	2010-07-19	97.3	A
USGS	14201340	2010-07-20	93.0	A
USGS	14201340	2010-07-21	89.4	A
USGS	14201340	2010-07-22	85.9	A
USGS	14201340	2010-07-23	83.3	A
USGS	14201340	2010-07-24	78.2	A
USGS	14201340	2010-07-25	75.7	A
USGS	14201340	2010-07-26	74.6	A
USGS	14201340	2010-07-27	69.5	A
USGS	14201340	2010-07-28	63.8	A
USGS	14201340	2010-07-29	69.8	A
USGS	14201340	2010-07-30	71.3	A
USGS	14201340	2010-07-31	70.2	A
USGS	14201340	2010-08-01	69.8	A
USGS	14201340	2010-08-02	75.4	A
USGS	14201340	2010-08-03	73.0	A
USGS	14201340	2010-08-04	65.0	A
USGS	14201340	2010-08-05	64.8	A
USGS	14201340	2010-08-06	61.3	A
USGS	14201340	2010-08-07	58.3	A
USGS	14201340	2010-08-08	57.1	A
USGS	14201340	2010-08-09	56.5	A
USGS	14201340	2010-08-10	54.8	A
USGS	14201340	2010-08-11	48.8	A
USGS	14201340	2010-08-12	47.2	A
USGS	14201340	2010-08-13	43.0	A
USGS	14201340	2010-08-14	40.4	A
USGS	14201340	2010-08-15	33.5	A
USGS	14201340	2010-08-16	32.4	A
USGS	14201340	2010-08-17	31.9	A
USGS	14201340	2010-08-18	30.4	A
USGS	14201340	2010-08-19	28.7	A
USGS	14201340	2010-08-20	29.9	A
USGS	14201340	2010-08-21	30.8	A
USGS	14201340	2010-08-22	32.2	A
USGS	14201340	2010-08-23	34.6	A
USGS	14201340	2010-08-24	34.2	A
USGS	14201340	2010-08-25	27.2	A
USGS	14201340	2010-08-26	26.3	A
USGS	14201340	2010-08-27	29.6	A
USGS	14201340	2010-08-28	24.3	A
USGS	14201340	2010-08-29	23.9	A
USGS	14201340	2010-08-30	25.7	A
USGS	14201340	2010-08-31	23.5	A
USGS	14201340	2010-09-01	24.2	A
USGS	14201340	2010-09-02	22.6	A
USGS	14201340	2010-09-03	26.0	A
USGS	14201340	2010-09-04	29.9	A
USGS	14201340	2010-09-05	29.1	A
USGS	14201340	2010-09-06	26.9	A
USGS	14201340	2010-09-07	26.7	A
USGS	14201340	2010-09-08	29.4	A
USGS	14201340	2010-09-09	38.5	A
USGS	14201340	2010-09-10	45.4	A
USGS	14201340	2010-09-11	46.0	A
USGS	14201340	2010-09-12	43.5	A
USGS	14201340	2010-09-13	39.7	A
USGS	14201340	2010-09-14	39.2	A
USGS	14201340	2010-09-15	35.7	A
USGS	14201340	2010-09-16	37.9	A
USGS	14201340	2010-09-17	43.1	A
USGS	14201340	2010-09-18	51.6	A
USGS	14201340	2010-09-19	81.1	A
USGS	14201340	2010-09-20	188	A
USGS	14201340	2010-09-21	230	A
USGS	14201340	2010-09-22	153	A
USGS	14201340	2010-09-23	113	A
USGS	14201340	2010-09-24	95.8	A
USGS	14201340	2010-09-25	90.2	A
USGS	14201340	2010-09-26	77.9	A
USGS	14201340	2010-09-27	69.6	A
USGS	14201340	2010-09-28	68.0	A
USGS	14201340	2010-09-29	63.0	A
USGS	14201340	2010-09-30	58.0	A
USGS	14201340	2010-10-01	56.5	A
USGS	14201340	2010-10-02	55.1	A
USGS	14201340	2010-10-03	53.3	A
USGS	14201340	2010-10-04	52.9	A
USGS	14201340	2010-10-05	51.4	A
