# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:51:17 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14202000 PUDDING RIVER AT AURORA, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14202000
#            TS   parameter     statistic     Description
#        114154       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	114154_00060_00003	114154_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14202000	2010-01-01	2770	A
USGS	14202000	2010-01-02	4030	A
USGS	14202000	2010-01-03	4110	A
USGS	14202000	2010-01-04	3610	A
USGS	14202000	2010-01-05	3180	A
USGS	14202000	2010-01-06	3560	A
USGS	14202000	2010-01-07	4190	A
USGS	14202000	2010-01-08	4000	A
USGS	14202000	2010-01-09	3620	A
USGS	14202000	2010-01-10	3350	A
USGS	14202000	2010-01-11	2930	A
USGS	14202000	2010-01-12	2600	A
USGS	14202000	2010-01-13	2670	A
USGS	14202000	2010-01-14	2540	A
USGS	14202000	2010-01-15	2340	A
USGS	14202000	2010-01-16	2780	A
USGS	14202000	2010-01-17	3480	A
USGS	14202000	2010-01-18	3670	A
USGS	14202000	2010-01-19	3490	A
USGS	14202000	2010-01-20	3050	A
USGS	14202000	2010-01-21	2590	A
USGS	14202000	2010-01-22	2210	A
USGS	14202000	2010-01-23	1980	A
USGS	14202000	2010-01-24	1800	A
USGS	14202000	2010-01-25	2070	A
USGS	14202000	2010-01-26	2530	A
USGS	14202000	2010-01-27	2320	A
USGS	14202000	2010-01-28	2000	A
USGS	14202000	2010-01-29	1740	A
USGS	14202000	2010-01-30	1530	A
USGS	14202000	2010-01-31	1410	A
USGS	14202000	2010-02-01	1310	A
USGS	14202000	2010-02-02	1250	A
USGS	14202000	2010-02-03	1240	A
USGS	14202000	2010-02-04	1220	A
USGS	14202000	2010-02-05	1230	A
USGS	14202000	2010-02-06	1230	A
USGS	14202000	2010-02-07	1160	A
USGS	14202000	2010-02-08	1080	A
USGS	14202000	2010-02-09	1010	A
USGS	14202000	2010-02-10	943	A
USGS	14202000	2010-02-11	908	A
USGS	14202000	2010-02-12	998	A
USGS	14202000	2010-02-13	1220	A
USGS	14202000	2010-02-14	1350	A
USGS	14202000	2010-02-15	1650	A
USGS	14202000	2010-02-16	1760	A
USGS	14202000	2010-02-17	1790	A
USGS	14202000	2010-02-18	1660	A
USGS	14202000	2010-02-19	1490	A
USGS	14202000	2010-02-20	1330	A
USGS	14202000	2010-02-21	1180	A
USGS	14202000	2010-02-22	1060	A
USGS	14202000	2010-02-23	959	A
USGS	14202000	2010-02-24	956	A
USGS	14202000	2010-02-25	1180	A
USGS	14202000	2010-02-26	1420	A
USGS	14202000	2010-02-27	1730	A
USGS	14202000	2010-02-28	1740	A
USGS	14202000	2010-03-01	1520	A
USGS	14202000	2010-03-02	1350	A
USGS	14202000	2010-03-03	1220	A
USGS	14202000	2010-03-04	1110	A
USGS	14202000	2010-03-05	1020	A
USGS	14202000	2010-03-06	928	A
USGS	14202000	2010-03-07	850	A
USGS	14202000	2010-03-08	810	A
USGS	14202000	2010-03-09	873	A
USGS	14202000	2010-03-10	853	A
USGS	14202000	2010-03-11	774	A
USGS	14202000	2010-03-12	852	A
USGS	14202000	2010-03-13	1620	A
USGS	14202000	2010-03-14	1910	A
USGS	14202000	2010-03-15	1730	A
USGS	14202000	2010-03-16	1530	A
USGS	14202000	2010-03-17	1360	A
USGS	14202000	2010-03-18	1230	A
USGS	14202000	2010-03-19	1110	A
USGS	14202000	2010-03-20	1000	A
USGS	14202000	2010-03-21	919	A
USGS	14202000	2010-03-22	930	A
USGS	14202000	2010-03-23	1050	A
USGS	14202000	2010-03-24	979	A
USGS	14202000	2010-03-25	926	A
USGS	14202000	2010-03-26	1100	A
USGS	14202000	2010-03-27	1640	A
USGS	14202000	2010-03-28	1830	A
USGS	14202000	2010-03-29	2510	A
USGS	14202000	2010-03-30	4410	A
USGS	14202000	2010-03-31	5070	A
USGS	14202000	2010-04-01	4900	A
USGS	14202000	2010-04-02	4240	A
USGS	14202000	2010-04-03	3820	A
USGS	14202000	2010-04-04	3640	A
USGS	14202000	2010-04-05	3470	A
USGS	14202000	2010-04-06	3210	A
USGS	14202000	2010-04-07	2970	A
USGS	14202000	2010-04-08	2770	A
USGS	14202000	2010-04-09	2640	A
USGS	14202000	2010-04-10	2410	A
USGS	14202000	2010-04-11	2170	A
USGS	14202000	2010-04-12	2000	A
USGS	14202000	2010-04-13	1910	A
USGS	14202000	2010-04-14	1870	A
USGS	14202000	2010-04-15	1940	A
USGS	14202000	2010-04-16	2210	A
USGS	14202000	2010-04-17	2130	A
USGS	14202000	2010-04-18	1920	A
USGS	14202000	2010-04-19	1720	A
USGS	14202000	2010-04-20	1570	A
USGS	14202000	2010-04-21	1490	A
USGS	14202000	2010-04-22	1470	A
USGS	14202000	2010-04-23	1300	A
USGS	14202000	2010-04-24	1150	A
USGS	14202000	2010-04-25	1090	A
USGS	14202000	2010-04-26	1000	A
USGS	14202000	2010-04-27	1030	A
USGS	14202000	2010-04-28	1600	A
USGS	14202000	2010-04-29	1970	A
USGS	14202000	2010-04-30	1960	A
USGS	14202000	2010-05-01	1780	A
USGS	14202000	2010-05-02	1590	A
USGS	14202000	2010-05-03	1440	A
USGS	14202000	2010-05-04	1500	A
USGS	14202000	2010-05-05	1460	A
USGS	14202000	2010-05-06	1340	A
USGS	14202000	2010-05-07	1240	A
USGS	14202000	2010-05-08	1110	A
USGS	14202000	2010-05-09	1010	A
USGS	14202000	2010-05-10	936	A
USGS	14202000	2010-05-11	953	A
USGS	14202000	2010-05-12	916	A
USGS	14202000	2010-05-13	835	A
USGS	14202000	2010-05-14	765	A
USGS	14202000	2010-05-15	709	A
USGS	14202000	2010-05-16	664	A
USGS	14202000	2010-05-17	629	A
USGS	14202000	2010-05-18	609	A
USGS	14202000	2010-05-19	613	A
USGS	14202000	2010-05-20	684	A
USGS	14202000	2010-05-21	804	A
USGS	14202000	2010-05-22	949	A
USGS	14202000	2010-05-23	1160	A
USGS	14202000	2010-05-24	1180	A
USGS	14202000	2010-05-25	1110	A
USGS	14202000	2010-05-26	1090	A
USGS	14202000	2010-05-27	1310	A
USGS	14202000	2010-05-28	1320	A
USGS	14202000	2010-05-29	1200	A
USGS	14202000	2010-05-30	1150	A
USGS	14202000	2010-05-31	1090	A
USGS	14202000	2010-06-01	1130	A
USGS	14202000	2010-06-02	1260	A
USGS	14202000	2010-06-03	2690	A
USGS	14202000	2010-06-04	3660	A
USGS	14202000	2010-06-05	4300	A
USGS	14202000	2010-06-06	4300	A
USGS	14202000	2010-06-07	3730	A
USGS	14202000	2010-06-08	3020	A
USGS	14202000	2010-06-09	2430	A
