# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:51:18 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14203500 TUALATIN RIVER NEAR DILLEY, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14203500
#            TS   parameter     statistic     Description
#        173549       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	173549_00060_00003	173549_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14203500	2010-01-01	751	A
USGS	14203500	2010-01-02	951	A
USGS	14203500	2010-01-03	887	A
USGS	14203500	2010-01-04	784	A
USGS	14203500	2010-01-05	773	A
USGS	14203500	2010-01-06	887	A
USGS	14203500	2010-01-07	941	A
USGS	14203500	2010-01-08	918	A
USGS	14203500	2010-01-09	920	A
USGS	14203500	2010-01-10	879	A
USGS	14203500	2010-01-11	839	A
USGS	14203500	2010-01-12	883	A
USGS	14203500	2010-01-13	1030	A
USGS	14203500	2010-01-14	1100	A
USGS	14203500	2010-01-15	1060	A
USGS	14203500	2010-01-16	1060	A
USGS	14203500	2010-01-17	990	A
USGS	14203500	2010-01-18	1120	A
USGS	14203500	2010-01-19	1180	A
USGS	14203500	2010-01-20	1060	A
USGS	14203500	2010-01-21	1050	A
USGS	14203500	2010-01-22	1100	A
USGS	14203500	2010-01-23	1090	A
USGS	14203500	2010-01-24	1040	A
USGS	14203500	2010-01-25	1100	A
USGS	14203500	2010-01-26	889	A
USGS	14203500	2010-01-27	805	A
USGS	14203500	2010-01-28	740	A
USGS	14203500	2010-01-29	683	A
USGS	14203500	2010-01-30	636	A
USGS	14203500	2010-01-31	602	A
USGS	14203500	2010-02-01	573	A
USGS	14203500	2010-02-02	564	A
USGS	14203500	2010-02-03	550	A
USGS	14203500	2010-02-04	566	A
USGS	14203500	2010-02-05	564	A
USGS	14203500	2010-02-06	504	A
USGS	14203500	2010-02-07	471	A
USGS	14203500	2010-02-08	438	A
USGS	14203500	2010-02-09	411	A
USGS	14203500	2010-02-10	393	A
USGS	14203500	2010-02-11	394	A
USGS	14203500	2010-02-12	460	A
USGS	14203500	2010-02-13	550	A
