# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:51:21 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14206900 FANNO CREEK AT 56TH AVE, AT PORTLAND, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14206900
#            TS   parameter     statistic     Description
#        114232       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	114232_00060_00003	114232_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14206900	2010-01-01	16.4	A
USGS	14206900	2010-01-02	5.44	A
USGS	14206900	2010-01-03	3.37	A
USGS	14206900	2010-01-04	5.51	A
USGS	14206900	2010-01-05	6.60	A
USGS	14206900	2010-01-06	9.34	A
USGS	14206900	2010-01-07	3.78	A
USGS	14206900	2010-01-08	7.04	A
USGS	14206900	2010-01-09	5.31	A
USGS	14206900	2010-01-10	3.25	A
USGS	14206900	2010-01-11	2.79	A
USGS	14206900	2010-01-12	6.84	A
USGS	14206900	2010-01-13	6.39	A
USGS	14206900	2010-01-14	3.60	A
USGS	14206900	2010-01-15	10.8	A
USGS	14206900	2010-01-16	9.34	A
USGS	14206900	2010-01-17	10.5	A
USGS	14206900	2010-01-18	5.44	A
USGS	14206900	2010-01-19	4.05	A
USGS	14206900	2010-01-20	3.48	A
USGS	14206900	2010-01-21	3.13	A
USGS	14206900	2010-01-22	3.99	A
USGS	14206900	2010-01-23	2.85	A
USGS	14206900	2010-01-24	12.5	A
USGS	14206900	2010-01-25	10.0	A
USGS	14206900	2010-01-26	5.58	A
USGS	14206900	2010-01-27	3.93	A
USGS	14206900	2010-01-28	2.97	A
USGS	14206900	2010-01-29	2.66	A
USGS	14206900	2010-01-30	2.73	A
USGS	14206900	2010-01-31	2.63	A
USGS	14206900	2010-02-01	3.52	A
USGS	14206900	2010-02-02	2.60	A
USGS	14206900	2010-02-03	3.28	A
USGS	14206900	2010-02-04	3.58	A
USGS	14206900	2010-02-05	3.25	A
USGS	14206900	2010-02-06	2.47	A
USGS	14206900	2010-02-07	2.27	A
USGS	14206900	2010-02-08	1.71	A
USGS	14206900	2010-02-09	1.57	A
USGS	14206900	2010-02-10	2.25	A
USGS	14206900	2010-02-11	3.46	A
USGS	14206900	2010-02-12	4.10	A
USGS	14206900	2010-02-13	2.19	A
USGS	14206900	2010-02-14	5.74	A
USGS	14206900	2010-02-15	3.36	A
USGS	14206900	2010-02-16	3.45	A
USGS	14206900	2010-02-17	2.38	A
USGS	14206900	2010-02-18	2.11	A
USGS	14206900	2010-02-19	1.86	A
USGS	14206900	2010-02-20	1.61	A
USGS	14206900	2010-02-21	1.47	A
USGS	14206900	2010-02-22	1.37	A
USGS	14206900	2010-02-23	3.05	A
USGS	14206900	2010-02-24	3.61	A
USGS	14206900	2010-02-25	2.56	A
USGS	14206900	2010-02-26	10.4	A
USGS	14206900	2010-02-27	3.05	A
USGS	14206900	2010-02-28	2.21	A
USGS	14206900	2010-03-01	1.93	A
USGS	14206900	2010-03-02	1.70	A
USGS	14206900	2010-03-03	1.50	A
USGS	14206900	2010-03-04	1.37	A
USGS	14206900	2010-03-05	1.27	A
USGS	14206900	2010-03-06	1.19	A
USGS	14206900	2010-03-07	1.28	A
USGS	14206900	2010-03-08	1.31	A
USGS	14206900	2010-03-09	2.13	A
USGS	14206900	2010-03-10	2.02	A
USGS	14206900	2010-03-11	9.42	A
USGS	14206900	2010-03-12	8.49	A
USGS	14206900	2010-03-13	3.18	A
USGS	14206900	2010-03-14	2.36	A
USGS	14206900	2010-03-15	2.10	A
USGS	14206900	2010-03-16	2.04	A
USGS	14206900	2010-03-17	1.63	A
USGS	14206900	2010-03-18	1.50	A
USGS	14206900	2010-03-19	1.43	A
USGS	14206900	2010-03-20	1.49	A
USGS	14206900	2010-03-21	1.42	A
USGS	14206900	2010-03-22	1.49	A
USGS	14206900	2010-03-23	1.25	A
USGS	14206900	2010-03-24	1.32	A
USGS	14206900	2010-03-25	4.95	A
USGS	14206900	2010-03-26	6.21	A
USGS	14206900	2010-03-27	2.02	A
USGS	14206900	2010-03-28	10.0	A
USGS	14206900	2010-03-29	25.5	A
USGS	14206900	2010-03-30	8.96	A
USGS	14206900	2010-03-31	4.63	A
USGS	14206900	2010-04-01	3.29	A
USGS	14206900	2010-04-02	12.0	A
USGS	14206900	2010-04-03	6.57	A
USGS	14206900	2010-04-04	5.26	A
USGS	14206900	2010-04-05	4.81	A
USGS	14206900	2010-04-06	5.73	A
USGS	14206900	2010-04-07	3.41	A
USGS	14206900	2010-04-08	5.02	A
USGS	14206900	2010-04-09	2.73	A
USGS	14206900	2010-04-10	2.47	A
USGS	14206900	2010-04-11	2.29	A
USGS	14206900	2010-04-12	6.17	A
USGS	14206900	2010-04-13	2.39	A
USGS	14206900	2010-04-14	2.02	A
USGS	14206900	2010-04-15	3.97	A
USGS	14206900	2010-04-16	1.98	A
USGS	14206900	2010-04-17	2.13	A
USGS	14206900	2010-04-18	1.59	A
USGS	14206900	2010-04-19	1.39	A
USGS	14206900	2010-04-20	1.30	A
USGS	14206900	2010-04-21	1.23	A
USGS	14206900	2010-04-22	1.12	A
