# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:51:22 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14206950 FANNO CREEK AT DURHAM, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14206950
#            TS   parameter     statistic     Description
#        114233       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     R  Records for these data have been revised. [https://waterdata.usgs.gov/usa/nwis/revision/?site_no=14206950&ts_ids=114233]
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	114233_00060_00003	114233_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14206950	2010-01-01	335	A
USGS	14206950	2010-01-02	181	A
USGS	14206950	2010-01-03	62.5	A
USGS	14206950	2010-01-04	86.3	A
USGS	14206950	2010-01-05	95.8	A
USGS	14206950	2010-01-06	260	A
USGS	14206950	2010-01-07	72.2	A
USGS	14206950	2010-01-08	94.8	A
USGS	14206950	2010-01-09	158	A
USGS	14206950	2010-01-10	58.2	A
USGS	14206950	2010-01-11	45.2	A
USGS	14206950	2010-01-12	131	A
USGS	14206950	2010-01-13	118	A
USGS	14206950	2010-01-14	89.9	A
USGS	14206950	2010-01-15	132	A
USGS	14206950	2010-01-16	282	A
USGS	14206950	2010-01-17	176	A
USGS	14206950	2010-01-18	137	A
USGS	14206950	2010-01-19	68.3	A
USGS	14206950	2010-01-20	53.6	A
USGS	14206950	2010-01-21	42.7	A
USGS	14206950	2010-01-22	52.2	A
USGS	14206950	2010-01-23	49.4	A
USGS	14206950	2010-01-24	132	A
USGS	14206950	2010-01-25	215	A
USGS	14206950	2010-01-26	70.4	A
USGS	14206950	2010-01-27	51.9	A
USGS	14206950	2010-01-28	39.0	A
USGS	14206950	2010-01-29	33.0	A
USGS	14206950	2010-01-30	31.7	A
USGS	14206950	2010-01-31	36.1	A
USGS	14206950	2010-02-01	38.3	A
USGS	14206950	2010-02-02	46.6	A
USGS	14206950	2010-02-03	41.9	A
USGS	14206950	2010-02-04	41.4	A
USGS	14206950	2010-02-05	49.6	A
USGS	14206950	2010-02-06	28.5	A
USGS	14206950	2010-02-07	26.3	A
USGS	14206950	2010-02-08	21.4	A
USGS	14206950	2010-02-09	19.9	A
USGS	14206950	2010-02-10	30.3	A
USGS	14206950	2010-02-11	40.9	A
USGS	14206950	2010-02-12	90.3	A
USGS	14206950	2010-02-13	44.1	A
USGS	14206950	2010-02-14	103	A
USGS	14206950	2010-02-15	52.8	A
USGS	14206950	2010-02-16	77.9	A
USGS	14206950	2010-02-17	39.6	A
USGS	14206950	2010-02-18	31.9	A
USGS	14206950	2010-02-19	27.2	A
USGS	14206950	2010-02-20	23.8	A
USGS	14206950	2010-02-21	21.3	A
USGS	14206950	2010-02-22	18.9	A
USGS	14206950	2010-02-23	34.6	A
USGS	14206950	2010-02-24	93.5	A
USGS	14206950	2010-02-25	47.6	A
USGS	14206950	2010-02-26	187	A
USGS	14206950	2010-02-27	98.0	A
USGS	14206950	2010-02-28	48.7	A
USGS	14206950	2010-03-01	37.4	A
USGS	14206950	2010-03-02	32.5	A
USGS	14206950	2010-03-03	29.3	A
USGS	14206950	2010-03-04	23.8	A
USGS	14206950	2010-03-05	20.7	A
USGS	14206950	2010-03-06	19.2	A
USGS	14206950	2010-03-07	18.1	A
USGS	14206950	2010-03-08	21.6	A
USGS	14206950	2010-03-09	31.2	A
USGS	14206950	2010-03-10	46.5	A
USGS	14206950	2010-03-11	66.3	A
USGS	14206950	2010-03-12	270	A
USGS	14206950	2010-03-13	81.4	A
USGS	14206950	2010-03-14	45.7	A
USGS	14206950	2010-03-15	35.1	A
USGS	14206950	2010-03-16	30.0	A
USGS	14206950	2010-03-17	25.6	A
USGS	14206950	2010-03-18	21.0	A
USGS	14206950	2010-03-19	19.1	A
USGS	14206950	2010-03-20	18.0	A
USGS	14206950	2010-03-21	18.2	A
USGS	14206950	2010-03-22	18.0	A
USGS	14206950	2010-03-23	14.7	A
USGS	14206950	2010-03-24	12.4	A
USGS	14206950	2010-03-25	71.9	A
USGS	14206950	2010-03-26	112	A
USGS	14206950	2010-03-27	34.5	A
USGS	14206950	2010-03-28	94.1	A
USGS	14206950	2010-03-29	379	A
USGS	14206950	2010-03-30	308	A
USGS	14206950	2010-03-31	110	A
USGS	14206950	2010-04-01	62.3	A
USGS	14206950	2010-04-02	203	A
USGS	14206950	2010-04-03	166	A
USGS	14206950	2010-04-04	93.4	A
USGS	14206950	2010-04-05	88.1	A
USGS	14206950	2010-04-06	85.1	A
USGS	14206950	2010-04-07	51.7	A
USGS	14206950	2010-04-08	68.9	A
USGS	14206950	2010-04-09	40.5	A
USGS	14206950	2010-04-10	34.0	A
USGS	14206950	2010-04-11	30.1	A
USGS	14206950	2010-04-12	90.7	A
USGS	14206950	2010-04-13	37.8	A
USGS	14206950	2010-04-14	28.6	A
USGS	14206950	2010-04-15	58.0	A
USGS	14206950	2010-04-16	28.8	A
USGS	14206950	2010-04-17	24.0	A
USGS	14206950	2010-04-18	21.8	A
USGS	14206950	2010-04-19	19.0	A
USGS	14206950	2010-04-20	19.4	A
USGS	14206950	2010-04-21	16.9	A
USGS	14206950	2010-04-22	15.0	A
USGS	14206950	2010-04-23	13.6	A
USGS	14206950	2010-04-24	14.1	A
USGS	14206950	2010-04-25	12.7	A
USGS	14206950	2010-04-26	26.3	A
USGS	14206950	2010-04-27	162	A
USGS	14206950	2010-04-28	59.8	A
USGS	14206950	2010-04-29	47.5	A
USGS	14206950	2010-04-30	26.7	A
USGS	14206950	2010-05-01	20.4	A
USGS	14206950	2010-05-02	17.6	A
USGS	14206950	2010-05-03	23.3	A
USGS	14206950	2010-05-04	21.1	A
USGS	14206950	2010-05-05	35.8	A
USGS	14206950	2010-05-06	20.9	A
USGS	14206950	2010-05-07	16.3	A
USGS	14206950	2010-05-08	14.6	A
USGS	14206950	2010-05-09	13.6	A
USGS	14206950	2010-05-10	19.1	A
USGS	14206950	2010-05-11	19.1	A
USGS	14206950	2010-05-12	12.2	A
USGS	14206950	2010-05-13	11.3	A
USGS	14206950	2010-05-14	10.6	A
USGS	14206950	2010-05-15	9.84	A
USGS	14206950	2010-05-16	9.19	A
USGS	14206950	2010-05-17	15.0	A
USGS	14206950	2010-05-18	20.9	A
USGS	14206950	2010-05-19	45.5	A
USGS	14206950	2010-05-20	66.5	A
USGS	14206950	2010-05-21	79.7	A
USGS	14206950	2010-05-22	184	A
USGS	14206950	2010-05-23	91.2	A
USGS	14206950	2010-05-24	52.7	A
USGS	14206950	2010-05-25	36.6	A
