# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:51:24 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14207500 TUALATIN RIVER AT WEST LINN, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14207500
#            TS   parameter     statistic     Description
#        114281       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	114281_00060_00003	114281_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14207500	2010-01-01	2780	A
USGS	14207500	2010-01-02	3700	A
USGS	14207500	2010-01-03	3730	A
USGS	14207500	2010-01-04	3690	A
USGS	14207500	2010-01-05	3830	A
USGS	14207500	2010-01-06	4440	A
USGS	14207500	2010-01-07	4470	A
USGS	14207500	2010-01-08	4460	A
USGS	14207500	2010-01-09	4730	A
USGS	14207500	2010-01-10	4690	A
USGS	14207500	2010-01-11	4610	A
USGS	14207500	2010-01-12	4680	A
USGS	14207500	2010-01-13	4680	A
USGS	14207500	2010-01-14	4670	A
USGS	14207500	2010-01-15	4650	A
USGS	14207500	2010-01-16	5170	A
USGS	14207500	2010-01-17	5300	A
USGS	14207500	2010-01-18	5460	A
USGS	14207500	2010-01-19	5440	A
USGS	14207500	2010-01-20	5460	A
USGS	14207500	2010-01-21	5470	A
USGS	14207500	2010-01-22	5430	A
USGS	14207500	2010-01-23	5290	A
USGS	14207500	2010-01-24	5160	A
USGS	14207500	2010-01-25	5370	A
USGS	14207500	2010-01-26	5100	A
USGS	14207500	2010-01-27	4890	A
USGS	14207500	2010-01-28	4650	A
USGS	14207500	2010-01-29	4370	A
USGS	14207500	2010-01-30	4040	A
USGS	14207500	2010-01-31	3680	A
USGS	14207500	2010-02-01	3300	A
USGS	14207500	2010-02-02	2990	A
USGS	14207500	2010-02-03	2660	A
USGS	14207500	2010-02-04	2440	A
USGS	14207500	2010-02-05	2400	A
USGS	14207500	2010-02-06	2350	A
USGS	14207500	2010-02-07	2250	A
