# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:51:25 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14208700 OAK GROVE FORK NEAR GOVERNMENT CAMP, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14208700
#            TS   parameter     statistic     Description
#        114291       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	114291_00060_00003	114291_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14208700	2010-01-01	112	A
USGS	14208700	2010-01-02	112	A
USGS	14208700	2010-01-03	112	A
USGS	14208700	2010-01-04	113	A
USGS	14208700	2010-01-05	104	A
USGS	14208700	2010-01-06	58.2	A
USGS	14208700	2010-01-07	64.8	A
USGS	14208700	2010-01-08	99.7	A
USGS	14208700	2010-01-09	129	A
USGS	14208700	2010-01-10	158	A
USGS	14208700	2010-01-11	191	A
USGS	14208700	2010-01-12	191	A
USGS	14208700	2010-01-13	186	A
USGS	14208700	2010-01-14	185	A
USGS	14208700	2010-01-15	190	A
USGS	14208700	2010-01-16	190	A
USGS	14208700	2010-01-17	176	A
USGS	14208700	2010-01-18	154	A
USGS	14208700	2010-01-19	162	A
USGS	14208700	2010-01-20	161	A
USGS	14208700	2010-01-21	161	A
USGS	14208700	2010-01-22	161	A
USGS	14208700	2010-01-23	158	A
USGS	14208700	2010-01-24	138	A
USGS	14208700	2010-01-25	138	A
USGS	14208700	2010-01-26	127	A
USGS	14208700	2010-01-27	112	A
USGS	14208700	2010-01-28	107	A
USGS	14208700	2010-01-29	70.0	A
USGS	14208700	2010-01-30	42.3	A
USGS	14208700	2010-01-31	65.2	A
USGS	14208700	2010-02-01	76.2	A
USGS	14208700	2010-02-02	76.2	A
USGS	14208700	2010-02-03	74.9	A
USGS	14208700	2010-02-04	61.9	A
USGS	14208700	2010-02-05	61.9	A
USGS	14208700	2010-02-06	61.9	A
USGS	14208700	2010-02-07	69.2	A
USGS	14208700	2010-02-08	69.4	A
USGS	14208700	2010-02-09	60.3	A
USGS	14208700	2010-02-10	60.1	A
USGS	14208700	2010-02-11	60.3	A
USGS	14208700	2010-02-12	60.3	A
USGS	14208700	2010-02-13	60.3	A
USGS	14208700	2010-02-14	60.3	A
USGS	14208700	2010-02-15	60.3	A
USGS	14208700	2010-02-16	60.3	A
USGS	14208700	2010-02-17	60.4	A
USGS	14208700	2010-02-18	86.1	A
USGS	14208700	2010-02-19	59.4	A
USGS	14208700	2010-02-20	58.7	A
USGS	14208700	2010-02-21	58.7	A
USGS	14208700	2010-02-22	58.7	A
USGS	14208700	2010-02-23	58.7	A
USGS	14208700	2010-02-24	59.0	A
USGS	14208700	2010-02-25	61.4	A
USGS	14208700	2010-02-26	58.5	A
USGS	14208700	2010-02-27	58.6	A
USGS	14208700	2010-02-28	58.4	A
USGS	14208700	2010-03-01	58.7	A
USGS	14208700	2010-03-02	58.7	A
USGS	14208700	2010-03-03	58.7	A
USGS	14208700	2010-03-04	58.6	A
USGS	14208700	2010-03-05	58.3	A
USGS	14208700	2010-03-06	58.7	A
USGS	14208700	2010-03-07	58.7	A
USGS	14208700	2010-03-08	58.7	A
USGS	14208700	2010-03-09	58.7	A
USGS	14208700	2010-03-10	57.8	A
USGS	14208700	2010-03-11	58.4	A
USGS	14208700	2010-03-12	58.7	A
USGS	14208700	2010-03-13	58.7	A
USGS	14208700	2010-03-14	58.7	A
USGS	14208700	2010-03-15	58.7	A
USGS	14208700	2010-03-16	58.7	A
USGS	14208700	2010-03-17	58.7	A
USGS	14208700	2010-03-18	58.6	A
USGS	14208700	2010-03-19	58.6	A
USGS	14208700	2010-03-20	58.5	A
USGS	14208700	2010-03-21	58.7	A
USGS	14208700	2010-03-22	58.7	A
USGS	14208700	2010-03-23	58.7	A
USGS	14208700	2010-03-24	58.7	A
USGS	14208700	2010-03-25	58.7	A
USGS	14208700	2010-03-26	58.7	A
USGS	14208700	2010-03-27	58.7	A
USGS	14208700	2010-03-28	59.1	A
USGS	14208700	2010-03-29	53.6	A
USGS	14208700	2010-03-30	49.6	A
USGS	14208700	2010-03-31	67.8	A
USGS	14208700	2010-04-01	119	A
USGS	14208700	2010-04-02	128	A
USGS	14208700	2010-04-03	159	A
USGS	14208700	2010-04-04	185	A
USGS	14208700	2010-04-05	185	A
USGS	14208700	2010-04-06	185	A
USGS	14208700	2010-04-07	186	A
USGS	14208700	2010-04-08	172	A
USGS	14208700	2010-04-09	195	A
USGS	14208700	2010-04-10	197	A
USGS	14208700	2010-04-11	166	A
USGS	14208700	2010-04-12	131	A
USGS	14208700	2010-04-13	123	A
USGS	14208700	2010-04-14	123	A
USGS	14208700	2010-04-15	124	A
USGS	14208700	2010-04-16	125	A
USGS	14208700	2010-04-17	125	A
USGS	14208700	2010-04-18	125	A
USGS	14208700	2010-04-19	125	A
USGS	14208700	2010-04-20	125	A
USGS	14208700	2010-04-21	124	A
USGS	14208700	2010-04-22	123	A
USGS	14208700	2010-04-23	124	A
USGS	14208700	2010-04-24	123	A
USGS	14208700	2010-04-25	123	A
USGS	14208700	2010-04-26	125	A
USGS	14208700	2010-04-27	125	A
USGS	14208700	2010-04-28	125	A
USGS	14208700	2010-04-29	125	A
USGS	14208700	2010-04-30	125	A
USGS	14208700	2010-05-01	125	A
USGS	14208700	2010-05-02	125	A
USGS	14208700	2010-05-03	125	A
USGS	14208700	2010-05-04	125	A
USGS	14208700	2010-05-05	125	A
USGS	14208700	2010-05-06	125	A
USGS	14208700	2010-05-07	116	A
USGS	14208700	2010-05-08	115	A
USGS	14208700	2010-05-09	115	A
USGS	14208700	2010-05-10	109	A
USGS	14208700	2010-05-11	84.7	A
USGS	14208700	2010-05-12	86.8	A
USGS	14208700	2010-05-13	102	A
USGS	14208700	2010-05-14	102	A
USGS	14208700	2010-05-15	102	A
USGS	14208700	2010-05-16	102	A
USGS	14208700	2010-05-17	102	A
USGS	14208700	2010-05-18	102	A
USGS	14208700	2010-05-19	100	A
USGS	14208700	2010-05-20	78.8	A
USGS	14208700	2010-05-21	90.6	A
USGS	14208700	2010-05-22	90.6	A
USGS	14208700	2010-05-23	90.6	A
USGS	14208700	2010-05-24	90.6	A
USGS	14208700	2010-05-25	90.6	A
USGS	14208700	2010-05-26	90.6	A
USGS	14208700	2010-05-27	90.6	A
USGS	14208700	2010-05-28	93.5	A
USGS	14208700	2010-05-29	98.1	A
USGS	14208700	2010-05-30	102	A
USGS	14208700	2010-05-31	111	A
USGS	14208700	2010-06-01	126	A
USGS	14208700	2010-06-02	156	A
USGS	14208700	2010-06-03	213	A
USGS	14208700	2010-06-04	226	A
USGS	14208700	2010-06-05	241	A
USGS	14208700	2010-06-06	214	A
USGS	14208700	2010-06-07	208	A
USGS	14208700	2010-06-08	222	A
USGS	14208700	2010-06-09	141	A
USGS	14208700	2010-06-10	195	A
USGS	14208700	2010-06-11	191	A
USGS	14208700	2010-06-12	152	A
USGS	14208700	2010-06-13	141	A
USGS	14208700	2010-06-14	141	A
USGS	14208700	2010-06-15	133	A
USGS	14208700	2010-06-16	128	A
USGS	14208700	2010-06-17	128	A
USGS	14208700	2010-06-18	128	A
USGS	14208700	2010-06-19	128	A
USGS	14208700	2010-06-20	128	A
USGS	14208700	2010-06-21	128	A
USGS	14208700	2010-06-22	128	A
USGS	14208700	2010-06-23	128	A
USGS	14208700	2010-06-24	110	A
USGS	14208700	2010-06-25	104	A
USGS	14208700	2010-06-26	103	A
USGS	14208700	2010-06-27	103	A
USGS	14208700	2010-06-28	103	A
USGS	14208700	2010-06-29	103	A
USGS	14208700	2010-06-30	96.5	A
USGS	14208700	2010-07-01	84.1	A
USGS	14208700	2010-07-02	84.2	A
USGS	14208700	2010-07-03	84.2	A
USGS	14208700	2010-07-04	84.2	A
USGS	14208700	2010-07-05	84.2	A
USGS	14208700	2010-07-06	84.1	A
USGS	14208700	2010-07-07	84.2	A
USGS	14208700	2010-07-08	84.1	A
USGS	14208700	2010-07-09	84.2	A
USGS	14208700	2010-07-10	84.2	A
USGS	14208700	2010-07-11	84.2	A
USGS	14208700	2010-07-12	84.2	A
USGS	14208700	2010-07-13	84.2	A
USGS	14208700	2010-07-14	79.7	A
USGS	14208700	2010-07-15	77.9	A
USGS	14208700	2010-07-16	77.8	A
USGS	14208700	2010-07-17	77.9	A
USGS	14208700	2010-07-18	78.1	A
USGS	14208700	2010-07-19	78.1	A
USGS	14208700	2010-07-20	78.1	A
USGS	14208700	2010-07-21	78.1	A
USGS	14208700	2010-07-22	77.9	A
USGS	14208700	2010-07-23	78.1	A
USGS	14208700	2010-07-24	78.1	A
USGS	14208700	2010-07-25	78.1	A
USGS	14208700	2010-07-26	78.1	A
USGS	14208700	2010-07-27	78.1	A
USGS	14208700	2010-07-28	78.1	A
USGS	14208700	2010-07-29	78.1	A
USGS	14208700	2010-07-30	78.1	A
USGS	14208700	2010-07-31	78.1	A
USGS	14208700	2010-08-01	78.1	A
USGS	14208700	2010-08-02	78.1	A
USGS	14208700	2010-08-03	74.6	A
USGS	14208700	2010-08-04	62.9	A
USGS	14208700	2010-08-05	62.5	A
