# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:51:27 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14209500 CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14209500
#            TS   parameter     statistic     Description
#        114294       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	114294_00060_00003	114294_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14209500	2010-01-01	4040	A
USGS	14209500	2010-01-02	4740	A
USGS	14209500	2010-01-03	3570	A
USGS	14209500	2010-01-04	2970	A
USGS	14209500	2010-01-05	4610	A
USGS	14209500	2010-01-06	6190	A
USGS	14209500	2010-01-07	4510	A
USGS	14209500	2010-01-08	3500	A
USGS	14209500	2010-01-09	3100	A
USGS	14209500	2010-01-10	2820	A
USGS	14209500	2010-01-11	2590	A
USGS	14209500	2010-01-12	2610	A
USGS	14209500	2010-01-13	2830	A
USGS	14209500	2010-01-14	2970	A
USGS	14209500	2010-01-15	2720	A
USGS	14209500	2010-01-16	3140	A
USGS	14209500	2010-01-17	3520	A
USGS	14209500	2010-01-18	3640	A
USGS	14209500	2010-01-19	3120	A
USGS	14209500	2010-01-20	2710	A
USGS	14209500	2010-01-21	2420	A
USGS	14209500	2010-01-22	2210	A
USGS	14209500	2010-01-23	2030	A
USGS	14209500	2010-01-24	1920	A
USGS	14209500	2010-01-25	2380	A
USGS	14209500	2010-01-26	2370	A
USGS	14209500	2010-01-27	2140	A
USGS	14209500	2010-01-28	1960	A
USGS	14209500	2010-01-29	1860	A
USGS	14209500	2010-01-30	1690	A
USGS	14209500	2010-01-31	1730	A
USGS	14209500	2010-02-01	1670	A
USGS	14209500	2010-02-02	1680	A
USGS	14209500	2010-02-03	1660	A
USGS	14209500	2010-02-04	1800	A
USGS	14209500	2010-02-05	1970	A
USGS	14209500	2010-02-06	1920	A
USGS	14209500	2010-02-07	1830	A
USGS	14209500	2010-02-08	1720	A
USGS	14209500	2010-02-09	1620	A
USGS	14209500	2010-02-10	1540	A
USGS	14209500	2010-02-11	1610	A
USGS	14209500	2010-02-12	1930	A
USGS	14209500	2010-02-13	2040	A
USGS	14209500	2010-02-14	2050	A
USGS	14209500	2010-02-15	2120	A
USGS	14209500	2010-02-16	2110	A
USGS	14209500	2010-02-17	2070	A
USGS	14209500	2010-02-18	1940	A
USGS	14209500	2010-02-19	1770	A
USGS	14209500	2010-02-20	1650	A
USGS	14209500	2010-02-21	1550	A
USGS	14209500	2010-02-22	1460	A
USGS	14209500	2010-02-23	1410	A
USGS	14209500	2010-02-24	1660	A
USGS	14209500	2010-02-25	1950	A
USGS	14209500	2010-02-26	2020	A
