# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:51:30 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14211010 CLACKAMAS RIVER NEAR OREGON CITY, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14211010
#            TS   parameter     statistic     Description
#        171444       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	171444_00060_00003	171444_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14211010	2010-01-01	6390	A
USGS	14211010	2010-01-02	8140	A
USGS	14211010	2010-01-03	6410	A
USGS	14211010	2010-01-04	5250	A
USGS	14211010	2010-01-05	7200	A
USGS	14211010	2010-01-06	12200	A
USGS	14211010	2010-01-07	9170	A
USGS	14211010	2010-01-08	6810	A
USGS	14211010	2010-01-09	5940	A
USGS	14211010	2010-01-10	5140	A
USGS	14211010	2010-01-11	4560	A
USGS	14211010	2010-01-12	4610	A
USGS	14211010	2010-01-13	4720	A
USGS	14211010	2010-01-14	4860	A
USGS	14211010	2010-01-15	4640	A
USGS	14211010	2010-01-16	5610	A
USGS	14211010	2010-01-17	6150	A
USGS	14211010	2010-01-18	6630	A
USGS	14211010	2010-01-19	5750	A
USGS	14211010	2010-01-20	4920	A
USGS	14211010	2010-01-21	4270	A
USGS	14211010	2010-01-22	3880	A
USGS	14211010	2010-01-23	3790	A
USGS	14211010	2010-01-24	3560	A
USGS	14211010	2010-01-25	4590	A
USGS	14211010	2010-01-26	4620	A
USGS	14211010	2010-01-27	4060	A
USGS	14211010	2010-01-28	3670	A
USGS	14211010	2010-01-29	3390	A
USGS	14211010	2010-01-30	3310	A
USGS	14211010	2010-01-31	3140	A
