# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:51:31 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14211315 TRYON CREEK NEAR LAKE OSWEGO, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14211315
#            TS   parameter     statistic     Description
#        114351       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	114351_00060_00003	114351_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14211315	2010-01-01	61.1	A
USGS	14211315	2010-01-02	23.7	A
USGS	14211315	2010-01-03	12.4	A
USGS	14211315	2010-01-04	17.4	A
USGS	14211315	2010-01-05	20.9	A
USGS	14211315	2010-01-06	35.0	A
USGS	14211315	2010-01-07	14.0	A
USGS	14211315	2010-01-08	20.4	A
USGS	14211315	2010-01-09	20.9	A
USGS	14211315	2010-01-10	11.5	A
USGS	14211315	2010-01-11	9.20	A
USGS	14211315	2010-01-12	20.5	A
USGS	14211315	2010-01-13	17.4	A
USGS	14211315	2010-01-14	10.8	A
USGS	14211315	2010-01-15	30.8	A
USGS	14211315	2010-01-16	37.1	A
USGS	14211315	2010-01-17	35.0	A
USGS	14211315	2010-01-18	20.8	A
USGS	14211315	2010-01-19	13.1	A
USGS	14211315	2010-01-20	10.3	A
USGS	14211315	2010-01-21	8.01	A
USGS	14211315	2010-01-22	9.90	A
USGS	14211315	2010-01-23	6.80	A
USGS	14211315	2010-01-24	29.3	A
USGS	14211315	2010-01-25	30.1	A
USGS	14211315	2010-01-26	13.9	A
USGS	14211315	2010-01-27	9.65	A
USGS	14211315	2010-01-28	7.74	A
USGS	14211315	2010-01-29	6.59	A
USGS	14211315	2010-01-30	6.18	A
USGS	14211315	2010-01-31	7.00	A
USGS	14211315	2010-02-01	9.69	A
USGS	14211315	2010-02-02	7.76	A
USGS	14211315	2010-02-03	9.11	A
USGS	14211315	2010-02-04	10.1	A
USGS	14211315	2010-02-05	11.1	A
