# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:51:32 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14211400 JOHNSON CREEK AT REGNER ROAD, AT GRESHAM, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14211400
#            TS   parameter     statistic     Description
#        114352       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     R  Records for these data have been revised. [https://waterdata.usgs.gov/usa/nwis/revision/?site_no=14211400&ts_ids=114352]
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	114352_00060_00003	114352_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14211400	2010-01-01	160	A
USGS	14211400	2010-01-02	106	A
USGS	14211400	2010-01-03	74.0	A
USGS	14211400	2010-01-04	88.8	A
USGS	14211400	2010-01-05	134	A
USGS	14211400	2010-01-06	147	A
USGS	14211400	2010-01-07	89.2	A
USGS	14211400	2010-01-08	78.0	A
USGS	14211400	2010-01-09	102	A
USGS	14211400	2010-01-10	70.2	A
USGS	14211400	2010-01-11	56.1	A
USGS	14211400	2010-01-12	83.1	A
USGS	14211400	2010-01-13	78.0	A
USGS	14211400	2010-01-14	62.2	A
USGS	14211400	2010-01-15	97.6	A
USGS	14211400	2010-01-16	164	A
USGS	14211400	2010-01-17	167	A
USGS	14211400	2010-01-18	123	A
USGS	14211400	2010-01-19	88.2	A
USGS	14211400	2010-01-20	73.6	A
USGS	14211400	2010-01-21	54.6	A
USGS	14211400	2010-01-22	50.7	A
USGS	14211400	2010-01-23	53.3	A
USGS	14211400	2010-01-24	84.2	A
USGS	14211400	2010-01-25	129	A
USGS	14211400	2010-01-26	84.8	A
USGS	14211400	2010-01-27	61.5	A
USGS	14211400	2010-01-28	47.6	A
USGS	14211400	2010-01-29	36.7	A
USGS	14211400	2010-01-30	36.7	A
USGS	14211400	2010-01-31	37.5	A
USGS	14211400	2010-02-01	39.3	A
USGS	14211400	2010-02-02	50.8	A
USGS	14211400	2010-02-03	47.4	A
USGS	14211400	2010-02-04	57.9	A
USGS	14211400	2010-02-05	89.3	A
USGS	14211400	2010-02-06	62.0	A
USGS	14211400	2010-02-07	51.0	A
USGS	14211400	2010-02-08	39.7	A
USGS	14211400	2010-02-09	30.8	A
USGS	14211400	2010-02-10	32.2	A
USGS	14211400	2010-02-11	40.4	A
USGS	14211400	2010-02-12	62.6	A
USGS	14211400	2010-02-13	49.6	A
USGS	14211400	2010-02-14	82.7	A
USGS	14211400	2010-02-15	76.1	A
USGS	14211400	2010-02-16	84.9	A
USGS	14211400	2010-02-17	62.7	A
USGS	14211400	2010-02-18	50.1	A
USGS	14211400	2010-02-19	38.2	A
USGS	14211400	2010-02-20	28.4	A
USGS	14211400	2010-02-21	22.4	A
USGS	14211400	2010-02-22	17.6	A
USGS	14211400	2010-02-23	16.2	A
USGS	14211400	2010-02-24	29.0	A
USGS	14211400	2010-02-25	20.8	A
USGS	14211400	2010-02-26	58.6	A
USGS	14211400	2010-02-27	52.4	A
USGS	14211400	2010-02-28	38.0	A
USGS	14211400	2010-03-01	30.4	A
USGS	14211400	2010-03-02	26.5	A
USGS	14211400	2010-03-03	21.7	A
USGS	14211400	2010-03-04	17.2	A
USGS	14211400	2010-03-05	14.3	A
USGS	14211400	2010-03-06	12.1	A
USGS	14211400	2010-03-07	11.1	A
USGS	14211400	2010-03-08	14.1	A
USGS	14211400	2010-03-09	10.2	A
USGS	14211400	2010-03-10	12.3	A
USGS	14211400	2010-03-11	26.5	A
USGS	14211400	2010-03-12	73.4	A
USGS	14211400	2010-03-13	56.2	A
USGS	14211400	2010-03-14	42.5	A
USGS	14211400	2010-03-15	33.4	A
USGS	14211400	2010-03-16	26.5	A
USGS	14211400	2010-03-17	20.1	A
USGS	14211400	2010-03-18	15.7	A
USGS	14211400	2010-03-19	13.4	A
USGS	14211400	2010-03-20	11.6	A
USGS	14211400	2010-03-21	14.4	A
USGS	14211400	2010-03-22	15.9	A
USGS	14211400	2010-03-23	11.0	A
USGS	14211400	2010-03-24	9.19	A
USGS	14211400	2010-03-25	16.1	A
USGS	14211400	2010-03-26	45.2	A
USGS	14211400	2010-03-27	26.5	A
USGS	14211400	2010-03-28	51.2	A
USGS	14211400	2010-03-29	360	A
USGS	14211400	2010-03-30	230	A
USGS	14211400	2010-03-31	125	A
USGS	14211400	2010-04-01	92.4	A
USGS	14211400	2010-04-02	131	A
USGS	14211400	2010-04-03	111	A
USGS	14211400	2010-04-04	84.0	A
USGS	14211400	2010-04-05	68.0	A
USGS	14211400	2010-04-06	60.6	A
USGS	14211400	2010-04-07	47.8	A
USGS	14211400	2010-04-08	56.0	A
USGS	14211400	2010-04-09	42.4	A
USGS	14211400	2010-04-10	35.9	A
USGS	14211400	2010-04-11	28.8	A
USGS	14211400	2010-04-12	31.5	A
USGS	14211400	2010-04-13	25.7	A
USGS	14211400	2010-04-14	21.2	A
USGS	14211400	2010-04-15	24.9	A
USGS	14211400	2010-04-16	18.1	A
USGS	14211400	2010-04-17	15.6	A
USGS	14211400	2010-04-18	14.2	A
USGS	14211400	2010-04-19	12.1	A
USGS	14211400	2010-04-20	10.7	A
USGS	14211400	2010-04-21	16.8	A
USGS	14211400	2010-04-22	11.4	A
USGS	14211400	2010-04-23	9.77	A
USGS	14211400	2010-04-24	9.47	A
USGS	14211400	2010-04-25	7.60	A
USGS	14211400	2010-04-26	7.97	A
USGS	14211400	2010-04-27	30.5	A
USGS	14211400	2010-04-28	29.0	A
USGS	14211400	2010-04-29	54.7	A
USGS	14211400	2010-04-30	43.6	A
USGS	14211400	2010-05-01	32.9	A
USGS	14211400	2010-05-02	24.9	A
USGS	14211400	2010-05-03	30.6	A
USGS	14211400	2010-05-04	22.0	A
USGS	14211400	2010-05-05	24.5	A
USGS	14211400	2010-05-06	22.2	A
USGS	14211400	2010-05-07	18.1	A
USGS	14211400	2010-05-08	15.7	A
USGS	14211400	2010-05-09	13.1	A
USGS	14211400	2010-05-10	13.6	A
USGS	14211400	2010-05-11	10.6	A
USGS	14211400	2010-05-12	9.09	A
USGS	14211400	2010-05-13	7.59	A
USGS	14211400	2010-05-14	6.78	A
USGS	14211400	2010-05-15	5.75	A
USGS	14211400	2010-05-16	5.00	A
USGS	14211400	2010-05-17	4.82	A
USGS	14211400	2010-05-18	5.87	A
USGS	14211400	2010-05-19	10.0	A
USGS	14211400	2010-05-20	16.6	A
USGS	14211400	2010-05-21	27.0	A
USGS	14211400	2010-05-22	76.4	A
USGS	14211400	2010-05-23	52.5	A
USGS	14211400	2010-05-24	42.8	A
USGS	14211400	2010-05-25	35.9	A
USGS	14211400	2010-05-26	41.4	A
USGS	14211400	2010-05-27	33.3	A
USGS	14211400	2010-05-28	29.8	A
USGS	14211400	2010-05-29	45.7	A
USGS	14211400	2010-05-30	36.2	A
USGS	14211400	2010-05-31	54.7	A
USGS	14211400	2010-06-01	43.0	A
USGS	14211400	2010-06-02	174	A
USGS	14211400	2010-06-03	114	A
USGS	14211400	2010-06-04	235	A
USGS	14211400	2010-06-05	114	A
USGS	14211400	2010-06-06	103	A
USGS	14211400	2010-06-07	81.0	A
USGS	14211400	2010-06-08	55.4	A
USGS	14211400	2010-06-09	57.9	A
USGS	14211400	2010-06-10	79.6	A
USGS	14211400	2010-06-11	74.7	A
USGS	14211400	2010-06-12	53.7	A
USGS	14211400	2010-06-13	39.0	A
USGS	14211400	2010-06-14	28.1	A
USGS	14211400	2010-06-15	24.8	A
