# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:51:33 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14211499 KELLEY CREEK AT SE 159TH DRIVE AT PORTLAND, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14211499
#            TS   parameter     statistic     Description
#        114359       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	114359_00060_00003	114359_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14211499	2010-01-01	75.6	A
USGS	14211499	2010-01-02	27.8	A
USGS	14211499	2010-01-03	15.2	A
USGS	14211499	2010-01-04	22.0	A
USGS	14211499	2010-01-05	32.0	A
USGS	14211499	2010-01-06	36.1	A
USGS	14211499	2010-01-07	15.0	A
USGS	14211499	2010-01-08	13.7	A
USGS	14211499	2010-01-09	21.2	A
USGS	14211499	2010-01-10	12.4	A
USGS	14211499	2010-01-11	8.93	A
USGS	14211499	2010-01-12	23.5	A
USGS	14211499	2010-01-13	18.1	A
USGS	14211499	2010-01-14	12.4	A
USGS	14211499	2010-01-15	40.0	A:e
USGS	14211499	2010-01-16	58.2	A
USGS	14211499	2010-01-17	54.9	A
USGS	14211499	2010-01-18	29.0	A
USGS	14211499	2010-01-19	16.1	A
USGS	14211499	2010-01-20	12.5	A
USGS	14211499	2010-01-21	10.3	A
USGS	14211499	2010-01-22	9.55	A
USGS	14211499	2010-01-23	10.9	A
USGS	14211499	2010-01-24	26.5	A
USGS	14211499	2010-01-25	37.4	A
USGS	14211499	2010-01-26	18.0	A
USGS	14211499	2010-01-27	11.9	A
USGS	14211499	2010-01-28	8.36	A
USGS	14211499	2010-01-29	5.98	A
USGS	14211499	2010-01-30	6.30	A
USGS	14211499	2010-01-31	5.81	A
USGS	14211499	2010-02-01	7.01	A
USGS	14211499	2010-02-02	8.72	A
USGS	14211499	2010-02-03	9.05	A
USGS	14211499	2010-02-04	9.53	A
USGS	14211499	2010-02-05	25.8	A
USGS	14211499	2010-02-06	12.3	A
USGS	14211499	2010-02-07	8.82	A
USGS	14211499	2010-02-08	6.54	A
USGS	14211499	2010-02-09	5.30	A
USGS	14211499	2010-02-10	6.74	A
USGS	14211499	2010-02-11	9.29	A
USGS	14211499	2010-02-12	15.4	A
USGS	14211499	2010-02-13	10.9	A
USGS	14211499	2010-02-14	22.6	A
USGS	14211499	2010-02-15	15.8	A
USGS	14211499	2010-02-16	19.3	A
USGS	14211499	2010-02-17	12.6	A
USGS	14211499	2010-02-18	9.15	A
USGS	14211499	2010-02-19	6.63	A
USGS	14211499	2010-02-20	4.95	A
USGS	14211499	2010-02-21	3.80	A
USGS	14211499	2010-02-22	3.05	A
USGS	14211499	2010-02-23	4.07	A
USGS	14211499	2010-02-24	9.67	A
USGS	14211499	2010-02-25	5.38	A
USGS	14211499	2010-02-26	19.1	A
USGS	14211499	2010-02-27	12.7	A
USGS	14211499	2010-02-28	7.90	A
USGS	14211499	2010-03-01	5.93	A
USGS	14211499	2010-03-02	5.20	A
USGS	14211499	2010-03-03	4.44	A
USGS	14211499	2010-03-04	3.51	A
USGS	14211499	2010-03-05	2.91	A
USGS	14211499	2010-03-06	2.51	A
USGS	14211499	2010-03-07	2.43	A
USGS	14211499	2010-03-08	3.72	A
USGS	14211499	2010-03-09	2.52	A
USGS	14211499	2010-03-10	3.16	A
USGS	14211499	2010-03-11	6.45	A
USGS	14211499	2010-03-12	17.2	A
USGS	14211499	2010-03-13	10.1	A
USGS	14211499	2010-03-14	6.57	A
USGS	14211499	2010-03-15	5.12	A
USGS	14211499	2010-03-16	4.01	A
USGS	14211499	2010-03-17	3.16	A
USGS	14211499	2010-03-18	2.70	A
USGS	14211499	2010-03-19	2.30	A
USGS	14211499	2010-03-20	1.96	A
USGS	14211499	2010-03-21	2.07	A
USGS	14211499	2010-03-22	2.08	A
USGS	14211499	2010-03-23	1.72	A
USGS	14211499	2010-03-24	1.64	A
USGS	14211499	2010-03-25	2.84	A
USGS	14211499	2010-03-26	9.16	A
USGS	14211499	2010-03-27	4.09	A
USGS	14211499	2010-03-28	14.0	A
USGS	14211499	2010-03-29	135	A
USGS	14211499	2010-03-30	76.0	A
USGS	14211499	2010-03-31	30.4	A
USGS	14211499	2010-04-01	17.9	A
USGS	14211499	2010-04-02	31.7	A
USGS	14211499	2010-04-03	25.6	A
USGS	14211499	2010-04-04	19.1	A
USGS	14211499	2010-04-05	14.4	A
USGS	14211499	2010-04-06	13.2	A
USGS	14211499	2010-04-07	9.97	A
USGS	14211499	2010-04-08	11.4	A
USGS	14211499	2010-04-09	8.05	A
USGS	14211499	2010-04-10	6.49	A
USGS	14211499	2010-04-11	5.16	A
USGS	14211499	2010-04-12	6.71	A
USGS	14211499	2010-04-13	4.95	A
USGS	14211499	2010-04-14	4.04	A
USGS	14211499	2010-04-15	5.59	A
USGS	14211499	2010-04-16	4.00	A
USGS	14211499	2010-04-17	3.40	A
USGS	14211499	2010-04-18	2.75	A
USGS	14211499	2010-04-19	2.51	A
USGS	14211499	2010-04-20	2.47	A
USGS	14211499	2010-04-21	2.77	A
USGS	14211499	2010-04-22	2.11	A
USGS	14211499	2010-04-23	1.97	A
USGS	14211499	2010-04-24	1.87	A
USGS	14211499	2010-04-25	1.48	A
USGS	14211499	2010-04-26	1.85	A
USGS	14211499	2010-04-27	6.65	A
USGS	14211499	2010-04-28	8.81	A
USGS	14211499	2010-04-29	10.6	A
USGS	14211499	2010-04-30	6.59	A
USGS	14211499	2010-05-01	4.89	A
USGS	14211499	2010-05-02	3.51	A
USGS	14211499	2010-05-03	4.41	A
USGS	14211499	2010-05-04	3.20	A
USGS	14211499	2010-05-05	3.23	A
USGS	14211499	2010-05-06	2.71	A
USGS	14211499	2010-05-07	2.35	A
USGS	14211499	2010-05-08	2.05	A
USGS	14211499	2010-05-09	1.75	A
USGS	14211499	2010-05-10	2.18	A
USGS	14211499	2010-05-11	1.58	A
USGS	14211499	2010-05-12	1.35	A
USGS	14211499	2010-05-13	1.27	A
USGS	14211499	2010-05-14	1.14	A
USGS	14211499	2010-05-15	1.04	A
USGS	14211499	2010-05-16	0.99	A
USGS	14211499	2010-05-17	0.91	A
USGS	14211499	2010-05-18	1.61	A
USGS	14211499	2010-05-19	2.52	A
USGS	14211499	2010-05-20	4.98	A
USGS	14211499	2010-05-21	6.11	A
USGS	14211499	2010-05-22	20.7	A
USGS	14211499	2010-05-23	16.1	A
USGS	14211499	2010-05-24	10.8	A
USGS	14211499	2010-05-25	11.8	A
USGS	14211499	2010-05-26	19.8	A
USGS	14211499	2010-05-27	12.0	A
USGS	14211499	2010-05-28	12.5	A
USGS	14211499	2010-05-29	19.1	A
USGS	14211499	2010-05-30	11.2	A
