# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:51:34 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14211500 JOHNSON CREEK AT SYCAMORE, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14211500
#            TS   parameter     statistic     Description
#        114363       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	114363_00060_00003	114363_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14211500	2010-01-01	310	A
USGS	14211500	2010-01-02	154	A
USGS	14211500	2010-01-03	87.1	A
USGS	14211500	2010-01-04	115	A
USGS	14211500	2010-01-05	185	A
USGS	14211500	2010-01-06	223	A
USGS	14211500	2010-01-07	109	A
USGS	14211500	2010-01-08	90.2	A
USGS	14211500	2010-01-09	141	A
USGS	14211500	2010-01-10	81.5	A
USGS	14211500	2010-01-11	64.1	A
USGS	14211500	2010-01-12	119	A
USGS	14211500	2010-01-13	99.6	A
USGS	14211500	2010-01-14	75.7	A
USGS	14211500	2010-01-15	150	A
USGS	14211500	2010-01-16	293	A
USGS	14211500	2010-01-17	279	A
USGS	14211500	2010-01-18	185	A
USGS	14211500	2010-01-19	114	A
USGS	14211500	2010-01-20	91.7	A
USGS	14211500	2010-01-21	67.0	A
USGS	14211500	2010-01-22	61.3	A
USGS	14211500	2010-01-23	67.6	A
USGS	14211500	2010-01-24	123	A
USGS	14211500	2010-01-25	205	A
USGS	14211500	2010-01-26	111	A
USGS	14211500	2010-01-27	77.8	A
USGS	14211500	2010-01-28	61.1	A
USGS	14211500	2010-01-29	48.4	A
USGS	14211500	2010-01-30	49.0	A
USGS	14211500	2010-01-31	49.1	A
USGS	14211500	2010-02-01	51.4	A
USGS	14211500	2010-02-02	63.0	A
USGS	14211500	2010-02-03	59.1	A
USGS	14211500	2010-02-04	66.9	A
USGS	14211500	2010-02-05	128	A
USGS	14211500	2010-02-06	75.4	A
USGS	14211500	2010-02-07	61.1	A
USGS	14211500	2010-02-08	50.7	A
USGS	14211500	2010-02-09	43.4	A
USGS	14211500	2010-02-10	46.2	A
USGS	14211500	2010-02-11	54.6	A
USGS	14211500	2010-02-12	82.8	A
USGS	14211500	2010-02-13	61.9	A
USGS	14211500	2010-02-14	115	A
USGS	14211500	2010-02-15	96.6	A
USGS	14211500	2010-02-16	112	A
USGS	14211500	2010-02-17	78.0	A
USGS	14211500	2010-02-18	61.8	A
USGS	14211500	2010-02-19	50.5	A
USGS	14211500	2010-02-20	41.8	A
USGS	14211500	2010-02-21	35.3	A
