# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:51:35 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14211550 JOHNSON CREEK AT MILWAUKIE, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14211550
#            TS   parameter     statistic     Description
#        114373       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	114373_00060_00003	114373_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14211550	2010-01-01	390	A
USGS	14211550	2010-01-02	208	A
USGS	14211550	2010-01-03	125	A
USGS	14211550	2010-01-04	132	A
USGS	14211550	2010-01-05	213	A
USGS	14211550	2010-01-06	271	A
USGS	14211550	2010-01-07	148	A
USGS	14211550	2010-01-08	119	A
USGS	14211550	2010-01-09	176	A
USGS	14211550	2010-01-10	113	A
USGS	14211550	2010-01-11	91.1	A
USGS	14211550	2010-01-12	147	A
USGS	14211550	2010-01-13	135	A
USGS	14211550	2010-01-14	108	A
USGS	14211550	2010-01-15	152	A
USGS	14211550	2010-01-16	378	A
USGS	14211550	2010-01-17	318	A
USGS	14211550	2010-01-18	241	A
USGS	14211550	2010-01-19	151	A
USGS	14211550	2010-01-20	128	A
USGS	14211550	2010-01-21	97.5	A
USGS	14211550	2010-01-22	84.9	A
USGS	14211550	2010-01-23	101	A
USGS	14211550	2010-01-24	139	A
USGS	14211550	2010-01-25	265	A
USGS	14211550	2010-01-26	155	A
USGS	14211550	2010-01-27	112	A
USGS	14211550	2010-01-28	89.2	A
