# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:51:37 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14211720 WILLAMETTE RIVER AT PORTLAND, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14211720
#            TS   parameter     statistic     Description
#        172765       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	172765_00060_00003	172765_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14211720	2010-01-01	62100	A:e
USGS	14211720	2010-01-02	88600	A:e
USGS	14211720	2010-01-03	92700	A:e
USGS	14211720	2010-01-04	79700	A:e
USGS	14211720	2010-01-05	72900	A:e
USGS	14211720	2010-01-06	85900	A
USGS	14211720	2010-01-07	95500	A
USGS	14211720	2010-01-08	98200	A
USGS	14211720	2010-01-09	92400	A
USGS	14211720	2010-01-10	85600	A
USGS	14211720	2010-01-11	78900	A
USGS	14211720	2010-01-12	72400	A
USGS	14211720	2010-01-13	73400	A
USGS	14211720	2010-01-14	72500	A
USGS	14211720	2010-01-15	71800	A
USGS	14211720	2010-01-16	70500	A
USGS	14211720	2010-01-17	75000	A
USGS	14211720	2010-01-18	75200	A
USGS	14211720	2010-01-19	72300	A
USGS	14211720	2010-01-20	65900	A
USGS	14211720	2010-01-21	57200	A
USGS	14211720	2010-01-22	50400	A
USGS	14211720	2010-01-23	47600	A
USGS	14211720	2010-01-24	45300	A
USGS	14211720	2010-01-25	44900	A
USGS	14211720	2010-01-26	49700	A
USGS	14211720	2010-01-27	46300	A
USGS	14211720	2010-01-28	42400	A
USGS	14211720	2010-01-29	37900	A
USGS	14211720	2010-01-30	35500	A
USGS	14211720	2010-01-31	31100	A
USGS	14211720	2010-02-01	31100	A
USGS	14211720	2010-02-02	33300	A:e
USGS	14211720	2010-02-03	33800	A:e
USGS	14211720	2010-02-04	35000	A:e
USGS	14211720	2010-02-05	36000	A:e
USGS	14211720	2010-02-06	35100	A:e
USGS	14211720	2010-02-07	32500	A:e
USGS	14211720	2010-02-08	29800	A
USGS	14211720	2010-02-09	28100	A
USGS	14211720	2010-02-10	26200	A
USGS	14211720	2010-02-11	25400	A
USGS	14211720	2010-02-12	28400	A:e
USGS	14211720	2010-02-13	34500	A:e
USGS	14211720	2010-02-14	36500	A:e
USGS	14211720	2010-02-15	39100	A
USGS	14211720	2010-02-16	39200	A
USGS	14211720	2010-02-17	38700	A
USGS	14211720	2010-02-18	35400	A
USGS	14211720	2010-02-19	31900	A
USGS	14211720	2010-02-20	29200	A
USGS	14211720	2010-02-21	25400	A
USGS	14211720	2010-02-22	23100	A
USGS	14211720	2010-02-23	25400	A
USGS	14211720	2010-02-24	26600	A
USGS	14211720	2010-02-25	27500	A
USGS	14211720	2010-02-26	35100	A
USGS	14211720	2010-02-27	41700	A
USGS	14211720	2010-02-28	46300	A
USGS	14211720	2010-03-01	37800	A
USGS	14211720	2010-03-02	30600	A
USGS	14211720	2010-03-03	28300	A
USGS	14211720	2010-03-04	26900	A
USGS	14211720	2010-03-05	27000	A
USGS	14211720	2010-03-06	26100	A
USGS	14211720	2010-03-07	24800	A
USGS	14211720	2010-03-08	24300	A
USGS	14211720	2010-03-09	25800	A
USGS	14211720	2010-03-10	20700	A
USGS	14211720	2010-03-11	23900	A
USGS	14211720	2010-03-12	26500	A
USGS	14211720	2010-03-13	35900	A
USGS	14211720	2010-03-14	41800	A
USGS	14211720	2010-03-15	41100	A
USGS	14211720	2010-03-16	35200	A
USGS	14211720	2010-03-17	32600	A
USGS	14211720	2010-03-18	31900	A
USGS	14211720	2010-03-19	29400	A
USGS	14211720	2010-03-20	29200	A
USGS	14211720	2010-03-21	31000	A
USGS	14211720	2010-03-22	27200	A
USGS	14211720	2010-03-23	26100	A
USGS	14211720	2010-03-24	25700	A
USGS	14211720	2010-03-25	32000	A
USGS	14211720	2010-03-26	30300	A
USGS	14211720	2010-03-27	35600	A
USGS	14211720	2010-03-28	42700	A
USGS	14211720	2010-03-29	57800	A
USGS	14211720	2010-03-30	86500	A
USGS	14211720	2010-03-31	98300	A
USGS	14211720	2010-04-01	95300	A
USGS	14211720	2010-04-02	84000	A
USGS	14211720	2010-04-03	79600	A
USGS	14211720	2010-04-04	77600	A
USGS	14211720	2010-04-05	75600	A
USGS	14211720	2010-04-06	68500	A
USGS	14211720	2010-04-07	64600	A
USGS	14211720	2010-04-08	60500	A
USGS	14211720	2010-04-09	57800	A
USGS	14211720	2010-04-10	54900	A
USGS	14211720	2010-04-11	49500	A
USGS	14211720	2010-04-12	46100	A
USGS	14211720	2010-04-13	43200	A
USGS	14211720	2010-04-14	42900	A
USGS	14211720	2010-04-15	43500	A
USGS	14211720	2010-04-16	43200	A
USGS	14211720	2010-04-17	42100	A
USGS	14211720	2010-04-18	38000	A
USGS	14211720	2010-04-19	34100	A
USGS	14211720	2010-04-20	32200	A
USGS	14211720	2010-04-21	32900	A
USGS	14211720	2010-04-22	35700	A
USGS	14211720	2010-04-23	33900	A
USGS	14211720	2010-04-24	31100	A
USGS	14211720	2010-04-25	28600	A
USGS	14211720	2010-04-26	29900	A
USGS	14211720	2010-04-27	30900	A
USGS	14211720	2010-04-28	39400	A
USGS	14211720	2010-04-29	50600	A
USGS	14211720	2010-04-30	54000	A
USGS	14211720	2010-05-01	53800	A
USGS	14211720	2010-05-02	49000	A
USGS	14211720	2010-05-03	46000	A
USGS	14211720	2010-05-04	44100	A
USGS	14211720	2010-05-05	44400	A
USGS	14211720	2010-05-06	43000	A
USGS	14211720	2010-05-07	36700	A
USGS	14211720	2010-05-08	32800	A
USGS	14211720	2010-05-09	32800	A
USGS	14211720	2010-05-10	30100	A
USGS	14211720	2010-05-11	29600	A
USGS	14211720	2010-05-12	26400	A
USGS	14211720	2010-05-13	27000	A
USGS	14211720	2010-05-14	27400	A
USGS	14211720	2010-05-15	28300	A
USGS	14211720	2010-05-16	27000	A
USGS	14211720	2010-05-17	25700	A
USGS	14211720	2010-05-18	26900	A
USGS	14211720	2010-05-19	28500	A
USGS	14211720	2010-05-20	31300	A
USGS	14211720	2010-05-21	30200	A
USGS	14211720	2010-05-22	32600	A
USGS	14211720	2010-05-23	35700	A
USGS	14211720	2010-05-24	33500	A
USGS	14211720	2010-05-25	34800	A
USGS	14211720	2010-05-26	34900	A
USGS	14211720	2010-05-27	33500	A
USGS	14211720	2010-05-28	38100	A
USGS	14211720	2010-05-29	38000	A
USGS	14211720	2010-05-30	36500	A
USGS	14211720	2010-05-31	33600	A
USGS	14211720	2010-06-01	31000	A
USGS	14211720	2010-06-02	40600	A
USGS	14211720	2010-06-03	65600	A
USGS	14211720	2010-06-04	93600	A
USGS	14211720	2010-06-05	106000	A
