station_nbr	record_date	mean_daily_flow_cfs	published_status	estimated	revised	download_date
14171000	01-01-1979	154   	Published			09-07-2017 18:47
14171000	01-02-1979	148   	Published			09-07-2017 18:47
14171000	01-03-1979	138   	Published			09-07-2017 18:47
14171000	01-04-1979	130   	Published			09-07-2017 18:47
14171000	01-05-1979	120   	Published			09-07-2017 18:47
14171000	01-06-1979	115   	Published			09-07-2017 18:47
14171000	01-07-1979	113   	Published			09-07-2017 18:47
14171000	01-08-1979	108   	Published			09-07-2017 18:47
14171000	01-09-1979	103   	Published			09-07-2017 18:47
14171000	01-10-1979	444   	Published			09-07-2017 18:47
14171000	01-11-1979	739   	Published			09-07-2017 18:47
14171000	01-12-1979	580   	Published			09-07-2017 18:47
14171000	01-13-1979	445   	Published			09-07-2017 18:47
14171000	01-14-1979	477   	Published			09-07-2017 18:47
14171000	01-15-1979	440   	Published			09-07-2017 18:47
14171000	01-16-1979	371   	Published			09-07-2017 18:47
14171000	01-17-1979	325   	Published			09-07-2017 18:47
14171000	01-18-1979	286   	Published			09-07-2017 18:47
14171000	01-19-1979	263   	Published			09-07-2017 18:47
14171000	01-20-1979	260   	Published			09-07-2017 18:47
14171000	01-21-1979	247   	Published			09-07-2017 18:47
14171000	01-22-1979	233   	Published			09-07-2017 18:47
14171000	01-23-1979	218   	Published			09-07-2017 18:47
14171000	01-24-1979	215   	Published			09-07-2017 18:47
14171000	01-25-1979	205   	Published			09-07-2017 18:47
14171000	01-26-1979	195   	Published			09-07-2017 18:47
14171000	01-27-1979	199   	Published			09-07-2017 18:47
14171000	01-28-1979	210   	Published			09-07-2017 18:47
14171000	01-29-1979	194   	Published			09-07-2017 18:47
14171000	01-30-1979	181   	Published			09-07-2017 18:47
14171000	01-31-1979	177   	Published			09-07-2017 18:47
14171000	02-01-1979	171   	Published			09-07-2017 18:47
14171000	02-02-1979	174   	Published			09-07-2017 18:47
14171000	02-03-1979	172   	Published			09-07-2017 18:47
14171000	02-04-1979	176   	Published			09-07-2017 18:47
14171000	02-05-1979	316   	Published			09-07-2017 18:47
14171000	02-06-1979	649   	Published			09-07-2017 18:47
14171000	02-07-1979	2520   	Published			09-07-2017 18:47
14171000	02-08-1979	1980   	Published			09-07-2017 18:47
14171000	02-09-1979	1440   	Published			09-07-2017 18:47
14171000	02-10-1979	1500   	Published			09-07-2017 18:47
14171000	02-11-1979	1990   	Published			09-07-2017 18:47
14171000	02-12-1979	1800   	Published			09-07-2017 18:47
14171000	02-13-1979	1640   	Published			09-07-2017 18:47
14171000	02-14-1979	1330   	Published			09-07-2017 18:47
14171000	02-15-1979	1090   	Published			09-07-2017 18:47
14171000	02-16-1979	1120   	Published			09-07-2017 18:47
14171000	02-17-1979	1440   	Published			09-07-2017 18:47
14171000	02-18-1979	1710   	Published			09-07-2017 18:47
14171000	02-19-1979	1560   	Published			09-07-2017 18:47
14171000	02-20-1979	1370   	Published			09-07-2017 18:47
14171000	02-21-1979	1280   	Published			09-07-2017 18:47
14171000	02-22-1979	1120   	Published			09-07-2017 18:47
14171000	02-23-1979	1070   	Published			09-07-2017 18:47
14171000	02-24-1979	1140   	Published			09-07-2017 18:47
14171000	02-25-1979	1080   	Published			09-07-2017 18:47
14171000	02-26-1979	1080   	Published			09-07-2017 18:47
14171000	02-27-1979	1190   	Published			09-07-2017 18:47
14171000	02-28-1979	1320   	Published			09-07-2017 18:47
14171000	03-01-1979	1190   	Published			09-07-2017 18:47
14171000	03-02-1979	1030   	Published			09-07-2017 18:47
14171000	03-03-1979	1120   	Published			09-07-2017 18:47
14171000	03-04-1979	1220   	Published			09-07-2017 18:47
14171000	03-05-1979	1330   	Published			09-07-2017 18:47
14171000	03-06-1979	1290   	Published			09-07-2017 18:47
14171000	03-07-1979	1130   	Published			09-07-2017 18:47
14171000	03-08-1979	958   	Published			09-07-2017 18:47
14171000	03-09-1979	821   	Published			09-07-2017 18:47
14171000	03-10-1979	704   	Published			09-07-2017 18:47
14171000	03-11-1979	613   	Published			09-07-2017 18:47
14171000	03-12-1979	534   	Published			09-07-2017 18:47
14171000	03-13-1979	473   	Published			09-07-2017 18:47
14171000	03-14-1979	425   	Published			09-07-2017 18:47
14171000	03-15-1979	447   	Published			09-07-2017 18:47
14171000	03-16-1979	403   	Published			09-07-2017 18:47
14171000	03-17-1979	360   	Published			09-07-2017 18:47
14171000	03-18-1979	337   	Published			09-07-2017 18:47
14171000	03-19-1979	312   	Published			09-07-2017 18:47
14171000	03-20-1979	287   	Published			09-07-2017 18:47
14171000	03-21-1979	270   	Published			09-07-2017 18:47
14171000	03-22-1979	254   	Published			09-07-2017 18:47
14171000	03-23-1979	238   	Published			09-07-2017 18:47
14171000	03-24-1979	226   	Published			09-07-2017 18:47
14171000	03-25-1979	217   	Published			09-07-2017 18:47
14171000	03-26-1979	214   	Published			09-07-2017 18:47
14171000	03-27-1979	249   	Published			09-07-2017 18:47
14171000	03-28-1979	249   	Published			09-07-2017 18:47
14171000	03-29-1979	226   	Published			09-07-2017 18:47
14171000	03-30-1979	235   	Published			09-07-2017 18:47
14171000	03-31-1979	237   	Published			09-07-2017 18:47
14171000	04-01-1979	227   	Published			09-07-2017 18:47
14171000	04-02-1979	225   	Published			09-07-2017 18:47
14171000	04-03-1979	219   	Published			09-07-2017 18:47
14171000	04-04-1979	208   	Published			09-07-2017 18:47
14171000	04-05-1979	200   	Published			09-07-2017 18:47
14171000	04-06-1979	205   	Published			09-07-2017 18:47
14171000	04-07-1979	194   	Published			09-07-2017 18:47
14171000	04-08-1979	184   	Published			09-07-2017 18:47
14171000	04-09-1979	211   	Published			09-07-2017 18:47
14171000	04-10-1979	279   	Published			09-07-2017 18:47
14171000	04-11-1979	440   	Published			09-07-2017 18:47
14171000	04-12-1979	526   	Published			09-07-2017 18:47
14171000	04-13-1979	622   	Published			09-07-2017 18:47
14171000	04-14-1979	580   	Published			09-07-2017 18:47
14171000	04-15-1979	528   	Published			09-07-2017 18:47
14171000	04-16-1979	530   	Published			09-07-2017 18:47
14171000	04-17-1979	524   	Published			09-07-2017 18:47
14171000	04-18-1979	475   	Published			09-07-2017 18:47
14171000	04-19-1979	431   	Published			09-07-2017 18:47
14171000	04-20-1979	387   	Published			09-07-2017 18:47
14171000	04-21-1979	353   	Published			09-07-2017 18:47
14171000	04-22-1979	333   	Published			09-07-2017 18:47
14171000	04-23-1979	321   	Published			09-07-2017 18:47
14171000	04-24-1979	287   	Published			09-07-2017 18:47
14171000	04-25-1979	264   	Published			09-07-2017 18:47
