"; from Tualatin River Flow Management Technical Committee Annual Reports, prepared for CleanWater Services"		
"; 14206750 CCSR lat 45 22 31 lon 122 51 24, UTM 511223 5024650 on reach 23805228"		
YEAR	MONTH_NDX	Q_CFS
2011	0	74.9
2011	1	45.4
2011	2	96.4
2011	3	48.6
2011	4	18.9
2011	5	14.1
2011	6	6.1
2011	7	2.1
2011	8	2.2
2011	9	5.5
2011	10	19.5
2011	11	17.2
2012	0	91.5
2012	1	38.1
2012	2	97.4
2012	3	54
2012	4	23.8
2012	5	13.5
2012	6	6
2012	7	2.4
2012	8	1.9
2012	9	12.4
2012	10	52.4
2012	11	115.5
2013	0	20.6
2013	1	16.2
2013	2	18.6
2013	3	15.9
2013	4	16.7
2013	5	12.7
2013	6	3.6
2013	7	2.6
2013	8	15.2
2013	9	19.1
2013	10	23.6
2013	11	11.2
2014	0	19.3
2014	1	65.8
2014	2	72.3
2014	3	32.8
2014	4	15.8
2014	5	6.2
2014	6	3.5
2014	7	2.2
2014	8	2.4
2014	9	10.5
2014	10	16.1
2014	11	46.9
2015	0	34.9
2015	1	61.9
2015	2	32.7
2015	3	17.2
2015	4	7.4
2015	5	3.6
2015	6	1.9
2015	7	2.2
2015	8	2.1
2015	9	5.1
2015	10	21.1
2015	11	154.3
