;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-15 18:38:24 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14151000 FALL CREEK BLW WINBERRY CREEK, NEAR FALL CREEK, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14151000
;#            TS   parameter     Description
;#        116905       00060     Discharge, cubic feet per second
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;#     e  Value has been estimated.
;#    91  Daily mean calculated from data on this day matches published daily mean within 1 percent
;#    92  Daily mean calculated from data on this day matches published daily mean within 5 percent
;# 
;USGS 14151000_flow_FALL CREEK BLW WINBERRY CREEK, NEAR FALL CREEK, OR_23752598 
day_index,Q_cfs,Year,Month,Day,Quality
36524,273.395833,2000,1,1,A
36525,355.500000,2000,1,2,A
36526,522.000000,2000,1,3,A
36527,854.333333,2000,1,4,A
36528,1416.458333,2000,1,5,A
36529,1541.875000,2000,1,6,A
36530,1343.104167,2000,1,7,A
36531,1242.666667,2000,1,8,A
36532,2030.625000,2000,1,9,A
36533,2281.125000,2000,1,10,A
36534,192.416667,2000,1,11,A
36535,1931.750000,2000,1,12,A
36536,2435.645833,2000,1,13,A
36537,1034.270833,2000,1,14,A
36538,2480.833333,2000,1,15,A
36539,3294.166667,2000,1,16,A
36540,3683.750000,2000,1,17,A
36541,3573.958333,2000,1,18,A
36542,3535.416667,2000,1,19,A
36543,3562.916667,2000,1,20,A
36544,3244.583333,2000,1,21,A
36545,2710.416667,2000,1,22,A
36546,2222.500000,2000,1,23,A
36547,2003.125000,2000,1,24,A
36548,1980.416667,2000,1,25,A
36549,1676.666667,2000,1,26,A
36550,1372.291667,2000,1,27,A
36551,954.687500,2000,1,28,A
36552,764.583333,2000,1,29,A
36553,665.770833,2000,1,30,A
36554,595.000000,2000,1,31,A
36555,339.020833,2000,2,1,A
36556,549.083333,2000,2,2,A
36557,449.375000,2000,2,3,A
36558,172.458333,2000,2,4,A
36559,48.000000,2000,2,5,A
36560,48.000000,2000,2,6,A
36561,48.625000,2000,2,7,A
36562,49.291667,2000,2,8,A
36563,50.958333,2000,2,9,A
36564,51.312500,2000,2,10,A
36565,53.937500,2000,2,11,A
36566,59.229167,2000,2,12,A
36567,64.291667,2000,2,13,A
36568,69.104167,2000,2,14,A
36569,494.770833,2000,2,15,A
36570,843.625000,2000,2,16,A
36571,617.041667,2000,2,17,A
36572,98.416667,2000,2,18,A
36573,66.041667,2000,2,19,A
36574,62.000000,2000,2,20,A
36575,62.041667,2000,2,21,A
36576,65.687500,2000,2,22,A
36577,66.625000,2000,2,23,A
36578,65.583333,2000,2,24,A
36579,66.041667,2000,2,25,A
36580,72.833333,2000,2,26,A
36581,73.416667,2000,2,27,A
36582,72.333333,2000,2,28,A
36583,1225.041667,2000,2,29,A
36584,806.333333,2000,3,1,A
36585,327.062500,2000,3,2,A
36586,539.354167,2000,3,3,A
36587,407.000000,2000,3,4,A
36588,388.104167,2000,3,5,A
36589,220.000000,2000,3,6,A
36590,98.000000,2000,3,7,A
36591,130.979167,2000,3,8,A
36592,191.062500,2000,3,9,A
36593,148.958333,2000,3,10,A
36594,97.250000,2000,3,11,A
36595,96.166667,2000,3,12,A
36596,149.312500,2000,3,13,A
36597,299.937500,2000,3,14,A
36598,547.812500,2000,3,15,A
36599,728.020833,2000,3,16,A
36600,942.312500,2000,3,17,A
36601,944.791667,2000,3,18,A
36602,952.145833,2000,3,19,A
36603,897.354167,2000,3,20,A
36604,862.708333,2000,3,21,A
36605,1038.750000,2000,3,22,A
36606,965.791667,2000,3,23,A
36607,672.687500,2000,3,24,A
36608,570.791667,2000,3,25,A
36609,548.625000,2000,3,26,A
36610,507.520833,2000,3,27,A
36611,332.375000,2000,3,28,A
36612,142.270833,2000,3,29,A
36613,103.000000,2000,3,30,A
36614,103.000000,2000,3,31,A
36615,103.000000,2000,4,1,A
36616,103.000000,2000,4,2,A
36617,206.895833,2000,4,3,A
36618,481.479167,2000,4,4,A
36619,321.312500,2000,4,5,A
36620,103.000000,2000,4,6,A
36621,93.166667,2000,4,7,A
36622,74.041667,2000,4,8,A
36623,74.145833,2000,4,9,A
36624,74.062500,2000,4,10,A
36625,74.125000,2000,4,11,A
36626,75.020833,2000,4,12,A
36627,81.750000,2000,4,13,A
36628,76.187500,2000,4,14,A
36629,75.958333,2000,4,15,A
36630,77.666667,2000,4,16,A
36631,76.125000,2000,4,17,A
36632,77.958333,2000,4,18,A
36633,306.333333,2000,4,19,A
36634,417.916667,2000,4,20,A
36635,416.666667,2000,4,21,A
36636,416.270833,2000,4,22,A
36637,332.041667,2000,4,23,A
36638,326.333333,2000,4,24,A
36639,265.750000,2000,4,25,A
36640,200.062500,2000,4,26,A
36641,202.208333,2000,4,27,A
36642,202.187500,2000,4,28,A
36643,201.125000,2000,4,29,A
36644,201.125000,2000,4,30,A
36645,200.750000,2000,5,1,A
36646,202.562500,2000,5,2,A
36647,202.937500,2000,5,3,A
36648,203.000000,2000,5,4,A
36649,203.062500,2000,5,5,A
36650,203.062500,2000,5,6,A
36651,203.000000,2000,5,7,A
36652,203.250000,2000,5,8,A
36653,204.312500,2000,5,9,A
36654,552.270833,2000,5,10,A
36655,1494.562500,2000,5,11,A
36656,3768.333333,2000,5,12,A
36657,2384.583333,2000,5,13,A
36658,1353.541667,2000,5,14,A
36659,1120.270833,2000,5,15,A
36660,882.541667,2000,5,16,A
36661,972.187500,2000,5,17,A
36662,707.354167,2000,5,18,A
36663,300.770833,2000,5,19,A
36664,200.000000,2000,5,20,A
36665,199.937500,2000,5,21,A
36666,200.187500,2000,5,22,A
36667,323.270833,2000,5,23,A
36668,421.291667,2000,5,24,A
36669,397.354167,2000,5,25,A
36670,426.666667,2000,5,26,A
36671,410.250000,2000,5,27,A
36672,200.187500,2000,5,28,A
36673,200.125000,2000,5,29,A
36674,271.416667,2000,5,30,A
36675,427.083333,2000,5,31,A
36676,425.416667,2000,6,1,A
36677,386.750000,2000,6,2,A
36678,247.500000,2000,6,3,A
36679,200.125000,2000,6,4,A
36680,178.958333,2000,6,5,A
36681,139.000000,2000,6,6,A
36682,139.041667,2000,6,7,A
36683,177.562500,2000,6,8,A
36684,205.937500,2000,6,9,A
36685,249.250000,2000,6,10,A
36686,375.958333,2000,6,11,A
36687,774.125000,2000,6,12,A
36688,1631.458333,2000,6,13,A
36689,1066.270833,2000,6,14,A
36690,417.229167,2000,6,15,A
36691,300.125000,2000,6,16,A
36692,300.666667,2000,6,17,A
36693,301.125000,2000,6,18,A
36694,301.250000,2000,6,19,A
36695,301.750000,2000,6,20,A
36696,258.687500,2000,6,21,A
36697,206.083333,2000,6,22,A
36698,206.083333,2000,6,23,A
36699,206.333333,2000,6,24,A
36700,206.000000,2000,6,25,A
36701,173.166667,2000,6,26,A
36702,138.625000,2000,6,27,A
36703,140.916667,2000,6,28,A
36704,140.958333,2000,6,29,A
36705,140.958333,2000,6,30,A
36706,141.125000,2000,7,1,A
36707,141.000000,2000,7,2,A
36708,141.000000,2000,7,3,A
36709,141.312500,2000,7,4,A
36710,141.812500,2000,7,5,A
36711,141.500000,2000,7,6,A
36712,130.979167,2000,7,7,A
36713,120.416667,2000,7,8,A
36714,120.708333,2000,7,9,A
36715,120.625000,2000,7,10,A
36716,121.000000,2000,7,11,A
36717,121.291667,2000,7,12,A
36718,121.000000,2000,7,13,A
36719,121.687500,2000,7,14,A
36720,121.208333,2000,7,15,A
36721,121.687500,2000,7,16,A
36722,118.583333,2000,7,17,A
36723,99.833333,2000,7,18,A
36724,88.333333,2000,7,19,A
36725,88.125000,2000,7,20,A
36726,88.333333,2000,7,21,A
36727,88.291667,2000,7,22,A
36728,88.208333,2000,7,23,A
36729,88.041667,2000,7,24,A
36730,88.000000,2000,7,25,A
36731,88.041667,2000,7,26,A
36732,88.041667,2000,7,27,A
36733,88.000000,2000,7,28,A
36734,88.041667,2000,7,29,A
36735,88.083333,2000,7,30,A
36736,88.000000,2000,7,31,A
36737,72.479167,2000,8,1,A
36738,58.583333,2000,8,2,A
36739,58.083333,2000,8,3,A
36740,58.041667,2000,8,4,A
36741,58.083333,2000,8,5,A
36742,58.062500,2000,8,6,A
36743,58.000000,2000,8,7,A
36744,58.000000,2000,8,8,A
36745,57.979167,2000,8,9,A
36746,62.291667,2000,8,10,A
36747,65.000000,2000,8,11,A
36748,65.000000,2000,8,12,A
36749,64.979167,2000,8,13,A
36750,65.000000,2000,8,14,A
36751,65.000000,2000,8,15,A
36752,64.979167,2000,8,16,A
36753,65.083333,2000,8,17,A
36754,65.000000,2000,8,18,A
36755,65.083333,2000,8,19,A
36756,65.041667,2000,8,20,A
36757,65.000000,2000,8,21,A
36758,65.000000,2000,8,22,A
36759,65.000000,2000,8,23,A
36760,65.000000,2000,8,24,A
36761,65.041667,2000,8,25,A
36762,65.041667,2000,8,26,A
36763,64.979167,2000,8,27,A
36764,65.000000,2000,8,28,A
36765,73.604167,2000,8,29,A
36766,64.104167,2000,8,30,A
36767,64.000000,2000,8,31,A
36768,64.000000,2000,9,1,A
36769,64.083333,2000,9,2,A
36770,64.062500,2000,9,3,A
36771,64.000000,2000,9,4,A
36772,64.000000,2000,9,5,A
36773,64.000000,2000,9,6,A
36774,93.208333,2000,9,7,A
36775,348.041667,2000,9,8,A
36776,461.312500,2000,9,9,A
36777,579.395833,2000,9,10,A
36778,665.291667,2000,9,11,A
36779,788.333333,2000,9,12,A
36780,791.937500,2000,9,13,A
36781,858.479167,2000,9,14,A
36782,925.104167,2000,9,15,A
36783,920.479167,2000,9,16,A
36784,916.520833,2000,9,17,A
36785,913.541667,2000,9,18,A
36786,910.791667,2000,9,19,A
36787,907.562500,2000,9,20,A
36788,902.500000,2000,9,21,A
36789,897.895833,2000,9,22,A
36790,892.375000,2000,9,23,A
36791,888.875000,2000,9,24,A
36792,885.125000,2000,9,25,A
36793,895.583333,2000,9,26,A
36794,902.166667,2000,9,27,A
36795,899.125000,2000,9,28,A
36796,896.625000,2000,9,29,A
36797,892.625000,2000,9,30,A
36798,890.750000,2000,10,1,A
36799,886.104167,2000,10,2,A
36800,882.979167,2000,10,3,A
36801,876.041667,2000,10,4,A
36802,869.645833,2000,10,5,A
36803,864.000000,2000,10,6,A
36804,859.625000,2000,10,7,A
36805,855.125000,2000,10,8,A
36806,901.395833,2000,10,9,A
36807,1106.520833,2000,10,10,A
36808,945.020833,2000,10,11,A
36809,844.875000,2000,10,12,A
36810,841.000000,2000,10,13,A
36811,837.250000,2000,10,14,A
36812,818.479167,2000,10,15,A
36813,717.916667,2000,10,16,A
36814,712.916667,2000,10,17,A
36815,745.729167,2000,10,18,A
36816,760.500000,2000,10,19,A
36817,760.000000,2000,10,20,A
36818,839.833333,2000,10,21,A
36819,847.375000,2000,10,22,A
36820,837.875000,2000,10,23,A
36821,831.125000,2000,10,24,A
36822,824.375000,2000,10,25,A
36823,755.937500,2000,10,26,A
36824,717.416667,2000,10,27,A
36825,713.687500,2000,10,28,A
36826,708.041667,2000,10,29,A
36827,703.229167,2000,10,30,A
36828,697.687500,2000,10,31,A
36829,691.416667,2000,11,1,A
36830,688.083333,2000,11,2,A
36831,723.916667,2000,11,3,A
36832,805.020833,2000,11,4,A
36833,813.916667,2000,11,5,A
36834,820.500000,2000,11,6,A
36835,838.250000,2000,11,7,A
36836,831.125000,2000,11,8,A
36837,879.750000,2000,11,9,A
36838,944.833333,2000,11,10,A
36839,932.958333,2000,11,11,A
36840,917.041667,2000,11,12,A
36841,940.020833,2000,11,13,A
36842,1112.291667,2000,11,14,A
36843,965.500000,2000,11,15,A
36844,418.875000,2000,11,16,A
36845,289.000000,2000,11,17,A
36846,190.458333,2000,11,18,A
36847,76.854167,2000,11,19,A
36848,49.000000,2000,11,20,A
36849,49.000000,2000,11,21,A
36850,49.000000,2000,11,22,A
36851,50.395833,2000,11,23,A
36852,51.000000,2000,11,24,A
36853,51.125000,2000,11,25,A
36854,161.666667,2000,11,26,A
36855,306.645833,2000,11,27,A
36856,403.166667,2000,11,28,A
36857,382.041667,2000,11,29,A
36858,268.000000,2000,11,30,A
36859,268.000000,2000,12,1,A
36860,260.375000,2000,12,2,A
