;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-15 18:39:12 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14153500 COAST FORK WILLAMETTE R BLW COTTAGE GROVE DAM, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14153500
;#            TS   parameter     Description
;#        116923       00060     Discharge, cubic feet per second
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;#     e  Value has been estimated.
;#    91  Daily mean calculated from data on this day matches published daily mean within 1 percent
;#    92  Daily mean calculated from data on this day matches published daily mean within 5 percent
;# 
;USGS 14153500_flow_COAST FORK WILLAMETTE R BLW COTTAGE GROVE DAM, OR_23759308 
day_index,Q_cfs,Year,Month,Day,Quality
36524,135.562500,2000,1,1,A
36525,194.458333,2000,1,2,A
36526,337.000000,2000,1,3,A
36527,418.979167,2000,1,4,A
36528,519.000000,2000,1,5,A
36529,513.416667,2000,1,6,A
36530,366.083333,2000,1,7,A
36531,324.000000,2000,1,8,A
36532,369.875000,2000,1,9,A
36533,962.541667,2000,1,10,A
36534,185.020833,2000,1,11,A
36535,1057.270833,2000,1,12,A
36536,957.583333,2000,1,13,A
36537,712.937500,2000,1,14,A
36538,2641.041667,2000,1,15,A
36539,2976.875000,2000,1,16,A
36540,3000.416667,2000,1,17,A
36541,2930.833333,2000,1,18,A
36542,2028.958333,2000,1,19,A
36543,932.270833,2000,1,20,A
36544,691.145833,2000,1,21,A
36545,574.000000,2000,1,22,A
36546,519.520833,2000,1,23,A
36547,791.250000,2000,1,24,A
36548,974.333333,2000,1,25,A
36549,734.812500,2000,1,26,A
36550,548.187500,2000,1,27,A
36551,496.750000,2000,1,28,A
36552,374.458333,2000,1,29,A
36553,340.000000,2000,1,30,A
36554,296.333333,2000,1,31,A
36555,245.729167,2000,2,1,A
36556,261.520833,2000,2,2,A
36557,291.562500,2000,2,3,A
36558,260.750000,2000,2,4,A
36559,221.750000,2000,2,5,A
36560,172.354167,2000,2,6,A
36561,150.000000,2000,2,7,A
36562,132.625000,2000,2,8,A
36563,125.000000,2000,2,9,A
36564,125.333333,2000,2,10,A
36565,198.625000,2000,2,11,A
36566,325.708333,2000,2,12,A
36567,423.395833,2000,2,13,A
36568,856.041667,2000,2,14,A
36569,1036.645833,2000,2,15,A
36570,751.875000,2000,2,16,A
36571,592.020833,2000,2,17,A
36572,391.333333,2000,2,18,A
36573,286.937500,2000,2,19,A
36574,167.333333,2000,2,20,A
36575,134.000000,2000,2,21,A
36576,157.583333,2000,2,22,A
36577,374.395833,2000,2,23,A
36578,314.916667,2000,2,24,A
36579,256.729167,2000,2,25,A
36580,286.791667,2000,2,26,A
36581,504.645833,2000,2,27,A
36582,645.437500,2000,2,28,A
36583,772.375000,2000,2,29,A
36584,789.875000,2000,3,1,A
36585,526.708333,2000,3,2,A
36586,455.395833,2000,3,3,A
36587,379.104167,2000,3,4,A
36588,509.583333,2000,3,5,A
36589,347.500000,2000,3,6,A
36590,123.000000,2000,3,7,A
36591,210.666667,2000,3,8,A
36592,239.125000,2000,3,9,A
36593,206.062500,2000,3,10,A
36594,229.062500,2000,3,11,A
36595,236.458333,2000,3,12,A
36596,139.520833,2000,3,13,A
36597,82.000000,2000,3,14,A
36598,104.166667,2000,3,15,A
36599,251.854167,2000,3,16,A
36600,330.000000,2000,3,17,A
36601,330.000000,2000,3,18,A
36602,331.062500,2000,3,19,A
36603,333.000000,2000,3,20,A
36604,274.541667,2000,3,21,A
36605,333.000000,2000,3,22,A
36606,230.625000,2000,3,23,A
36607,115.000000,2000,3,24,A
36608,115.000000,2000,3,25,A
36609,115.000000,2000,3,26,A
36610,106.750000,2000,3,27,A
36611,91.000000,2000,3,28,A
36612,91.000000,2000,3,29,A
36613,91.000000,2000,3,30,A
36614,91.000000,2000,3,31,A
36615,91.000000,2000,4,1,A
36616,83.630435,2000,4,2,A
36617,82.083333,2000,4,3,A
36618,82.625000,2000,4,4,A
36619,82.750000,2000,4,5,A
36620,76.145833,2000,4,6,A
36621,78.625000,2000,4,7,A
36622,80.000000,2000,4,8,A
36623,80.000000,2000,4,9,A
36624,80.000000,2000,4,10,A
36625,80.000000,2000,4,11,A
36626,80.083333,2000,4,12,A
36627,84.750000,2000,4,13,A
36628,87.791667,2000,4,14,A
36629,87.541667,2000,4,15,A
36630,90.833333,2000,4,16,A
36631,86.604167,2000,4,17,A
36632,76.000000,2000,4,18,A
36633,366.500000,2000,4,19,A
36634,402.270833,2000,4,20,A
36635,320.541667,2000,4,21,A
36636,290.000000,2000,4,22,A
36637,160.520833,2000,4,23,A
36638,127.000000,2000,4,24,A
36639,88.333333,2000,4,25,A
36640,85.000000,2000,4,26,A
36641,85.125000,2000,4,27,A
36642,86.208333,2000,4,28,A
36643,76.645833,2000,4,29,A
36644,85.479167,2000,4,30,A
36645,87.083333,2000,5,1,A
36646,87.000000,2000,5,2,A
36647,87.708333,2000,5,3,A
36648,87.833333,2000,5,4,A
36649,72.000000,2000,5,5,A
36650,72.000000,2000,5,6,A
36651,72.000000,2000,5,7,A
36652,72.000000,2000,5,8,A
36653,72.000000,2000,5,9,A
36654,72.000000,2000,5,10,A
36655,368.750000,2000,5,11,A
36656,656.562500,2000,5,12,A
36657,462.833333,2000,5,13,A
36658,336.729167,2000,5,14,A
36659,275.312500,2000,5,15,A
36660,275.250000,2000,5,16,A
36661,250.312500,2000,5,17,A
36662,248.000000,2000,5,18,A
36663,201.479167,2000,5,19,A
36664,155.291667,2000,5,20,A
36665,103.000000,2000,5,21,A
36666,99.000000,2000,5,22,A
36667,99.000000,2000,5,23,A
36668,99.000000,2000,5,24,A
36669,99.000000,2000,5,25,A
36670,99.083333,2000,5,26,A
36671,99.416667,2000,5,27,A
36672,142.541667,2000,5,28,A
36673,160.000000,2000,5,29,A
36674,160.000000,2000,5,30,A
36675,160.000000,2000,5,31,A
36676,123.500000,2000,6,1,A
36677,92.166667,2000,6,2,A
36678,72.562500,2000,6,3,A
36679,72.083333,2000,6,4,A
36680,72.916667,2000,6,5,A
36681,73.500000,2000,6,6,A
36682,74.000000,2000,6,7,A
36683,74.000000,2000,6,8,A
36684,92.541667,2000,6,9,A
36685,125.000000,2000,6,10,A
36686,98.104167,2000,6,11,A
36687,126.395833,2000,6,12,A
36688,193.000000,2000,6,13,A
36689,170.562500,2000,6,14,A
36690,74.187500,2000,6,15,A
36691,65.000000,2000,6,16,A
36692,65.000000,2000,6,17,A
36693,65.000000,2000,6,18,A
36694,65.666667,2000,6,19,A
36695,67.000000,2000,6,20,A
36696,67.000000,2000,6,21,A
36697,67.000000,2000,6,22,A
36698,67.000000,2000,6,23,A
36699,67.000000,2000,6,24,A
36700,61.500000,2000,6,25,A
36701,62.000000,2000,6,26,A
36702,62.000000,2000,6,27,A
36703,62.000000,2000,6,28,A
36704,62.000000,2000,6,29,A
36705,62.000000,2000,6,30,A
36706,62.000000,2000,7,1,A
36707,62.000000,2000,7,2,A
36708,62.000000,2000,7,3,A
36709,62.000000,2000,7,4,A
36710,55.041667,2000,7,5,A
36711,34.729167,2000,7,6,A
36712,43.437500,2000,7,7,A
36713,41.375000,2000,7,8,A
36714,40.375000,2000,7,9,A
36715,36.291667,2000,7,10,A
36716,36.000000,2000,7,11,A
36717,36.000000,2000,7,12,A
36718,36.000000,2000,7,13,A
36719,49.562500,2000,7,14,A
36720,57.895833,2000,7,15,A
36721,49.187500,2000,7,16,A
36722,42.000000,2000,7,17,A
36723,42.000000,2000,7,18,A
36724,42.000000,2000,7,19,A
36725,42.000000,2000,7,20,A
36726,42.000000,2000,7,21,A
36727,42.000000,2000,7,22,A
36728,42.000000,2000,7,23,A
36729,42.000000,2000,7,24,A
36730,42.000000,2000,7,25,A
36731,42.000000,2000,7,26,A
36732,42.000000,2000,7,27,A
36733,42.000000,2000,7,28,A
36734,42.000000,2000,7,29,A
36735,42.000000,2000,7,30,A
36736,42.000000,2000,7,31,A
36737,42.000000,2000,8,1,A
36738,42.000000,2000,8,2,A
36739,42.000000,2000,8,3,A
36740,42.000000,2000,8,4,A
36741,42.000000,2000,8,5,A
36742,42.000000,2000,8,6,A
36743,42.000000,2000,8,7,A
36744,42.000000,2000,8,8,A
36745,42.000000,2000,8,9,A
36746,42.000000,2000,8,10,A
36747,42.000000,2000,8,11,A
36748,42.000000,2000,8,12,A
36749,42.000000,2000,8,13,A
36750,42.000000,2000,8,14,A
36751,42.000000,2000,8,15,A
36752,42.000000,2000,8,16,A
36753,42.000000,2000,8,17,A
36754,42.000000,2000,8,18,A
36755,42.000000,2000,8,19,A
36756,42.000000,2000,8,20,A
36757,42.000000,2000,8,21,A
36758,42.000000,2000,8,22,A
36759,42.000000,2000,8,23,A
36760,41.958333,2000,8,24,A
36761,41.916667,2000,8,25,A
36762,40.583333,2000,8,26,A
36763,40.041667,2000,8,27,A
36764,40.000000,2000,8,28,A
36765,40.000000,2000,8,29,A
36766,40.000000,2000,8,30,A
36767,40.000000,2000,8,31,A
36768,40.000000,2000,9,1,A
36769,40.041667,2000,9,2,A
36770,40.000000,2000,9,3,A
36771,40.000000,2000,9,4,A
36772,39.895833,2000,9,5,A
36773,40.000000,2000,9,6,A
36774,39.916667,2000,9,7,A
36775,41.145833,2000,9,8,A
36776,99.500000,2000,9,9,A
36777,155.250000,2000,9,10,A
36778,175.000000,2000,9,11,A
36779,182.125000,2000,9,12,A
36780,281.187500,2000,9,13,A
36781,280.687500,2000,9,14,A
36782,278.437500,2000,9,15,A
36783,278.000000,2000,9,16,A
36784,276.312500,2000,9,17,A
36785,275.000000,2000,9,18,A
36786,274.687500,2000,9,19,A
36787,272.187500,2000,9,20,A
36788,272.000000,2000,9,21,A
36789,271.500000,2000,9,22,A
36790,269.312500,2000,9,23,A
36791,269.000000,2000,9,24,A
36792,267.812500,2000,9,25,A
36793,266.000000,2000,9,26,A
36794,265.812500,2000,9,27,A
36795,263.687500,2000,9,28,A
36796,263.000000,2000,9,29,A
36797,260.687500,2000,9,30,A
36798,260.000000,2000,10,1,A
36799,258.937500,2000,10,2,A
36800,257.062500,2000,10,3,A
36801,256.750000,2000,10,4,A
36802,254.125000,2000,10,5,A
36803,253.750000,2000,10,6,A
36804,251.375000,2000,10,7,A
36805,251.000000,2000,10,8,A
36806,250.437500,2000,10,9,A
36807,288.875000,2000,10,10,A
36808,297.562500,2000,10,11,A
36809,287.062500,2000,10,12,A
36810,284.812500,2000,10,13,A
36811,283.000000,2000,10,14,A
36812,280.875000,2000,10,15,A
36813,278.125000,2000,10,16,A
36814,275.750000,2000,10,17,A
36815,279.687500,2000,10,18,A
36816,280.000000,2000,10,19,A
36817,278.687500,2000,10,20,A
36818,315.958333,2000,10,21,A
36819,320.250000,2000,10,22,A
36820,316.437500,2000,10,23,A
36821,311.791667,2000,10,24,A
36822,306.875000,2000,10,25,A
36823,302.875000,2000,10,26,A
36824,297.687500,2000,10,27,A
36825,296.000000,2000,10,28,A
36826,291.250000,2000,10,29,A
36827,285.937500,2000,10,30,A
36828,279.625000,2000,10,31,A
36829,248.250000,2000,11,1,A
36830,70.250000,2000,11,2,A
36831,37.000000,2000,11,3,A
36832,37.166667,2000,11,4,A
36833,37.000000,2000,11,5,A
36834,37.000000,2000,11,6,A
36835,37.000000,2000,11,7,A
36836,38.250000,2000,11,8,A
36837,91.104167,2000,11,9,A
36838,108.000000,2000,11,10,A
36839,76.583333,2000,11,11,A
36840,40.437500,2000,11,12,A
36841,36.000000,2000,11,13,A
36842,36.000000,2000,11,14,A
36843,38.604167,2000,11,15,A
36844,45.000000,2000,11,16,A
36845,45.000000,2000,11,17,A
36846,45.000000,2000,11,18,A
36847,45.000000,2000,11,19,A
36848,45.000000,2000,11,20,A
36849,45.000000,2000,11,21,A
36850,53.812500,2000,11,22,A
36851,57.229167,2000,11,23,A
36852,52.437500,2000,11,24,A
36853,50.125000,2000,11,25,A
36854,50.000000,2000,11,26,A
36855,50.083333,2000,11,27,A
36856,50.208333,2000,11,28,A
36857,51.625000,2000,11,29,A
36858,52.000000,2000,11,30,A
36859,52.208333,2000,12,1,A
36860,52.937500,2000,12,2,A
36861,53.000000,2000,12,3,A
36862,53.000000,2000,12,4,A
36863,52.895833,2000,12,5,A
36864,52.250000,2000,12,6,A
36865,52.000000,2000,12,7,A
36866,52.000000,2000,12,8,A
36867,52.000000,2000,12,9,A
36868,52.000000,2000,12,10,A
36869,52.000000,2000,12,11,A
36870,52.000000,2000,12,12,A
36871,54.145833,2000,12,13,A
36872,133.229167,2000,12,14,A
36873,491.458333,2000,12,15,A
36874,508.645833,2000,12,16,A
36875,404.312500,2000,12,17,A
36876,209.583333,2000,12,18,A
36877,148.000000,2000,12,19,A
36878,133.729167,2000,12,20,A
36879,87.000000,2000,12,21,A
36880,222.166667,2000,12,22,A
36881,644.895833,2000,12,23,A
