;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-15 18:39:37 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14154500 ROW RIVER ABOVE PITCHER CREEK, NEAR DORENA, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14154500
;#            TS   parameter     Description
;#        116928       00060     Discharge, cubic feet per second
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;#     e  Value has been estimated.
;#    91  Daily mean calculated from data on this day matches published daily mean within 1 percent
;# 
;USGS 14154500_flow_ROW RIVER ABOVE PITCHER CREEK, NEAR DORENA, OR_23759452 
day_index,Q_cfs,Year,Month,Day,Quality
36524,208.729167,2000,1,1,A
36525,264.083333,2000,1,2,A
36526,334.687500,2000,1,3,A
36527,897.645833,2000,1,4,A
36528,1116.479167,2000,1,5,A
36529,729.208333,2000,1,6,A
36530,679.395833,2000,1,7,A
36531,1159.500000,2000,1,8,A
36532,1456.666667,2000,1,9,A
36533,4785.000000,2000,1,10,A
36534,7599.375000,2000,1,11,A
36535,2800.833333,2000,1,12,A
36536,2852.083333,2000,1,13,A
36537,6952.916667,2000,1,14,A
36538,3748.958333,2000,1,15,A
36539,2854.791667,2000,1,16,A
36540,2131.875000,2000,1,17,A
36541,1388.958333,2000,1,18,A
36542,1108.958333,2000,1,19,A
36543,1478.333333,2000,1,20,A
36544,1132.083333,2000,1,21,A
36545,892.729167,2000,1,22,A
36546,744.687500,2000,1,23,A
36547,1122.000000,2000,1,24,A
36548,1340.416667,2000,1,25,A
36549,1206.875000,2000,1,26,A
36550,928.916667,2000,1,27,A
36551,743.916667,2000,1,28,A
36552,614.166667,2000,1,29,A
36553,537.458333,2000,1,30,A
36554,483.250000,2000,1,31,A
36555,1060.500000,2000,2,1,A
36556,2185.416667,2000,2,2,A
36557,1338.541667,2000,2,3,A
36558,1017.937500,2000,2,4,A
36559,849.541667,2000,2,5,A
36560,806.625000,2000,2,6,A
36561,702.645833,2000,2,7,A
36562,671.604167,2000,2,8,A
36563,753.520833,2000,2,9,A
36564,657.895833,2000,2,10,A
36565,654.916667,2000,2,11,A
36566,704.770833,2000,2,12,A
36567,1080.437500,2000,2,13,A
36568,2599.583333,2000,2,14,A
36569,2534.166667,2000,2,15,A
36570,1519.583333,2000,2,16,A
36571,1037.041667,2000,2,17,A
36572,765.562500,2000,2,18,A
36573,612.458333,2000,2,19,A
36574,526.791667,2000,2,20,A
36575,479.687500,2000,2,21,A
36576,596.166667,2000,2,22,A
36577,987.395833,2000,2,23,A
36578,731.020833,2000,2,24,A
36579,604.000000,2000,2,25,A
36580,1200.520833,2000,2,26,A
36581,1986.666667,2000,2,27,A
36582,1574.583333,2000,2,28,A
36583,1591.458333,2000,2,29,A
36584,1326.875000,2000,3,1,A
36585,1040.395833,2000,3,2,A
36586,855.062500,2000,3,3,A
36587,854.562500,2000,3,4,A
36588,958.729167,2000,3,5,A
36589,795.791667,2000,3,6,A
36590,657.145833,2000,3,7,A
36591,566.166667,2000,3,8,A
36592,497.916667,2000,3,9,A
36593,455.875000,2000,3,10,A
36594,554.416667,2000,3,11,A
36595,506.562500,2000,3,12,A
36596,465.020833,2000,3,13,A
36597,723.916667,2000,3,14,A
36598,645.020833,2000,3,15,A
36599,904.145833,2000,3,16,A
36600,1183.333333,2000,3,17,A
36601,976.583333,2000,3,18,A
36602,1881.041667,2000,3,19,A
36603,1551.041667,2000,3,20,A
36604,1295.416667,2000,3,21,A
36605,1137.083333,2000,3,22,A
36606,1463.541667,2000,3,23,A
36607,1108.791667,2000,3,24,A
36608,839.875000,2000,3,25,A
36609,672.187500,2000,3,26,A
36610,601.000000,2000,3,27,A
36611,567.541667,2000,3,28,A
36612,497.041667,2000,3,29,A
36613,440.541667,2000,3,30,A
36614,395.604167,2000,3,31,A
36615,378.083333,2000,4,1,A
36616,408.326087,2000,4,2,A
36617,456.750000,2000,4,3,A
36618,504.500000,2000,4,4,A
36619,412.479167,2000,4,5,A
36620,354.791667,2000,4,6,A
36621,313.270833,2000,4,7,A
36622,303.187500,2000,4,8,A
36623,314.208333,2000,4,9,A
36624,294.979167,2000,4,10,A
36625,290.875000,2000,4,11,A
36626,329.750000,2000,4,12,A
36627,797.916667,2000,4,13,A
36628,1084.875000,2000,4,14,A
36629,1135.520833,2000,4,15,A
36630,1530.625000,2000,4,16,A
36631,1140.041667,2000,4,17,A
36632,1283.729167,2000,4,18,A
36633,1261.041667,2000,4,19,A
36634,887.270833,2000,4,20,A
36635,678.437500,2000,4,21,A
36636,618.937500,2000,4,22,A
36637,560.270833,2000,4,23,A
36638,555.979167,2000,4,24,A
36639,545.208333,2000,4,25,A
36640,587.625000,2000,4,26,A
36641,542.604167,2000,4,27,A
36642,532.479167,2000,4,28,A
36643,538.854167,2000,4,29,A
36644,500.041667,2000,4,30,A
36645,454.687500,2000,5,1,A
36646,432.083333,2000,5,2,A
36647,409.708333,2000,5,3,A
36648,415.104167,2000,5,4,A
36649,443.083333,2000,5,5,A
36650,448.291667,2000,5,6,A
36651,405.250000,2000,5,7,A
36652,419.166667,2000,5,8,A
36653,564.312500,2000,5,9,A
36654,1194.166667,2000,5,10,A
36655,1616.041667,2000,5,11,A
36656,1942.500000,2000,5,12,A
36657,1511.041667,2000,5,13,A
36658,1201.250000,2000,5,14,A
36659,980.520833,2000,5,15,A
36660,1090.937500,2000,5,16,A
36661,852.437500,2000,5,17,A
36662,647.645833,2000,5,18,A
36663,532.104167,2000,5,19,A
36664,463.187500,2000,5,20,A
36665,406.541667,2000,5,21,A
36666,370.395833,2000,5,22,A
36667,332.312500,2000,5,23,A
36668,307.916667,2000,5,24,A
36669,280.187500,2000,5,25,A
36670,254.062500,2000,5,26,A
36671,250.083333,2000,5,27,A
36672,278.645833,2000,5,28,A
36673,227.875000,2000,5,29,A
36674,224.416667,2000,5,30,A
36675,240.479167,2000,5,31,A
36676,216.104167,2000,6,1,A
36677,198.333333,2000,6,2,A
36678,183.250000,2000,6,3,A
36679,171.958333,2000,6,4,A
36680,163.458333,2000,6,5,A
36681,154.083333,2000,6,6,A
36682,147.708333,2000,6,7,A
36683,196.833333,2000,6,8,A
36684,205.666667,2000,6,9,A
36685,278.479167,2000,6,10,A
36686,279.187500,2000,6,11,A
36687,486.250000,2000,6,12,A
36688,624.416667,2000,6,13,A
36689,454.229167,2000,6,14,A
36690,346.041667,2000,6,15,A
36691,282.916667,2000,6,16,A
36692,239.979167,2000,6,17,A
36693,207.333333,2000,6,18,A
36694,184.083333,2000,6,19,A
36695,164.979167,2000,6,20,A
36696,151.458333,2000,6,21,A
36697,139.145833,2000,6,22,A
36698,128.604167,2000,6,23,A
36699,120.229167,2000,6,24,A
36700,114.000000,2000,6,25,A
36701,105.662500,2000,6,26,A
36702,97.408333,2000,6,27,A
36703,90.312500,2000,6,28,A
36704,84.270833,2000,6,29,A
36705,80.125000,2000,6,30,A
36706,78.166667,2000,7,1,A
36707,78.041667,2000,7,2,A
36708,74.083333,2000,7,3,A
36709,75.958333,2000,7,4,A
36710,81.583333,2000,7,5,A
36711,84.916667,2000,7,6,A
36712,75.979167,2000,7,7,A
36713,72.166667,2000,7,8,A
36714,68.083333,2000,7,9,A
36715,63.916667,2000,7,10,A
36716,61.500000,2000,7,11,A
36717,59.666667,2000,7,12,A
36718,57.145833,2000,7,13,A
36719,56.000000,2000,7,14,A
36720,56.125000,2000,7,15,A
36721,54.125000,2000,7,16,A
36722,53.000000,2000,7,17,A
36723,51.750000,2000,7,18,A
36724,51.416667,2000,7,19,A
36725,50.020833,2000,7,20,A
36726,47.666667,2000,7,21,A
36727,47.000000,2000,7,22,A
36728,47.270833,2000,7,23,A
36729,45.333333,2000,7,24,A
36730,44.062500,2000,7,25,A
36731,43.666667,2000,7,26,A
36732,42.041667,2000,7,27,A
36733,41.104167,2000,7,28,A
36734,40.750000,2000,7,29,A
36735,40.000000,2000,7,30,A
36736,39.041667,2000,7,31,A
36737,38.437500,2000,8,1,A
36738,37.833333,2000,8,2,A
36739,36.000000,2000,8,3,A
36740,35.187500,2000,8,4,A
36741,33.875000,2000,8,5,A
36742,33.000000,2000,8,6,A
36743,33.000000,2000,8,7,A
36744,32.187500,2000,8,8,A
36745,31.354167,2000,8,9,A
