;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-15 18:40:04 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14155500 ROW RIVER NEAR COTTAGE GROVE, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14155500
;#            TS   parameter     Description
;#        116936       00060     Discharge, cubic feet per second
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;#     e  Value has been estimated.
;#    91  Daily mean calculated from data on this day matches published daily mean within 1 percent
;# 
;USGS 14155500_flow_ROW RIVER NEAR COTTAGE GROVE, OR_23759440 
day_index,Q_cfs,Year,Month,Day,Quality
36524,282.375000,2000,1,1,A
36525,369.125000,2000,1,2,A
36526,533.625000,2000,1,3,A
36527,877.916667,2000,1,4,A
36528,1337.708333,2000,1,5,A
36529,1323.541667,2000,1,6,A
36530,985.395833,2000,1,7,A
36531,1110.395833,2000,1,8,A
36532,1839.166667,2000,1,9,A
36533,2690.416667,2000,1,10,A
36534,496.750000,2000,1,11,A
36535,2910.833333,2000,1,12,A
36536,3513.666667,2000,1,13,A
36537,952.062500,2000,1,14,A
36538,4114.166667,2000,1,15,A
36539,5008.958333,2000,1,16,A
36540,4913.125000,2000,1,17,A
36541,4962.916667,2000,1,18,A
36542,4955.000000,2000,1,19,A
36543,4930.625000,2000,1,20,A
36544,4696.250000,2000,1,21,A
36545,3891.250000,2000,1,22,A
36546,3400.208333,2000,1,23,A
36547,2299.166667,2000,1,24,A
36548,1734.166667,2000,1,25,A
36549,1666.458333,2000,1,26,A
36550,1397.500000,2000,1,27,A
36551,1048.979167,2000,1,28,A
36552,834.354167,2000,1,29,A
36553,729.229167,2000,1,30,A
36554,651.166667,2000,1,31,A
36555,593.916667,2000,2,1,A
36556,1128.958333,2000,2,2,A
36557,1562.916667,2000,2,3,A
36558,1241.687500,2000,2,4,A
36559,974.208333,2000,2,5,A
36560,715.625000,2000,2,6,A
36561,623.541667,2000,2,7,A
36562,509.500000,2000,2,8,A
36563,498.104167,2000,2,9,A
36564,461.729167,2000,2,10,A
36565,578.062500,2000,2,11,A
36566,808.145833,2000,2,12,A
36567,928.041667,2000,2,13,A
36568,1611.250000,2000,2,14,A
36569,2557.083333,2000,2,15,A
36570,2162.916667,2000,2,16,A
