;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-15 18:40:31 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14157500 COAST FORK WILLAMETTE RIVER NEAR GOSHEN, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14157500
;#            TS   parameter     Description
;#        116940       00060     Discharge, cubic feet per second
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;#     e  Value has been estimated.
;#    91  Daily mean calculated from data on this day matches published daily mean within 1 percent
;#    92  Daily mean calculated from data on this day matches published daily mean within 5 percent
;# 
;USGS 14157500_flow_COAST FORK WILLAMETTE RIVER NEAR GOSHEN, OR_23759228 
day_index,Q_cfs,Year,Month,Day,Quality
36524,566.229167,2000,1,1,A
36525,1000.979167,2000,1,2,A
36526,1497.708333,2000,1,3,A
36527,2102.708333,2000,1,4,A
36528,2897.083333,2000,1,5,A
36529,2589.791667,2000,1,6,A
36530,2221.666667,2000,1,7,A
36531,1953.958333,2000,1,8,A
36532,2804.375000,2000,1,9,A
36533,5846.666667,2000,1,10,A
36534,9540.625000,2000,1,11,A
36535,6422.291667,2000,1,12,A
36536,9563.125000,2000,1,13,A
36537,10593.541667,2000,1,14,A
36538,9615.625000,2000,1,15,A
36539,10316.666667,2000,1,16,A
36540,9562.916667,2000,1,17,A
36541,8883.750000,2000,1,18,A
36542,8193.333333,2000,1,19,A
36543,6922.500000,2000,1,20,A
36544,6370.208333,2000,1,21,A
36545,5438.333333,2000,1,22,A
36546,4847.708333,2000,1,23,A
36547,5406.458333,2000,1,24,A
36548,4953.541667,2000,1,25,A
36549,4180.833333,2000,1,26,A
36550,3403.333333,2000,1,27,A
36551,2732.083333,2000,1,28,A
36552,2234.375000,2000,1,29,A
36553,1893.541667,2000,1,30,A
36554,1698.125000,2000,1,31,A
36555,1571.041667,2000,2,1,A
36556,2280.000000,2000,2,2,A
36557,2730.416667,2000,2,3,A
36558,2431.250000,2000,2,4,A
36559,2060.208333,2000,2,5,A
36560,1713.125000,2000,2,6,A
36561,1475.416667,2000,2,7,A
36562,1302.500000,2000,2,8,A
36563,1305.000000,2000,2,9,A
36564,1221.458333,2000,2,10,A
36565,1554.166667,2000,2,11,A
36566,2510.000000,2000,2,12,A
36567,3142.500000,2000,2,13,A
36568,4874.166667,2000,2,14,A
36569,6109.166667,2000,2,15,A
36570,4787.500000,2000,2,16,A
36571,3608.958333,2000,2,17,A
36572,2586.250000,2000,2,18,A
36573,1961.666667,2000,2,19,A
36574,1420.000000,2000,2,20,A
36575,1171.458333,2000,2,21,A
36576,1242.916667,2000,2,22,A
36577,2324.375000,2000,2,23,A
36578,2234.583333,2000,2,24,A
36579,1807.083333,2000,2,25,A
36580,2653.125000,2000,2,26,A
36581,3949.583333,2000,2,27,A
36582,3788.125000,2000,2,28,A
36583,4558.125000,2000,2,29,A
36584,4271.875000,2000,3,1,A
36585,3630.000000,2000,3,2,A
36586,2745.208333,2000,3,3,A
36587,2458.125000,2000,3,4,A
36588,2744.166667,2000,3,5,A
36589,2308.958333,2000,3,6,A
36590,1574.791667,2000,3,7,A
36591,1465.625000,2000,3,8,A
36592,1310.625000,2000,3,9,A
36593,1197.708333,2000,3,10,A
36594,1328.750000,2000,3,11,A
36595,1287.083333,2000,3,12,A
36596,1042.395833,2000,3,13,A
36597,1297.083333,2000,3,14,A
36598,1477.083333,2000,3,15,A
36599,1782.708333,2000,3,16,A
36600,2137.291667,2000,3,17,A
36601,2558.333333,2000,3,18,A
36602,2959.375000,2000,3,19,A
36603,3243.541667,2000,3,20,A
36604,2504.583333,2000,3,21,A
36605,2372.708333,2000,3,22,A
36606,2380.625000,2000,3,23,A
36607,1874.791667,2000,3,24,A
36608,1768.541667,2000,3,25,A
36609,1683.541667,2000,3,26,A
36610,1554.583333,2000,3,27,A
36611,1188.333333,2000,3,28,A
36612,804.125000,2000,3,29,A
36613,659.583333,2000,3,30,A
36614,613.041667,2000,3,31,A
36615,580.520833,2000,4,1,A
36616,557.543478,2000,4,2,A
36617,534.854167,2000,4,3,A
36618,772.416667,2000,4,4,A
36619,771.875000,2000,4,5,A
36620,721.312500,2000,4,6,A
36621,639.312500,2000,4,7,A
36622,407.458333,2000,4,8,A
36623,386.562500,2000,4,9,A
36624,374.916667,2000,4,10,A
36625,364.541667,2000,4,11,A
36626,358.250000,2000,4,12,A
36627,848.145833,2000,4,13,A
36628,1640.000000,2000,4,14,A
36629,1993.541667,2000,4,15,A
36630,2644.375000,2000,4,16,A
36631,2562.083333,2000,4,17,A
36632,2442.083333,2000,4,18,A
36633,2710.833333,2000,4,19,A
36634,2363.750000,2000,4,20,A
36635,1926.666667,2000,4,21,A
36636,1631.458333,2000,4,22,A
36637,1428.333333,2000,4,23,A
36638,1185.000000,2000,4,24,A
36639,1071.250000,2000,4,25,A
36640,952.500000,2000,4,26,A
36641,919.291667,2000,4,27,A
36642,914.270833,2000,4,28,A
36643,883.458333,2000,4,29,A
36644,847.479167,2000,4,30,A
36645,817.625000,2000,5,1,A
36646,846.854167,2000,5,2,A
36647,827.208333,2000,5,3,A
36648,837.666667,2000,5,4,A
36649,634.625000,2000,5,5,A
36650,593.083333,2000,5,6,A
36651,555.458333,2000,5,7,A
36652,561.687500,2000,5,8,A
36653,666.250000,2000,5,9,A
36654,1295.625000,2000,5,10,A
36655,2784.166667,2000,5,11,A
36656,4367.083333,2000,5,12,A
36657,3348.750000,2000,5,13,A
36658,2683.958333,2000,5,14,A
36659,2220.208333,2000,5,15,A
36660,1803.125000,2000,5,16,A
36661,1662.083333,2000,5,17,A
36662,1490.625000,2000,5,18,A
36663,1325.208333,2000,5,19,A
36664,1098.375000,2000,5,20,A
36665,700.416667,2000,5,21,A
36666,588.187500,2000,5,22,A
36667,742.500000,2000,5,23,A
36668,732.500000,2000,5,24,A
36669,723.104167,2000,5,25,A
36670,710.500000,2000,5,26,A
36671,626.437500,2000,5,27,A
36672,620.145833,2000,5,28,A
36673,639.666667,2000,5,29,A
36674,632.500000,2000,5,30,A
36675,605.437500,2000,5,31,A
36676,567.354167,2000,6,1,A
36677,508.916667,2000,6,2,A
36678,433.479167,2000,6,3,A
36679,393.833333,2000,6,4,A
36680,381.937500,2000,6,5,A
36681,371.833333,2000,6,6,A
36682,363.395833,2000,6,7,A
36683,384.604167,2000,6,8,A
36684,385.500000,2000,6,9,A
36685,493.354167,2000,6,10,A
36686,719.062500,2000,6,11,A
36687,791.208333,2000,6,12,A
36688,1353.333333,2000,6,13,A
36689,1267.500000,2000,6,14,A
36690,838.604167,2000,6,15,A
36691,460.000000,2000,6,16,A
36692,422.645833,2000,6,17,A
36693,408.770833,2000,6,18,A
36694,398.333333,2000,6,19,A
36695,382.958333,2000,6,20,A
36696,340.687500,2000,6,21,A
36697,311.333333,2000,6,22,A
36698,299.666667,2000,6,23,A
36699,287.791667,2000,6,24,A
36700,282.625000,2000,6,25,A
36701,274.270833,2000,6,26,A
36702,266.458333,2000,6,27,A
36703,262.687500,2000,6,28,A
36704,259.375000,2000,6,29,A
36705,260.812500,2000,6,30,A
36706,261.833333,2000,7,1,A
36707,264.875000,2000,7,2,A
36708,263.500000,2000,7,3,A
36709,265.229167,2000,7,4,A
36710,256.166667,2000,7,5,A
36711,252.875000,2000,7,6,A
36712,239.458333,2000,7,7,A
36713,221.479167,2000,7,8,A
36714,216.062500,2000,7,9,A
36715,204.604167,2000,7,10,A
36716,177.500000,2000,7,11,A
36717,168.937500,2000,7,12,A
36718,161.937500,2000,7,13,A
36719,157.083333,2000,7,14,A
36720,156.000000,2000,7,15,A
36721,157.916667,2000,7,16,A
36722,157.416667,2000,7,17,A
36723,154.250000,2000,7,18,A
36724,151.625000,2000,7,19,A
36725,150.000000,2000,7,20,A
36726,148.666667,2000,7,21,A
36727,148.000000,2000,7,22,A
36728,148.000000,2000,7,23,A
36729,148.000000,2000,7,24,A
36730,148.000000,2000,7,25,A
36731,143.875000,2000,7,26,A
36732,142.000000,2000,7,27,A
36733,142.000000,2000,7,28,A
36734,142.000000,2000,7,29,A
36735,140.541667,2000,7,30,A
36736,140.000000,2000,7,31,A
36737,140.000000,2000,8,1,A
36738,140.000000,2000,8,2,A
36739,140.000000,2000,8,3,A
36740,140.000000,2000,8,4,A
