;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-15 18:40:55 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14158500 MCKENZIE RIVER AT OUTLET OF CLEAR LAKE, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14158500
;#            TS   parameter     Description
;#        116948       00060     Discharge, cubic feet per second
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     e  Value has been estimated.
;#    91  Daily mean calculated from data on this day matches published daily mean within 1 percent
;# 
;USGS 14158500_flow_MCKENZIE RIVER AT OUTLET OF CLEAR LAKE, OR_23773373 
day_index,Q_cfs,Year,Month,Day,Quality
36524,529.208333,2000,1,1,A
36525,516.625000,2000,1,2,A
36526,503.187500,2000,1,3,A
36527,503.625000,2000,1,4,A
36528,492.500000,2000,1,5,A
36529,479.187500,2000,1,6,A
36530,467.187500,2000,1,7,A
36531,468.250000,2000,1,8,A
36532,476.937500,2000,1,9,A
36533,489.250000,2000,1,10,A
36534,486.687500,2000,1,11,A
36535,485.937500,2000,1,12,A
36536,489.875000,2000,1,13,A
36537,485.187500,2000,1,14,A
36538,471.687500,2000,1,15,A
36539,466.375000,2000,1,16,A
36540,456.875000,2000,1,17,A
36541,450.812500,2000,1,18,A
36542,445.812500,2000,1,19,A
36543,444.500000,2000,1,20,A
36544,439.687500,2000,1,21,A
36545,436.145833,2000,1,22,A
36546,434.375000,2000,1,23,A
36547,437.333333,2000,1,24,A
36548,435.416667,2000,1,25,A
36549,434.479167,2000,1,26,A
36550,429.687500,2000,1,27,A
36551,425.750000,2000,1,28,A
36552,422.229167,2000,1,29,A
36553,419.583333,2000,1,30,A
36554,417.333333,2000,1,31,A
36555,440.208333,2000,2,1,A
36556,452.083333,2000,2,2,A
36557,448.625000,2000,2,3,A
36558,454.270833,2000,2,4,A
36559,469.750000,2000,2,5,A
36560,487.000000,2000,2,6,A
36561,500.500000,2000,2,7,A
36562,520.729167,2000,2,8,A
36563,547.166667,2000,2,9,A
36564,562.250000,2000,2,10,A
36565,568.125000,2000,2,11,A
36566,572.500000,2000,2,12,A
36567,571.250000,2000,2,13,A
36568,584.395833,2000,2,14,A
36569,609.333333,2000,2,15,A
36570,602.395833,2000,2,16,A
36571,588.062500,2000,2,17,A
36572,573.020833,2000,2,18,A
36573,562.145833,2000,2,19,A
36574,554.270833,2000,2,20,A
36575,543.333333,2000,2,21,A
36576,541.916667,2000,2,22,A
36577,550.333333,2000,2,23,A
36578,540.125000,2000,2,24,A
36579,531.255319,2000,2,25,A
36580,538.562500,2000,2,26,A
36581,554.312500,2000,2,27,A
36582,557.062500,2000,2,28,A
36583,559.395833,2000,2,29,A
36584,554.916667,2000,3,1,A
36585,548.791667,2000,3,2,A
36586,541.833333,2000,3,3,A
36587,538.270833,2000,3,4,A
36588,536.562500,2000,3,5,A
36589,529.729167,2000,3,6,A
36590,520.250000,2000,3,7,A
36591,515.395833,2000,3,8,A
36592,508.229167,2000,3,9,A
36593,502.062500,2000,3,10,A
36594,498.291667,2000,3,11,A
36595,486.291667,2000,3,12,A
36596,479.333333,2000,3,13,A
36597,484.875000,2000,3,14,A
36598,482.500000,2000,3,15,A
36599,494.833333,2000,3,16,A
36600,501.208333,2000,3,17,A
36601,521.229167,2000,3,18,A
36602,581.500000,2000,3,19,A
36603,602.416667,2000,3,20,A
36604,595.895833,2000,3,21,A
36605,600.812500,2000,3,22,A
36606,633.104167,2000,3,23,A
36607,644.833333,2000,3,24,A
36608,639.354167,2000,3,25,A
36609,636.062500,2000,3,26,A
36610,645.062500,2000,3,27,A
36611,649.166667,2000,3,28,A
36612,636.354167,2000,3,29,A
36613,622.166667,2000,3,30,A
36614,612.375000,2000,3,31,A
36615,610.979167,2000,4,1,A
36616,630.478261,2000,4,2,A
36617,666.750000,2000,4,3,A
36618,737.250000,2000,4,4,A
36619,749.833333,2000,4,5,A
36620,730.250000,2000,4,6,A
36621,709.000000,2000,4,7,A
36622,708.541667,2000,4,8,A
36623,723.208333,2000,4,9,A
36624,732.041667,2000,4,10,A
36625,744.791667,2000,4,11,A
36626,788.750000,2000,4,12,A
36627,935.625000,2000,4,13,A
36628,1000.833333,2000,4,14,A
36629,985.916667,2000,4,15,A
36630,966.604167,2000,4,16,A
36631,942.437500,2000,4,17,A
36632,943.291667,2000,4,18,A
36633,937.458333,2000,4,19,A
36634,919.125000,2000,4,20,A
36635,910.083333,2000,4,21,A
36636,924.333333,2000,4,22,A
36637,915.625000,2000,4,23,A
36638,880.229167,2000,4,24,A
36639,857.958333,2000,4,25,A
36640,842.659574,2000,4,26,A
36641,830.125000,2000,4,27,A
36642,823.562500,2000,4,28,A
36643,800.854167,2000,4,29,A
36644,776.916667,2000,4,30,A
36645,772.041667,2000,5,1,A
36646,770.333333,2000,5,2,A
36647,775.520833,2000,5,3,A
36648,773.812500,2000,5,4,A
36649,755.145833,2000,5,5,A
36650,733.812500,2000,5,6,A
36651,717.312500,2000,5,7,A
36652,715.458333,2000,5,8,A
36653,758.062500,2000,5,9,A
36654,821.604167,2000,5,10,A
36655,796.645833,2000,5,11,A
36656,766.937500,2000,5,12,A
36657,760.333333,2000,5,13,A
36658,763.000000,2000,5,14,A
36659,779.166667,2000,5,15,A
36660,793.875000,2000,5,16,A
36661,784.875000,2000,5,17,A
36662,764.604167,2000,5,18,A
36663,754.500000,2000,5,19,A
36664,755.833333,2000,5,20,A
36665,753.166667,2000,5,21,A
36666,761.416667,2000,5,22,A
36667,752.125000,2000,5,23,A
36668,731.104167,2000,5,24,A
36669,710.833333,2000,5,25,A
36670,692.166667,2000,5,26,A
36671,684.166667,2000,5,27,A
36672,682.375000,2000,5,28,A
36673,659.979167,2000,5,29,A
36674,636.500000,2000,5,30,A
36675,619.166667,2000,5,31,A
36676,604.000000,2000,6,1,A
36677,594.187500,2000,6,2,A
36678,587.604167,2000,6,3,A
36679,582.062500,2000,6,4,A
36680,578.041667,2000,6,5,A
36681,566.520833,2000,6,6,A
36682,551.937500,2000,6,7,A
36683,547.562500,2000,6,8,A
36684,545.437500,2000,6,9,A
