;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-15 18:41:22 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14158740 MCKENZIE RIVER BL PAYNE CR, NR BELKNAP SPRINGS, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14158740
;#            TS   parameter     Description
;#        116952       00060     Discharge, cubic feet per second
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     e  Value has been estimated.
;# 
;USGS 14158740_flow_MCKENZIE RIVER BL PAYNE CR, NR BELKNAP SPRINGS, OR_ 
day_index,Q_cfs,Year,Month,Day,Quality
42570,181.000000,2016,7,21,A
42571,181.000000,2016,7,22,A
42572,181.000000,2016,7,23,A
42573,181.000000,2016,7,24,A
42574,182.666667,2016,7,25,A
42575,185.635417,2016,7,26,A
42576,186.000000,2016,7,27,A
42577,186.537634,2016,7,28,A
42578,187.250000,2016,7,29,A
42579,189.593750,2016,7,30,A
42580,191.000000,2016,7,31,A
42581,191.000000,2016,8,1,A
42582,191.000000,2016,8,2,A
42583,191.260417,2016,8,3,A
42584,191.000000,2016,8,4,A
42585,190.895833,2016,8,5,A
42586,186.833333,2016,8,6,A
42587,186.000000,2016,8,7,A
42588,182.770833,2016,8,8,A
42589,181.000000,2016,8,9,A
42590,181.000000,2016,8,10,A
42591,179.437500,2016,8,11,A
42592,176.729167,2016,8,12,A
42593,176.000000,2016,8,13,A
42594,176.000000,2016,8,14,A
42595,176.000000,2016,8,15,A
42596,176.000000,2016,8,16,A
42597,175.114583,2016,8,17,A
42598,174.333333,2016,8,18,A
42599,174.020833,2016,8,19,A
42600,172.666667,2016,8,20,A
42601,171.468750,2016,8,21,A
42602,171.052083,2016,8,22,A
42603,171.000000,2016,8,23,A
42604,171.156250,2016,8,24,A
42605,171.156250,2016,8,25,A
42606,171.000000,2016,8,26,A
42607,171.000000,2016,8,27,A
42608,171.000000,2016,8,28,A
42609,171.000000,2016,8,29,A
42610,171.000000,2016,8,30,A
42611,171.000000,2016,8,31,A
42612,168.562500,2016,9,1,A
42613,165.000000,2016,9,2,A
42614,165.000000,2016,9,3,A
42615,165.000000,2016,9,4,A
42616,165.000000,2016,9,5,A
42617,164.958333,2016,9,6,A
42618,165.000000,2016,9,7,A
42619,164.958333,2016,9,8,A
42620,163.666667,2016,9,9,A
42621,163.083333,2016,9,10,A
42622,161.791667,2016,9,11,A
42623,161.833333,2016,9,12,A
42624,161.541667,2016,9,13,A
42625,161.166667,2016,9,14,A
42626,161.000000,2016,9,15,A
42627,161.000000,2016,9,16,A
42628,161.375000,2016,9,17,A
42629,161.041667,2016,9,18,A
42630,161.000000,2016,9,19,A
42631,161.000000,2016,9,20,A
42632,161.000000,2016,9,21,A
42633,161.000000,2016,9,22,A
42634,161.000000,2016,9,23,A
42635,161.000000,2016,9,24,A
42636,161.000000,2016,9,25,A
42637,161.000000,2016,9,26,A
42638,161.000000,2016,9,27,A
42639,160.947917,2016,9,28,A
42640,161.000000,2016,9,29,A
42641,161.000000,2016,9,30,A
42642,160.947917,2016,10,1,A
42643,160.947917,2016,10,2,A
42644,160.895833,2016,10,3,A
42645,161.583333,2016,10,4,A
42646,162.625000,2016,10,5,A
42647,161.000000,2016,10,6,A
42648,161.458333,2016,10,7,A
42649,161.000000,2016,10,8,A
42650,161.000000,2016,10,9,A
42651,161.041667,2016,10,10,A
42652,161.000000,2016,10,11,A
42653,161.000000,2016,10,12,A
42654,164.875000,2016,10,13,A
42655,178.500000,2016,10,14,A
42656,184.281250,2016,10,15,A
42657,190.218750,2016,10,16,A
42658,199.854167,2016,10,17,A
