;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-15 18:41:46 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14158790 SMITH RIVER ABV SMITH R RESV,NR BELKNAP SPRNGS,OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14158790
;#            TS   parameter     Description
;#        116953       00060     Discharge, cubic feet per second
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     e  Value has been estimated.
;#    91  Daily mean calculated from data on this day matches published daily mean within 1 percent
;#    92  Daily mean calculated from data on this day matches published daily mean within 5 percent
;#    93  Daily mean calculated from data on this day matches published daily mean within 10 percent
;# 
;USGS 14158790_flow_SMITH RIVER ABV SMITH R RESV,NR BELKNAP SPRNGS,OR_23773393 
day_index,Q_cfs,Year,Month,Day,Quality
36524,64.416667,2000,1,1,A
36525,58.895833,2000,1,2,A
36526,54.729167,2000,1,3,A
36527,76.000000,2000,1,4,A
36528,70.583333,2000,1,5,A
36529,62.687500,2000,1,6,A
36530,59.145833,2000,1,7,A
36531,87.787500,2000,1,8,A
36532,95.037500,2000,1,9,A
36533,95.333333,2000,1,10,A
36534,80.250000,2000,1,11,A
36535,69.520833,2000,1,12,A
36536,64.479167,2000,1,13,A
36537,64.687500,2000,1,14,A
36538,59.145833,2000,1,15,A
36539,65.895833,2000,1,16,A
36540,62.645833,2000,1,17,A
36541,57.125000,2000,1,18,A
36542,54.250000,2000,1,19,A
36543,57.041667,2000,1,20,A
36544,56.208333,2000,1,21,A
36545,53.791667,2000,1,22,A
36546,51.250000,2000,1,23,A
36547,62.062500,2000,1,24,A
36548,78.625000,2000,1,25,A
36549,80.270833,2000,1,26,A
36550,69.687500,2000,1,27,A
36551,62.208333,2000,1,28,A
36552,56.354167,2000,1,29,A
36553,52.312500,2000,1,30,A
36554,49.645833,2000,1,31,A
36555,317.125000,2000,2,1,A
36556,390.666667,2000,2,2,A
36557,251.416667,2000,2,3,A
36558,182.916667,2000,2,4,A
36559,152.583333,2000,2,5,A
36560,149.250000,2000,2,6,A
36561,140.666667,2000,2,7,A
36562,154.666667,2000,2,8,A
36563,207.562500,2000,2,9,A
