;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-15 18:43:17 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14161500 LOOKOUT CREEK NEAR BLUE RIVER, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14161500
;#            TS   parameter     Description
;#        116981       00060     Discharge, cubic feet per second
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     e  Value has been estimated.
;#    91  Daily mean calculated from data on this day matches published daily mean within 1 percent
;#    92  Daily mean calculated from data on this day matches published daily mean within 5 percent
;#    93  Daily mean calculated from data on this day matches published daily mean within 10 percent
;# 
;USGS 14161500_flow_LOOKOUT CREEK NEAR BLUE RIVER, OR_23773411 
day_index,Q_cfs,Year,Month,Day,Quality
36524,99.375000,2000,1,1,A
36525,95.562500,2000,1,2,A
36526,97.000000,2000,1,3,A
36527,218.854167,2000,1,4,A
36528,207.791667,2000,1,5,A
36529,0.000000,2000,1,6,Missing
36530,0.000000,2000,1,7,Missing
36531,0.000000,2000,1,8,Missing
36532,309.458333,2000,1,9,A
36533,376.041667,2000,1,10,A
36534,369.937500,2000,1,11,A
36535,250.895833,2000,1,12,A
36536,206.437500,2000,1,13,A
36537,298.062500,2000,1,14,A
36538,319.166667,2000,1,15,A
36539,306.208333,2000,1,16,A
36540,266.062500,2000,1,17,A
36541,215.895833,2000,1,18,A
36542,188.395833,2000,1,19,A
36543,204.062500,2000,1,20,A
36544,196.166667,2000,1,21,A
36545,182.333333,2000,1,22,A
36546,173.958333,2000,1,23,A
36547,262.333333,2000,1,24,A
36548,283.979167,2000,1,25,A
36549,262.145833,2000,1,26,A
36550,217.062500,2000,1,27,A
36551,183.729167,2000,1,28,A
36552,157.187500,2000,1,29,A
36553,139.083333,2000,1,30,A
36554,136.333333,2000,1,31,A
36555,385.916667,2000,2,1,A
36556,516.333333,2000,2,2,A
36557,375.437500,2000,2,3,A
36558,297.479167,2000,2,4,A
36559,264.750000,2000,2,5,A
36560,257.833333,2000,2,6,A
36561,244.750000,2000,2,7,A
36562,245.062500,2000,2,8,A
