;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-15 18:44:26 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14163150 MCKENZIE RIVER BLW LEABURG DAM, NR LEABURG, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14163150
;#            TS   parameter     Description
;#        117002       00060     Discharge, cubic feet per second
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     e  Value has been estimated.
;#    91  Daily mean calculated from data on this day matches published daily mean within 1 percent
;#    92  Daily mean calculated from data on this day matches published daily mean within 5 percent
;# 
;USGS 14163150_flow_MCKENZIE RIVER BLW LEABURG DAM, NR LEABURG, OR_23772857 
day_index,Q_cfs,Year,Month,Day,Quality
36524,1022.708333,2000,1,1,A
36525,1024.583333,2000,1,2,A
36526,1016.875000,2000,1,3,A
36527,1014.583333,2000,1,4,A
36528,2791.666667,2000,1,5,A
36529,3770.833333,2000,1,6,A
36530,3457.708333,2000,1,7,A
36531,4380.000000,2000,1,8,A
36532,6708.750000,2000,1,9,A
36533,10470.000000,2000,1,10,A
36534,9843.333333,2000,1,11,A
36535,6031.041667,2000,1,12,A
36536,6442.500000,2000,1,13,A
36537,8582.708333,2000,1,14,A
36538,7662.708333,2000,1,15,A
36539,7252.708333,2000,1,16,A
36540,7671.041667,2000,1,17,A
36541,7126.250000,2000,1,18,A
36542,6322.083333,2000,1,19,A
36543,5871.250000,2000,1,20,A
36544,5880.625000,2000,1,21,A
36545,5521.666667,2000,1,22,A
36546,4863.125000,2000,1,23,A
36547,5409.375000,2000,1,24,A
36548,5382.291667,2000,1,25,A
36549,5133.333333,2000,1,26,A
36550,4321.250000,2000,1,27,A
36551,3679.375000,2000,1,28,A
36552,3352.708333,2000,1,29,A
36553,2923.958333,2000,1,30,A
36554,2429.791667,2000,1,31,A
36555,3275.625000,2000,2,1,A
36556,5333.125000,2000,2,2,A
36557,4513.541667,2000,2,3,A
36558,4105.416667,2000,2,4,A
36559,3862.291667,2000,2,5,A
36560,3686.666667,2000,2,6,A
36561,3560.833333,2000,2,7,A
36562,3691.041667,2000,2,8,A
36563,4270.208333,2000,2,9,A
36564,3877.083333,2000,2,10,A
36565,3725.208333,2000,2,11,A
36566,3897.708333,2000,2,12,A
36567,4086.250000,2000,2,13,A
36568,4568.541667,2000,2,14,A
36569,5606.250000,2000,2,15,A
36570,5266.250000,2000,2,16,A
36571,4194.166667,2000,2,17,A
36572,2820.000000,2000,2,18,A
36573,2406.875000,2000,2,19,A
36574,2168.750000,2000,2,20,A
36575,2051.041667,2000,2,21,A
36576,2185.000000,2000,2,22,A
36577,2493.333333,2000,2,23,A
36578,2205.208333,2000,2,24,A
36579,2053.333333,2000,2,25,A
36580,3282.083333,2000,2,26,A
36581,4494.166667,2000,2,27,A
36582,4002.291667,2000,2,28,A
