;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-15 18:45:35 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14164900 McKENZIE RIVER ABV HAYDEN BR, AT SPRINGFIELD,OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14164900
;#            TS   parameter     Description
;#        117014       00060     Discharge, cubic feet per second
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;#     e  Value has been estimated.
;#    91  Daily mean calculated from data on this day matches published daily mean within 1 percent
;# 
;USGS 14164900_flow_McKENZIE RIVER ABV HAYDEN BR, AT SPRINGFIELD,OR_23772751 
day_index,Q_cfs,Year,Month,Day,Quality
39161,6095.208333,2007,3,22,A
39162,6049.375000,2007,3,23,A
39163,5800.000000,2007,3,24,A
39164,6325.625000,2007,3,25,A
39165,6623.125000,2007,3,26,A
39166,5857.291667,2007,3,27,A
39167,5320.833333,2007,3,28,A
39168,4605.416667,2007,3,29,A
39169,4351.875000,2007,3,30,A
39170,4156.041667,2007,3,31,A
39171,4207.916667,2007,4,1,A
39172,4205.416667,2007,4,2,A
39173,4184.375000,2007,4,3,A
39174,4165.625000,2007,4,4,A
39175,4096.041667,2007,4,5,A
39176,4031.458333,2007,4,6,A
39177,4401.458333,2007,4,7,A
39178,4758.958333,2007,4,8,A
39179,5167.500000,2007,4,9,A
39180,5361.250000,2007,4,10,A
39181,4612.500000,2007,4,11,A
39182,4520.416667,2007,4,12,A
39183,4317.708333,2007,4,13,A
39184,4208.750000,2007,4,14,A
39185,4147.708333,2007,4,15,A
39186,3994.583333,2007,4,16,A
39187,4031.666667,2007,4,17,A
39188,4279.791667,2007,4,18,A
39189,4430.625000,2007,4,19,A
39190,4234.375000,2007,4,20,A
39191,4090.416667,2007,4,21,A
39192,4427.291667,2007,4,22,A
39193,4252.916667,2007,4,23,A
39194,3977.500000,2007,4,24,A
39195,4083.333333,2007,4,25,A
39196,3926.041667,2007,4,26,A
39197,3654.791667,2007,4,27,A
39198,3566.875000,2007,4,28,A
39199,3516.250000,2007,4,29,A
39200,3354.166667,2007,4,30,A
39201,3366.666667,2007,5,1,A
39202,3470.416667,2007,5,2,A
39203,3901.041667,2007,5,3,A
39204,3904.791667,2007,5,4,A
39205,3950.416667,2007,5,5,A
39206,3775.416667,2007,5,6,A
39207,3653.333333,2007,5,7,A
39208,3635.000000,2007,5,8,A
39209,3708.541667,2007,5,9,A
39210,3655.625000,2007,5,10,A
39211,3567.083333,2007,5,11,A
39212,3534.166667,2007,5,12,A
39213,3373.333333,2007,5,13,A
39214,3414.166667,2007,5,14,A
39215,3780.416667,2007,5,15,A
39216,3998.125000,2007,5,16,A
39217,4042.291667,2007,5,17,A
39218,3974.791667,2007,5,18,A
39219,3906.875000,2007,5,19,A
39220,3944.375000,2007,5,20,A
39221,4164.791667,2007,5,21,A
39222,4177.291667,2007,5,22,A
39223,4243.541667,2007,5,23,A
39224,4318.510638,2007,5,24,A
39225,4358.958333,2007,5,25,A
39226,4308.541667,2007,5,26,A
39227,4212.291667,2007,5,27,A
39228,4162.500000,2007,5,28,A
39229,4073.958333,2007,5,29,A
39230,3853.125000,2007,5,30,A
39231,3914.375000,2007,5,31,A
39232,3627.083333,2007,6,1,A
39233,3496.458333,2007,6,2,A
39234,3460.000000,2007,6,3,A
39235,3462.291667,2007,6,4,A
39236,3589.375000,2007,6,5,A
39237,3698.333333,2007,6,6,A
39238,3675.625000,2007,6,7,A
39239,3579.583333,2007,6,8,A
39240,3416.041667,2007,6,9,A
39241,3184.166667,2007,6,10,A
39242,2928.750000,2007,6,11,A
39243,2735.208333,2007,6,12,A
39244,2428.333333,2007,6,13,A
39245,2348.125000,2007,6,14,A
39246,2460.416667,2007,6,15,A
39247,2426.875000,2007,6,16,A
39248,2302.500000,2007,6,17,A
39249,2305.625000,2007,6,18,A
39250,2312.500000,2007,6,19,A
39251,2312.500000,2007,6,20,A
39252,2453.958333,2007,6,21,A
39253,2398.125000,2007,6,22,A
39254,2364.583333,2007,6,23,A
39255,2380.000000,2007,6,24,A
39256,2362.708333,2007,6,25,A
39257,2129.583333,2007,6,26,A
39258,2180.833333,2007,6,27,A
39259,2092.291667,2007,6,28,A
39260,2130.833333,2007,6,29,A
39261,2161.041667,2007,6,30,A
39262,2022.083333,2007,7,1,A
39263,1980.416667,2007,7,2,A
39264,2134.583333,2007,7,3,A
39265,2120.833333,2007,7,4,A
39266,2093.541667,2007,7,5,A
39267,2097.916667,2007,7,6,A
39268,2092.916667,2007,7,7,A
39269,2054.375000,2007,7,8,A
39270,2018.958333,2007,7,9,A
39271,2046.458333,2007,7,10,A
39272,1944.791667,2007,7,11,A
39273,2004.791667,2007,7,12,A
39274,2023.958333,2007,7,13,A
39275,1984.166667,2007,7,14,A
39276,1981.458333,2007,7,15,A
39277,2011.250000,2007,7,16,A
39278,1956.458333,2007,7,17,A
39279,2068.541667,2007,7,18,A
39280,2071.250000,2007,7,19,A
39281,1895.416667,2007,7,20,A
39282,1873.125000,2007,7,21,A
39283,1807.500000,2007,7,22,A
39284,1803.333333,2007,7,23,A
39285,1795.625000,2007,7,24,A
39286,1788.750000,2007,7,25,A
39287,1779.166667,2007,7,26,A
39288,1857.500000,2007,7,27,A
39289,1848.958333,2007,7,28,A
39290,1863.750000,2007,7,29,A
39291,1849.375000,2007,7,30,A
39292,1813.333333,2007,7,31,A
39293,1794.375000,2007,8,1,A
39294,1785.833333,2007,8,2,A
39295,1801.458333,2007,8,3,A
39296,1795.416667,2007,8,4,A
39297,1825.625000,2007,8,5,A
39298,1814.166667,2007,8,6,A
39299,1786.250000,2007,8,7,A
39300,1816.875000,2007,8,8,A
39301,1765.208333,2007,8,9,A
39302,1811.875000,2007,8,10,A
39303,1828.333333,2007,8,11,A
39304,1831.458333,2007,8,12,A
39305,1848.750000,2007,8,13,A
39306,1864.375000,2007,8,14,A
39307,1871.702128,2007,8,15,A
39308,1896.458333,2007,8,16,A
39309,1899.791667,2007,8,17,A
39310,1877.916667,2007,8,18,A
39311,1940.208333,2007,8,19,A
39312,2030.416667,2007,8,20,A
39313,2065.416667,2007,8,21,A
39314,1973.958333,2007,8,22,A
39315,1923.541667,2007,8,23,A
39316,1804.166667,2007,8,24,A
39317,1954.375000,2007,8,25,A
39318,1941.875000,2007,8,26,A
39319,1916.666667,2007,8,27,A
39320,1922.708333,2007,8,28,A
39321,1923.958333,2007,8,29,A
39322,1886.875000,2007,8,30,A
39323,1897.083333,2007,8,31,A
39324,1879.375000,2007,9,1,A
39325,1886.041667,2007,9,2,A
39326,1877.291667,2007,9,3,A
39327,1946.875000,2007,9,4,A
39328,1978.958333,2007,9,5,A
39329,1942.083333,2007,9,6,A
39330,1952.083333,2007,9,7,A
39331,1933.750000,2007,9,8,A
39332,1922.708333,2007,9,9,A
39333,1893.541667,2007,9,10,A
39334,1886.875000,2007,9,11,A
39335,1891.875000,2007,9,12,A
39336,1911.555556,2007,9,13,A
39337,1900.833333,2007,9,14,A
39338,1928.125000,2007,9,15,A
39339,1936.041667,2007,9,16,A
39340,1957.906977,2007,9,17,A
39341,1938.723404,2007,9,18,A
39342,1941.489362,2007,9,19,A
39343,2023.695652,2007,9,20,A
39344,1996.875000,2007,9,21,A
39345,1947.446809,2007,9,22,A
39346,1959.782609,2007,9,23,A
39347,1957.872340,2007,9,24,A
39348,2021.063830,2007,9,25,A
39349,2020.000000,2007,9,26,A
39350,2042.127660,2007,9,27,A
39351,2059.791667,2007,9,28,A
39352,2078.936170,2007,9,29,A
39353,2144.166667,2007,9,30,A
39354,2533.488372,2007,10,1,A
39355,2225.000000,2007,10,2,A
39356,2348.837209,2007,10,3,A
39357,2629.791667,2007,10,4,A
39358,0.000000,2007,10,5,Missing
39359,2066.511628,2007,10,6,A
39360,2002.500000,2007,10,7,A
39361,1984.130435,2007,10,8,A
39362,1955.227273,2007,10,9,A
39363,2005.500000,2007,10,10,A
39364,2054.878049,2007,10,11,A
39365,2020.000000,2007,10,12,A
39366,1984.772727,2007,10,13,A
39367,1982.127660,2007,10,14,A
39368,1976.976744,2007,10,15,A
39369,2107.111111,2007,10,16,A
39370,2303.333333,2007,10,17,A
39371,2405.217391,2007,10,18,A
39372,6751.162791,2007,10,19,A
39373,6409.761905,2007,10,20,A
39374,5903.695652,2007,10,21,A
39375,4478.043478,2007,10,22,A
39376,3692.340426,2007,10,23,A
39377,3437.291667,2007,10,24,A
39378,3585.416667,2007,10,25,A
39379,3494.680851,2007,10,26,A
39380,3387.021277,2007,10,27,A
39381,3318.333333,2007,10,28,A
39382,2927.446809,2007,10,29,A
39383,2703.333333,2007,10,30,A
39384,2427.021277,2007,10,31,A
39385,2261.276596,2007,11,1,A
39386,2241.702128,2007,11,2,A
39387,2277.209302,2007,11,3,A
39388,2229.787234,2007,11,4,A
39389,2376.829268,2007,11,5,A
39390,2467.073171,2007,11,6,A
39391,2536.875000,2007,11,7,A
39392,2525.625000,2007,11,8,A
39393,2550.416667,2007,11,9,A
39394,2742.916667,2007,11,10,A
39395,2819.166667,2007,11,11,A
39396,2766.458333,2007,11,12,A
39397,4609.583333,2007,11,13,A
39398,4043.958333,2007,11,14,A
39399,3706.041667,2007,11,15,A
39400,4016.875000,2007,11,16,A
39401,10142.708333,2007,11,17,A
39402,14545.833333,2007,11,18,A
39403,15025.000000,2007,11,19,A
39404,11306.250000,2007,11,20,A
39405,9596.458333,2007,11,21,A
