;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-15 18:46:03 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14165000 MOHAWK RIVER NEAR SPRINGFIELD, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14165000
;#            TS   parameter     Description
;#        117016       00060     Discharge, cubic feet per second
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;#     e  Value has been estimated.
;#    91  Daily mean calculated from data on this day matches published daily mean within 1 percent
;#    92  Daily mean calculated from data on this day matches published daily mean within 5 percent
;#    93  Daily mean calculated from data on this day matches published daily mean within 10 percent
;# 
;USGS 14165000_flow_MOHAWK RIVER NEAR SPRINGFIELD, OR_23773513 
day_index,Q_cfs,Year,Month,Day,Quality
36524,473.437500,2000,1,1,A
36525,598.395833,2000,1,2,A
36526,664.958333,2000,1,3,A
36527,1139.583333,2000,1,4,A
36528,1204.375000,2000,1,5,A
36529,952.062500,2000,1,6,A
36530,888.208333,2000,1,7,A
36531,844.750000,2000,1,8,A
36532,988.979167,2000,1,9,A
36533,2076.458333,2000,1,10,A
36534,4939.791667,2000,1,11,A
36535,3006.875000,2000,1,12,A
36536,3608.541667,2000,1,13,A
36537,5217.083333,2000,1,14,A
36538,3964.166667,2000,1,15,A
36539,3005.416667,2000,1,16,A
36540,2412.083333,2000,1,17,A
36541,1936.041667,2000,1,18,A
36542,1618.958333,2000,1,19,A
36543,1521.666667,2000,1,20,A
36544,1339.791667,2000,1,21,A
36545,1266.875000,2000,1,22,A
36546,1140.000000,2000,1,23,A
36547,1436.875000,2000,1,24,A
36548,1537.500000,2000,1,25,A
36549,1363.125000,2000,1,26,A
36550,1180.625000,2000,1,27,A
36551,1041.375000,2000,1,28,A
36552,924.229167,2000,1,29,A
36553,837.958333,2000,1,30,A
36554,767.458333,2000,1,31,A
36555,843.687500,2000,2,1,A
36556,1044.770833,2000,2,2,A
36557,930.583333,2000,2,3,A
36558,848.125000,2000,2,4,A
36559,798.916667,2000,2,5,A
36560,745.312500,2000,2,6,A
36561,684.895833,2000,2,7,A
36562,700.895833,2000,2,8,A
36563,754.895833,2000,2,9,A
36564,705.541667,2000,2,10,A
36565,783.583333,2000,2,11,A
36566,954.125000,2000,2,12,A
36567,1151.041667,2000,2,13,A
36568,1575.000000,2000,2,14,A
36569,1988.958333,2000,2,15,A
36570,1704.791667,2000,2,16,A
36571,1380.833333,2000,2,17,A
36572,1141.041667,2000,2,18,A
36573,991.937500,2000,2,19,A
36574,885.229167,2000,2,20,A
36575,810.333333,2000,2,21,A
36576,802.895833,2000,2,22,A
36577,834.895833,2000,2,23,A
36578,728.208333,2000,2,24,A
36579,712.208333,2000,2,25,A
36580,1282.500000,2000,2,26,A
36581,1826.458333,2000,2,27,A
36582,1578.541667,2000,2,28,A
36583,1597.083333,2000,2,29,A
36584,1393.541667,2000,3,1,A
36585,1305.833333,2000,3,2,A
36586,1139.791667,2000,3,3,A
36587,1327.500000,2000,3,4,A
36588,1347.500000,2000,3,5,A
36589,1150.000000,2000,3,6,A
36590,1003.104167,2000,3,7,A
36591,903.250000,2000,3,8,A
36592,806.750000,2000,3,9,A
36593,746.208333,2000,3,10,A
36594,759.729167,2000,3,11,A
36595,673.083333,2000,3,12,A
36596,652.229167,2000,3,13,A
36597,790.916667,2000,3,14,A
36598,693.437500,2000,3,15,A
36599,902.833333,2000,3,16,A
36600,875.562500,2000,3,17,A
36601,844.416667,2000,3,18,A
36602,912.687500,2000,3,19,A
36603,842.500000,2000,3,20,A
36604,765.604167,2000,3,21,A
36605,732.687500,2000,3,22,A
36606,752.604167,2000,3,23,A
36607,683.770833,2000,3,24,A
36608,630.479167,2000,3,25,A
36609,576.145833,2000,3,26,A
36610,549.270833,2000,3,27,A
36611,523.729167,2000,3,28,A
36612,475.187500,2000,3,29,A
36613,436.062500,2000,3,30,A
36614,405.395833,2000,3,31,A
36615,381.354167,2000,4,1,A
36616,360.847826,2000,4,2,A
36617,345.979167,2000,4,3,A
36618,330.291667,2000,4,4,A
36619,325.312500,2000,4,5,A
36620,307.041667,2000,4,6,A
36621,293.979167,2000,4,7,A
36622,282.604167,2000,4,8,A
36623,274.416667,2000,4,9,A
36624,265.062500,2000,4,10,A
36625,256.854167,2000,4,11,A
36626,249.458333,2000,4,12,A
36627,453.520833,2000,4,13,A
36628,513.708333,2000,4,14,A
36629,548.770833,2000,4,15,A
36630,639.250000,2000,4,16,A
36631,573.250000,2000,4,17,A
36632,483.895833,2000,4,18,A
36633,424.583333,2000,4,19,A
36634,379.979167,2000,4,20,A
36635,347.604167,2000,4,21,A
36636,367.812500,2000,4,22,A
36637,331.812500,2000,4,23,A
36638,330.583333,2000,4,24,A
36639,350.520833,2000,4,25,A
36640,334.229167,2000,4,26,A
36641,319.333333,2000,4,27,A
36642,331.312500,2000,4,28,A
36643,318.416667,2000,4,29,A
36644,285.479167,2000,4,30,A
36645,269.937500,2000,5,1,A
36646,287.062500,2000,5,2,A
36647,288.500000,2000,5,3,A
36648,299.479167,2000,5,4,A
36649,330.333333,2000,5,5,A
36650,317.020833,2000,5,6,A
36651,294.000000,2000,5,7,A
36652,316.937500,2000,5,8,A
36653,424.979167,2000,5,9,A
36654,682.291667,2000,5,10,A
36655,1316.125000,2000,5,11,A
36656,1624.375000,2000,5,12,A
36657,1107.562500,2000,5,13,A
36658,877.020833,2000,5,14,A
36659,775.666667,2000,5,15,A
36660,648.520833,2000,5,16,A
36661,563.208333,2000,5,17,A
36662,491.229167,2000,5,18,A
36663,439.208333,2000,5,19,A
36664,399.812500,2000,5,20,A
36665,352.291667,2000,5,21,A
36666,321.166667,2000,5,22,A
36667,298.312500,2000,5,23,A
36668,287.770833,2000,5,24,A
36669,270.958333,2000,5,25,A
36670,263.520833,2000,5,26,A
36671,273.729167,2000,5,27,A
36672,267.250000,2000,5,28,A
36673,241.500000,2000,5,29,A
36674,236.500000,2000,5,30,A
36675,233.333333,2000,5,31,A
36676,219.625000,2000,6,1,A
36677,206.145833,2000,6,2,A
36678,193.958333,2000,6,3,A
36679,183.979167,2000,6,4,A
36680,176.000000,2000,6,5,A
36681,174.291667,2000,6,6,A
36682,172.750000,2000,6,7,A
36683,207.041667,2000,6,8,A
36684,192.812500,2000,6,9,A
36685,201.437500,2000,6,10,A
36686,210.020833,2000,6,11,A
36687,387.687500,2000,6,12,A
36688,421.583333,2000,6,13,A
36689,293.270833,2000,6,14,A
36690,247.708333,2000,6,15,A
36691,222.312500,2000,6,16,A
36692,206.187500,2000,6,17,A
36693,192.916667,2000,6,18,A
36694,180.750000,2000,6,19,A
36695,172.375000,2000,6,20,A
36696,163.666667,2000,6,21,A
36697,155.166667,2000,6,22,A
36698,149.500000,2000,6,23,A
36699,143.208333,2000,6,24,A
36700,136.937500,2000,6,25,A
36701,130.625000,2000,6,26,A
36702,123.666667,2000,6,27,A
36703,116.520833,2000,6,28,A
36704,112.416667,2000,6,29,A
36705,109.166667,2000,6,30,A
36706,108.541667,2000,7,1,A
36707,108.666667,2000,7,2,A
36708,105.291667,2000,7,3,A
36709,114.625000,2000,7,4,A
36710,118.854167,2000,7,5,A
36711,110.500000,2000,7,6,A
36712,101.062500,2000,7,7,A
36713,95.000000,2000,7,8,A
36714,94.916667,2000,7,9,A
36715,90.562500,2000,7,10,A
36716,87.312500,2000,7,11,A
36717,87.375000,2000,7,12,A
36718,82.187500,2000,7,13,A
36719,80.229167,2000,7,14,A
36720,80.000000,2000,7,15,A
36721,77.208333,2000,7,16,A
36722,74.770833,2000,7,17,A
36723,74.354167,2000,7,18,A
36724,74.645833,2000,7,19,A
36725,70.895833,2000,7,20,A
36726,65.833333,2000,7,21,A
36727,62.354167,2000,7,22,A
36728,65.708333,2000,7,23,A
36729,61.250000,2000,7,24,A
36730,58.541667,2000,7,25,A
36731,59.062500,2000,7,26,A
36732,57.208333,2000,7,27,A
36733,54.041667,2000,7,28,A
36734,53.270833,2000,7,29,A
36735,51.000000,2000,7,30,A
36736,49.104167,2000,7,31,A
36737,48.083333,2000,8,1,A
36738,47.916667,2000,8,2,A
36739,44.729167,2000,8,3,A
36740,42.687500,2000,8,4,A
36741,41.833333,2000,8,5,A
36742,41.125000,2000,8,6,A
36743,39.291667,2000,8,7,A
36744,38.458333,2000,8,8,A
36745,36.604167,2000,8,9,A
36746,36.541667,2000,8,10,A
36747,39.729167,2000,8,11,A
36748,37.166667,2000,8,12,A
36749,36.145833,2000,8,13,A
36750,35.583333,2000,8,14,A
36751,34.791667,2000,8,15,A
36752,34.208333,2000,8,16,A
36753,32.416667,2000,8,17,A
36754,32.166667,2000,8,18,A
36755,37.250000,2000,8,19,A
36756,37.562500,2000,8,20,A
36757,34.041667,2000,8,21,A
36758,31.562500,2000,8,22,A
36759,30.875000,2000,8,23,A
36760,29.333333,2000,8,24,A
36761,29.166667,2000,8,25,A
36762,30.395833,2000,8,26,A
36763,29.583333,2000,8,27,A
36764,27.145833,2000,8,28,A
36765,25.333333,2000,8,29,A
36766,24.541667,2000,8,30,A
36767,25.979167,2000,8,31,A
36768,30.562500,2000,9,1,A
36769,36.250000,2000,9,2,A
36770,57.354167,2000,9,3,A
36771,49.770833,2000,9,4,A
36772,39.479167,2000,9,5,A
36773,34.833333,2000,9,6,A
36774,31.645833,2000,9,7,A
36775,32.354167,2000,9,8,A
36776,42.854167,2000,9,9,A
36777,37.750000,2000,9,10,A
36778,41.770833,2000,9,11,A
36779,36.750000,2000,9,12,A
36780,32.500000,2000,9,13,A
36781,29.583333,2000,9,14,A
36782,26.375000,2000,9,15,A
36783,28.604167,2000,9,16,A
36784,28.125000,2000,9,17,A
36785,26.354167,2000,9,18,A
36786,24.687500,2000,9,19,A
36787,25.812500,2000,9,20,A
36788,24.729167,2000,9,21,A
36789,23.354167,2000,9,22,A
